"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Iceland","Aruba","2015.0","Export","1.0","0.07","19.57","0.0"
"Iceland","Afghanistan","2015.0","Export","","","",""
"Iceland","Angola","2015.0","Export","1.0","0.07","103.77","0.0"
"Iceland","Albania","2015.0","Export","2.0","0.13","551.29","0.01"
"Iceland","Andorra","2015.0","Export","","","",""
"Iceland","United Arab Emirates","2015.0","Export","42.0","2.76","3146.11","0.07"
"Iceland","Argentina","2015.0","Export","13.0","0.86","781.98","0.02"
"Iceland","Antigua and Barbuda","2015.0","Export","4.0","0.26","1931.94","0.04"
"Iceland","Australia","2015.0","Export","97.0","6.38","15009.7","0.32"
"Iceland","Austria","2015.0","Export","58.0","3.82","2505.34","0.05"
"Iceland","Azerbaijan","2015.0","Export","7.0","0.46","2089.63","0.04"
"Iceland","Belgium","2015.0","Export","139.0","9.14","106614.29","2.26"
"Iceland","Benin","2015.0","Export","2.0","0.13","1880.37","0.04"
"Iceland","Burkina Faso","2015.0","Export","","","",""
"Iceland","Bangladesh","2015.0","Export","5.0","0.33","323.52","0.01"
"Iceland","Bulgaria","2015.0","Export","16.0","1.05","586.7","0.01"
"Iceland","Bahrain","2015.0","Export","6.0","0.39","475.45","0.01"
"Iceland","Bahamas, The","2015.0","Export","3.0","0.2","2142.96","0.05"
"Iceland","Bosnia and Herzegovina","2015.0","Export","3.0","0.2","123.68","0.0"
"Iceland","Belarus","2015.0","Export","8.0","0.53","6897.76","0.15"
"Iceland","Belize","2015.0","Export","2.0","0.13","2628.68","0.06"
"Iceland","Bermuda","2015.0","Export","2.0","0.13","80.11","0.0"
"Iceland","Bolivia","2015.0","Export","","","",""
"Iceland","Brazil","2015.0","Export","25.0","1.64","7968.14","0.17"
"Iceland","Barbados","2015.0","Export","","","",""
"Iceland","Canada","2015.0","Export","262.0","17.24","56522.95","1.2"
"Iceland","Switzerland","2015.0","Export","151.0","9.93","54296.84","1.15"
"Iceland","Chile","2015.0","Export","39.0","2.57","29252.94","0.62"
"Iceland","China","2015.0","Export","115.0","7.57","72175.24","1.53"
"Iceland","Cote d'Ivoire","2015.0","Export","3.0","0.2","1648.58","0.03"
"Iceland","Cameroon","2015.0","Export","","","",""
"Iceland","Colombia","2015.0","Export","6.0","0.39","759.53","0.02"
"Iceland","Comoros","2015.0","Export","","","",""
"Iceland","Costa Rica","2015.0","Export","5.0","0.33","51.74","0.0"
"Iceland","Cuba","2015.0","Export","1.0","0.07","377.04","0.01"
"Iceland","Cayman Islands","2015.0","Export","1.0","0.07","56.13","0.0"
"Iceland","Cyprus","2015.0","Export","17.0","1.12","1096.23","0.02"
"Iceland","Czech Republic","2015.0","Export","44.0","2.89","3902.67","0.08"
"Iceland","Germany","2015.0","Export","397.0","26.12","351694.05","7.45"
"Iceland","Denmark","2015.0","Export","479.0","31.51","113142.03","2.4"
"Iceland","Dominican Republic","2015.0","Export","","","",""
"Iceland","Algeria","2015.0","Export","","","",""
"Iceland","East Asia & Pacific","2015.0","Export","274.0","18.03","242316.69","5.13"
"Iceland","Europe & Central Asia","2015.0","Export","1401.0","92.17","3951629.96","83.69"
"Iceland","Ecuador","2015.0","Export","3.0","0.2","6.27","0.0"
"Iceland","Egypt, Arab Rep.","2015.0","Export","8.0","0.53","8375.77","0.18"
"Iceland","Spain","2015.0","Export","196.0","12.89","545354.96","11.55"
"Iceland","Estonia","2015.0","Export","48.0","3.16","3387.97","0.07"
"Iceland","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Iceland","Finland","2015.0","Export","88.0","5.79","12468.21","0.26"
"Iceland","Fiji","2015.0","Export","","","",""
"Iceland","France","2015.0","Export","202.0","13.29","269553.18","5.71"
"Iceland","Faeroe Islands","2015.0","Export","438.0","28.82","31124.21","0.66"
"Iceland","Gabon","2015.0","Export","1.0","0.07","132.79","0.0"
"Iceland","United Kingdom","2015.0","Export","472.0","31.05","548206.53","11.61"
"Iceland","Georgia","2015.0","Export","6.0","0.39","2299.99","0.05"
"Iceland","Ghana","2015.0","Export","9.0","0.59","3035.75","0.06"
"Iceland","Gibraltar","2015.0","Export","2.0","0.13","1569.38","0.03"
"Iceland","Greece","2015.0","Export","45.0","2.96","12084.7","0.26"
"Iceland","Greenland","2015.0","Export","399.0","26.25","33534.2","0.71"
"Iceland","Guatemala","2015.0","Export","","","",""
"Iceland","Hong Kong, China","2015.0","Export","62.0","4.08","9313.72","0.2"
"Iceland","Honduras","2015.0","Export","","","",""
