"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Israel","Aruba","2015.0","Export","12.0","0.4","183.0","0.0"
"Israel","Afghanistan","2015.0","Export","3.0","0.1","215.0","0.0"
"Israel","Angola","2015.0","Export","512.0","16.88","33339.0","0.05"
"Israel","Anguila","2015.0","Export","4.0","0.13","9.0","0.0"
"Israel","Albania","2015.0","Export","51.0","1.68","11149.0","0.02"
"Israel","Andorra","2015.0","Export","10.0","0.33","906.0","0.0"
"Israel","Argentina","2015.0","Export","395.0","13.02","111940.0","0.17"
"Israel","Armenia","2015.0","Export","61.0","2.01","2991.0","0.0"
"Israel","Antarctica","2015.0","Export","1.0","0.03","27.0","0.0"
"Israel","Antigua and Barbuda","2015.0","Export","17.0","0.56","503.0","0.0"
"Israel","Australia","2015.0","Export","782.0","25.77","530913.0","0.83"
"Israel","Austria","2015.0","Export","383.0","12.62","73431.0","0.11"
"Israel","Azerbaijan","2015.0","Export","197.0","6.49","129557.0","0.2"
"Israel","Burundi","2015.0","Export","9.0","0.3","491.0","0.0"
"Israel","Belgium","2015.0","Export","868.0","28.61","2487201.0","3.88"
"Israel","Benin","2015.0","Export","16.0","0.53","510.0","0.0"
"Israel","Burkina Faso","2015.0","Export","28.0","0.92","873.0","0.0"
"Israel","Bangladesh","2015.0","Export","3.0","0.1","446.0","0.0"
"Israel","Bulgaria","2015.0","Export","315.0","10.38","88757.0","0.14"
"Israel","Bahamas, The","2015.0","Export","18.0","0.59","1299.0","0.0"
"Israel","Bosnia and Herzegovina","2015.0","Export","51.0","1.68","989.0","0.0"
"Israel","Belarus","2015.0","Export","136.0","4.48","21100.0","0.03"
"Israel","Belize","2015.0","Export","16.0","0.53","2153.0","0.0"
"Israel","Bermuda","2015.0","Export","8.0","0.26","141.0","0.0"
"Israel","Bolivia","2015.0","Export","79.0","2.6","7662.0","0.01"
"Israel","Brazil","2015.0","Export","614.0","20.24","737459.0","1.15"
"Israel","Barbados","2015.0","Export","40.0","1.32","2287.0","0.0"
"Israel","Brunei","2015.0","Export","8.0","0.26","68.0","0.0"
"Israel","Bhutan","2015.0","Export","3.0","0.1","558.0","0.0"
"Israel","Botswana","2015.0","Export","51.0","1.68","59816.0","0.09"
"Israel","Central African Republic","2015.0","Export","9.0","0.3","2919.0","0.0"
"Israel","Canada","2015.0","Export","807.0","26.6","556334.0","0.87"
"Israel","Switzerland","2015.0","Export","648.0","21.36","1495381.0","2.33"
"Israel","Chile","2015.0","Export","395.0","13.02","141450.0","0.22"
"Israel","China","2015.0","Export","887.0","29.24","3251439.0","5.08"
"Israel","Cote d'Ivoire","2015.0","Export","78.0","2.57","10052.0","0.02"
"Israel","Cameroon","2015.0","Export","100.0","3.3","8436.0","0.01"
"Israel","Congo, Rep.","2015.0","Export","139.0","4.58","9502.0","0.01"
"Israel","Colombia","2015.0","Export","345.0","11.37","134082.0","0.21"
"Israel","Cape Verde","2015.0","Export","2.0","0.07","151.0","0.0"
"Israel","Costa Rica","2015.0","Export","198.0","6.53","40774.0","0.06"
"Israel","Cuba","2015.0","Export","61.0","2.01","23473.0","0.04"
"Israel","Curaçao","2015.0","Export","26.0","0.86","11187.0","0.02"
"Israel","Cayman Islands","2015.0","Export","10.0","0.33","300.0","0.0"
"Israel","Cyprus","2015.0","Export","516.0","17.01","418394.0","0.65"
"Israel","Czech Republic","2015.0","Export","461.0","15.19","126911.0","0.2"
"Israel","Germany","2015.0","Export","1188.0","39.16","1440448.0","2.25"
"Israel","Djibouti","2015.0","Export","61.0","2.01","13311.0","0.02"
