"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Italy","Aruba","2015.0","Export","243.0","5.44","8572.89","0.0"
"Italy","Afghanistan","2015.0","Export","159.0","3.56","8840.5","0.0"
"Italy","Angola","2015.0","Export","1003.0","22.45","285807.26","0.06"
"Italy","Anguila","2015.0","Export","51.0","1.14","1210.54","0.0"
"Italy","Albania","2015.0","Export","2661.0","59.56","1432827.7","0.31"
"Italy","Andorra","2015.0","Export","380.0","8.5","16458.74","0.0"
"Italy","United Arab Emirates","2015.0","Export","2897.0","64.84","6843970.97","1.5"
"Italy","Argentina","2015.0","Export","1956.0","43.78","1177612.78","0.26"
"Italy","Armenia","2015.0","Export","1048.0","23.46","120213.6","0.03"
"Italy","American Samoa","2015.0","Export","13.0","0.29","469.95","0.0"
"Italy","Fr. So. Ant. Tr","2015.0","Export","1.0","0.02","1.14","0.0"
"Italy","Antigua and Barbuda","2015.0","Export","211.0","4.72","6104.59","0.0"
"Italy","Australia","2015.0","Export","2680.0","59.98","3960456.56","0.87"
"Italy","Austria","2015.0","Export","3907.0","87.44","9517082.01","2.08"
"Italy","Azerbaijan","2015.0","Export","1448.0","32.41","730257.16","0.16"
"Italy","Burundi","2015.0","Export","97.0","2.17","3383.08","0.0"
"Italy","Belgium","2015.0","Export","3768.0","84.33","14986806.91","3.28"
"Italy","Benin","2015.0","Export","409.0","9.15","70920.77","0.02"
"Italy","Bonaire","2015.0","Export","30.0","0.67","416.79","0.0"
"Italy","Burkina Faso","2015.0","Export","457.0","10.23","66458.15","0.01"
"Italy","Bangladesh","2015.0","Export","1075.0","24.06","524468.59","0.11"
"Italy","Bulgaria","2015.0","Export","3524.0","78.87","2222490.75","0.49"
"Italy","Bahrain","2015.0","Export","1405.0","31.45","224493.99","0.05"
"Italy","Bahamas, The","2015.0","Export","300.0","6.71","88816.11","0.02"
"Italy","Bosnia and Herzegovina","2015.0","Export","2063.0","46.17","705956.5","0.15"
"Italy","Saint Barthélemy","2015.0","Export","168.0","3.76","2908.28","0.0"
"Italy","Belarus","2015.0","Export","1463.0","32.74","417670.97","0.09"
"Italy","Belize","2015.0","Export","125.0","2.8","34262.26","0.01"
"Italy","Bermuda","2015.0","Export","194.0","4.34","8080.17","0.0"
"Italy","Bolivia","2015.0","Export","812.0","18.17","118653.13","0.03"
"Italy","Brazil","2015.0","Export","2651.0","59.33","4288710.28","0.94"
"Italy","Barbados","2015.0","Export","194.0","4.34","8133.26","0.0"
"Italy","Brunei","2015.0","Export","249.0","5.57","52853.77","0.01"
"Italy","Bhutan","2015.0","Export","48.0","1.07","3328.18","0.0"
"Italy","Bunkers","2015.0","Export","12.0","0.27","1360413.29","0.3"
"Italy","Botswana","2015.0","Export","105.0","2.35","5876.94","0.0"
"Italy","Central African Republic","2015.0","Export","93.0","2.08","20782.54","0.0"
"Italy","Canada","2015.0","Export","2627.0","58.8","4078509.15","0.89"
"Italy","Cocos (Keeling) Islands","2015.0","Export","5.0","0.11","70.4","0.0"
"Italy","Switzerland","2015.0","Export","3832.0","85.77","21331140.71","4.67"
"Italy","Chile","2015.0","Export","2051.0","45.9","1065059.44","0.23"
"Italy","China","2015.0","Export","3102.0","69.43","11542517.82","2.53"
"Italy","Cote d'Ivoire","2015.0","Export","1147.0","25.67","356880.0","0.08"
"Italy","Cameroon","2015.0","Export","879.0","19.67","108953.68","0.02"
"Italy","Congo, Rep.","2015.0","Export","981.0","21.96","212144.3","0.05"
"Italy","Cook Islands","2015.0","Export","7.0","0.16","2748.17","0.0"
"Italy","Colombia","2015.0","Export","1890.0","42.3","710173.95","0.16"
"Italy","Comoros","2015.0","Export","34.0","0.76","742.86","0.0"
"Italy","Cape Verde","2015.0","Export","357.0","7.99","8928.54","0.0"
"Italy","Costa Rica","2015.0","Export","1057.0","23.66","151628.48","0.03"
"Italy","Cuba","2015.0","Export","1155.0","25.85","367607.79","0.08"
"Italy","Curaçao","2015.0","Export","181.0","4.05","6905.94","0.0"
"Italy","Christmas Island","2015.0","Export","","","",""
"Italy","Cayman Islands","2015.0","Export","132.0","2.95","210805.08","0.05"
"Italy","Cyprus","2015.0","Export","2733.0","61.17","556323.24","0.12"
"Italy","Czech Republic","2015.0","Export","3730.0","83.48","5602072.87","1.23"
"Italy","Germany","2015.0","Export","4190.0","93.78","56269734.9","12.31"
"Italy","Djibouti","2015.0","Export","415.0","9.29","38834.54","0.01"
"Italy","Dominica","2015.0","Export","45.0","1.01","718.62","0.0"
"Italy","Denmark","2015.0","Export","3146.0","70.41","2851726.52","0.62"
"Italy","Dominican Republic","2015.0","Export","1270.0","28.42","279817.51","0.06"
"Italy","Algeria","2015.0","Export","2003.0","44.83","4596284.01","1.01"
"Italy","East Asia & Pacific","2015.0","Export","3840.0","85.94","41806479.65","9.15"
"Italy","Europe & Central Asia","2015.0","Export","4455.0","99.71","298718278.04","65.37"
"Italy","Ecuador","2015.0","Export","1184.0","26.5","294216.72","0.06"
"Italy","Egypt, Arab Rep.","2015.0","Export","2664.0","59.62","3270719.96","0.72"
"Italy","Eritrea","2015.0","Export","243.0","5.44","19319.46","0.0"
"Italy","Spain","2015.0","Export","4125.0","92.32","21905397.89","4.79"
"Italy","Estonia","2015.0","Export","2697.0","60.36","427172.01","0.09"
"Italy","Ethiopia(excludes Eritrea)","2015.0","Export","1203.0","26.92","340202.21","0.07"
"Italy","Finland","2015.0","Export","2929.0","65.56","1590491.72","0.35"
"Italy","Fiji","2015.0","Export","193.0","4.32","8099.06","0.0"
"Italy","Falkland Island","2015.0","Export","7.0","0.16","421.56","0.0"
"Italy","France","2015.0","Export","4240.0","94.9","47291433.85","10.35"
"Italy","Faeroe Islands","2015.0","Export","101.0","2.26","14632.66","0.0"
"Italy","Micronesia, Fed. Sts.","2015.0","Export","3.0","0.07","18.53","0.0"
"Italy","Gabon","2015.0","Export","616.0","13.79","71292.32","0.02"
"Italy","United Kingdom","2015.0","Export","3930.0","87.96","24783069.1","5.42"
"Italy","Georgia","2015.0","Export","1256.0","28.11","193081.84","0.04"
"Italy","Ghana","2015.0","Export","1051.0","23.52","226219.7","0.05"
"Italy","Gibraltar","2015.0","Export","135.0","3.02","1169370.14","0.26"
"Italy","Guinea","2015.0","Export","307.0","6.87","62085.43","0.01"
"Italy","Gambia, The","2015.0","Export","158.0","3.54","6081.98","0.0"
"Italy","Guinea-Bissau","2015.0","Export","105.0","2.35","1567.19","0.0"
"Italy","Equatorial Guinea","2015.0","Export","373.0","8.35","44736.5","0.01"
"Italy","Greece","2015.0","Export","3867.0","86.55","4115565.8","0.9"
"Italy","Grenada","2015.0","Export","85.0","1.9","1693.77","0.0"
"Italy","Greenland","2015.0","Export","43.0","0.96","359.49","0.0"
"Italy","Guatemala","2015.0","Export","972.0","21.75","115151.92","0.03"
"Italy","Guam","2015.0","Export","114.0","2.55","8590.75","0.0"
"Italy","Guyana","2015.0","Export","145.0","3.25","6128.97","0.0"
"Italy","Hong Kong, China","2015.0","Export","2711.0","60.68","6546676.97","1.43"
"Italy","Honduras","2015.0","Export","584.0","13.07","67519.0","0.01"
"Italy","Croatia","2015.0","Export","3717.0","83.19","2886758.59","0.63"
"Italy","Haiti","2015.0","Export","226.0","5.06","14491.94","0.0"
"Italy","Hungary","2015.0","Export","3622.0","81.07","4582659.58","1.0"
"Italy","Indonesia","2015.0","Export","1854.0","41.5","1226809.35","0.27"
"Italy","India","2015.0","Export","2698.0","60.38","3712029.54","0.81"
"Italy","British Indian Ocean Ter.","2015.0","Export","","","",""
"Italy","Ireland","2015.0","Export","2783.0","62.29","1392840.3","0.3"
"Italy","Iran, Islamic Rep.","2015.0","Export","1938.0","43.38","1324999.86","0.29"
"Italy","Iraq","2015.0","Export","1183.0","26.48","1013530.49","0.22"
"Italy","Iceland","2015.0","Export","1002.0","22.43","123781.61","0.03"
"Italy","Israel","2015.0","Export","2698.0","60.38","2728750.32","0.6"
"Italy","Jamaica","2015.0","Export","244.0","5.46","24655.44","0.01"
"Italy","Jordan","2015.0","Export","1796.0","40.2","738495.6","0.16"
"Italy","Japan","2015.0","Export","2712.0","60.7","6104324.83","1.34"
"Italy","Kazakhstan","2015.0","Export","1663.0","37.22","862673.64","0.19"
"Italy","Kenya","2015.0","Export","1106.0","24.75","225125.24","0.05"
"Italy","Kyrgyz Republic","2015.0","Export","440.0","9.85","22600.06","0.0"
"Italy","Cambodia","2015.0","Export","424.0","9.49","60636.74","0.01"
"Italy","Kiribati","2015.0","Export","3.0","0.07","10.05","0.0"
"Italy","St. Kitts and Nevis","2015.0","Export","23.0","0.51","17115.91","0.0"
"Italy","Korea, Rep.","2015.0","Export","2711.0","60.68","4987384.74","1.09"
"Italy","Kuwait","2015.0","Export","1798.0","40.24","857569.24","0.19"
"Italy","Lao PDR","2015.0","Export","140.0","3.13","9888.72","0.0"
"Italy","Lebanon","2015.0","Export","2356.0","52.73","1316309.61","0.29"
"Italy","Liberia","2015.0","Export","195.0","4.36","18656.89","0.0"
"Italy","Libya","2015.0","Export","1472.0","32.95","1649055.09","0.36"
"Italy","St. Lucia","2015.0","Export","118.0","2.64","2106.27","0.0"
"Italy","Latin America & Caribbean","2015.0","Export","3523.0","78.85","15027829.63","3.29"
"Italy","Sri Lanka","2015.0","Export","1058.0","23.68","206344.36","0.05"
"Italy","Lesotho","2015.0","Export","22.0","0.49","724.13","0.0"
"Italy","Lithuania","2015.0","Export","2961.0","66.27","857647.81","0.19"
"Italy","Luxembourg","2015.0","Export","2414.0","54.03","580546.98","0.13"
"Italy","Latvia","2015.0","Export","2756.0","61.68","510541.55","0.11"
"Italy","Macao","2015.0","Export","653.0","14.62","180866.61","0.04"
"Italy","Morocco","2015.0","Export","2567.0","57.45","1627712.62","0.36"
"Italy","Moldova","2015.0","Export","1588.0","35.54","220260.89","0.05"
"Italy","Madagascar","2015.0","Export","619.0","13.85","31950.39","0.01"
"Italy","Maldives","2015.0","Export","514.0","11.5","25985.73","0.01"
"Italy","Middle East & North Africa","2015.0","Export","4150.0","92.88","39064856.61","8.55"
"Italy","Mexico","2015.0","Export","2615.0","58.53","3859604.16","0.84"
"Italy","Marshall Islands","2015.0","Export","23.0","0.51","32022.73","0.01"
"Italy","Macedonia, FYR","2015.0","Export","1689.0","37.8","278659.33","0.06"
"Italy","Mali","2015.0","Export","404.0","9.04","86174.04","0.02"
"Italy","Malta","2015.0","Export","3323.0","74.37","1768254.74","0.39"
"Italy","Myanmar","2015.0","Export","483.0","10.81","77892.39","0.02"
"Italy","Mongolia","2015.0","Export","529.0","11.84","28666.78","0.01"
"Italy","Northern Mariana Islands","2015.0","Export","15.0","0.34","2670.53","0.0"
"Italy","Montenegro","2015.0","Export","1246.0","27.89","135136.16","0.03"
"Italy","Mozambique","2015.0","Export","560.0","12.53","59575.0","0.01"
"Italy","Mauritania","2015.0","Export","279.0","6.24","29424.46","0.01"
"Italy","Montserrat","2015.0","Export","13.0","0.29","1845.7","0.0"
"Italy","Mauritius","2015.0","Export","1032.0","23.1","85887.74","0.02"
"Italy","Malawi","2015.0","Export","139.0","3.11","14100.92","0.0"
"Italy","Malaysia","2015.0","Export","1966.0","44.0","1060601.0","0.23"
