"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Jamaica","Aruba","2015.0","Export","26.0","2.01","1076.58","0.09"
"Jamaica","Anguila","2015.0","Export","39.0","3.01","220.42","0.02"
"Jamaica","Albania","2015.0","Export","","","",""
"Jamaica","United Arab Emirates","2015.0","Export","13.0","1.0","24229.79","1.92"
"Jamaica","Argentina","2015.0","Export","","","",""
"Jamaica","Antigua and Barbuda","2015.0","Export","172.0","13.27","3923.32","0.31"
"Jamaica","Australia","2015.0","Export","15.0","1.16","705.09","0.06"
"Jamaica","Austria","2015.0","Export","5.0","0.39","39.18","0.0"
"Jamaica","Azerbaijan","2015.0","Export","1.0","0.08","0.1","0.0"
"Jamaica","Belgium","2015.0","Export","18.0","1.39","1145.48","0.09"
"Jamaica","Bonaire","2015.0","Export","2.0","0.15","12.52","0.0"
"Jamaica","Bangladesh","2015.0","Export","","","",""
"Jamaica","Bulgaria","2015.0","Export","1.0","0.08","1.48","0.0"
"Jamaica","Bahamas, The","2015.0","Export","140.0","10.8","1714.91","0.14"
"Jamaica","Belize","2015.0","Export","53.0","4.09","2962.63","0.23"
"Jamaica","Bermuda","2015.0","Export","44.0","3.4","2122.67","0.17"
"Jamaica","Bolivia","2015.0","Export","","","",""
"Jamaica","Brazil","2015.0","Export","7.0","0.54","1515.91","0.12"
"Jamaica","Barbados","2015.0","Export","239.0","18.44","7079.23","0.56"
"Jamaica","Canada","2015.0","Export","181.0","13.97","182458.13","14.45"
"Jamaica","Switzerland","2015.0","Export","9.0","0.69","548.74","0.04"
"Jamaica","Chile","2015.0","Export","4.0","0.31","142.21","0.01"
"Jamaica","China","2015.0","Export","40.0","3.09","28625.7","2.27"
"Jamaica","Cote d'Ivoire","2015.0","Export","","","",""
"Jamaica","Cameroon","2015.0","Export","","","",""
"Jamaica","Colombia","2015.0","Export","18.0","1.39","1293.09","0.1"
"Jamaica","Costa Rica","2015.0","Export","18.0","1.39","2097.81","0.17"
