"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Jordan","Aruba","2015.0","Export","","","",""
"Jordan","Afghanistan","2015.0","Export","11.0","0.51","1470.79","0.02"
"Jordan","Angola","2015.0","Export","13.0","0.6","1324.43","0.02"
"Jordan","Albania","2015.0","Export","4.0","0.19","388.21","0.01"
"Jordan","United Arab Emirates","2015.0","Export","597.0","27.73","376326.36","4.8"
"Jordan","Argentina","2015.0","Export","4.0","0.19","7616.19","0.1"
"Jordan","Armenia","2015.0","Export","3.0","0.14","83.97","0.0"
"Jordan","Australia","2015.0","Export","43.0","2.0","13597.06","0.17"
"Jordan","Austria","2015.0","Export","18.0","0.84","1456.85","0.02"
"Jordan","Azerbaijan","2015.0","Export","5.0","0.23","602.44","0.01"
"Jordan","Belgium","2015.0","Export","40.0","1.86","1786.73","0.02"
"Jordan","Benin","2015.0","Export","2.0","0.09","144.0","0.0"
"Jordan","Burkina Faso","2015.0","Export","1.0","0.05","53.69","0.0"
"Jordan","Bangladesh","2015.0","Export","13.0","0.6","33532.62","0.43"
"Jordan","Bulgaria","2015.0","Export","6.0","0.28","16528.37","0.21"
"Jordan","Bahrain","2015.0","Export","164.0","7.62","65667.12","0.84"
"Jordan","Bosnia and Herzegovina","2015.0","Export","4.0","0.19","478.38","0.01"
"Jordan","Belarus","2015.0","Export","2.0","0.09","237.65","0.0"
"Jordan","Bolivia","2015.0","Export","1.0","0.05","198.41","0.0"
"Jordan","Brazil","2015.0","Export","4.0","0.19","256.93","0.0"
"Jordan","Brunei","2015.0","Export","4.0","0.19","192.37","0.0"
"Jordan","Canada","2015.0","Export","49.0","2.28","54354.49","0.69"
"Jordan","Switzerland","2015.0","Export","26.0","1.21","3743.96","0.05"
"Jordan","Chile","2015.0","Export","9.0","0.42","1262.41","0.02"
"Jordan","China","2015.0","Export","94.0","4.37","215510.01","2.75"
"Jordan","Cote d'Ivoire","2015.0","Export","10.0","0.46","678.58","0.01"
"Jordan","Cameroon","2015.0","Export","7.0","0.33","498.25","0.01"
"Jordan","Congo, Rep.","2015.0","Export","8.0","0.37","377.21","0.0"
"Jordan","Colombia","2015.0","Export","3.0","0.14","52.12","0.0"
"Jordan","Comoros","2015.0","Export","1.0","0.05","4.06","0.0"
"Jordan","Costa Rica","2015.0","Export","1.0","0.05","7.89","0.0"
"Jordan","Cuba","2015.0","Export","","","",""
"Jordan","Cyprus","2015.0","Export","22.0","1.02","1486.7","0.02"
"Jordan","Czech Republic","2015.0","Export","7.0","0.33","152.38","0.0"
"Jordan","Germany","2015.0","Export","113.0","5.25","13329.07","0.17"
"Jordan","Djibouti","2015.0","Export","11.0","0.51","1135.86","0.01"
"Jordan","Denmark","2015.0","Export","22.0","1.02","1042.49","0.01"
"Jordan","Dominican Republic","2015.0","Export","4.0","0.19","431.17","0.01"
"Jordan","Algeria","2015.0","Export","77.0","3.58","88860.17","1.13"
"Jordan","East Asia & Pacific","2015.0","Export","244.0","11.33","510501.98","6.52"
"Jordan","Europe & Central Asia","2015.0","Export","467.0","21.69","361006.75","4.61"
"Jordan","Ecuador","2015.0","Export","2.0","0.09","23.94","0.0"
"Jordan","Egypt, Arab Rep.","2015.0","Export","272.0","12.63","108314.28","1.38"
"Jordan","Eritrea","2015.0","Export","3.0","0.14","184.51","0.0"
"Jordan","Spain","2015.0","Export","45.0","2.09","16044.27","0.2"
"Jordan","Estonia","2015.0","Export","2.0","0.09","112.1","0.0"
"Jordan","Ethiopia(excludes Eritrea)","2015.0","Export","21.0","0.98","3835.71","0.05"
"Jordan","Finland","2015.0","Export","6.0","0.28","81.7","0.0"
"Jordan","France","2015.0","Export","67.0","3.11","11700.4","0.15"
