"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Japan","Afghanistan","2015.0","Export","167.0","3.96","25105.87","0.0"
"Japan","Angola","2015.0","Export","394.0","9.35","82692.17","0.01"
"Japan","Anguila","2015.0","Export","13.0","0.31","2919.8","0.0"
"Japan","Albania","2015.0","Export","29.0","0.69","1265.57","0.0"
"Japan","Andorra","2015.0","Export","6.0","0.14","254.74","0.0"
"Japan","United Arab Emirates","2015.0","Export","1649.0","39.14","8694615.07","1.39"
"Japan","Argentina","2015.0","Export","841.0","19.96","799349.31","0.13"
"Japan","Armenia","2015.0","Export","59.0","1.4","9018.65","0.0"
"Japan","American Samoa","2015.0","Export","20.0","0.47","1152.84","0.0"
"Japan","Antarctica","2015.0","Export","2.0","0.05","5.79","0.0"
"Japan","Antigua and Barbuda","2015.0","Export","43.0","1.02","12914.26","0.0"
"Japan","Australia","2015.0","Export","2040.0","48.42","12849843.79","2.06"
"Japan","Austria","2015.0","Export","791.0","18.78","1033791.04","0.17"
"Japan","Azerbaijan","2015.0","Export","185.0","4.39","73151.81","0.01"
"Japan","Burundi","2015.0","Export","27.0","0.64","5050.81","0.0"
"Japan","Belgium","2015.0","Export","1456.0","34.56","5120955.92","0.82"
"Japan","Benin","2015.0","Export","38.0","0.9","9193.03","0.0"
"Japan","Burkina Faso","2015.0","Export","41.0","0.97","13639.48","0.0"
"Japan","Bangladesh","2015.0","Export","1094.0","25.97","1374424.2","0.22"
"Japan","Bulgaria","2015.0","Export","366.0","8.69","66008.73","0.01"
"Japan","Bahrain","2015.0","Export","529.0","12.56","886969.41","0.14"
"Japan","Bahamas, The","2015.0","Export","162.0","3.85","1009248.54","0.16"
"Japan","Bosnia and Herzegovina","2015.0","Export","55.0","1.31","7614.02","0.0"
"Japan","Belarus","2015.0","Export","155.0","3.68","15426.95","0.0"
"Japan","Belize","2015.0","Export","31.0","0.74","5014.52","0.0"
"Japan","Bermuda","2015.0","Export","60.0","1.42","56728.71","0.01"
"Japan","Bolivia","2015.0","Export","305.0","7.24","220525.87","0.04"
"Japan","Brazil","2015.0","Export","1512.0","35.89","3930772.15","0.63"
"Japan","Barbados","2015.0","Export","103.0","2.44","25891.16","0.0"
"Japan","Brunei","2015.0","Export","293.0","6.95","120289.84","0.02"
"Japan","Bhutan","2015.0","Export","104.0","2.47","15436.86","0.0"
"Japan","Botswana","2015.0","Export","52.0","1.23","32284.1","0.01"
"Japan","Central African Republic","2015.0","Export","30.0","0.71","5935.93","0.0"
"Japan","Canada","2015.0","Export","1740.0","41.3","7735540.46","1.24"
"Japan","Switzerland","2015.0","Export","1252.0","29.72","2700170.65","0.43"
"Japan","Chile","2015.0","Export","813.0","19.3","1671691.75","0.27"
"Japan","China","2015.0","Export","3569.0","84.71","109277767.0","17.49"
"Japan","Cote d'Ivoire","2015.0","Export","176.0","4.18","54535.39","0.01"
"Japan","Cameroon","2015.0","Export","164.0","3.89","26038.29","0.0"
"Japan","Congo, Rep.","2015.0","Export","63.0","1.5","10673.45","0.0"
"Japan","Cook Islands","2015.0","Export","27.0","0.64","2917.67","0.0"
"Japan","Colombia","2015.0","Export","676.0","16.05","965876.26","0.15"
"Japan","Comoros","2015.0","Export","21.0","0.5","2180.16","0.0"
"Japan","Cape Verde","2015.0","Export","24.0","0.57","4131.58","0.0"
"Japan","Costa Rica","2015.0","Export","358.0","8.5","308524.41","0.05"
"Japan","Cuba","2015.0","Export","241.0","5.72","35882.25","0.01"
"Japan","Curaçao","2015.0","Export","127.0","3.01","23049.47","0.0"
"Japan","Cayman Islands","2015.0","Export","66.0","1.57","107863.11","0.02"
"Japan","Cyprus","2015.0","Export","205.0","4.87","266956.96","0.04"
"Japan","Czech Republic","2015.0","Export","897.0","21.29","1061935.04","0.17"
"Japan","Germany","2015.0","Export","2261.0","53.67","16236970.95","2.6"
"Japan","Djibouti","2015.0","Export","177.0","4.2","51355.12","0.01"
"Japan","Dominica","2015.0","Export","53.0","1.26","4786.16","0.0"
"Japan","Denmark","2015.0","Export","776.0","18.42","425198.53","0.07"
"Japan","Dominican Republic","2015.0","Export","319.0","7.57","238128.47","0.04"
"Japan","Algeria","2015.0","Export","335.0","7.95","247912.7","0.04"
"Japan","East Asia & Pacific","2015.0","Export","4130.0","98.03","301215691.09","48.2"
"Japan","Europe & Central Asia","2015.0","Export","3277.0","77.78","77673172.7","12.43"
"Japan","Ecuador","2015.0","Export","477.0","11.32","424391.54","0.07"
"Japan","Egypt, Arab Rep.","2015.0","Export","884.0","20.98","1284356.99","0.21"
"Japan","Eritrea","2015.0","Export","28.0","0.66","850.93","0.0"
"Japan","Western Sahara","2015.0","Export","9.0","0.21","348.85","0.0"
"Japan","Spain","2015.0","Export","1362.0","32.33","2384262.36","0.38"
"Japan","Estonia","2015.0","Export","332.0","7.88","95851.22","0.02"
"Japan","Ethiopia(excludes Eritrea)","2015.0","Export","267.0","6.34","126300.33","0.02"
"Japan","Finland","2015.0","Export","738.0","17.52","357741.82","0.06"
"Japan","Fiji","2015.0","Export","209.0","4.96","61935.09","0.01"
"Japan","Falkland Island","2015.0","Export","5.0","0.12","78.58","0.0"
"Japan","France","2015.0","Export","1971.0","46.78","5260895.42","0.84"
"Japan","Micronesia, Fed. Sts.","2015.0","Export","158.0","3.75","21151.91","0.0"
"Japan","Gabon","2015.0","Export","106.0","2.52","36137.08","0.01"
"Japan","United Kingdom","2015.0","Export","2097.0","49.77","10740097.38","1.72"
"Japan","Georgia","2015.0","Export","143.0","3.39","135093.07","0.02"
"Japan","Ghana","2015.0","Export","251.0","5.96","105469.8","0.02"
"Japan","Gibraltar","2015.0","Export","69.0","1.64","78103.91","0.01"
"Japan","Guinea","2015.0","Export","63.0","1.5","11303.09","0.0"
