"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Kazakhstan","Afghanistan","2015.0","Export","124.0","4.56","372434.17","0.81"
"Kazakhstan","Angola","2015.0","Export","10.0","0.37","32.07","0.0"
"Kazakhstan","Anguila","2015.0","Export","","","",""
"Kazakhstan","Albania","2015.0","Export","","","",""
"Kazakhstan","Andorra","2015.0","Export","","","",""
"Kazakhstan","United Arab Emirates","2015.0","Export","415.0","15.27","42474.75","0.09"
"Kazakhstan","Argentina","2015.0","Export","5.0","0.18","5086.88","0.01"
"Kazakhstan","Armenia","2015.0","Export","11.0","0.4","716.42","0.0"
"Kazakhstan","Antigua and Barbuda","2015.0","Export","","","",""
"Kazakhstan","Australia","2015.0","Export","58.0","2.13","7054.85","0.02"
"Kazakhstan","Austria","2015.0","Export","59.0","2.17","423542.81","0.92"
"Kazakhstan","Azerbaijan","2015.0","Export","248.0","9.12","109800.85","0.24"
"Kazakhstan","Burundi","2015.0","Export","","","",""
"Kazakhstan","Belgium","2015.0","Export","218.0","8.02","101633.87","0.22"
"Kazakhstan","Benin","2015.0","Export","1.0","0.04","1749.36","0.0"
"Kazakhstan","Bangladesh","2015.0","Export","1.0","0.04","86.48","0.0"
"Kazakhstan","Bulgaria","2015.0","Export","65.0","2.39","80017.16","0.17"
"Kazakhstan","Bahrain","2015.0","Export","61.0","2.24","4.38","0.0"
"Kazakhstan","Bahamas, The","2015.0","Export","","","",""
"Kazakhstan","Bosnia and Herzegovina","2015.0","Export","","","",""
"Kazakhstan","Belarus","2015.0","Export","187.0","6.88","53433.63","0.12"
"Kazakhstan","Belize","2015.0","Export","","","",""
"Kazakhstan","Bermuda","2015.0","Export","","","",""
"Kazakhstan","Bolivia","2015.0","Export","3.0","0.11","4.79","0.0"
"Kazakhstan","Brazil","2015.0","Export","13.0","0.48","58900.36","0.13"
"Kazakhstan","Barbados","2015.0","Export","","","",""
"Kazakhstan","Brunei","2015.0","Export","4.0","0.15","7.69","0.0"
"Kazakhstan","Bhutan","2015.0","Export","","","",""
"Kazakhstan","Canada","2015.0","Export","136.0","5.0","257322.67","0.56"
"Kazakhstan","Switzerland","2015.0","Export","139.0","5.11","2659306.37","5.79"
"Kazakhstan","Chile","2015.0","Export","2.0","0.07","828.35","0.0"
"Kazakhstan","China","2015.0","Export","520.0","19.13","5480137.49","11.93"
"Kazakhstan","Cote d'Ivoire","2015.0","Export","4.0","0.15","120.65","0.0"
"Kazakhstan","Cameroon","2015.0","Export","","","",""
"Kazakhstan","Congo, Rep.","2015.0","Export","17.0","0.63","170.88","0.0"
"Kazakhstan","Colombia","2015.0","Export","18.0","0.66","512.41","0.0"
"Kazakhstan","Cape Verde","2015.0","Export","","","",""
"Kazakhstan","Costa Rica","2015.0","Export","","","",""
"Kazakhstan","Cuba","2015.0","Export","","","",""
"Kazakhstan","Cayman Islands","2015.0","Export","","","",""
"Kazakhstan","Cyprus","2015.0","Export","2.0","0.07","247.08","0.0"
"Kazakhstan","Czech Republic","2015.0","Export","89.0","3.27","90722.02","0.2"
"Kazakhstan","Germany","2015.0","Export","517.0","19.02","342607.01","0.75"
"Kazakhstan","Djibouti","2015.0","Export","","","",""
"Kazakhstan","Dominica","2015.0","Export","","","",""
"Kazakhstan","Denmark","2015.0","Export","23.0","0.85","40433.46","0.09"
"Kazakhstan","Dominican Republic","2015.0","Export","","","",""
"Kazakhstan","Algeria","2015.0","Export","13.0","0.48","39.35","0.0"
"Kazakhstan","East Asia & Pacific","2015.0","Export","817.0","30.06","7343607.85","15.98"
"Kazakhstan","Europe & Central Asia","2015.0","Export","2595.0","95.47","35752550.45","77.8"
"Kazakhstan","Ecuador","2015.0","Export","114.0","4.19","66.22","0.0"
"Kazakhstan","Egypt, Arab Rep.","2015.0","Export","37.0","1.36","13794.85","0.03"
"Kazakhstan","Western Sahara","2015.0","Export","","","",""
"Kazakhstan","Spain","2015.0","Export","204.0","7.51","1219114.76","2.65"
"Kazakhstan","Estonia","2015.0","Export","21.0","0.77","14996.11","0.03"
"Kazakhstan","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Kazakhstan","Finland","2015.0","Export","50.0","1.84","287636.71","0.63"
"Kazakhstan","Fiji","2015.0","Export","","","",""
"Kazakhstan","France","2015.0","Export","391.0","14.39","2681283.15","5.83"
"Kazakhstan","Faeroe Islands","2015.0","Export","","","",""
"Kazakhstan","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Kazakhstan","Gabon","2015.0","Export","5.0","0.18","186.5","0.0"
"Kazakhstan","United Kingdom","2015.0","Export","517.0","19.02","828820.22","1.8"
"Kazakhstan","Georgia","2015.0","Export","228.0","8.39","23782.9","0.05"
"Kazakhstan","Ghana","2015.0","Export","6.0","0.22","20.73","0.0"
"Kazakhstan","Guinea","2015.0","Export","1.0","0.04","27.02","0.0"
"Kazakhstan","Gambia, The","2015.0","Export","","","",""
"Kazakhstan","Equatorial Guinea","2015.0","Export","","","",""
"Kazakhstan","Greece","2015.0","Export","9.0","0.33","1259945.53","2.74"
"Kazakhstan","Grenada","2015.0","Export","","","",""
"Kazakhstan","Guatemala","2015.0","Export","","","",""
"Kazakhstan","Guyana","2015.0","Export","","","",""
"Kazakhstan","Hong Kong, China","2015.0","Export","55.0","2.02","17307.91","0.04"
"Kazakhstan","Honduras","2015.0","Export","","","",""
"Kazakhstan","Croatia","2015.0","Export","9.0","0.33","134800.9","0.29"
"Kazakhstan","Haiti","2015.0","Export","","","",""
"Kazakhstan","Hungary","2015.0","Export","75.0","2.76","19653.9","0.04"
"Kazakhstan","Indonesia","2015.0","Export","19.0","0.7","18850.88","0.04"
"Kazakhstan","India","2015.0","Export","120.0","4.42","220079.56","0.48"
"Kazakhstan","Ireland","2015.0","Export","7.0","0.26","824.64","0.0"
"Kazakhstan","Iran, Islamic Rep.","2015.0","Export","120.0","4.42","565791.94","1.23"
"Kazakhstan","Iraq","2015.0","Export","29.0","1.07","9736.51","0.02"
"Kazakhstan","Iceland","2015.0","Export","","","",""
"Kazakhstan","Israel","2015.0","Export","33.0","1.21","219085.54","0.48"
"Kazakhstan","Italy","2015.0","Export","361.0","13.28","8136263.75","17.71"
"Kazakhstan","Jamaica","2015.0","Export","","","",""
"Kazakhstan","Jordan","2015.0","Export","14.0","0.52","14.84","0.0"
"Kazakhstan","Japan","2015.0","Export","81.0","2.98","858553.58","1.87"
"Kazakhstan","Kenya","2015.0","Export","3.0","0.11","6.6","0.0"
"Kazakhstan","Kyrgyz Republic","2015.0","Export","1163.0","42.79","517722.38","1.13"
"Kazakhstan","Cambodia","2015.0","Export","22.0","0.81","17.6","0.0"
"Kazakhstan","St. Kitts and Nevis","2015.0","Export","","","",""
"Kazakhstan","Korea, Rep.","2015.0","Export","166.0","6.11","769908.95","1.68"
"Kazakhstan","Kuwait","2015.0","Export","104.0","3.83","260.89","0.0"
"Kazakhstan","Lao PDR","2015.0","Export","1.0","0.04","18.82","0.0"
"Kazakhstan","Lebanon","2015.0","Export","18.0","0.66","1934.22","0.0"
"Kazakhstan","Liberia","2015.0","Export","","","",""
"Kazakhstan","Libya","2015.0","Export","1.0","0.04","0.36","0.0"
"Kazakhstan","St. Lucia","2015.0","Export","","","",""
"Kazakhstan","Latin America & Caribbean","2015.0","Export","157.0","5.78","68408.47","0.15"
"Kazakhstan","Sri Lanka","2015.0","Export","1.0","0.04","801.42","0.0"
"Kazakhstan","Lesotho","2015.0","Export","","","",""
"Kazakhstan","Lithuania","2015.0","Export","103.0","3.79","100599.78","0.22"
