"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Kyrgyz Republic","Afghanistan","2015.0","Export","47.0","3.04","8930.68","0.62"
"Kyrgyz Republic","Angola","2015.0","Export","1.0","0.06","2.66","0.0"
"Kyrgyz Republic","Albania","2015.0","Export","","","",""
"Kyrgyz Republic","United Arab Emirates","2015.0","Export","68.0","4.4","98969.9","6.87"
"Kyrgyz Republic","Argentina","2015.0","Export","","","",""
"Kyrgyz Republic","Armenia","2015.0","Export","4.0","0.26","169.92","0.01"
"Kyrgyz Republic","Australia","2015.0","Export","5.0","0.32","32.89","0.0"
"Kyrgyz Republic","Austria","2015.0","Export","16.0","1.04","92.09","0.01"
"Kyrgyz Republic","Azerbaijan","2015.0","Export","13.0","0.84","3802.82","0.26"
"Kyrgyz Republic","Belgium","2015.0","Export","94.0","6.08","22169.68","1.54"
"Kyrgyz Republic","Bangladesh","2015.0","Export","","","",""
"Kyrgyz Republic","Bulgaria","2015.0","Export","35.0","2.27","5475.14","0.38"
"Kyrgyz Republic","Bahrain","2015.0","Export","3.0","0.19","21.61","0.0"
"Kyrgyz Republic","Bahamas, The","2015.0","Export","","","",""
"Kyrgyz Republic","Bosnia and Herzegovina","2015.0","Export","2.0","0.13","270.55","0.02"
"Kyrgyz Republic","Belarus","2015.0","Export","16.0","1.04","13638.75","0.95"
"Kyrgyz Republic","Brazil","2015.0","Export","","","",""
"Kyrgyz Republic","Barbados","2015.0","Export","","","",""
"Kyrgyz Republic","Canada","2015.0","Export","28.0","1.81","224.72","0.02"
"Kyrgyz Republic","Switzerland","2015.0","Export","39.0","2.52","562113.61","39.0"
"Kyrgyz Republic","Chile","2015.0","Export","1.0","0.06","0.16","0.0"
"Kyrgyz Republic","China","2015.0","Export","200.0","12.95","35876.85","2.49"
"Kyrgyz Republic","Cote d'Ivoire","2015.0","Export","","","",""
"Kyrgyz Republic","Cameroon","2015.0","Export","","","",""
"Kyrgyz Republic","Congo, Rep.","2015.0","Export","","","",""
"Kyrgyz Republic","Colombia","2015.0","Export","","","",""
"Kyrgyz Republic","Costa Rica","2015.0","Export","","","",""
"Kyrgyz Republic","Cuba","2015.0","Export","","","",""
"Kyrgyz Republic","Cyprus","2015.0","Export","16.0","1.04","19.04","0.0"
"Kyrgyz Republic","Czech Republic","2015.0","Export","11.0","0.71","190.38","0.01"
"Kyrgyz Republic","Germany","2015.0","Export","212.0","13.72","7026.26","0.49"
"Kyrgyz Republic","Dominica","2015.0","Export","","","",""
"Kyrgyz Republic","Denmark","2015.0","Export","4.0","0.26","17.44","0.0"
"Kyrgyz Republic","Dominican Republic","2015.0","Export","","","",""
