"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cambodia","Aruba","2015.0","Export","1.0","0.09","3.85","0.0"
"Cambodia","Afghanistan","2015.0","Export","1.0","0.09","0.92","0.0"
"Cambodia","Angola","2015.0","Export","15.0","1.29","251.89","0.0"
"Cambodia","Albania","2015.0","Export","","","",""
"Cambodia","United Arab Emirates","2015.0","Export","104.0","8.93","62816.2","0.74"
"Cambodia","Argentina","2015.0","Export","38.0","3.26","7295.72","0.09"
"Cambodia","Armenia","2015.0","Export","1.0","0.09","0.8","0.0"
"Cambodia","American Samoa","2015.0","Export","1.0","0.09","29.02","0.0"
"Cambodia","Antigua and Barbuda","2015.0","Export","4.0","0.34","160.67","0.0"
"Cambodia","Australia","2015.0","Export","145.0","12.46","88320.83","1.03"
"Cambodia","Austria","2015.0","Export","58.0","4.98","22721.72","0.27"
"Cambodia","Azerbaijan","2015.0","Export","1.0","0.09","3.37","0.0"
"Cambodia","Burundi","2015.0","Export","","","",""
"Cambodia","Belgium","2015.0","Export","116.0","9.97","282473.8","3.31"
"Cambodia","Benin","2015.0","Export","2.0","0.17","405.91","0.0"
"Cambodia","Burkina Faso","2015.0","Export","1.0","0.09","50.88","0.0"
"Cambodia","Bangladesh","2015.0","Export","32.0","2.75","1403.6","0.02"
"Cambodia","Bulgaria","2015.0","Export","13.0","1.12","3720.32","0.04"
"Cambodia","Bahrain","2015.0","Export","6.0","0.52","91.89","0.0"
"Cambodia","Bahamas, The","2015.0","Export","1.0","0.09","6.42","0.0"
"Cambodia","Bosnia and Herzegovina","2015.0","Export","8.0","0.69","34.59","0.0"
"Cambodia","Belarus","2015.0","Export","5.0","0.43","196.29","0.0"
"Cambodia","Belize","2015.0","Export","","","",""
"Cambodia","Bolivia","2015.0","Export","17.0","1.46","169.37","0.0"
"Cambodia","Brazil","2015.0","Export","79.0","6.79","21618.27","0.25"
"Cambodia","Brunei","2015.0","Export","4.0","0.34","1853.51","0.02"
"Cambodia","Bhutan","2015.0","Export","1.0","0.09","7.5","0.0"
"Cambodia","Central African Republic","2015.0","Export","13.0","1.12","8793.27","0.1"
"Cambodia","Canada","2015.0","Export","203.0","17.44","551035.21","6.45"
