"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Korea, Rep.","Aruba","2015.0","Export","37.0","0.86","19694.72","0.0"
"Korea, Rep.","Afghanistan","2015.0","Export","211.0","4.92","39600.68","0.01"
"Korea, Rep.","Angola","2015.0","Export","694.0","16.19","1858841.5","0.35"
"Korea, Rep.","Anguila","2015.0","Export","9.0","0.21","84.83","0.0"
"Korea, Rep.","Albania","2015.0","Export","170.0","3.97","16683.01","0.0"
"Korea, Rep.","Andorra","2015.0","Export","28.0","0.65","1208.45","0.0"
"Korea, Rep.","United Arab Emirates","2015.0","Export","1973.0","46.03","6076775.03","1.15"
"Korea, Rep.","Argentina","2015.0","Export","881.0","20.56","1046850.82","0.2"
"Korea, Rep.","Armenia","2015.0","Export","243.0","5.67","7526.19","0.0"
"Korea, Rep.","American Samoa","2015.0","Export","67.0","1.56","11206.49","0.0"
"Korea, Rep.","Antarctica","2015.0","Export","25.0","0.58","4645.47","0.0"
"Korea, Rep.","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Korea, Rep.","Antigua and Barbuda","2015.0","Export","28.0","0.65","35986.71","0.01"
"Korea, Rep.","Australia","2015.0","Export","2292.0","53.48","10830214.85","2.06"
"Korea, Rep.","Austria","2015.0","Export","880.0","20.53","882326.29","0.17"
"Korea, Rep.","Azerbaijan","2015.0","Export","417.0","9.73","122891.35","0.02"
"Korea, Rep.","Burundi","2015.0","Export","11.0","0.26","1253.33","0.0"
"Korea, Rep.","Belgium","2015.0","Export","1065.0","24.85","2023312.57","0.38"
"Korea, Rep.","Benin","2015.0","Export","133.0","3.1","38459.22","0.01"
"Korea, Rep.","Burkina Faso","2015.0","Export","59.0","1.38","22077.59","0.0"
"Korea, Rep.","Bangladesh","2015.0","Export","1418.0","33.08","1208794.78","0.23"
"Korea, Rep.","Bulgaria","2015.0","Export","558.0","13.02","107688.03","0.02"
"Korea, Rep.","Bahrain","2015.0","Export","651.0","15.19","186802.27","0.04"
"Korea, Rep.","Bahamas, The","2015.0","Export","66.0","1.54","778638.7","0.15"
"Korea, Rep.","Bosnia and Herzegovina","2015.0","Export","117.0","2.73","8108.79","0.0"
"Korea, Rep.","Saint Barthélemy","2015.0","Export","","","",""
"Korea, Rep.","Belarus","2015.0","Export","300.0","7.0","47025.69","0.01"
"Korea, Rep.","Belize","2015.0","Export","54.0","1.26","5889.25","0.0"
"Korea, Rep.","Bermuda","2015.0","Export","32.0","0.75","2032430.2","0.39"
"Korea, Rep.","Bolivia","2015.0","Export","471.0","10.99","90337.1","0.02"
"Korea, Rep.","Brazil","2015.0","Export","1607.0","37.49","5494896.3","1.04"
"Korea, Rep.","Barbados","2015.0","Export","54.0","1.26","8475.43","0.0"
"Korea, Rep.","Brunei","2015.0","Export","481.0","11.22","272188.25","0.05"
"Korea, Rep.","Bhutan","2015.0","Export","76.0","1.77","4860.25","0.0"
"Korea, Rep.","Bouvet Island","2015.0","Export","","","",""
"Korea, Rep.","Botswana","2015.0","Export","54.0","1.26","11243.37","0.0"
"Korea, Rep.","Central African Republic","2015.0","Export","20.0","0.47","3330.23","0.0"
"Korea, Rep.","Canada","2015.0","Export","1851.0","43.19","4623239.16","0.88"
"Korea, Rep.","Cocos (Keeling) Islands","2015.0","Export","1.0","0.02","31.67","0.0"
"Korea, Rep.","Switzerland","2015.0","Export","1050.0","24.5","1492095.55","0.28"
"Korea, Rep.","Chile","2015.0","Export","1318.0","30.75","1742341.8","0.33"
"Korea, Rep.","China","2015.0","Export","3568.0","83.25","137123933.79","26.03"
"Korea, Rep.","Cote d'Ivoire","2015.0","Export","495.0","11.55","117042.16","0.02"
"Korea, Rep.","Cameroon","2015.0","Export","283.0","6.6","30811.17","0.01"
"Korea, Rep.","Congo, Rep.","2015.0","Export","192.0","4.48","501968.8","0.1"
