"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Kuwait","Aruba","2015.0","Export","","","",""
"Kuwait","Afghanistan","2015.0","Export","16.0","0.62","7321.6","0.01"
"Kuwait","Angola","2015.0","Export","6.0","0.23","72.05","0.0"
"Kuwait","Anguila","2015.0","Export","","","",""
"Kuwait","Albania","2015.0","Export","4.0","0.15","42.74","0.0"
"Kuwait","Andorra","2015.0","Export","","","",""
"Kuwait","United Arab Emirates","2015.0","Export","1489.0","57.49","818591.78","1.48"
"Kuwait","Argentina","2015.0","Export","5.0","0.19","10838.75","0.02"
"Kuwait","Armenia","2015.0","Export","11.0","0.42","15.73","0.0"
"Kuwait","American Samoa","2015.0","Export","","","",""
"Kuwait","Antigua and Barbuda","2015.0","Export","","","",""
"Kuwait","Australia","2015.0","Export","54.0","2.08","13025.52","0.02"
"Kuwait","Austria","2015.0","Export","12.0","0.46","106.65","0.0"
"Kuwait","Azerbaijan","2015.0","Export","4.0","0.15","8.76","0.0"
"Kuwait","Burundi","2015.0","Export","2.0","0.08","21.51","0.0"
"Kuwait","Belgium","2015.0","Export","84.0","3.24","50764.5","0.09"
"Kuwait","Benin","2015.0","Export","8.0","0.31","86.12","0.0"
"Kuwait","Burkina Faso","2015.0","Export","4.0","0.15","20.79","0.0"
"Kuwait","Bangladesh","2015.0","Export","14.0","0.54","7800.63","0.01"
"Kuwait","Bulgaria","2015.0","Export","31.0","1.2","362.74","0.0"
"Kuwait","Bahrain","2015.0","Export","816.0","31.51","118202.32","0.21"
"Kuwait","Bahamas, The","2015.0","Export","","","",""
"Kuwait","Bosnia and Herzegovina","2015.0","Export","14.0","0.54","126.62","0.0"
"Kuwait","Belarus","2015.0","Export","","","",""
"Kuwait","Belize","2015.0","Export","","","",""
"Kuwait","Bermuda","2015.0","Export","","","",""
"Kuwait","Bolivia","2015.0","Export","","","",""
