"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Lao PDR","Andorra","2015.0","Export","1.0","0.04","1.9","0.0"
"Lao PDR","United Arab Emirates","2015.0","Export","18.0","0.63","9541.31","0.26"
"Lao PDR","Argentina","2015.0","Export","10.0","0.35","254.49","0.01"
"Lao PDR","Australia","2015.0","Export","93.0","3.26","8614.29","0.23"
"Lao PDR","Austria","2015.0","Export","13.0","0.46","142.01","0.0"
"Lao PDR","Belgium","2015.0","Export","49.0","1.72","14431.24","0.39"
"Lao PDR","Bangladesh","2015.0","Export","9.0","0.32","347.45","0.01"
"Lao PDR","Bulgaria","2015.0","Export","2.0","0.07","46.98","0.0"
"Lao PDR","Bahrain","2015.0","Export","1.0","0.04","5.8","0.0"
"Lao PDR","Belarus","2015.0","Export","1.0","0.04","47.02","0.0"
"Lao PDR","Brazil","2015.0","Export","4.0","0.14","94.62","0.0"
"Lao PDR","Brunei","2015.0","Export","","","",""
"Lao PDR","Botswana","2015.0","Export","1.0","0.04","1.36","0.0"
"Lao PDR","Canada","2015.0","Export","35.0","1.23","3659.71","0.1"
"Lao PDR","Cocos (Keeling) Islands","2015.0","Export","4.0","0.14","1.83","0.0"
"Lao PDR","Switzerland","2015.0","Export","31.0","1.09","7041.51","0.19"
"Lao PDR","Chile","2015.0","Export","16.0","0.56","874.01","0.02"
"Lao PDR","China","2015.0","Export","1766.0","61.83","751910.97","20.24"
"Lao PDR","Cameroon","2015.0","Export","5.0","0.18","3.0","0.0"
"Lao PDR","Cuba","2015.0","Export","1.0","0.04","92.56","0.0"
"Lao PDR","Curaçao","2015.0","Export","1.0","0.04","38.19","0.0"
"Lao PDR","Czech Republic","2015.0","Export","2.0","0.07","15.65","0.0"
"Lao PDR","Germany","2015.0","Export","133.0","4.66","28888.41","0.78"
"Lao PDR","Denmark","2015.0","Export","31.0","1.09","3115.8","0.08"
