"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Lithuania","Afghanistan","2015.0","Export","147.0","3.58","4998.96","0.02"
"Lithuania","Angola","2015.0","Export","16.0","0.39","3083.55","0.01"
"Lithuania","Albania","2015.0","Export","94.0","2.29","2150.25","0.01"
"Lithuania","Andorra","2015.0","Export","4.0","0.1","148.46","0.0"
"Lithuania","United Arab Emirates","2015.0","Export","419.0","10.22","77828.51","0.31"
"Lithuania","Argentina","2015.0","Export","52.0","1.27","39439.19","0.16"
"Lithuania","Armenia","2015.0","Export","364.0","8.88","17583.9","0.07"
"Lithuania","Fr. So. Ant. Tr","2015.0","Export","23.0","0.56","39.4","0.0"
"Lithuania","Antigua and Barbuda","2015.0","Export","46.0","1.12","47.02","0.0"
"Lithuania","Australia","2015.0","Export","374.0","9.12","31183.96","0.12"
"Lithuania","Austria","2015.0","Export","689.0","16.8","94112.6","0.37"
"Lithuania","Azerbaijan","2015.0","Export","373.0","9.1","41241.35","0.16"
"Lithuania","Burundi","2015.0","Export","10.0","0.24","52.01","0.0"
"Lithuania","Belgium","2015.0","Export","900.0","21.95","424404.74","1.67"
"Lithuania","Benin","2015.0","Export","25.0","0.61","8421.61","0.03"
"Lithuania","Burkina Faso","2015.0","Export","8.0","0.2","644.84","0.0"
"Lithuania","Bangladesh","2015.0","Export","53.0","1.29","3443.59","0.01"
"Lithuania","Bulgaria","2015.0","Export","968.0","23.6","61746.43","0.24"
"Lithuania","Bahrain","2015.0","Export","34.0","0.83","307.07","0.0"
"Lithuania","Bahamas, The","2015.0","Export","70.0","1.71","447.49","0.0"
"Lithuania","Bosnia and Herzegovina","2015.0","Export","116.0","2.83","3391.32","0.01"
"Lithuania","Saint Barthélemy","2015.0","Export","1.0","0.02","5.34","0.0"
"Lithuania","Belarus","2015.0","Export","2893.0","70.54","1171132.46","4.61"
"Lithuania","Belize","2015.0","Export","63.0","1.54","240.42","0.0"
"Lithuania","Bermuda","2015.0","Export","2.0","0.05","2.4","0.0"
"Lithuania","Bolivia","2015.0","Export","77.0","1.88","502.23","0.0"
"Lithuania","Brazil","2015.0","Export","118.0","2.88","18044.94","0.07"
"Lithuania","Barbados","2015.0","Export","9.0","0.22","26.98","0.0"
"Lithuania","Brunei","2015.0","Export","17.0","0.41","50.7","0.0"
"Lithuania","Bunkers","2015.0","Export","1.0","0.02","60609.93","0.24"
"Lithuania","Bouvet Island","2015.0","Export","1.0","0.02","7.19","0.0"
"Lithuania","Botswana","2015.0","Export","","","",""
"Lithuania","Central African Republic","2015.0","Export","6.0","0.15","59.69","0.0"
"Lithuania","Canada","2015.0","Export","380.0","9.27","183019.75","0.72"
"Lithuania","Switzerland","2015.0","Export","765.0","18.65","106708.71","0.42"
"Lithuania","Chile","2015.0","Export","133.0","3.24","3223.68","0.01"
"Lithuania","China","2015.0","Export","381.0","9.29","113455.14","0.45"
"Lithuania","Cote d'Ivoire","2015.0","Export","27.0","0.66","500.77","0.0"
"Lithuania","Cameroon","2015.0","Export","19.0","0.46","1114.96","0.0"
"Lithuania","Congo, Rep.","2015.0","Export","30.0","0.73","1529.5","0.01"
"Lithuania","Cook Islands","2015.0","Export","13.0","0.32","60.37","0.0"
"Lithuania","Colombia","2015.0","Export","58.0","1.41","1765.83","0.01"
"Lithuania","Comoros","2015.0","Export","","","",""
"Lithuania","Cape Verde","2015.0","Export","6.0","0.15","103.54","0.0"
"Lithuania","Costa Rica","2015.0","Export","23.0","0.56","223.6","0.0"
"Lithuania","Cuba","2015.0","Export","30.0","0.73","7135.06","0.03"
"Lithuania","Curaçao","2015.0","Export","1.0","0.02","1.63","0.0"
"Lithuania","Cayman Islands","2015.0","Export","4.0","0.1","1528.45","0.01"
"Lithuania","Cyprus","2015.0","Export","214.0","5.22","9684.86","0.04"
"Lithuania","Czech Republic","2015.0","Export","1001.0","24.41","264806.68","1.04"
"Lithuania","Germany","2015.0","Export","1937.0","47.23","1993981.48","7.85"
"Lithuania","Djibouti","2015.0","Export","1.0","0.02","13.73","0.0"
"Lithuania","Dominica","2015.0","Export","7.0","0.17","266.77","0.0"
"Lithuania","Denmark","2015.0","Export","1315.0","32.07","663110.36","2.61"
"Lithuania","Dominican Republic","2015.0","Export","22.0","0.54","490.5","0.0"
"Lithuania","Algeria","2015.0","Export","72.0","1.76","43015.51","0.17"
"Lithuania","East Asia & Pacific","2015.0","Export","1250.0","30.48","464543.41","1.83"
"Lithuania","Europe & Central Asia","2015.0","Export","4086.0","99.63","22699134.71","89.33"
"Lithuania","Ecuador","2015.0","Export","26.0","0.63","1016.0","0.0"
"Lithuania","Egypt, Arab Rep.","2015.0","Export","164.0","4.0","20674.84","0.08"
"Lithuania","Spain","2015.0","Export","1222.0","29.8","333197.45","1.31"
"Lithuania","Estonia","2015.0","Export","2796.0","68.18","1337138.23","5.26"
"Lithuania","Ethiopia(excludes Eritrea)","2015.0","Export","40.0","0.98","849.75","0.0"
"Lithuania","Finland","2015.0","Export","1417.0","34.55","392436.5","1.54"
"Lithuania","France","2015.0","Export","1023.0","24.95","679258.26","2.67"
"Lithuania","Faeroe Islands","2015.0","Export","86.0","2.1","4082.3","0.02"
"Lithuania","Gabon","2015.0","Export","11.0","0.27","695.26","0.0"
"Lithuania","United Kingdom","2015.0","Export","1616.0","39.41","1135951.42","4.47"
"Lithuania","Georgia","2015.0","Export","631.0","15.39","51123.48","0.2"
"Lithuania","Ghana","2015.0","Export","81.0","1.98","1465.9","0.01"
"Lithuania","Gibraltar","2015.0","Export","34.0","0.83","36044.76","0.14"
"Lithuania","Guinea","2015.0","Export","24.0","0.59","764.43","0.0"
"Lithuania","Gambia, The","2015.0","Export","35.0","0.85","281.38","0.0"
"Lithuania","Equatorial Guinea","2015.0","Export","18.0","0.44","223.97","0.0"
"Lithuania","Greece","2015.0","Export","582.0","14.19","28875.01","0.11"
"Lithuania","Grenada","2015.0","Export","1.0","0.02","31.91","0.0"
"Lithuania","Greenland","2015.0","Export","18.0","0.44","714.29","0.0"
"Lithuania","Guatemala","2015.0","Export","9.0","0.22","1265.42","0.01"
"Lithuania","Hong Kong, China","2015.0","Export","342.0","8.34","48566.48","0.19"
"Lithuania","Honduras","2015.0","Export","13.0","0.32","19.61","0.0"
"Lithuania","Croatia","2015.0","Export","426.0","10.39","22102.97","0.09"
"Lithuania","Haiti","2015.0","Export","4.0","0.1","20.37","0.0"
"Lithuania","Hungary","2015.0","Export","704.0","17.17","154165.7","0.61"
"Lithuania","Indonesia","2015.0","Export","89.0","2.17","5969.91","0.02"
"Lithuania","India","2015.0","Export","242.0","5.9","56350.07","0.22"
"Lithuania","Ireland","2015.0","Export","791.0","19.29","93561.29","0.37"
"Lithuania","Iran, Islamic Rep.","2015.0","Export","75.0","1.83","50270.97","0.2"
"Lithuania","Iraq","2015.0","Export","77.0","1.88","2945.76","0.01"
"Lithuania","Iceland","2015.0","Export","429.0","10.46","24372.48","0.1"
"Lithuania","Israel","2015.0","Export","373.0","9.1","37371.68","0.15"
"Lithuania","Italy","2015.0","Export","1028.0","25.07","528163.27","2.08"
"Lithuania","Jamaica","2015.0","Export","21.0","0.51","124.38","0.0"
"Lithuania","Jordan","2015.0","Export","107.0","2.61","5384.63","0.02"
"Lithuania","Japan","2015.0","Export","378.0","9.22","53878.25","0.21"
"Lithuania","Kazakhstan","2015.0","Export","2052.0","50.04","430099.8","1.69"
"Lithuania","Kenya","2015.0","Export","50.0","1.22","30601.27","0.12"
"Lithuania","Kyrgyz Republic","2015.0","Export","931.0","22.7","26143.93","0.1"
"Lithuania","Cambodia","2015.0","Export","174.0","4.24","2650.54","0.01"
"Lithuania","St. Kitts and Nevis","2015.0","Export","25.0","0.61","47.25","0.0"
"Lithuania","Korea, Rep.","2015.0","Export","275.0","6.71","65070.62","0.26"
"Lithuania","Kuwait","2015.0","Export","117.0","2.85","3363.99","0.01"
"Lithuania","Lao PDR","2015.0","Export","4.0","0.1","33.92","0.0"
"Lithuania","Lebanon","2015.0","Export","132.0","3.22","3585.93","0.01"
"Lithuania","Liberia","2015.0","Export","21.0","0.51","249.44","0.0"
"Lithuania","Libya","2015.0","Export","42.0","1.02","7976.52","0.03"
"Lithuania","St. Lucia","2015.0","Export","4.0","0.1","31.32","0.0"
"Lithuania","Latin America & Caribbean","2015.0","Export","557.0","13.58","108024.95","0.43"
"Lithuania","Sri Lanka","2015.0","Export","74.0","1.8","1147.65","0.0"
"Lithuania","Lesotho","2015.0","Export","","","",""
"Lithuania","Luxembourg","2015.0","Export","167.0","4.07","4032.89","0.02"
"Lithuania","Latvia","2015.0","Export","3254.0","79.35","2522967.72","9.93"
"Lithuania","Macao","2015.0","Export","16.0","0.39","198.94","0.0"
"Lithuania","Morocco","2015.0","Export","148.0","3.61","13572.91","0.05"
"Lithuania","Moldova","2015.0","Export","572.0","13.95","39073.44","0.15"
"Lithuania","Madagascar","2015.0","Export","6.0","0.15","27.43","0.0"
"Lithuania","Maldives","2015.0","Export","11.0","0.27","506.94","0.0"
"Lithuania","Middle East & North Africa","2015.0","Export","944.0","23.02","523362.22","2.06"
"Lithuania","Mexico","2015.0","Export","130.0","3.17","21326.86","0.08"
"Lithuania","Marshall Islands","2015.0","Export","122.0","2.97","837.58","0.0"
"Lithuania","Macedonia, FYR","2015.0","Export","867.0","21.14","3854.74","0.02"
"Lithuania","Mali","2015.0","Export","27.0","0.66","228.35","0.0"
"Lithuania","Malta","2015.0","Export","234.0","5.71","7740.51","0.03"
"Lithuania","Myanmar","2015.0","Export","11.0","0.27","226.74","0.0"
"Lithuania","Mongolia","2015.0","Export","155.0","3.78","8730.57","0.03"
"Lithuania","Montenegro","2015.0","Export","58.0","1.41","359.15","0.0"
"Lithuania","Mozambique","2015.0","Export","14.0","0.34","12450.69","0.05"
"Lithuania","Mauritania","2015.0","Export","20.0","0.49","594.97","0.0"
"Lithuania","Mauritius","2015.0","Export","41.0","1.0","371.74","0.0"
"Lithuania","Malawi","2015.0","Export","3.0","0.07","268.46","0.0"
"Lithuania","Malaysia","2015.0","Export","160.0","3.9","6756.48","0.03"
"Lithuania","North America","2015.0","Export","1053.0","25.68","1288072.86","5.07"
"Lithuania","Namibia","2015.0","Export","22.0","0.54","2877.42","0.01"
"Lithuania","New Caledonia","2015.0","Export","6.0","0.15","68.43","0.0"
"Lithuania","Niger","2015.0","Export","2.0","0.05","21.8","0.0"
"Lithuania","Nigeria","2015.0","Export","82.0","2.0","8022.88","0.03"
"Lithuania","Nicaragua","2015.0","Export","80.0","1.95","424.16","0.0"
"Lithuania","Niue","2015.0","Export","","","",""
