"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Luxembourg","Aruba","2015.0","Export","1.0","0.03","49.08","0.0"
"Luxembourg","Afghanistan","2015.0","Export","36.0","1.04","1253.57","0.01"
"Luxembourg","Angola","2015.0","Export","73.0","2.12","5888.82","0.05"
"Luxembourg","Anguila","2015.0","Export","1.0","0.03","19.85","0.0"
"Luxembourg","Albania","2015.0","Export","38.0","1.1","33.87","0.0"
"Luxembourg","Andorra","2015.0","Export","29.0","0.84","2640.48","0.02"
"Luxembourg","United Arab Emirates","2015.0","Export","439.0","12.72","68016.1","0.54"
"Luxembourg","Argentina","2015.0","Export","102.0","2.96","5772.16","0.05"
"Luxembourg","Armenia","2015.0","Export","28.0","0.81","110.71","0.0"
"Luxembourg","American Samoa","2015.0","Export","","","",""
"Luxembourg","Antarctica","2015.0","Export","7.0","0.2","62.04","0.0"
"Luxembourg","Antigua and Barbuda","2015.0","Export","1.0","0.03","182.51","0.0"
"Luxembourg","Australia","2015.0","Export","374.0","10.84","21243.95","0.17"
"Luxembourg","Austria","2015.0","Export","649.0","18.81","206496.3","1.64"
"Luxembourg","Azerbaijan","2015.0","Export","458.0","13.27","13609.33","0.11"
"Luxembourg","Burundi","2015.0","Export","6.0","0.17","88.24","0.0"
"Luxembourg","Belgium","2015.0","Export","2920.0","84.61","1606206.62","12.72"
"Luxembourg","Benin","2015.0","Export","25.0","0.72","468.24","0.0"
"Luxembourg","Burkina Faso","2015.0","Export","48.0","1.39","1100.33","0.01"
"Luxembourg","Bangladesh","2015.0","Export","83.0","2.41","11507.67","0.09"
"Luxembourg","Bulgaria","2015.0","Export","297.0","8.61","25247.47","0.2"
"Luxembourg","Bahrain","2015.0","Export","105.0","3.04","2018.35","0.02"
"Luxembourg","Bahamas, The","2015.0","Export","10.0","0.29","906.73","0.01"
"Luxembourg","Bosnia and Herzegovina","2015.0","Export","81.0","2.35","605.62","0.0"
"Luxembourg","Belarus","2015.0","Export","105.0","3.04","2322.26","0.02"
"Luxembourg","Belize","2015.0","Export","1.0","0.03","252.23","0.0"
"Luxembourg","Bermuda","2015.0","Export","6.0","0.17","8.61","0.0"
"Luxembourg","Bolivia","2015.0","Export","24.0","0.7","340.95","0.0"
"Luxembourg","Brazil","2015.0","Export","284.0","8.23","63353.71","0.5"
"Luxembourg","Barbados","2015.0","Export","5.0","0.14","911.54","0.01"
"Luxembourg","Brunei","2015.0","Export","24.0","0.7","149.22","0.0"
"Luxembourg","Bhutan","2015.0","Export","","","",""
"Luxembourg","Bunkers","2015.0","Export","1.0","0.03","92.15","0.0"
"Luxembourg","Bouvet Island","2015.0","Export","","","",""
"Luxembourg","Botswana","2015.0","Export","12.0","0.35","568.39","0.0"
"Luxembourg","Central African Republic","2015.0","Export","19.0","0.55","824.02","0.01"
"Luxembourg","Canada","2015.0","Export","425.0","12.32","104543.79","0.83"
"Luxembourg","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Luxembourg","Switzerland","2015.0","Export","914.0","26.49","170912.15","1.35"
"Luxembourg","Chile","2015.0","Export","170.0","4.93","4962.68","0.04"
"Luxembourg","China","2015.0","Export","572.0","16.57","252781.43","2.0"
"Luxembourg","Cote d'Ivoire","2015.0","Export","81.0","2.35","8370.3","0.07"
"Luxembourg","Cameroon","2015.0","Export","90.0","2.61","4203.77","0.03"
"Luxembourg","Congo, Rep.","2015.0","Export","63.0","1.83","735.38","0.01"
"Luxembourg","Cook Islands","2015.0","Export","","","",""
"Luxembourg","Colombia","2015.0","Export","96.0","2.78","6064.56","0.05"
"Luxembourg","Comoros","2015.0","Export","1.0","0.03","0.11","0.0"
"Luxembourg","Cape Verde","2015.0","Export","8.0","0.23","74.42","0.0"
"Luxembourg","Costa Rica","2015.0","Export","15.0","0.43","236.43","0.0"
"Luxembourg","Cuba","2015.0","Export","6.0","0.17","72.89","0.0"
"Luxembourg","Christmas Island","2015.0","Export","","","",""
"Luxembourg","Cayman Islands","2015.0","Export","9.0","0.26","0.6","0.0"
"Luxembourg","Cyprus","2015.0","Export","117.0","3.39","6463.29","0.05"
"Luxembourg","Czech Republic","2015.0","Export","566.0","16.4","115694.47","0.92"
"Luxembourg","Germany","2015.0","Export","2569.0","74.44","3427807.77","27.15"
"Luxembourg","Djibouti","2015.0","Export","20.0","0.58","157.84","0.0"
"Luxembourg","Dominica","2015.0","Export","1.0","0.03","0.01","0.0"
"Luxembourg","Denmark","2015.0","Export","430.0","12.46","113476.22","0.9"
"Luxembourg","Dominican Republic","2015.0","Export","16.0","0.46","5842.76","0.05"
"Luxembourg","Algeria","2015.0","Export","195.0","5.65","29420.88","0.23"
"Luxembourg","East Asia & Pacific","2015.0","Export","1019.0","29.53","554285.66","4.39"
"Luxembourg","Europe & Central Asia","2015.0","Export","3372.0","97.71","10596941.75","83.93"
"Luxembourg","Ecuador","2015.0","Export","21.0","0.61","5923.14","0.05"
"Luxembourg","Egypt, Arab Rep.","2015.0","Export","229.0","6.64","26350.6","0.21"
"Luxembourg","Eritrea","2015.0","Export","1.0","0.03","11.69","0.0"
"Luxembourg","Spain","2015.0","Export","896.0","25.96","292853.5","2.32"
"Luxembourg","Estonia","2015.0","Export","170.0","4.93","8486.94","0.07"
"Luxembourg","Ethiopia(excludes Eritrea)","2015.0","Export","30.0","0.87","517.6","0.0"
"Luxembourg","Finland","2015.0","Export","361.0","10.46","51495.09","0.41"
"Luxembourg","Fiji","2015.0","Export","1.0","0.03","0.06","0.0"
"Luxembourg","France","2015.0","Export","2683.0","77.75","1767509.53","14.0"
"Luxembourg","Faeroe Islands","2015.0","Export","8.0","0.23","87.77","0.0"
"Luxembourg","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Luxembourg","Gabon","2015.0","Export","42.0","1.22","1551.84","0.01"
"Luxembourg","United Kingdom","2015.0","Export","901.0","26.11","486117.11","3.85"
"Luxembourg","Georgia","2015.0","Export","155.0","4.49","1972.09","0.02"
"Luxembourg","Ghana","2015.0","Export","301.0","8.72","5374.25","0.04"
"Luxembourg","Gibraltar","2015.0","Export","15.0","0.43","14538.38","0.12"
"Luxembourg","Guinea","2015.0","Export","26.0","0.75","4164.91","0.03"
