"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Latvia","Afghanistan","2015.0","Export","21.0","0.58","2473.97","0.02"
"Latvia","Angola","2015.0","Export","29.0","0.8","12641.3","0.11"
"Latvia","Anguila","2015.0","Export","1.0","0.03","0.03","0.0"
"Latvia","Albania","2015.0","Export","60.0","1.65","1337.68","0.01"
"Latvia","Andorra","2015.0","Export","9.0","0.25","168.51","0.0"
"Latvia","United Arab Emirates","2015.0","Export","331.0","9.13","89569.11","0.78"
"Latvia","Argentina","2015.0","Export","32.0","0.88","4290.43","0.04"
"Latvia","Armenia","2015.0","Export","186.0","5.13","5731.95","0.05"
"Latvia","American Samoa","2015.0","Export","7.0","0.19","3.99","0.0"
"Latvia","Fr. So. Ant. Tr","2015.0","Export","11.0","0.3","219.22","0.0"
"Latvia","Antigua and Barbuda","2015.0","Export","33.0","0.91","743.92","0.01"
"Latvia","Australia","2015.0","Export","227.0","6.26","14908.62","0.13"
"Latvia","Austria","2015.0","Export","471.0","12.99","59860.21","0.52"
"Latvia","Azerbaijan","2015.0","Export","333.0","9.18","24157.01","0.21"
"Latvia","Burundi","2015.0","Export","5.0","0.14","41.07","0.0"
"Latvia","Belgium","2015.0","Export","405.0","11.17","131735.57","1.15"
"Latvia","Benin","2015.0","Export","16.0","0.44","693.06","0.01"
"Latvia","Burkina Faso","2015.0","Export","7.0","0.19","958.59","0.01"
"Latvia","Bangladesh","2015.0","Export","10.0","0.28","841.13","0.01"
"Latvia","Bulgaria","2015.0","Export","403.0","11.11","38855.72","0.34"
"Latvia","Bahrain","2015.0","Export","47.0","1.3","2037.95","0.02"
"Latvia","Bahamas, The","2015.0","Export","29.0","0.8","404.82","0.0"
"Latvia","Bosnia and Herzegovina","2015.0","Export","34.0","0.94","4138.93","0.04"
"Latvia","Belarus","2015.0","Export","1333.0","36.76","168120.98","1.46"
"Latvia","Belize","2015.0","Export","43.0","1.19","239.41","0.0"
