"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Macao","United Arab Emirates","2015.0","Export","4.0","0.52","11.2","0.0"
"Macao","Australia","2015.0","Export","9.0","1.17","166.66","0.01"
"Macao","Austria","2015.0","Export","1.0","0.13","10.39","0.0"
"Macao","Belgium","2015.0","Export","2.0","0.26","821.57","0.06"
"Macao","Bangladesh","2015.0","Export","","","",""
"Macao","Bulgaria","2015.0","Export","","","",""
"Macao","Bosnia and Herzegovina","2015.0","Export","","","",""
"Macao","Bolivia","2015.0","Export","","","",""
"Macao","Brazil","2015.0","Export","1.0","0.13","1.38","0.0"
"Macao","Bhutan","2015.0","Export","","","",""
"Macao","Canada","2015.0","Export","16.0","2.08","476.95","0.04"
"Macao","Switzerland","2015.0","Export","4.0","0.52","153.51","0.01"
"Macao","Chile","2015.0","Export","","","",""
"Macao","China","2015.0","Export","596.0","77.3","169069.01","12.63"
"Macao","Colombia","2015.0","Export","","","",""
"Macao","Cyprus","2015.0","Export","","","",""
"Macao","Czech Republic","2015.0","Export","2.0","0.26","13.28","0.0"
"Macao","Germany","2015.0","Export","39.0","5.06","4044.2","0.3"
"Macao","Denmark","2015.0","Export","","","",""
"Macao","East Asia & Pacific","2015.0","Export","771.0","100.0","833405.87","62.24"
"Macao","Europe & Central Asia","2015.0","Export","97.0","12.58","10922.91","0.82"
"Macao","Spain","2015.0","Export","1.0","0.13","116.99","0.01"
"Macao","Finland","2015.0","Export","","","",""
"Macao","Fiji","2015.0","Export","","","",""
"Macao","France","2015.0","Export","40.0","5.19","2404.22","0.18"
"Macao","United Kingdom","2015.0","Export","20.0","2.59","1701.26","0.13"
"Macao","Greece","2015.0","Export","","","",""
"Macao","Guatemala","2015.0","Export","","","",""
"Macao","Guam","2015.0","Export","","","",""
"Macao","Hong Kong, China","2015.0","Export","711.0","92.22","640991.75","47.87"
"Macao","Honduras","2015.0","Export","","","",""
"Macao","Hungary","2015.0","Export","","","",""
"Macao","Indonesia","2015.0","Export","21.0","2.72","752.84","0.06"
"Macao","India","2015.0","Export","1.0","0.13","4.13","0.0"
"Macao","Ireland","2015.0","Export","","","",""
"Macao","Iran, Islamic Rep.","2015.0","Export","","","",""
"Macao","Israel","2015.0","Export","","","",""
"Macao","Italy","2015.0","Export","11.0","1.43","1548.18","0.12"
"Macao","Japan","2015.0","Export","65.0","8.43","12983.19","0.97"
"Macao","Kenya","2015.0","Export","","","",""
"Macao","Cambodia","2015.0","Export","5.0","0.65","2.97","0.0"
"Macao","Korea, Rep.","2015.0","Export","13.0","1.69","170.6","0.01"
"Macao","Lao PDR","2015.0","Export","","","",""
"Macao","Latin America & Caribbean","2015.0","Export","2.0","0.26","5.35","0.0"
"Macao","Sri Lanka","2015.0","Export","","","",""
"Macao","Lithuania","2015.0","Export","","","",""
"Macao","Luxembourg","2015.0","Export","","","",""
"Macao","Latvia","2015.0","Export","","","",""
"Macao","Morocco","2015.0","Export","1.0","0.13","3.71","0.0"
"Macao","Middle East & North Africa","2015.0","Export","4.0","0.52","14.9","0.0"
"Macao","Mexico","2015.0","Export","","","",""
"Macao","Myanmar","2015.0","Export","","","",""
"Macao","Mozambique","2015.0","Export","","","",""
"Macao","Malaysia","2015.0","Export","129.0","16.73","6451.29","0.48"
"Macao","North America","2015.0","Export","51.0","6.61","4195.84","0.31"
"Macao","Nicaragua","2015.0","Export","","","",""
"Macao","Netherlands","2015.0","Export","3.0","0.39","32.71","0.0"
"Macao","Norway","2015.0","Export","","","",""
"Macao","New Zealand","2015.0","Export","","","",""
"Macao","Other Asia, nes","2015.0","Export","140.0","18.16","4760.9","0.36"
"Macao","Pakistan","2015.0","Export","","","",""
"Macao","Panama","2015.0","Export","1.0","0.13","3.97","0.0"
"Macao","Peru","2015.0","Export","","","",""
"Macao","Philippines","2015.0","Export","49.0","6.36","1594.54","0.12"
"Macao","Poland","2015.0","Export","","","",""
"Macao","Portugal","2015.0","Export","6.0","0.78","73.56","0.01"
"Macao","Paraguay","2015.0","Export","","","",""
"Macao","Romania","2015.0","Export","3.0","0.39","3.06","0.0"
"Macao","Russian Federation","2015.0","Export","","","",""
"Macao","South Asia","2015.0","Export","1.0","0.13","4.13","0.0"
"Macao","Singapore","2015.0","Export","26.0","3.37","315.51","0.02"
"Macao","Special Categories","2015.0","Export","1.0","0.13","485699.27","36.27"
"Macao","Sub-Saharan Africa","2015.0","Export","1.0","0.13","3.44","0.0"
"Macao","Slovak Republic","2015.0","Export","","","",""
"Macao","Slovenia","2015.0","Export","","","",""
"Macao","Sweden","2015.0","Export","","","",""
"Macao","Syrian Arab Republic","2015.0","Export","","","",""
"Macao","Thailand","2015.0","Export","10.0","1.3","44.6","0.0"
"Macao","Turkey","2015.0","Export","","","",""
"Macao","Unspecified","2015.0","Export","","","",""
"Macao","United States","2015.0","Export","40.0","5.19","3718.89","0.28"
"Macao","Vietnam","2015.0","Export","33.0","4.28","862.9","0.06"
"Macao"," World","2015.0","Export","771.0","100.0","1339012.62","100.0"
"Macao","South Africa","2015.0","Export","","","",""
"Macao","Zimbabwe","2015.0","Export","1.0","0.13","3.44","0.0"
