"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Morocco","Aruba","2015.0","Export","2.0","0.07","1.06","0.0"
"Morocco","Afghanistan","2015.0","Export","1.0","0.03","56.34","0.0"
"Morocco","Angola","2015.0","Export","86.0","2.86","45201.77","0.21"
"Morocco","Albania","2015.0","Export","12.0","0.4","3364.27","0.02"
"Morocco","Andorra","2015.0","Export","3.0","0.1","794.37","0.0"
"Morocco","United Arab Emirates","2015.0","Export","638.0","21.22","56192.57","0.26"
"Morocco","Argentina","2015.0","Export","19.0","0.63","3922.33","0.02"
"Morocco","Armenia","2015.0","Export","","","",""
"Morocco","American Samoa","2015.0","Export","","","",""
"Morocco","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Morocco","Antigua and Barbuda","2015.0","Export","3.0","0.1","72.21","0.0"
"Morocco","Australia","2015.0","Export","218.0","7.25","19719.31","0.09"
"Morocco","Austria","2015.0","Export","135.0","4.49","174117.6","0.79"
"Morocco","Azerbaijan","2015.0","Export","8.0","0.27","737.84","0.0"
"Morocco","Burundi","2015.0","Export","34.0","1.13","462.11","0.0"
"Morocco","Belgium","2015.0","Export","616.0","20.49","370803.84","1.68"
"Morocco","Benin","2015.0","Export","197.0","6.55","47198.55","0.21"
"Morocco","Burkina Faso","2015.0","Export","325.0","10.81","46311.75","0.21"
"Morocco","Bangladesh","2015.0","Export","9.0","0.3","133106.53","0.6"
"Morocco","Bulgaria","2015.0","Export","77.0","2.56","91128.96","0.41"
"Morocco","Bahrain","2015.0","Export","138.0","4.59","3723.13","0.02"
"Morocco","Bahamas, The","2015.0","Export","2.0","0.07","135.77","0.0"
"Morocco","Bosnia and Herzegovina","2015.0","Export","7.0","0.23","2296.68","0.01"
"Morocco","Belarus","2015.0","Export","20.0","0.67","23812.6","0.11"
"Morocco","Belize","2015.0","Export","6.0","0.2","22.93","0.0"
"Morocco","Bermuda","2015.0","Export","7.0","0.23","13.29","0.0"
"Morocco","Bolivia","2015.0","Export","","","",""
"Morocco","Brazil","2015.0","Export","102.0","3.39","664945.48","3.02"
"Morocco","Barbados","2015.0","Export","18.0","0.6","139.32","0.0"
"Morocco","Brunei","2015.0","Export","","","",""
"Morocco","Bunkers","2015.0","Export","206.0","6.85","260490.09","1.18"
"Morocco","Central African Republic","2015.0","Export","35.0","1.16","918.86","0.0"
"Morocco","Canada","2015.0","Export","337.0","11.21","196196.06","0.89"
"Morocco","Switzerland","2015.0","Export","318.0","10.58","117187.13","0.53"
"Morocco","Chile","2015.0","Export","74.0","2.46","12153.38","0.06"
"Morocco","China","2015.0","Export","274.0","9.11","243330.48","1.1"
"Morocco","Cote d'Ivoire","2015.0","Export","704.0","23.41","200403.52","0.91"
"Morocco","Cameroon","2015.0","Export","307.0","10.21","60326.41","0.27"
"Morocco","Congo, Rep.","2015.0","Export","441.0","14.67","46474.08","0.21"
"Morocco","Cook Islands","2015.0","Export","","","",""
"Morocco","Colombia","2015.0","Export","40.0","1.33","8807.27","0.04"
"Morocco","Comoros","2015.0","Export","3.0","0.1","1649.2","0.01"
"Morocco","Cape Verde","2015.0","Export","138.0","4.59","1450.77","0.01"
"Morocco","Costa Rica","2015.0","Export","11.0","0.37","1169.91","0.01"
"Morocco","Cuba","2015.0","Export","7.0","0.23","618.99","0.0"
"Morocco","Curaçao","2015.0","Export","1.0","0.03","162.02","0.0"
"Morocco","Cyprus","2015.0","Export","25.0","0.83","1387.72","0.01"
"Morocco","Czech Republic","2015.0","Export","102.0","3.39","56390.46","0.26"
"Morocco","Germany","2015.0","Export","792.0","26.34","569959.67","2.59"
"Morocco","Djibouti","2015.0","Export","70.0","2.33","1091.95","0.01"
"Morocco","Dominica","2015.0","Export","7.0","0.23","345.1","0.0"
"Morocco","Denmark","2015.0","Export","172.0","5.72","33853.57","0.15"
"Morocco","Dominican Republic","2015.0","Export","12.0","0.4","1611.87","0.01"
"Morocco","Algeria","2015.0","Export","449.0","14.93","196884.34","0.89"
"Morocco","East Asia & Pacific","2015.0","Export","628.0","20.88","942316.83","4.28"
"Morocco","Europe & Central Asia","2015.0","Export","2465.0","81.98","15093925.82","68.49"
"Morocco","Ecuador","2015.0","Export","7.0","0.23","2176.46","0.01"
"Morocco","Egypt, Arab Rep.","2015.0","Export","178.0","5.92","253626.5","1.15"
"Morocco","Spain","2015.0","Export","1447.0","48.12","4997382.53","22.68"
"Morocco","Estonia","2015.0","Export","21.0","0.7","1097.43","0.01"
"Morocco","Ethiopia(excludes Eritrea)","2015.0","Export","10.0","0.33","182047.09","0.83"
"Morocco","Finland","2015.0","Export","57.0","1.9","3822.2","0.02"
"Morocco","Fiji","2015.0","Export","1.0","0.03","182.1","0.0"
"Morocco","Falkland Island","2015.0","Export","","","",""
"Morocco","France","2015.0","Export","1684.0","56.0","4389426.81","19.92"
"Morocco","Gabon","2015.0","Export","514.0","17.09","49461.04","0.22"
"Morocco","United Kingdom","2015.0","Export","598.0","19.89","615287.44","2.79"
"Morocco","Georgia","2015.0","Export","11.0","0.37","6919.2","0.03"
"Morocco","Ghana","2015.0","Export","106.0","3.53","64806.04","0.29"
"Morocco","Gibraltar","2015.0","Export","14.0","0.47","66.98","0.0"
"Morocco","Guinea","2015.0","Export","503.0","16.73","61590.15","0.28"
"Morocco","Gambia, The","2015.0","Export","58.0","1.93","5400.06","0.02"
"Morocco","Guinea-Bissau","2015.0","Export","45.0","1.5","2630.45","0.01"
"Morocco","Equatorial Guinea","2015.0","Export","465.0","15.46","23184.33","0.11"
"Morocco","Greece","2015.0","Export","89.0","2.96","36153.61","0.16"
"Morocco","Grenada","2015.0","Export","4.0","0.13","142.08","0.0"
"Morocco","Greenland","2015.0","Export","","","",""
"Morocco","Guatemala","2015.0","Export","18.0","0.6","170.79","0.0"
"Morocco","Guyana","2015.0","Export","5.0","0.17","1361.33","0.01"
"Morocco","Hong Kong, China","2015.0","Export","137.0","4.56","8605.15","0.04"
"Morocco","Honduras","2015.0","Export","2.0","0.07","148.14","0.0"
"Morocco","Croatia","2015.0","Export","28.0","0.93","21877.63","0.1"
"Morocco","Haiti","2015.0","Export","13.0","0.43","1182.86","0.01"
"Morocco","Hungary","2015.0","Export","75.0","2.49","22004.96","0.1"
"Morocco","Indonesia","2015.0","Export","37.0","1.23","66159.21","0.3"
"Morocco","India","2015.0","Export","127.0","4.22","876670.33","3.98"
