"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Moldova","Afghanistan","2015.0","Export","11.0","0.52","44.28","0.0"
"Moldova","Albania","2015.0","Export","4.0","0.19","48.3","0.0"
"Moldova","Andorra","2015.0","Export","","","",""
"Moldova","United Arab Emirates","2015.0","Export","65.0","3.1","763.55","0.04"
"Moldova","Argentina","2015.0","Export","","","",""
"Moldova","Armenia","2015.0","Export","27.0","1.29","1097.17","0.06"
"Moldova","Antigua and Barbuda","2015.0","Export","2.0","0.1","908.63","0.05"
"Moldova","Australia","2015.0","Export","24.0","1.14","187.5","0.01"
"Moldova","Austria","2015.0","Export","58.0","2.77","21600.22","1.1"
"Moldova","Azerbaijan","2015.0","Export","57.0","2.72","3525.34","0.18"
"Moldova","Belgium","2015.0","Export","200.0","9.54","9404.67","0.48"
"Moldova","Benin","2015.0","Export","","","",""
"Moldova","Burkina Faso","2015.0","Export","","","",""
"Moldova","Bangladesh","2015.0","Export","3.0","0.14","558.05","0.03"
"Moldova","Bulgaria","2015.0","Export","130.0","6.2","28161.92","1.43"
"Moldova","Bahamas, The","2015.0","Export","1.0","0.05","54.73","0.0"
"Moldova","Bosnia and Herzegovina","2015.0","Export","11.0","0.52","772.16","0.04"
"Moldova","Belarus","2015.0","Export","285.0","13.59","131563.93","6.69"
"Moldova","Belize","2015.0","Export","","","",""
"Moldova","Bermuda","2015.0","Export","","","",""
"Moldova","Bolivia","2015.0","Export","","","",""
"Moldova","Brazil","2015.0","Export","1.0","0.05","10.48","0.0"
"Moldova","Barbados","2015.0","Export","","","",""
"Moldova","Bhutan","2015.0","Export","","","",""
"Moldova","Central African Republic","2015.0","Export","","","",""
"Moldova","Canada","2015.0","Export","63.0","3.0","2594.47","0.13"
"Moldova","Switzerland","2015.0","Export","60.0","2.86","35369.87","1.8"
"Moldova","Chile","2015.0","Export","","","",""
"Moldova","China","2015.0","Export","66.0","3.15","8551.18","0.43"
"Moldova","Cote d'Ivoire","2015.0","Export","1.0","0.05","492.19","0.03"
"Moldova","Cameroon","2015.0","Export","1.0","0.05","4.42","0.0"
"Moldova","Congo, Rep.","2015.0","Export","15.0","0.72","111.73","0.01"
"Moldova","Colombia","2015.0","Export","57.0","2.72","45.56","0.0"
"Moldova","Comoros","2015.0","Export","","","",""
"Moldova","Costa Rica","2015.0","Export","1.0","0.05","0.06","0.0"
"Moldova","Cuba","2015.0","Export","","","",""
"Moldova","Curaçao","2015.0","Export","","","",""
"Moldova","Cyprus","2015.0","Export","16.0","0.76","7020.48","0.36"
"Moldova","Czech Republic","2015.0","Export","115.0","5.48","27678.51","1.41"
"Moldova","Germany","2015.0","Export","443.0","21.13","117212.14","5.96"
"Moldova","Dominica","2015.0","Export","","","",""
"Moldova","Denmark","2015.0","Export","14.0","0.67","3039.14","0.15"
"Moldova","Dominican Republic","2015.0","Export","","","",""
"Moldova","Algeria","2015.0","Export","2.0","0.1","163.41","0.01"
"Moldova","East Asia & Pacific","2015.0","Export","135.0","6.44","29214.47","1.49"
"Moldova","Europe & Central Asia","2015.0","Export","2032.0","96.9","1833227.51","93.21"
"Moldova","Ecuador","2015.0","Export","1.0","0.05","1.5","0.0"
"Moldova","Egypt, Arab Rep.","2015.0","Export","33.0","1.57","3097.22","0.16"
"Moldova","Spain","2015.0","Export","105.0","5.01","18564.74","0.94"
"Moldova","Estonia","2015.0","Export","44.0","2.1","4271.87","0.22"
"Moldova","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Moldova","Finland","2015.0","Export","13.0","0.62","340.21","0.02"
"Moldova","Falkland Island","2015.0","Export","","","",""
"Moldova","France","2015.0","Export","185.0","8.82","43126.61","2.19"
