"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Madagascar","Afghanistan","2015.0","Export","5.0","0.27","63.48","0.0"
"Madagascar","Angola","2015.0","Export","1.0","0.05","145.23","0.01"
"Madagascar","Albania","2015.0","Export","","","",""
"Madagascar","Andorra","2015.0","Export","","","",""
"Madagascar","United Arab Emirates","2015.0","Export","75.0","4.02","14199.23","0.66"
"Madagascar","Argentina","2015.0","Export","5.0","0.27","444.15","0.02"
"Madagascar","Armenia","2015.0","Export","2.0","0.11","1.0","0.0"
"Madagascar","American Samoa","2015.0","Export","","","",""
"Madagascar","Antarctica","2015.0","Export","","","",""
"Madagascar","Fr. So. Ant. Tr","2015.0","Export","1.0","0.05","8.23","0.0"
"Madagascar","Antigua and Barbuda","2015.0","Export","","","",""
"Madagascar","Australia","2015.0","Export","95.0","5.09","3726.08","0.17"
"Madagascar","Austria","2015.0","Export","9.0","0.48","57.97","0.0"
"Madagascar","Belgium","2015.0","Export","203.0","10.88","94266.84","4.36"
"Madagascar","Benin","2015.0","Export","7.0","0.38","1250.93","0.06"
"Madagascar","Burkina Faso","2015.0","Export","21.0","1.13","336.24","0.02"
"Madagascar","Bangladesh","2015.0","Export","6.0","0.32","2181.01","0.1"
"Madagascar","Bulgaria","2015.0","Export","4.0","0.21","41.32","0.0"
"Madagascar","Bahrain","2015.0","Export","2.0","0.11","101.24","0.0"
"Madagascar","Bahamas, The","2015.0","Export","3.0","0.16","21.38","0.0"
"Madagascar","Bosnia and Herzegovina","2015.0","Export","","","",""
"Madagascar","Belarus","2015.0","Export","","","",""
"Madagascar","Belize","2015.0","Export","","","",""
"Madagascar","Bolivia","2015.0","Export","","","",""
"Madagascar","Brazil","2015.0","Export","16.0","0.86","986.73","0.05"
"Madagascar","Bhutan","2015.0","Export","","","",""
"Madagascar","Botswana","2015.0","Export","13.0","0.7","58.69","0.0"
"Madagascar","Canada","2015.0","Export","81.0","4.34","50762.77","2.35"
"Madagascar","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Madagascar","Switzerland","2015.0","Export","103.0","5.52","7785.83","0.36"
"Madagascar","Chile","2015.0","Export","4.0","0.21","25.83","0.0"
"Madagascar","China","2015.0","Export","103.0","5.52","142974.87","6.61"
"Madagascar","Cote d'Ivoire","2015.0","Export","9.0","0.48","1274.32","0.06"
"Madagascar","Cameroon","2015.0","Export","7.0","0.38","200.99","0.01"
"Madagascar","Congo, Rep.","2015.0","Export","9.0","0.48","32.5","0.0"
"Madagascar","Colombia","2015.0","Export","2.0","0.11","119.49","0.01"
"Madagascar","Comoros","2015.0","Export","569.0","30.51","5180.56","0.24"
"Madagascar","Costa Rica","2015.0","Export","4.0","0.21","28.86","0.0"
"Madagascar","Cyprus","2015.0","Export","5.0","0.27","132.98","0.01"
"Madagascar","Czech Republic","2015.0","Export","5.0","0.27","185.82","0.01"
"Madagascar","Germany","2015.0","Export","180.0","9.65","126020.94","5.82"
"Madagascar","Djibouti","2015.0","Export","22.0","1.18","2208.68","0.1"
"Madagascar","Denmark","2015.0","Export","47.0","2.52","764.94","0.04"
"Madagascar","Dominican Republic","2015.0","Export","7.0","0.38","240.63","0.01"
"Madagascar","Algeria","2015.0","Export","11.0","0.59","525.83","0.02"
"Madagascar","East Asia & Pacific","2015.0","Export","319.0","17.1","464536.05","21.46"
"Madagascar","Europe & Central Asia","2015.0","Export","1208.0","64.77","999099.01","46.16"
"Madagascar","Ecuador","2015.0","Export","","","",""
"Madagascar","Egypt, Arab Rep.","2015.0","Export","10.0","0.54","2812.4","0.13"
"Madagascar","Eritrea","2015.0","Export","","","",""
"Madagascar","Spain","2015.0","Export","79.0","4.24","53882.11","2.49"
"Madagascar","Estonia","2015.0","Export","2.0","0.11","135.07","0.01"
"Madagascar","Ethiopia(excludes Eritrea)","2015.0","Export","4.0","0.21","88.59","0.0"
"Madagascar","Finland","2015.0","Export","26.0","1.39","2074.56","0.1"
"Madagascar","Fiji","2015.0","Export","","","",""
"Madagascar","France","2015.0","Export","1068.0","57.27","436955.16","20.19"
"Madagascar","Gabon","2015.0","Export","2.0","0.11","55.12","0.0"
"Madagascar","United Kingdom","2015.0","Export","126.0","6.76","43654.2","2.02"
"Madagascar","Georgia","2015.0","Export","","","",""
"Madagascar","Ghana","2015.0","Export","4.0","0.21","347.41","0.02"
"Madagascar","Gibraltar","2015.0","Export","","","",""
"Madagascar","Guinea","2015.0","Export","10.0","0.54","195.25","0.01"
"Madagascar","Greece","2015.0","Export","19.0","1.02","2091.6","0.1"
"Madagascar","Grenada","2015.0","Export","3.0","0.16","4.09","0.0"
"Madagascar","Guatemala","2015.0","Export","","","",""
"Madagascar","Guyana","2015.0","Export","11.0","0.59","10.59","0.0"
"Madagascar","Hong Kong, China","2015.0","Export","74.0","3.97","11807.74","0.55"
"Madagascar","Honduras","2015.0","Export","","","",""
"Madagascar","Croatia","2015.0","Export","3.0","0.16","40.78","0.0"
"Madagascar","Haiti","2015.0","Export","","","",""
"Madagascar","Hungary","2015.0","Export","4.0","0.21","18.27","0.0"
"Madagascar","Indonesia","2015.0","Export","15.0","0.8","4934.83","0.23"
"Madagascar","India","2015.0","Export","73.0","3.91","118549.28","5.48"
"Madagascar","British Indian Ocean Ter.","2015.0","Export","1.0","0.05","0.66","0.0"
"Madagascar","Ireland","2015.0","Export","24.0","1.29","2208.17","0.1"
"Madagascar","Iran, Islamic Rep.","2015.0","Export","","","",""
"Madagascar","Iraq","2015.0","Export","6.0","0.32","178.11","0.01"
"Madagascar","Iceland","2015.0","Export","5.0","0.27","6.91","0.0"
"Madagascar","Israel","2015.0","Export","14.0","0.75","201.49","0.01"
"Madagascar","Italy","2015.0","Export","155.0","8.31","24948.42","1.15"
"Madagascar","Jamaica","2015.0","Export","1.0","0.05","0.11","0.0"
"Madagascar","Jordan","2015.0","Export","8.0","0.43","111.04","0.01"
"Madagascar","Japan","2015.0","Export","70.0","3.75","114420.87","5.29"
"Madagascar","Kazakhstan","2015.0","Export","","","",""
"Madagascar","Kenya","2015.0","Export","19.0","1.02","15073.84","0.7"
"Madagascar","Kyrgyz Republic","2015.0","Export","2.0","0.11","49.07","0.0"
"Madagascar","Cambodia","2015.0","Export","3.0","0.16","20.77","0.0"
"Madagascar","Kiribati","2015.0","Export","1.0","0.05","1.89","0.0"
"Madagascar","St. Kitts and Nevis","2015.0","Export","","","",""
"Madagascar","Korea, Rep.","2015.0","Export","32.0","1.72","113747.14","5.26"
"Madagascar","Kuwait","2015.0","Export","4.0","0.21","968.05","0.04"
"Madagascar","Lao PDR","2015.0","Export","1.0","0.05","1.1","0.0"
"Madagascar","Lebanon","2015.0","Export","1.0","0.05","10.38","0.0"
"Madagascar","Libya","2015.0","Export","4.0","0.21","19.93","0.0"
"Madagascar","Latin America & Caribbean","2015.0","Export","38.0","2.04","5516.3","0.25"
"Madagascar","Sri Lanka","2015.0","Export","32.0","1.72","1506.73","0.07"
"Madagascar","Lesotho","2015.0","Export","","","",""
"Madagascar","Lithuania","2015.0","Export","","","",""
"Madagascar","Luxembourg","2015.0","Export","51.0","2.73","85.38","0.0"
"Madagascar","Latvia","2015.0","Export","2.0","0.11","294.21","0.01"
"Madagascar","Macao","2015.0","Export","","","",""
"Madagascar","Morocco","2015.0","Export","15.0","0.8","6216.51","0.29"
"Madagascar","Moldova","2015.0","Export","","","",""
"Madagascar","Maldives","2015.0","Export","20.0","1.07","64.63","0.0"
"Madagascar","Middle East & North Africa","2015.0","Export","108.0","5.79","33717.98","1.56"
"Madagascar","Mexico","2015.0","Export","9.0","0.48","863.77","0.04"
"Madagascar","Macedonia, FYR","2015.0","Export","","","",""
"Madagascar","Mali","2015.0","Export","7.0","0.38","2331.15","0.11"
"Madagascar","Malta","2015.0","Export","1.0","0.05","75.73","0.0"
"Madagascar","Myanmar","2015.0","Export","","","",""
"Madagascar","Mozambique","2015.0","Export","17.0","0.91","4312.19","0.2"
"Madagascar","Mauritania","2015.0","Export","","","",""
"Madagascar","Mauritius","2015.0","Export","394.0","21.13","29738.72","1.37"
"Madagascar","Malawi","2015.0","Export","","","",""
"Madagascar","Malaysia","2015.0","Export","19.0","1.02","6905.87","0.32"
"Madagascar","North America","2015.0","Export","284.0","15.23","285284.73","13.18"
"Madagascar","Namibia","2015.0","Export","1.0","0.05","1.68","0.0"
"Madagascar","New Caledonia","2015.0","Export","7.0","0.38","107.43","0.01"
"Madagascar","Niger","2015.0","Export","","","",""
"Madagascar","Nigeria","2015.0","Export","6.0","0.32","158.08","0.01"
"Madagascar","Nicaragua","2015.0","Export","","","",""
"Madagascar","Netherlands","2015.0","Export","124.0","6.65","145980.03","6.74"
"Madagascar","Norway","2015.0","Export","33.0","1.77","907.88","0.04"
"Madagascar","Nepal","2015.0","Export","2.0","0.11","118.99","0.01"
"Madagascar","Nauru","2015.0","Export","","","",""
"Madagascar","New Zealand","2015.0","Export","14.0","0.75","289.7","0.01"
"Madagascar","Other Asia, nes","2015.0","Export","24.0","1.29","15824.44","0.73"
"Madagascar","Oman","2015.0","Export","6.0","0.32","1019.77","0.05"
"Madagascar","Pakistan","2015.0","Export","19.0","1.02","6617.44","0.31"
"Madagascar","Panama","2015.0","Export","2.0","0.11","1158.41","0.05"
"Madagascar","Pitcairn","2015.0","Export","1.0","0.05","31.22","0.0"
"Madagascar","Peru","2015.0","Export","3.0","0.16","1610.91","0.07"
"Madagascar","Philippines","2015.0","Export","45.0","2.41","117.36","0.01"
"Madagascar","Palau","2015.0","Export","","","",""
"Madagascar","Papua New Guinea","2015.0","Export","","","",""
"Madagascar","Poland","2015.0","Export","7.0","0.38","162.02","0.01"
"Madagascar","Korea, Dem. Rep.","2015.0","Export","1.0","0.05","6.17","0.0"
"Madagascar","Portugal","2015.0","Export","55.0","2.95","4108.12","0.19"
"Madagascar","Paraguay","2015.0","Export","","","",""
"Madagascar","French Polynesia","2015.0","Export","8.0","0.43","7.31","0.0"
"Madagascar","Qatar","2015.0","Export","1.0","0.05","39.32","0.0"
"Madagascar","Romania","2015.0","Export","6.0","0.32","2896.15","0.13"
"Madagascar","Russian Federation","2015.0","Export","29.0","1.55","1430.24","0.07"
"Madagascar","Rwanda","2015.0","Export","3.0","0.16","617.63","0.03"
"Madagascar","South Asia","2015.0","Export","117.0","6.27","129101.57","5.96"
"Madagascar","Saudi Arabia","2015.0","Export","8.0","0.43","3950.11","0.18"
"Madagascar","Senegal","2015.0","Export","14.0","0.75","72.22","0.0"
"Madagascar","Serbia, FR(Serbia/Montenegro)","2015.0","Export","","","",""
"Madagascar","Singapore","2015.0","Export","35.0","1.88","31250.08","1.44"
"Madagascar","Solomon Islands","2015.0","Export","","","",""
"Madagascar","Sierra Leone","2015.0","Export","1.0","0.05","1.47","0.0"
"Madagascar","El Salvador","2015.0","Export","","","",""
"Madagascar","San Marino","2015.0","Export","","","",""
"Madagascar","Somalia","2015.0","Export","1.0","0.05","12.44","0.0"
"Madagascar","Sub-Saharan Africa","2015.0","Export","1069.0","57.32","157525.64","7.28"
"Madagascar","Sudan","2015.0","Export","1.0","0.05","0.28","0.0"
"Madagascar","Suriname","2015.0","Export","","","",""
"Madagascar","Slovak Republic","2015.0","Export","10.0","0.54","57.94","0.0"
"Madagascar","Slovenia","2015.0","Export","8.0","0.43","139.34","0.01"
"Madagascar","Sweden","2015.0","Export","22.0","1.18","39749.35","1.84"
"Madagascar","Swaziland","2015.0","Export","9.0","0.48","32.7","0.0"
"Madagascar","Seychelles","2015.0","Export","75.0","4.02","4673.52","0.22"
"Madagascar","Syrian Arab Republic","2015.0","Export","3.0","0.16","556.11","0.03"
"Madagascar","Turks and Caicos Isl.","2015.0","Export","","","",""
"Madagascar","Chad","2015.0","Export","","","",""
"Madagascar","Togo","2015.0","Export","20.0","1.07","201.07","0.01"
"Madagascar","Thailand","2015.0","Export","16.0","0.86","7867.31","0.36"
"Madagascar","Tokelau","2015.0","Export","","","",""
"Madagascar","Turkmenistan","2015.0","Export","","","",""
"Madagascar","East Timor","2015.0","Export","","","",""
"Madagascar","Trinidad and Tobago","2015.0","Export","","","",""
"Madagascar","Tunisia","2015.0","Export","7.0","0.38","524.03","0.02"
"Madagascar","Turkey","2015.0","Export","24.0","1.29","7520.74","0.35"
"Madagascar","Tanzania","2015.0","Export","61.0","3.27","3209.13","0.15"
"Madagascar","Uganda","2015.0","Export","6.0","0.32","13.3","0.0"
"Madagascar","Ukraine","2015.0","Export","6.0","0.32","445.67","0.02"
"Madagascar","Unspecified","2015.0","Export","578.0","30.99","73815.07","3.41"
"Madagascar","Uruguay","2015.0","Export","1.0","0.05","1.33","0.0"
"Madagascar","United States","2015.0","Export","252.0","13.51","234521.97","10.84"
"Madagascar","Uzbekistan","2015.0","Export","","","",""
"Madagascar","Venezuela","2015.0","Export","","","",""
"Madagascar","Vietnam","2015.0","Export","47.0","2.52","26331.03","1.22"
"Madagascar","Vanuatu","2015.0","Export","2.0","0.11","18.52","0.0"
"Madagascar"," World","2015.0","Export","1865.0","100.0","2164461.19","100.0"
"Madagascar","Wallis and Futura Isl.","2015.0","Export","","","",""
"Madagascar","Yemen","2015.0","Export","","","",""
"Madagascar","South Africa","2015.0","Export","286.0","15.34","87112.93","4.02"
"Madagascar","Congo, Dem. Rep.","2015.0","Export","63.0","3.38","258.05","0.01"
"Madagascar","Zambia","2015.0","Export","3.0","0.16","32.76","0.0"
"Madagascar","Zimbabwe","2015.0","Export","6.0","0.32","506.92","0.02"
