"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Maldives","United Arab Emirates","2015.0","Export","8.0","21.62","909.05","0.63"
"Maldives","Argentina","2015.0","Export","","","",""
"Maldives","Australia","2015.0","Export","2.0","5.41","204.14","0.14"
"Maldives","Austria","2015.0","Export","","","",""
"Maldives","Belgium","2015.0","Export","3.0","8.11","318.77","0.22"
"Maldives","Bangladesh","2015.0","Export","1.0","2.7","115.98","0.08"
"Maldives","Bulgaria","2015.0","Export","","","",""
"Maldives","Bahrain","2015.0","Export","1.0","2.7","16.5","0.01"
"Maldives","Bahamas, The","2015.0","Export","","","",""
"Maldives","Bermuda","2015.0","Export","","","",""
"Maldives","Brazil","2015.0","Export","","","",""
"Maldives","Brunei","2015.0","Export","","","",""
"Maldives","Canada","2015.0","Export","4.0","10.81","541.66","0.38"
"Maldives","Switzerland","2015.0","Export","8.0","21.62","4369.13","3.03"
"Maldives","Chile","2015.0","Export","","","",""
"Maldives","China","2015.0","Export","10.0","27.03","34.82","0.02"
"Maldives","Colombia","2015.0","Export","","","",""
"Maldives","Cuba","2015.0","Export","","","",""
"Maldives","Cyprus","2015.0","Export","1.0","2.7","17.44","0.01"
"Maldives","Czech Republic","2015.0","Export","4.0","10.81","176.38","0.12"
"Maldives","Germany","2015.0","Export","7.0","18.92","10026.89","6.95"
"Maldives","Denmark","2015.0","Export","2.0","5.41","52.34","0.04"
"Maldives","East Asia & Pacific","2015.0","Export","20.0","54.05","45957.22","31.88"
"Maldives","Europe & Central Asia","2015.0","Export","13.0","35.14","59528.1","41.29"
"Maldives","Ecuador","2015.0","Export","","","",""
"Maldives","Egypt, Arab Rep.","2015.0","Export","","","",""
"Maldives","Spain","2015.0","Export","3.0","8.11","1553.15","1.08"
"Maldives","Estonia","2015.0","Export","","","",""
"Maldives","Finland","2015.0","Export","1.0","2.7","81.94","0.06"
