"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mexico","Aruba","2015.0","Export","402.0","9.49","39948.89","0.01"
"Mexico","Afghanistan","2015.0","Export","6.0","0.14","55.47","0.0"
"Mexico","Angola","2015.0","Export","64.0","1.51","82296.67","0.02"
"Mexico","Anguila","2015.0","Export","34.0","0.8","103.98","0.0"
"Mexico","Albania","2015.0","Export","11.0","0.26","3147.09","0.0"
"Mexico","Andorra","2015.0","Export","6.0","0.14","122.98","0.0"
"Mexico","United Arab Emirates","2015.0","Export","512.0","12.09","353548.4","0.09"
"Mexico","Argentina","2015.0","Export","1135.0","26.8","1497055.49","0.39"
"Mexico","Armenia","2015.0","Export","8.0","0.19","153.22","0.0"
"Mexico","American Samoa","2015.0","Export","2.0","0.05","189.42","0.0"
"Mexico","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Mexico","Antigua and Barbuda","2015.0","Export","110.0","2.6","1458.1","0.0"
"Mexico","Australia","2015.0","Export","811.0","19.15","1050338.22","0.28"
"Mexico","Austria","2015.0","Export","456.0","10.77","204567.42","0.05"
"Mexico","Azerbaijan","2015.0","Export","57.0","1.35","10270.64","0.0"
"Mexico","Burundi","2015.0","Export","1.0","0.02","628.31","0.0"
"Mexico","Belgium","2015.0","Export","679.0","16.03","1594292.47","0.42"
"Mexico","Benin","2015.0","Export","11.0","0.26","439.3","0.0"
"Mexico","Burkina Faso","2015.0","Export","3.0","0.07","0.83","0.0"
"Mexico","Bangladesh","2015.0","Export","52.0","1.23","6967.86","0.0"
"Mexico","Bulgaria","2015.0","Export","86.0","2.03","13257.62","0.0"
"Mexico","Bahrain","2015.0","Export","57.0","1.35","9087.66","0.0"
"Mexico","Bahamas, The","2015.0","Export","509.0","12.02","13527.58","0.0"
"Mexico","Bosnia and Herzegovina","2015.0","Export","21.0","0.5","419.64","0.0"
"Mexico","Belarus","2015.0","Export","14.0","0.33","672.76","0.0"
"Mexico","Belize","2015.0","Export","1137.0","26.85","125443.68","0.03"
"Mexico","Bermuda","2015.0","Export","60.0","1.42","2213.2","0.0"
"Mexico","Bolivia","2015.0","Export","1050.0","24.79","172000.77","0.05"
"Mexico","Brazil","2015.0","Export","1505.0","35.54","3798897.35","1.0"
"Mexico","Barbados","2015.0","Export","460.0","10.86","12831.9","0.0"
"Mexico","Brunei","2015.0","Export","104.0","2.46","1817.03","0.0"
"Mexico","Bhutan","2015.0","Export","","","",""
