"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Macedonia, FYR","Afghanistan","2015.0","Export","29.0","1.02","318.62","0.01"
"Macedonia, FYR","Albania","2015.0","Export","887.0","31.3","65966.0","1.47"
"Macedonia, FYR","Andorra","2015.0","Export","1.0","0.04","5.07","0.0"
"Macedonia, FYR","United Arab Emirates","2015.0","Export","60.0","2.12","3228.95","0.07"
"Macedonia, FYR","Argentina","2015.0","Export","5.0","0.18","873.48","0.02"
"Macedonia, FYR","Armenia","2015.0","Export","8.0","0.28","413.6","0.01"
"Macedonia, FYR","Antarctica","2015.0","Export","","","",""
"Macedonia, FYR","Antigua and Barbuda","2015.0","Export","","","",""
"Macedonia, FYR","Australia","2015.0","Export","195.0","6.88","5081.3","0.11"
"Macedonia, FYR","Austria","2015.0","Export","464.0","16.37","40631.64","0.9"
"Macedonia, FYR","Azerbaijan","2015.0","Export","17.0","0.6","540.86","0.01"
"Macedonia, FYR","Belgium","2015.0","Export","409.0","14.43","143025.28","3.19"
"Macedonia, FYR","Benin","2015.0","Export","1.0","0.04","130.02","0.0"
"Macedonia, FYR","Burkina Faso","2015.0","Export","1.0","0.04","34.43","0.0"
"Macedonia, FYR","Bangladesh","2015.0","Export","2.0","0.07","110.81","0.0"
"Macedonia, FYR","Bulgaria","2015.0","Export","778.0","27.45","270793.62","6.03"
"Macedonia, FYR","Bahrain","2015.0","Export","5.0","0.18","67.33","0.0"
"Macedonia, FYR","Bahamas, The","2015.0","Export","1.0","0.04","36.2","0.0"
"Macedonia, FYR","Bosnia and Herzegovina","2015.0","Export","510.0","18.0","79484.51","1.77"
"Macedonia, FYR","Belarus","2015.0","Export","25.0","0.88","4326.54","0.1"
"Macedonia, FYR","Belize","2015.0","Export","2.0","0.07","8.78","0.0"
"Macedonia, FYR","Bermuda","2015.0","Export","","","",""
"Macedonia, FYR","Bolivia","2015.0","Export","1.0","0.04","1.54","0.0"
