"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Malta","Aruba","2015.0","Export","2.0","0.12","17.58","0.0"
"Malta","Afghanistan","2015.0","Export","1.0","0.06","289.79","0.01"
"Malta","Angola","2015.0","Export","24.0","1.49","16641.25","0.42"
"Malta","Albania","2015.0","Export","16.0","0.99","429.66","0.01"
"Malta","United Arab Emirates","2015.0","Export","262.0","16.22","38501.39","0.98"
"Malta","Argentina","2015.0","Export","2.0","0.12","330.81","0.01"
"Malta","Armenia","2015.0","Export","1.0","0.06","16.26","0.0"
"Malta","Antigua and Barbuda","2015.0","Export","1.0","0.06","11.1","0.0"
"Malta","Australia","2015.0","Export","112.0","6.93","11626.3","0.3"
"Malta","Austria","2015.0","Export","37.0","2.29","8149.41","0.21"
"Malta","Azerbaijan","2015.0","Export","2.0","0.12","25.33","0.0"
"Malta","Belgium","2015.0","Export","50.0","3.1","7572.69","0.19"
"Malta","Benin","2015.0","Export","1.0","0.06","0.22","0.0"
"Malta","Burkina Faso","2015.0","Export","5.0","0.31","120.84","0.0"
"Malta","Bangladesh","2015.0","Export","20.0","1.24","7482.96","0.19"
"Malta","Bulgaria","2015.0","Export","21.0","1.3","3830.54","0.1"
"Malta","Bahrain","2015.0","Export","32.0","1.98","1830.27","0.05"
"Malta","Bahamas, The","2015.0","Export","9.0","0.56","90.28","0.0"
"Malta","Bosnia and Herzegovina","2015.0","Export","3.0","0.19","66.14","0.0"
"Malta","Belarus","2015.0","Export","1.0","0.06","5.23","0.0"
"Malta","Belize","2015.0","Export","3.0","0.19","1151.93","0.03"
"Malta","Bermuda","2015.0","Export","1.0","0.06","9.57","0.0"
"Malta","Bolivia","2015.0","Export","","","",""
"Malta","Brazil","2015.0","Export","36.0","2.23","3223.09","0.08"
"Malta","Bunkers","2015.0","Export","92.0","5.7","595331.38","15.2"
"Malta","Botswana","2015.0","Export","1.0","0.06","0.0","0.0"
"Malta","Central African Republic","2015.0","Export","1.0","0.06","16.65","0.0"
"Malta","Canada","2015.0","Export","122.0","7.55","41082.95","1.05"
"Malta","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Malta","Switzerland","2015.0","Export","233.0","14.43","29103.54","0.74"
"Malta","Chile","2015.0","Export","36.0","2.23","115.91","0.0"
"Malta","China","2015.0","Export","115.0","7.12","48279.42","1.23"
"Malta","Cote d'Ivoire","2015.0","Export","30.0","1.86","755.29","0.02"
"Malta","Cameroon","2015.0","Export","20.0","1.24","2022.45","0.05"
"Malta","Congo, Rep.","2015.0","Export","12.0","0.74","195.95","0.01"
"Malta","Colombia","2015.0","Export","6.0","0.37","182.95","0.0"
"Malta","Cape Verde","2015.0","Export","12.0","0.74","1753.95","0.04"
"Malta","Costa Rica","2015.0","Export","1.0","0.06","2.73","0.0"
"Malta","Cuba","2015.0","Export","","","",""
"Malta","Curaçao","2015.0","Export","2.0","0.12","1.01","0.0"
"Malta","Cayman Islands","2015.0","Export","3.0","0.19","12.76","0.0"
"Malta","Cyprus","2015.0","Export","24.0","1.49","2896.91","0.07"
"Malta","Czech Republic","2015.0","Export","106.0","6.56","7418.66","0.19"
"Malta","Germany","2015.0","Export","329.0","20.37","370780.3","9.47"
"Malta","Djibouti","2015.0","Export","28.0","1.73","6792.48","0.17"
"Malta","Dominica","2015.0","Export","1.0","0.06","16.25","0.0"
"Malta","Denmark","2015.0","Export","35.0","2.17","4266.24","0.11"
"Malta","Dominican Republic","2015.0","Export","7.0","0.43","1335.91","0.03"
"Malta","Algeria","2015.0","Export","42.0","2.6","25996.16","0.66"
"Malta","East Asia & Pacific","2015.0","Export","417.0","25.82","640528.7","16.36"
"Malta","Europe & Central Asia","2015.0","Export","1097.0","67.93","1216986.56","31.08"
"Malta","Ecuador","2015.0","Export","4.0","0.25","68.84","0.0"
"Malta","Egypt, Arab Rep.","2015.0","Export","156.0","9.66","517558.8","13.22"
"Malta","Eritrea","2015.0","Export","","","",""
"Malta","Spain","2015.0","Export","227.0","14.06","40188.27","1.03"
"Malta","Estonia","2015.0","Export","5.0","0.31","11.72","0.0"
"Malta","Ethiopia(excludes Eritrea)","2015.0","Export","2.0","0.12","633.51","0.02"
"Malta","Finland","2015.0","Export","29.0","1.8","4276.1","0.11"
"Malta","Fiji","2015.0","Export","2.0","0.12","1464.62","0.04"
"Malta","France","2015.0","Export","126.0","7.8","265868.94","6.79"
"Malta","Gabon","2015.0","Export","67.0","4.15","1372.83","0.04"
"Malta","United Kingdom","2015.0","Export","460.0","28.48","140305.75","3.58"
"Malta","Georgia","2015.0","Export","10.0","0.62","9562.84","0.24"
"Malta","Ghana","2015.0","Export","36.0","2.23","13698.11","0.35"
"Malta","Gibraltar","2015.0","Export","11.0","0.68","2208.76","0.06"
"Malta","Guinea","2015.0","Export","4.0","0.25","1420.19","0.04"
"Malta","Gambia, The","2015.0","Export","15.0","0.93","3808.73","0.1"
"Malta","Guinea-Bissau","2015.0","Export","1.0","0.06","169.14","0.0"
"Malta","Greece","2015.0","Export","49.0","3.03","6910.28","0.18"
"Malta","Guatemala","2015.0","Export","25.0","1.55","21.36","0.0"
"Malta","Guyana","2015.0","Export","11.0","0.68","427.22","0.01"
"Malta","Hong Kong, China","2015.0","Export","121.0","7.49","190362.18","4.86"
"Malta","Honduras","2015.0","Export","","","",""
"Malta","Croatia","2015.0","Export","14.0","0.87","593.19","0.02"
"Malta","Haiti","2015.0","Export","1.0","0.06","1118.77","0.03"
"Malta","Hungary","2015.0","Export","51.0","3.16","6596.1","0.17"
"Malta","Indonesia","2015.0","Export","26.0","1.61","8659.99","0.22"
"Malta","India","2015.0","Export","111.0","6.87","23302.82","0.6"
"Malta","Ireland","2015.0","Export","37.0","2.29","9307.1","0.24"
"Malta","Iran, Islamic Rep.","2015.0","Export","9.0","0.56","200.78","0.01"
"Malta","Iraq","2015.0","Export","8.0","0.5","832.11","0.02"
