"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Myanmar","Afghanistan","2015.0","Export","","","",""
"Myanmar","Anguila","2015.0","Export","","","",""
"Myanmar","Albania","2015.0","Export","","","",""
"Myanmar","United Arab Emirates","2015.0","Export","75.0","10.36","95113.96","0.78"
"Myanmar","Argentina","2015.0","Export","12.0","1.66","2658.97","0.02"
"Myanmar","Armenia","2015.0","Export","","","",""
"Myanmar","Antigua and Barbuda","2015.0","Export","","","",""
"Myanmar","Australia","2015.0","Export","59.0","8.15","6566.57","0.05"
"Myanmar","Austria","2015.0","Export","15.0","2.07","4749.57","0.04"
"Myanmar","Azerbaijan","2015.0","Export","","","",""
"Myanmar","Belgium","2015.0","Export","47.0","6.49","23052.86","0.19"
"Myanmar","Bangladesh","2015.0","Export","61.0","8.43","18821.89","0.15"
"Myanmar","Bulgaria","2015.0","Export","32.0","4.42","26180.3","0.21"
"Myanmar","Bahrain","2015.0","Export","8.0","1.11","1007.12","0.01"
"Myanmar","Bahamas, The","2015.0","Export","","","",""
"Myanmar","Belarus","2015.0","Export","2.0","0.28","164.7","0.0"
"Myanmar","Belize","2015.0","Export","","","",""
"Myanmar","Brazil","2015.0","Export","15.0","2.07","1136.11","0.01"
"Myanmar","Barbados","2015.0","Export","","","",""
"Myanmar","Brunei","2015.0","Export","7.0","0.97","702.83","0.01"
"Myanmar","Botswana","2015.0","Export","6.0","0.83","417.11","0.0"
"Myanmar","Canada","2015.0","Export","52.0","7.18","8087.96","0.07"
"Myanmar","Cocos (Keeling) Islands","2015.0","Export","1.0","0.14","0.2","0.0"
"Myanmar","Switzerland","2015.0","Export","27.0","3.73","10668.68","0.09"
"Myanmar","Chile","2015.0","Export","18.0","2.49","281.41","0.0"
"Myanmar","China","2015.0","Export","300.0","41.44","4830844.95","39.61"
"Myanmar","Cameroon","2015.0","Export","","","",""
"Myanmar","Congo, Rep.","2015.0","Export","1.0","0.14","42.08","0.0"
"Myanmar","Cook Islands","2015.0","Export","","","",""
"Myanmar","Colombia","2015.0","Export","8.0","1.11","1390.85","0.01"
"Myanmar","Cape Verde","2015.0","Export","","","",""
"Myanmar","Costa Rica","2015.0","Export","2.0","0.28","216.59","0.0"
"Myanmar","Cuba","2015.0","Export","2.0","0.28","186.99","0.0"
"Myanmar","Curaçao","2015.0","Export","2.0","0.28","63.86","0.0"
"Myanmar","Christmas Island","2015.0","Export","1.0","0.14","84.6","0.0"
"Myanmar","Cyprus","2015.0","Export","2.0","0.28","16.59","0.0"
"Myanmar","Czech Republic","2015.0","Export","7.0","0.97","990.81","0.01"
"Myanmar","Germany","2015.0","Export","87.0","12.02","79417.97","0.65"
"Myanmar","Djibouti","2015.0","Export","2.0","0.28","113.0","0.0"
"Myanmar","Dominica","2015.0","Export","2.0","0.28","102.96","0.0"
"Myanmar","Denmark","2015.0","Export","29.0","4.01","7900.64","0.06"
"Myanmar","Dominican Republic","2015.0","Export","1.0","0.14","1.51","0.0"
"Myanmar","East Asia & Pacific","2015.0","Export","647.0","89.36","10379250.1","85.09"
"Myanmar","Europe & Central Asia","2015.0","Export","193.0","26.66","424215.34","3.48"
"Myanmar","Ecuador","2015.0","Export","5.0","0.69","480.43","0.0"
"Myanmar","Egypt, Arab Rep.","2015.0","Export","5.0","0.69","44.07","0.0"
