"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mongolia","Aruba","2015.0","Export","","","",""
"Mongolia","Afghanistan","2015.0","Export","","","",""
"Mongolia","Albania","2015.0","Export","","","",""
"Mongolia","United Arab Emirates","2015.0","Export","29.0","2.74","14749.46","0.32"
"Mongolia","Argentina","2015.0","Export","","","",""
"Mongolia","Armenia","2015.0","Export","1.0","0.09","0.04","0.0"
"Mongolia","Australia","2015.0","Export","70.0","6.62","2891.23","0.06"
"Mongolia","Austria","2015.0","Export","27.0","2.55","1047.63","0.02"
"Mongolia","Azerbaijan","2015.0","Export","","","",""
"Mongolia","Burundi","2015.0","Export","","","",""
"Mongolia","Belgium","2015.0","Export","20.0","1.89","347.67","0.01"
"Mongolia","Bangladesh","2015.0","Export","","","",""
"Mongolia","Bulgaria","2015.0","Export","3.0","0.28","0.21","0.0"
"Mongolia","Bahrain","2015.0","Export","","","",""
"Mongolia","Bahamas, The","2015.0","Export","","","",""
"Mongolia","Bosnia and Herzegovina","2015.0","Export","","","",""
"Mongolia","Saint Barthélemy","2015.0","Export","","","",""
"Mongolia","Belarus","2015.0","Export","4.0","0.38","73.53","0.0"
"Mongolia","Belize","2015.0","Export","","","",""
"Mongolia","Bermuda","2015.0","Export","","","",""
"Mongolia","Bolivia","2015.0","Export","2.0","0.19","22.8","0.0"
"Mongolia","Brazil","2015.0","Export","","","",""
"Mongolia","Barbados","2015.0","Export","","","",""
"Mongolia","Brunei","2015.0","Export","","","",""
"Mongolia","Botswana","2015.0","Export","","","",""
"Mongolia","Canada","2015.0","Export","49.0","4.64","1628.71","0.03"
"Mongolia","Switzerland","2015.0","Export","38.0","3.6","109167.6","2.34"
"Mongolia","Chile","2015.0","Export","2.0","0.19","24.8","0.0"
"Mongolia","China","2015.0","Export","405.0","38.32","3897417.4","83.47"
"Mongolia","Cameroon","2015.0","Export","","","",""
"Mongolia","Colombia","2015.0","Export","","","",""
"Mongolia","Costa Rica","2015.0","Export","","","",""
"Mongolia","Cuba","2015.0","Export","","","",""
"Mongolia","Curaçao","2015.0","Export","","","",""
"Mongolia","Cyprus","2015.0","Export","","","",""
"Mongolia","Czech Republic","2015.0","Export","29.0","2.74","198.79","0.0"
"Mongolia","Germany","2015.0","Export","258.0","24.41","10810.01","0.23"
"Mongolia","Dominica","2015.0","Export","","","",""
"Mongolia","Denmark","2015.0","Export","20.0","1.89","55.22","0.0"
"Mongolia","Dominican Republic","2015.0","Export","","","",""
"Mongolia","East Asia & Pacific","2015.0","Export","790.0","74.74","4034417.26","86.4"
"Mongolia","Europe & Central Asia","2015.0","Export","602.0","56.95","594422.14","12.73"
"Mongolia","Ecuador","2015.0","Export","","","",""
"Mongolia","Egypt, Arab Rep.","2015.0","Export","7.0","0.66","4.82","0.0"
"Mongolia","Eritrea","2015.0","Export","","","",""
"Mongolia","Western Sahara","2015.0","Export","","","",""
"Mongolia","Spain","2015.0","Export","125.0","11.83","847.03","0.02"
"Mongolia","Estonia","2015.0","Export","","","",""
"Mongolia","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Mongolia","Finland","2015.0","Export","29.0","2.74","360.05","0.01"
"Mongolia","Fiji","2015.0","Export","","","",""
"Mongolia","France","2015.0","Export","69.0","6.53","7337.71","0.16"
"Mongolia","United Kingdom","2015.0","Export","179.0","16.93","337679.58","7.23"
"Mongolia","Georgia","2015.0","Export","","","",""
"Mongolia","Ghana","2015.0","Export","","","",""
"Mongolia","Gibraltar","2015.0","Export","","","",""
"Mongolia","Greece","2015.0","Export","","","",""
"Mongolia","Guatemala","2015.0","Export","","","",""
"Mongolia","Hong Kong, China","2015.0","Export","113.0","10.69","11808.81","0.25"
"Mongolia","Honduras","2015.0","Export","","","",""
"Mongolia","Croatia","2015.0","Export","","","",""
"Mongolia","Hungary","2015.0","Export","21.0","1.99","78.46","0.0"
"Mongolia","Indonesia","2015.0","Export","5.0","0.47","1696.12","0.04"
"Mongolia","India","2015.0","Export","10.0","0.95","3797.2","0.08"
"Mongolia","Ireland","2015.0","Export","3.0","0.28","3.09","0.0"
"Mongolia","Iran, Islamic Rep.","2015.0","Export","","","",""
"Mongolia","Iceland","2015.0","Export","","","",""
"Mongolia","Israel","2015.0","Export","8.0","0.76","13.41","0.0"
"Mongolia","Italy","2015.0","Export","62.0","5.87","43401.13","0.93"
"Mongolia","Jamaica","2015.0","Export","","","",""
"Mongolia","Jordan","2015.0","Export","9.0","0.85","0.89","0.0"
"Mongolia","Japan","2015.0","Export","265.0","25.07","20315.27","0.44"
"Mongolia","Kazakhstan","2015.0","Export","77.0","7.28","2064.31","0.04"
"Mongolia","Kenya","2015.0","Export","","","",""
"Mongolia","Kyrgyz Republic","2015.0","Export","6.0","0.57","1632.98","0.04"
"Mongolia","Cambodia","2015.0","Export","","","",""
"Mongolia","Korea, Rep.","2015.0","Export","226.0","21.38","66571.88","1.43"
"Mongolia","Kuwait","2015.0","Export","1.0","0.09","102.69","0.0"
"Mongolia","Lao PDR","2015.0","Export","","","",""
"Mongolia","Lebanon","2015.0","Export","1.0","0.09","15.0","0.0"
"Mongolia","Latin America & Caribbean","2015.0","Export","6.0","0.57","54.6","0.0"
"Mongolia","Sri Lanka","2015.0","Export","1.0","0.09","0.2","0.0"
"Mongolia","Lithuania","2015.0","Export","8.0","0.76","26.2","0.0"
"Mongolia","Luxembourg","2015.0","Export","","","",""
"Mongolia","Latvia","2015.0","Export","2.0","0.19","7.47","0.0"
"Mongolia","Macao","2015.0","Export","","","",""
"Mongolia","Morocco","2015.0","Export","","","",""
"Mongolia","Moldova","2015.0","Export","","","",""
"Mongolia","Madagascar","2015.0","Export","","","",""
"Mongolia","Middle East & North Africa","2015.0","Export","52.0","4.92","15264.72","0.33"
"Mongolia","Mexico","2015.0","Export","3.0","0.28","7.0","0.0"
"Mongolia","Macedonia, FYR","2015.0","Export","","","",""
"Mongolia","Malta","2015.0","Export","2.0","0.19","1.82","0.0"
"Mongolia","Myanmar","2015.0","Export","2.0","0.19","24.23","0.0"
"Mongolia","Mongolia","2015.0","Export","","","",""
"Mongolia","Mauritania","2015.0","Export","","","",""
"Mongolia","Mauritius","2015.0","Export","","","",""
"Mongolia","Malaysia","2015.0","Export","20.0","1.89","145.0","0.0"
"Mongolia","North America","2015.0","Export","254.0","24.03","20361.06","0.44"
"Mongolia","Namibia","2015.0","Export","","","",""
"Mongolia","Niger","2015.0","Export","","","",""
"Mongolia","Nicaragua","2015.0","Export","","","",""
"Mongolia","Netherlands","2015.0","Export","35.0","3.31","482.55","0.01"
"Mongolia","Norway","2015.0","Export","22.0","2.08","567.78","0.01"
"Mongolia","Nepal","2015.0","Export","2.0","0.19","46.85","0.0"
"Mongolia","Nauru","2015.0","Export","","","",""
"Mongolia","New Zealand","2015.0","Export","21.0","1.99","52.61","0.0"
"Mongolia","Other Asia, nes","2015.0","Export","26.0","2.46","894.35","0.02"
"Mongolia","Pakistan","2015.0","Export","1.0","0.09","0.95","0.0"
"Mongolia","Panama","2015.0","Export","","","",""
"Mongolia","Peru","2015.0","Export","","","",""
"Mongolia","Philippines","2015.0","Export","37.0","3.5","917.85","0.02"
"Mongolia","Papua New Guinea","2015.0","Export","","","",""
"Mongolia","Poland","2015.0","Export","24.0","2.27","60.16","0.0"
"Mongolia","Korea, Dem. Rep.","2015.0","Export","1.0","0.09","691.84","0.01"
"Mongolia","Portugal","2015.0","Export","3.0","0.28","7.58","0.0"
"Mongolia","Qatar","2015.0","Export","5.0","0.47","328.47","0.01"
"Mongolia","Romania","2015.0","Export","10.0","0.95","27.88","0.0"
"Mongolia","Russian Federation","2015.0","Export","109.0","10.31","76871.68","1.65"
"Mongolia","South Asia","2015.0","Export","12.0","1.14","3845.21","0.08"
"Mongolia","Saudi Arabia","2015.0","Export","1.0","0.09","48.16","0.0"
"Mongolia","Senegal","2015.0","Export","","","",""
"Mongolia","Serbia, FR(Serbia/Montenegro)","2015.0","Export","1.0","0.09","1.5","0.0"
"Mongolia","Singapore","2015.0","Export","129.0","12.2","26649.83","0.57"
"Mongolia","Sierra Leone","2015.0","Export","","","",""
"Mongolia","El Salvador","2015.0","Export","","","",""
"Mongolia","Somalia","2015.0","Export","","","",""
