"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mozambique","Aruba","2015.0","Export","","","",""
"Mozambique","Afghanistan","2015.0","Export","10.0","0.83","47.17","0.0"
"Mozambique","Angola","2015.0","Export","104.0","8.62","4650.6","0.15"
"Mozambique","Albania","2015.0","Export","","","",""
"Mozambique","Andorra","2015.0","Export","","","",""
"Mozambique","United Arab Emirates","2015.0","Export","136.0","11.27","34278.56","1.07"
"Mozambique","Argentina","2015.0","Export","6.0","0.5","14211.21","0.44"
"Mozambique","American Samoa","2015.0","Export","","","",""
"Mozambique","Antigua and Barbuda","2015.0","Export","","","",""
"Mozambique","Australia","2015.0","Export","6.0","0.5","2371.92","0.07"
"Mozambique","Austria","2015.0","Export","3.0","0.25","26.89","0.0"
"Mozambique","Azerbaijan","2015.0","Export","","","",""
"Mozambique","Burundi","2015.0","Export","","","",""
"Mozambique","Belgium","2015.0","Export","6.0","0.5","88811.56","2.78"
"Mozambique","Benin","2015.0","Export","","","",""
"Mozambique","Burkina Faso","2015.0","Export","","","",""
"Mozambique","Bangladesh","2015.0","Export","2.0","0.17","4377.46","0.14"
"Mozambique","Bulgaria","2015.0","Export","1.0","0.08","67.18","0.0"
"Mozambique","Bahrain","2015.0","Export","4.0","0.33","13933.61","0.44"
"Mozambique","Bahamas, The","2015.0","Export","","","",""
"Mozambique","Bosnia and Herzegovina","2015.0","Export","","","",""
"Mozambique","Belarus","2015.0","Export","","","",""
"Mozambique","Belize","2015.0","Export","","","",""
"Mozambique","Bermuda","2015.0","Export","","","",""
"Mozambique","Bolivia","2015.0","Export","","","",""
"Mozambique","Brazil","2015.0","Export","6.0","0.5","1372.04","0.04"
"Mozambique","Brunei","2015.0","Export","","","",""
"Mozambique","Bouvet Island","2015.0","Export","","","",""
"Mozambique","Botswana","2015.0","Export","10.0","0.83","288.1","0.01"
"Mozambique","Canada","2015.0","Export","43.0","3.56","2585.49","0.08"
"Mozambique","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Mozambique","Switzerland","2015.0","Export","11.0","0.91","19553.8","0.61"
"Mozambique","Chile","2015.0","Export","1.0","0.08","28.19","0.0"
"Mozambique","China","2015.0","Export","66.0","5.47","87874.96","2.75"
"Mozambique","Cote d'Ivoire","2015.0","Export","6.0","0.5","174.2","0.01"
"Mozambique","Cameroon","2015.0","Export","18.0","1.49","169.84","0.01"
"Mozambique","Congo, Rep.","2015.0","Export","42.0","3.48","2157.32","0.07"
"Mozambique","Colombia","2015.0","Export","168.0","13.92","1132.88","0.04"
"Mozambique","Cape Verde","2015.0","Export","","","",""
"Mozambique","Costa Rica","2015.0","Export","1.0","0.08","283.08","0.01"
"Mozambique","Cuba","2015.0","Export","1.0","0.08","7.58","0.0"
"Mozambique","Curaçao","2015.0","Export","40.0","3.31","4831.92","0.15"
"Mozambique","Christmas Island","2015.0","Export","","","",""
"Mozambique","Cayman Islands","2015.0","Export","","","",""
"Mozambique","Cyprus","2015.0","Export","27.0","2.24","10372.56","0.32"
"Mozambique","Czech Republic","2015.0","Export","2.0","0.17","149.81","0.0"
"Mozambique","Germany","2015.0","Export","34.0","2.82","23840.68","0.75"
"Mozambique","Dominica","2015.0","Export","","","",""
"Mozambique","Denmark","2015.0","Export","2.0","0.17","2.15","0.0"
"Mozambique","Dominican Republic","2015.0","Export","1.0","0.08","194.42","0.01"
"Mozambique","Algeria","2015.0","Export","7.0","0.58","140.3","0.0"
"Mozambique","East Asia & Pacific","2015.0","Export","141.0","11.68","339923.57","10.64"
"Mozambique","Europe & Central Asia","2015.0","Export","385.0","31.9","1571069.23","49.16"
"Mozambique","Ecuador","2015.0","Export","1.0","0.08","37.72","0.0"
"Mozambique","Egypt, Arab Rep.","2015.0","Export","2.0","0.17","100.88","0.0"
"Mozambique","Western Sahara","2015.0","Export","","","",""
"Mozambique","Spain","2015.0","Export","17.0","1.41","26586.4","0.83"
"Mozambique","Estonia","2015.0","Export","2.0","0.17","8.3","0.0"
"Mozambique","Ethiopia(excludes Eritrea)","2015.0","Export","1.0","0.08","31.13","0.0"
"Mozambique","Finland","2015.0","Export","4.0","0.33","5198.79","0.16"
"Mozambique","Fiji","2015.0","Export","","","",""
"Mozambique","France","2015.0","Export","34.0","2.82","31234.26","0.98"
"Mozambique","Gabon","2015.0","Export","13.0","1.08","694.43","0.02"
"Mozambique","United Kingdom","2015.0","Export","90.0","7.46","80874.02","2.53"
"Mozambique","Georgia","2015.0","Export","1.0","0.08","12481.72","0.39"
"Mozambique","Ghana","2015.0","Export","19.0","1.57","1574.29","0.05"
"Mozambique","Gibraltar","2015.0","Export","","","",""
"Mozambique","Guinea","2015.0","Export","3.0","0.25","87.07","0.0"
"Mozambique","Guinea-Bissau","2015.0","Export","","","",""
"Mozambique","Equatorial Guinea","2015.0","Export","21.0","1.74","83.85","0.0"
"Mozambique","Greece","2015.0","Export","3.0","0.25","6175.47","0.19"
"Mozambique","Guatemala","2015.0","Export","","","",""
"Mozambique","Hong Kong, China","2015.0","Export","27.0","2.24","27845.31","0.87"
"Mozambique","Honduras","2015.0","Export","","","",""
"Mozambique","Croatia","2015.0","Export","1.0","0.08","1261.73","0.04"
"Mozambique","Haiti","2015.0","Export","1.0","0.08","82.86","0.0"
"Mozambique","Hungary","2015.0","Export","2.0","0.17","617.63","0.02"
"Mozambique","Indonesia","2015.0","Export","15.0","1.24","6985.12","0.22"
"Mozambique","India","2015.0","Export","37.0","3.07","339036.47","10.61"
"Mozambique","Ireland","2015.0","Export","","","",""
"Mozambique","Iran, Islamic Rep.","2015.0","Export","1.0","0.08","181.27","0.01"
"Mozambique","Iraq","2015.0","Export","","","",""
"Mozambique","Iceland","2015.0","Export","3.0","0.25","3.59","0.0"
"Mozambique","Israel","2015.0","Export","","","",""
"Mozambique","Italy","2015.0","Export","38.0","3.15","100086.3","3.13"
"Mozambique","Jamaica","2015.0","Export","1.0","0.08","15.44","0.0"
"Mozambique","Jordan","2015.0","Export","1.0","0.08","14.07","0.0"
"Mozambique","Japan","2015.0","Export","19.0","1.57","17814.26","0.56"
"Mozambique","Kazakhstan","2015.0","Export","","","",""
"Mozambique","Kenya","2015.0","Export","39.0","3.23","3159.22","0.1"
"Mozambique","Kyrgyz Republic","2015.0","Export","","","",""
"Mozambique","Cambodia","2015.0","Export","","","",""
"Mozambique","Korea, Rep.","2015.0","Export","6.0","0.5","23713.29","0.74"
"Mozambique","Kuwait","2015.0","Export","1.0","0.08","304.67","0.01"
"Mozambique","Lebanon","2015.0","Export","3.0","0.25","742.14","0.02"
"Mozambique","Liberia","2015.0","Export","1.0","0.08","2.8","0.0"
"Mozambique","Libya","2015.0","Export","2.0","0.17","56.32","0.0"
"Mozambique","Latin America & Caribbean","2015.0","Export","186.0","15.41","23792.32","0.74"
"Mozambique","Sri Lanka","2015.0","Export","1.0","0.08","8.63","0.0"
