"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mauritius","Aruba","2015.0","Export","","","",""
"Mauritius","Afghanistan","2015.0","Export","1.0","0.04","10.08","0.0"
"Mauritius","Angola","2015.0","Export","71.0","2.87","821.57","0.03"
"Mauritius","Anguila","2015.0","Export","","","",""
"Mauritius","Albania","2015.0","Export","","","",""
"Mauritius","United Arab Emirates","2015.0","Export","255.0","10.29","306766.98","12.36"
"Mauritius","Argentina","2015.0","Export","4.0","0.16","100.7","0.0"
"Mauritius","Armenia","2015.0","Export","1.0","0.04","0.32","0.0"
"Mauritius","American Samoa","2015.0","Export","","","",""
"Mauritius","Fr. So. Ant. Tr","2015.0","Export","5.0","0.2","0.92","0.0"
"Mauritius","Antigua and Barbuda","2015.0","Export","5.0","0.2","19.47","0.0"
"Mauritius","Australia","2015.0","Export","164.0","6.62","15027.9","0.61"
"Mauritius","Austria","2015.0","Export","63.0","2.54","5735.4","0.23"
"Mauritius","Azerbaijan","2015.0","Export","","","",""
"Mauritius","Burundi","2015.0","Export","4.0","0.16","285.17","0.01"
"Mauritius","Belgium","2015.0","Export","106.0","4.28","47651.62","1.92"
"Mauritius","Benin","2015.0","Export","3.0","0.12","60.83","0.0"
"Mauritius","Burkina Faso","2015.0","Export","4.0","0.16","3.88","0.0"
"Mauritius","Bangladesh","2015.0","Export","85.0","3.43","14384.57","0.58"
"Mauritius","Bulgaria","2015.0","Export","9.0","0.36","667.03","0.03"
"Mauritius","Bahrain","2015.0","Export","5.0","0.2","22.07","0.0"
"Mauritius","Bahamas, The","2015.0","Export","","","",""
"Mauritius","Bosnia and Herzegovina","2015.0","Export","1.0","0.04","188.83","0.01"
"Mauritius","Belarus","2015.0","Export","","","",""
"Mauritius","Belize","2015.0","Export","2.0","0.08","79.85","0.0"
"Mauritius","Bermuda","2015.0","Export","2.0","0.08","3751.52","0.15"
"Mauritius","Bolivia","2015.0","Export","","","",""
"Mauritius","Brazil","2015.0","Export","8.0","0.32","770.31","0.03"
"Mauritius","Barbados","2015.0","Export","2.0","0.08","9.54","0.0"
"Mauritius","Bhutan","2015.0","Export","1.0","0.04","0.97","0.0"
"Mauritius","Botswana","2015.0","Export","18.0","0.73","29.96","0.0"
"Mauritius","Central African Republic","2015.0","Export","2.0","0.08","0.14","0.0"
"Mauritius","Canada","2015.0","Export","56.0","2.26","10078.8","0.41"
"Mauritius","Switzerland","2015.0","Export","148.0","5.97","28552.58","1.15"
"Mauritius","Chile","2015.0","Export","5.0","0.2","172.58","0.01"
"Mauritius","China","2015.0","Export","314.0","12.67","18992.67","0.77"
"Mauritius","Cote d'Ivoire","2015.0","Export","43.0","1.74","548.09","0.02"
"Mauritius","Cameroon","2015.0","Export","32.0","1.29","58.43","0.0"
"Mauritius","Congo, Rep.","2015.0","Export","130.0","5.25","978.63","0.04"
"Mauritius","Cook Islands","2015.0","Export","17.0","0.69","104.95","0.0"
"Mauritius","Colombia","2015.0","Export","","","",""
"Mauritius","Comoros","2015.0","Export","258.0","10.41","5543.83","0.22"
"Mauritius","Cape Verde","2015.0","Export","1.0","0.04","287.0","0.01"
"Mauritius","Costa Rica","2015.0","Export","1.0","0.04","0.45","0.0"
"Mauritius","Cuba","2015.0","Export","","","",""
"Mauritius","Curaçao","2015.0","Export","1.0","0.04","82.72","0.0"
"Mauritius","Cyprus","2015.0","Export","6.0","0.24","31.13","0.0"
"Mauritius","Czech Republic","2015.0","Export","28.0","1.13","4497.03","0.18"
"Mauritius","Germany","2015.0","Export","306.0","12.35","27885.13","1.12"
"Mauritius","Djibouti","2015.0","Export","6.0","0.24","82.72","0.0"
"Mauritius","Denmark","2015.0","Export","59.0","2.38","5708.69","0.23"
"Mauritius","Dominican Republic","2015.0","Export","","","",""
"Mauritius","Algeria","2015.0","Export","3.0","0.12","234.34","0.01"
"Mauritius","East Asia & Pacific","2015.0","Export","793.0","32.0","225381.11","9.08"
"Mauritius","Europe & Central Asia","2015.0","Export","1665.0","67.19","1109318.69","44.71"
"Mauritius","Ecuador","2015.0","Export","","","",""
"Mauritius","Egypt, Arab Rep.","2015.0","Export","28.0","1.13","3158.81","0.13"
"Mauritius","Spain","2015.0","Export","463.0","18.68","107933.92","4.35"
"Mauritius","Estonia","2015.0","Export","1.0","0.04","6.12","0.0"
"Mauritius","Ethiopia(excludes Eritrea)","2015.0","Export","10.0","0.4","378.01","0.02"
"Mauritius","Finland","2015.0","Export","11.0","0.44","8460.48","0.34"
"Mauritius","Fiji","2015.0","Export","","","",""
"Mauritius","France","2015.0","Export","1316.0","53.11","294848.42","11.88"
"Mauritius","Gabon","2015.0","Export","46.0","1.86","1067.17","0.04"
"Mauritius","United Kingdom","2015.0","Export","523.0","21.11","325114.01","13.1"
"Mauritius","Georgia","2015.0","Export","","","",""
"Mauritius","Ghana","2015.0","Export","18.0","0.73","622.3","0.03"
"Mauritius","Guinea","2015.0","Export","1.0","0.04","28.3","0.0"
"Mauritius","Gambia, The","2015.0","Export","2.0","0.08","14.14","0.0"
"Mauritius","Equatorial Guinea","2015.0","Export","1.0","0.04","0.59","0.0"
"Mauritius","Greece","2015.0","Export","12.0","0.48","15244.88","0.61"
"Mauritius","Grenada","2015.0","Export","7.0","0.28","23.15","0.0"
"Mauritius","Greenland","2015.0","Export","","","",""
"Mauritius","Guatemala","2015.0","Export","","","",""
"Mauritius","Guam","2015.0","Export","","","",""
"Mauritius","Guyana","2015.0","Export","8.0","0.32","17.87","0.0"
"Mauritius","Hong Kong, China","2015.0","Export","169.0","6.82","8942.0","0.36"
"Mauritius","Honduras","2015.0","Export","","","",""
"Mauritius","Croatia","2015.0","Export","6.0","0.24","344.7","0.01"
"Mauritius","Haiti","2015.0","Export","1.0","0.04","0.14","0.0"
"Mauritius","Hungary","2015.0","Export","20.0","0.81","615.81","0.02"
"Mauritius","Indonesia","2015.0","Export","38.0","1.53","1119.26","0.05"
"Mauritius","India","2015.0","Export","185.0","7.47","21332.29","0.86"
"Mauritius","Ireland","2015.0","Export","22.0","0.89","2278.15","0.09"
"Mauritius","Iran, Islamic Rep.","2015.0","Export","3.0","0.12","721.97","0.03"
"Mauritius","Iraq","2015.0","Export","1.0","0.04","0.52","0.0"
"Mauritius","Iceland","2015.0","Export","","","",""
"Mauritius","Israel","2015.0","Export","15.0","0.61","1424.09","0.06"
"Mauritius","Italy","2015.0","Export","156.0","6.3","134747.97","5.43"
"Mauritius","Jamaica","2015.0","Export","38.0","1.53","113.07","0.0"
"Mauritius","Jordan","2015.0","Export","","","",""
"Mauritius","Japan","2015.0","Export","64.0","2.58","27739.01","1.12"
"Mauritius","Kazakhstan","2015.0","Export","2.0","0.08","12.19","0.0"
"Mauritius","Kenya","2015.0","Export","92.0","3.71","22192.11","0.89"
"Mauritius","Kyrgyz Republic","2015.0","Export","","","",""
"Mauritius","Cambodia","2015.0","Export","6.0","0.24","10.51","0.0"
"Mauritius","St. Kitts and Nevis","2015.0","Export","","","",""
"Mauritius","Korea, Rep.","2015.0","Export","212.0","8.56","5877.06","0.24"
"Mauritius","Kuwait","2015.0","Export","2.0","0.08","104.12","0.0"
"Mauritius","Lao PDR","2015.0","Export","","","",""
"Mauritius","Lebanon","2015.0","Export","3.0","0.12","48.18","0.0"
"Mauritius","Liberia","2015.0","Export","3.0","0.12","72.25","0.0"
"Mauritius","St. Lucia","2015.0","Export","","","",""
"Mauritius","Latin America & Caribbean","2015.0","Export","87.0","3.51","10772.45","0.43"
"Mauritius","Sri Lanka","2015.0","Export","44.0","1.78","845.17","0.03"
"Mauritius","Lesotho","2015.0","Export","3.0","0.12","17.1","0.0"
"Mauritius","Lithuania","2015.0","Export","2.0","0.08","2.38","0.0"
"Mauritius","Luxembourg","2015.0","Export","14.0","0.56","61.33","0.0"
"Mauritius","Latvia","2015.0","Export","3.0","0.12","208.72","0.01"
"Mauritius","Macao","2015.0","Export","2.0","0.08","3.69","0.0"
"Mauritius","Morocco","2015.0","Export","16.0","0.65","1165.96","0.05"
"Mauritius","Moldova","2015.0","Export","4.0","0.16","20.41","0.0"
"Mauritius","Madagascar","2015.0","Export","1254.0","50.61","161457.38","6.51"
"Mauritius","Maldives","2015.0","Export","151.0","6.09","1105.82","0.04"
"Mauritius","Middle East & North Africa","2015.0","Export","449.0","18.12","330512.16","13.32"
"Mauritius","Mexico","2015.0","Export","11.0","0.44","4886.94","0.2"
"Mauritius","Marshall Islands","2015.0","Export","2.0","0.08","219.42","0.01"
"Mauritius","Macedonia, FYR","2015.0","Export","4.0","0.16","90.65","0.0"
"Mauritius","Mali","2015.0","Export","2.0","0.08","1.34","0.0"
"Mauritius","Malta","2015.0","Export","10.0","0.4","3289.12","0.13"
"Mauritius","Myanmar","2015.0","Export","","","",""
"Mauritius","Mongolia","2015.0","Export","","","",""
"Mauritius","Northern Mariana Islands","2015.0","Export","","","",""
"Mauritius","Mozambique","2015.0","Export","56.0","2.26","1211.46","0.05"
"Mauritius","Mauritania","2015.0","Export","2.0","0.08","0.25","0.0"
"Mauritius","Malawi","2015.0","Export","16.0","0.65","102.64","0.0"
"Mauritius","Malaysia","2015.0","Export","101.0","4.08","4191.95","0.17"
"Mauritius","North America","2015.0","Export","287.0","11.58","277565.0","11.19"
"Mauritius","Namibia","2015.0","Export","27.0","1.09","178.77","0.01"
"Mauritius","New Caledonia","2015.0","Export","10.0","0.4","47.62","0.0"
"Mauritius","Niger","2015.0","Export","","","",""
"Mauritius","Nigeria","2015.0","Export","66.0","2.66","613.49","0.02"
"Mauritius","Nicaragua","2015.0","Export","1.0","0.04","0.64","0.0"
"Mauritius","Niue","2015.0","Export","2.0","0.08","0.32","0.0"
"Mauritius","Netherlands","2015.0","Export","115.0","4.64","65519.36","2.64"
"Mauritius","Norway","2015.0","Export","15.0","0.61","2715.93","0.11"
"Mauritius","Nepal","2015.0","Export","1.0","0.04","0.05","0.0"
"Mauritius","Nauru","2015.0","Export","","","",""
"Mauritius","New Zealand","2015.0","Export","206.0","8.31","1260.63","0.05"
"Mauritius","Other Asia, nes","2015.0","Export","121.0","4.88","30995.3","1.25"
"Mauritius","Oman","2015.0","Export","11.0","0.44","2762.09","0.11"
"Mauritius","Pakistan","2015.0","Export","24.0","0.97","1128.26","0.05"
"Mauritius","Panama","2015.0","Export","15.0","0.61","4220.31","0.17"
"Mauritius","Pitcairn","2015.0","Export","","","",""
"Mauritius","Peru","2015.0","Export","8.0","0.32","59.83","0.0"
"Mauritius","Philippines","2015.0","Export","18.0","0.73","845.45","0.03"
"Mauritius","Papua New Guinea","2015.0","Export","1.0","0.04","42.3","0.0"
"Mauritius","Poland","2015.0","Export","22.0","0.89","5376.48","0.22"
"Mauritius","Korea, Dem. Rep.","2015.0","Export","","","",""
"Mauritius","Portugal","2015.0","Export","151.0","6.09","11785.88","0.47"
"Mauritius","Paraguay","2015.0","Export","","","",""
"Mauritius","French Polynesia","2015.0","Export","4.0","0.16","1.95","0.0"
"Mauritius","Qatar","2015.0","Export","176.0","7.1","9077.0","0.37"
"Mauritius","Romania","2015.0","Export","27.0","1.09","641.29","0.03"
"Mauritius","Russian Federation","2015.0","Export","14.0","0.56","2442.85","0.1"
"Mauritius","Rwanda","2015.0","Export","29.0","1.17","3368.64","0.14"
"Mauritius","South Asia","2015.0","Export","391.0","15.78","38807.21","1.56"
"Mauritius","Saudi Arabia","2015.0","Export","22.0","0.89","1237.57","0.05"
"Mauritius","Senegal","2015.0","Export","30.0","1.21","96.47","0.0"
"Mauritius","Serbia, FR(Serbia/Montenegro)","2015.0","Export","","","",""
"Mauritius","Singapore","2015.0","Export","135.0","5.45","33219.53","1.34"
"Mauritius","South Georgia and the South Sa","2015.0","Export","1.0","0.04","0.34","0.0"
"Mauritius","Saint Helena","2015.0","Export","","","",""
"Mauritius","Sierra Leone","2015.0","Export","","","",""
"Mauritius","El Salvador","2015.0","Export","1.0","0.04","293.43","0.01"
"Mauritius","San Marino","2015.0","Export","","","",""
"Mauritius","Sub-Saharan Africa","2015.0","Export","1939.0","78.25","457490.76","18.44"
"Mauritius","Sudan","2015.0","Export","9.0","0.36","60.8","0.0"
"Mauritius","Suriname","2015.0","Export","","","",""
"Mauritius","Slovak Republic","2015.0","Export","8.0","0.32","110.4","0.0"
"Mauritius","Slovenia","2015.0","Export","2.0","0.08","179.72","0.01"
