"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Malawi","Angola","2015.0","Export","3.0","0.26","53.52","0.01"
"Malawi","Albania","2015.0","Export","1.0","0.09","17.08","0.0"
"Malawi","Andorra","2015.0","Export","6.0","0.53","0.92","0.0"
"Malawi","United Arab Emirates","2015.0","Export","17.0","1.49","21251.4","1.97"
"Malawi","Argentina","2015.0","Export","34.0","2.98","658.41","0.06"
"Malawi","Armenia","2015.0","Export","1.0","0.09","3286.88","0.3"
"Malawi","Antigua and Barbuda","2015.0","Export","1.0","0.09","10.79","0.0"
"Malawi","Australia","2015.0","Export","34.0","2.98","1963.07","0.18"
"Malawi","Austria","2015.0","Export","","","",""
"Malawi","Azerbaijan","2015.0","Export","1.0","0.09","39.25","0.0"
"Malawi","Burundi","2015.0","Export","2.0","0.18","736.83","0.07"
"Malawi","Belgium","2015.0","Export","24.0","2.1","114046.37","10.56"
"Malawi","Burkina Faso","2015.0","Export","1.0","0.09","0.1","0.0"
"Malawi","Bangladesh","2015.0","Export","3.0","0.26","720.07","0.07"
"Malawi","Bulgaria","2015.0","Export","1.0","0.09","510.98","0.05"
"Malawi","Bahrain","2015.0","Export","","","",""
"Malawi","Bosnia and Herzegovina","2015.0","Export","1.0","0.09","396.45","0.04"
"Malawi","Belarus","2015.0","Export","1.0","0.09","991.08","0.09"
"Malawi","Belize","2015.0","Export","","","",""
"Malawi","Bolivia","2015.0","Export","","","",""
"Malawi","Brazil","2015.0","Export","27.0","2.36","182.13","0.02"
"Malawi","Brunei","2015.0","Export","","","",""
"Malawi","Botswana","2015.0","Export","16.0","1.4","1762.75","0.16"
"Malawi","Canada","2015.0","Export","14.0","1.23","2203.31","0.2"
"Malawi","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Malawi","Switzerland","2015.0","Export","21.0","1.84","12840.78","1.19"
"Malawi","Chile","2015.0","Export","1.0","0.09","0.1","0.0"
"Malawi","China","2015.0","Export","26.0","2.28","55873.87","5.17"
"Malawi","Cameroon","2015.0","Export","3.0","0.26","0.49","0.0"
"Malawi","Congo, Rep.","2015.0","Export","2.0","0.18","30.43","0.0"
"Malawi","Colombia","2015.0","Export","1.0","0.09","66.97","0.01"
"Malawi","Costa Rica","2015.0","Export","4.0","0.35","1.74","0.0"
"Malawi","Cuba","2015.0","Export","","","",""
"Malawi","Curaçao","2015.0","Export","","","",""
"Malawi","Cyprus","2015.0","Export","","","",""
"Malawi","Czech Republic","2015.0","Export","2.0","0.18","7784.13","0.72"
"Malawi","Germany","2015.0","Export","68.0","5.95","50213.35","4.65"
"Malawi","Denmark","2015.0","Export","12.0","1.05","4928.61","0.46"
"Malawi","Algeria","2015.0","Export","1.0","0.09","2385.56","0.22"
"Malawi","East Asia & Pacific","2015.0","Export","84.0","7.36","103669.18","9.6"
"Malawi","Europe & Central Asia","2015.0","Export","280.0","24.52","421608.44","39.03"
"Malawi","Ecuador","2015.0","Export","","","",""
"Malawi","Egypt, Arab Rep.","2015.0","Export","5.0","0.44","56761.97","5.26"
"Malawi","Eritrea","2015.0","Export","","","",""
"Malawi","Spain","2015.0","Export","6.0","0.53","9392.04","0.87"
"Malawi","Estonia","2015.0","Export","","","",""
"Malawi","Ethiopia(excludes Eritrea)","2015.0","Export","21.0","1.84","195.66","0.02"
"Malawi","Finland","2015.0","Export","2.0","0.18","1952.39","0.18"
"Malawi","Fiji","2015.0","Export","1.0","0.09","43.11","0.0"
"Malawi","France","2015.0","Export","17.0","1.49","2259.93","0.21"
"Malawi","Gabon","2015.0","Export","11.0","0.96","8.59","0.0"
"Malawi","United Kingdom","2015.0","Export","113.0","9.89","63882.97","5.91"
"Malawi","Georgia","2015.0","Export","1.0","0.09","10.58","0.0"
"Malawi","Ghana","2015.0","Export","7.0","0.61","9.32","0.0"
"Malawi","Gibraltar","2015.0","Export","","","",""
"Malawi","Guinea","2015.0","Export","","","",""
"Malawi","Gambia, The","2015.0","Export","","","",""
"Malawi","Greece","2015.0","Export","1.0","0.09","5640.57","0.52"
"Malawi","Hong Kong, China","2015.0","Export","14.0","1.23","4908.85","0.45"
"Malawi","Honduras","2015.0","Export","","","",""
"Malawi","Haiti","2015.0","Export","1.0","0.09","89.72","0.01"
"Malawi","Hungary","2015.0","Export","2.0","0.18","80.09","0.01"
"Malawi","Indonesia","2015.0","Export","5.0","0.44","8447.62","0.78"
"Malawi","India","2015.0","Export","81.0","7.09","52199.2","4.83"
"Malawi","British Indian Ocean Ter.","2015.0","Export","","","",""
"Malawi","Ireland","2015.0","Export","5.0","0.44","2.13","0.0"
"Malawi","Iran, Islamic Rep.","2015.0","Export","4.0","0.35","0.69","0.0"
"Malawi","Iceland","2015.0","Export","","","",""
"Malawi","Israel","2015.0","Export","6.0","0.53","159.99","0.01"
"Malawi","Italy","2015.0","Export","8.0","0.7","8435.23","0.78"
"Malawi","Jamaica","2015.0","Export","","","",""
"Malawi","Jordan","2015.0","Export","3.0","0.26","2832.76","0.26"
"Malawi","Japan","2015.0","Export","14.0","1.23","1627.35","0.15"
"Malawi","Kazakhstan","2015.0","Export","3.0","0.26","160.69","0.01"
"Malawi","Kenya","2015.0","Export","85.0","7.44","15302.92","1.42"
"Malawi","Cambodia","2015.0","Export","1.0","0.09","1154.9","0.11"
"Malawi","Korea, Rep.","2015.0","Export","3.0","0.26","12715.42","1.18"
"Malawi","Kuwait","2015.0","Export","","","",""
"Malawi","Lebanon","2015.0","Export","1.0","0.09","752.04","0.07"
"Malawi","Liberia","2015.0","Export","4.0","0.35","0.44","0.0"
"Malawi","Libya","2015.0","Export","","","",""
"Malawi","Latin America & Caribbean","2015.0","Export","58.0","5.08","1496.49","0.14"
"Malawi","Sri Lanka","2015.0","Export","8.0","0.7","51.9","0.0"
"Malawi","Lesotho","2015.0","Export","","","",""
"Malawi","Lithuania","2015.0","Export","3.0","0.26","2789.98","0.26"
"Malawi","Luxembourg","2015.0","Export","1.0","0.09","193.67","0.02"
"Malawi","Latvia","2015.0","Export","","","",""
"Malawi","Macao","2015.0","Export","","","",""
