"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Malaysia","Aruba","2015.0","Export","11.0","0.27","418.09","0.0"
"Malaysia","Afghanistan","2015.0","Export","29.0","0.7","99125.52","0.05"
"Malaysia","Angola","2015.0","Export","167.0","4.05","471563.69","0.24"
"Malaysia","Anguila","2015.0","Export","1.0","0.02","24.19","0.0"
"Malaysia","Albania","2015.0","Export","26.0","0.63","11399.68","0.01"
"Malaysia","Andorra","2015.0","Export","8.0","0.19","558.75","0.0"
"Malaysia","United Arab Emirates","2015.0","Export","1405.0","34.11","3038580.25","1.52"
"Malaysia","Argentina","2015.0","Export","328.0","7.96","208302.14","0.1"
"Malaysia","Armenia","2015.0","Export","24.0","0.58","3319.17","0.0"
"Malaysia","American Samoa","2015.0","Export","27.0","0.66","10194.27","0.01"
"Malaysia","Antarctica","2015.0","Export","1.0","0.02","37.09","0.0"
"Malaysia","Antigua and Barbuda","2015.0","Export","25.0","0.61","1768.14","0.0"
"Malaysia","Australia","2015.0","Export","2001.0","48.58","7208750.04","3.6"
"Malaysia","Austria","2015.0","Export","298.0","7.23","163362.06","0.08"
"Malaysia","Azerbaijan","2015.0","Export","107.0","2.6","26961.87","0.01"
"Malaysia","Burundi","2015.0","Export","6.0","0.15","482.24","0.0"
"Malaysia","Belgium","2015.0","Export","571.0","13.86","961789.51","0.48"
"Malaysia","Benin","2015.0","Export","71.0","1.72","339174.35","0.17"
"Malaysia","Burkina Faso","2015.0","Export","31.0","0.75","2499.54","0.0"
"Malaysia","Bangladesh","2015.0","Export","979.0","23.77","1000824.11","0.5"
"Malaysia","Bulgaria","2015.0","Export","149.0","3.62","57560.35","0.03"
"Malaysia","Bahrain","2015.0","Export","377.0","9.15","58034.65","0.03"
"Malaysia","Bahamas, The","2015.0","Export","113.0","2.74","15819.71","0.01"
"Malaysia","Bosnia and Herzegovina","2015.0","Export","17.0","0.41","543.27","0.0"
"Malaysia","Belarus","2015.0","Export","25.0","0.61","1163.43","0.0"
"Malaysia","Belize","2015.0","Export","29.0","0.7","2611.79","0.0"
"Malaysia","Bermuda","2015.0","Export","6.0","0.15","568.15","0.0"
"Malaysia","Bolivia","2015.0","Export","54.0","1.31","7010.75","0.0"
"Malaysia","Brazil","2015.0","Export","594.0","14.42","800120.77","0.4"
"Malaysia","Barbados","2015.0","Export","40.0","0.97","1645.36","0.0"
"Malaysia","Brunei","2015.0","Export","1833.0","44.5","689674.1","0.34"
"Malaysia","Bhutan","2015.0","Export","13.0","0.32","463.79","0.0"
"Malaysia","Botswana","2015.0","Export","42.0","1.02","2685.51","0.0"
"Malaysia","Central African Republic","2015.0","Export","23.0","0.56","4479.34","0.0"
"Malaysia","Canada","2015.0","Export","765.0","18.57","782183.21","0.39"
"Malaysia","Cocos (Keeling) Islands","2015.0","Export","1.0","0.02","280.66","0.0"
"Malaysia","Switzerland","2015.0","Export","555.0","13.47","396890.93","0.2"
"Malaysia","Chile","2015.0","Export","339.0","8.23","219844.97","0.11"
"Malaysia","China","2015.0","Export","2145.0","52.08","26062953.6","13.02"
"Malaysia","Cote d'Ivoire","2015.0","Export","205.0","4.98","87156.48","0.04"
"Malaysia","Cameroon","2015.0","Export","160.0","3.88","34728.63","0.02"
"Malaysia","Congo, Rep.","2015.0","Export","198.0","4.81","60495.56","0.03"
"Malaysia","Cook Islands","2015.0","Export","15.0","0.36","122.86","0.0"
"Malaysia","Colombia","2015.0","Export","318.0","7.72","88421.71","0.04"
"Malaysia","Comoros","2015.0","Export","24.0","0.58","7384.51","0.0"
"Malaysia","Cape Verde","2015.0","Export","6.0","0.15","504.36","0.0"
"Malaysia","Costa Rica","2015.0","Export","177.0","4.3","28536.54","0.01"
"Malaysia","Cuba","2015.0","Export","41.0","1.0","17040.4","0.01"
"Malaysia","Curaçao","2015.0","Export","25.0","0.61","1471.33","0.0"
"Malaysia","Christmas Island","2015.0","Export","27.0","0.66","175.87","0.0"
"Malaysia","Cayman Islands","2015.0","Export","7.0","0.17","544.8","0.0"
"Malaysia","Cyprus","2015.0","Export","118.0","2.86","8143.72","0.0"
"Malaysia","Czech Republic","2015.0","Export","270.0","6.55","319212.14","0.16"
"Malaysia","Germany","2015.0","Export","1271.0","30.86","5041257.59","2.52"
"Malaysia","Djibouti","2015.0","Export","97.0","2.35","63565.78","0.03"
"Malaysia","Dominica","2015.0","Export","13.0","0.32","593.38","0.0"
"Malaysia","Denmark","2015.0","Export","364.0","8.84","175284.82","0.09"
"Malaysia","Dominican Republic","2015.0","Export","119.0","2.89","28298.24","0.01"
"Malaysia","Algeria","2015.0","Export","189.0","4.59","115756.12","0.06"
"Malaysia","East Asia & Pacific","2015.0","Export","4034.0","97.94","126166910.95","63.02"
"Malaysia","Europe & Central Asia","2015.0","Export","2313.0","56.15","22796698.7","11.39"
"Malaysia","Ecuador","2015.0","Export","150.0","3.64","35089.38","0.02"
"Malaysia","Egypt, Arab Rep.","2015.0","Export","567.0","13.77","572034.77","0.29"
"Malaysia","Eritrea","2015.0","Export","5.0","0.12","6003.26","0.0"
"Malaysia","Western Sahara","2015.0","Export","1.0","0.02","30.94","0.0"
"Malaysia","Spain","2015.0","Export","570.0","13.84","595826.36","0.3"
"Malaysia","Estonia","2015.0","Export","100.0","2.43","56062.52","0.03"
"Malaysia","Ethiopia(excludes Eritrea)","2015.0","Export","81.0","1.97","88003.81","0.04"
"Malaysia","Finland","2015.0","Export","289.0","7.02","133807.29","0.07"
"Malaysia","Fiji","2015.0","Export","381.0","9.25","54136.14","0.03"
"Malaysia","Falkland Island","2015.0","Export","1.0","0.02","16.66","0.0"
"Malaysia","France","2015.0","Export","834.0","20.25","1498783.62","0.75"
"Malaysia","Faeroe Islands","2015.0","Export","3.0","0.07","93.7","0.0"
"Malaysia","Micronesia, Fed. Sts.","2015.0","Export","21.0","0.51","464.83","0.0"
"Malaysia","Gabon","2015.0","Export","209.0","5.07","29782.21","0.01"
"Malaysia","United Kingdom","2015.0","Export","1281.0","31.1","2391910.4","1.19"
"Malaysia","Georgia","2015.0","Export","87.0","2.11","31280.98","0.02"
"Malaysia","Ghana","2015.0","Export","307.0","7.45","174899.06","0.09"
"Malaysia","Gibraltar","2015.0","Export","7.0","0.17","95.67","0.0"
"Malaysia","Guinea","2015.0","Export","79.0","1.92","36158.32","0.02"
"Malaysia","Gambia, The","2015.0","Export","48.0","1.17","31857.2","0.02"
"Malaysia","Guinea-Bissau","2015.0","Export","8.0","0.19","4493.64","0.0"
"Malaysia","Equatorial Guinea","2015.0","Export","53.0","1.29","12546.24","0.01"
"Malaysia","Greece","2015.0","Export","240.0","5.83","291180.88","0.15"
"Malaysia","Grenada","2015.0","Export","11.0","0.27","9790.78","0.0"
"Malaysia","Greenland","2015.0","Export","","","",""
"Malaysia","Guatemala","2015.0","Export","184.0","4.47","33478.67","0.02"
"Malaysia","Guam","2015.0","Export","76.0","1.85","3707.35","0.0"
"Malaysia","Guyana","2015.0","Export","59.0","1.43","5034.89","0.0"
"Malaysia","Hong Kong, China","2015.0","Export","1918.0","46.56","9459537.26","4.72"
"Malaysia","Heard Island and McDonald Isla","2015.0","Export","1.0","0.02","6.44","0.0"
"Malaysia","Honduras","2015.0","Export","95.0","2.31","31659.56","0.02"
"Malaysia","Croatia","2015.0","Export","86.0","2.09","18953.29","0.01"
"Malaysia","Haiti","2015.0","Export","30.0","0.73","11669.83","0.01"
"Malaysia","Hungary","2015.0","Export","276.0","6.7","220259.9","0.11"
"Malaysia","Indonesia","2015.0","Export","2819.0","68.44","7469624.03","3.73"
"Malaysia","India","2015.0","Export","1734.0","42.1","8128612.21","4.06"
"Malaysia","British Indian Ocean Ter.","2015.0","Export","4.0","0.1","100.1","0.0"
"Malaysia","Ireland","2015.0","Export","286.0","6.94","144060.0","0.07"
"Malaysia","Iran, Islamic Rep.","2015.0","Export","432.0","10.49","501058.13","0.25"
"Malaysia","Iraq","2015.0","Export","220.0","5.34","117652.84","0.06"
"Malaysia","Iceland","2015.0","Export","26.0","0.63","632.8","0.0"
"Malaysia","Italy","2015.0","Export","738.0","17.92","933377.46","0.47"
"Malaysia","Jamaica","2015.0","Export","67.0","1.63","19846.28","0.01"
"Malaysia","Jordan","2015.0","Export","321.0","7.79","117038.06","0.06"
"Malaysia","Japan","2015.0","Export","1800.0","43.7","18947306.39","9.46"
"Malaysia","Kazakhstan","2015.0","Export","118.0","2.86","35598.61","0.02"
"Malaysia","Kenya","2015.0","Export","399.0","9.69","367351.47","0.18"
"Malaysia","Kyrgyz Republic","2015.0","Export","26.0","0.63","2779.59","0.0"
"Malaysia","Cambodia","2015.0","Export","797.0","19.35","235453.41","0.12"
"Malaysia","Kiribati","2015.0","Export","54.0","1.31","1189.06","0.0"
"Malaysia","St. Kitts and Nevis","2015.0","Export","3.0","0.07","129.03","0.0"
"Malaysia","Korea, Rep.","2015.0","Export","1392.0","33.79","6476229.1","3.23"
"Malaysia","Kuwait","2015.0","Export","464.0","11.26","216204.02","0.11"
"Malaysia","Lao PDR","2015.0","Export","109.0","2.65","14908.38","0.01"
"Malaysia","Lebanon","2015.0","Export","291.0","7.06","64901.74","0.03"
"Malaysia","Liberia","2015.0","Export","213.0","5.17","37353.69","0.02"
"Malaysia","Libya","2015.0","Export","105.0","2.55","19580.8","0.01"
"Malaysia","St. Lucia","2015.0","Export","23.0","0.56","518.5","0.0"
"Malaysia","Latin America & Caribbean","2015.0","Export","1266.0","30.74","3554697.71","1.78"
"Malaysia","Sri Lanka","2015.0","Export","1089.0","26.44","482890.51","0.24"
"Malaysia","Lesotho","2015.0","Export","12.0","0.29","715.6","0.0"
"Malaysia","Lithuania","2015.0","Export","117.0","2.84","40493.0","0.02"
"Malaysia","Luxembourg","2015.0","Export","35.0","0.85","26329.48","0.01"
"Malaysia","Latvia","2015.0","Export","108.0","2.62","36438.61","0.02"
"Malaysia","Macao","2015.0","Export","173.0","4.2","26010.22","0.01"
"Malaysia","Morocco","2015.0","Export","200.0","4.86","60245.44","0.03"
"Malaysia","Moldova","2015.0","Export","11.0","0.27","1229.63","0.0"
"Malaysia","Madagascar","2015.0","Export","122.0","2.96","69381.58","0.03"
"Malaysia","Maldives","2015.0","Export","629.0","15.27","113909.75","0.06"
"Malaysia","Middle East & North Africa","2015.0","Export","1958.0","47.54","6569924.74","3.28"
"Malaysia","Mexico","2015.0","Export","626.0","15.2","1606251.37","0.8"
"Malaysia","Marshall Islands","2015.0","Export","19.0","0.46","2285.18","0.0"
"Malaysia","Macedonia, FYR","2015.0","Export","12.0","0.29","769.82","0.0"
"Malaysia","Mali","2015.0","Export","24.0","0.58","1519.69","0.0"
"Malaysia","Malta","2015.0","Export","121.0","2.94","49698.64","0.02"
