"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Namibia","Aruba","2015.0","Export","2.0","0.06","0.35","0.0"
"Namibia","Afghanistan","2015.0","Export","1.0","0.03","0.79","0.0"
"Namibia","Angola","2015.0","Export","2385.0","77.18","206757.1","4.47"
"Namibia","Anguila","2015.0","Export","26.0","0.84","38.81","0.0"
"Namibia","Albania","2015.0","Export","","","",""
"Namibia","Andorra","2015.0","Export","7.0","0.23","18.01","0.0"
"Namibia","United Arab Emirates","2015.0","Export","105.0","3.4","29874.36","0.65"
"Namibia","Argentina","2015.0","Export","7.0","0.23","63.09","0.0"
"Namibia","Armenia","2015.0","Export","5.0","0.16","301.36","0.01"
"Namibia","American Samoa","2015.0","Export","2.0","0.06","54.42","0.0"
"Namibia","Antigua and Barbuda","2015.0","Export","13.0","0.42","262.38","0.01"
"Namibia","Australia","2015.0","Export","59.0","1.91","7611.24","0.16"
"Namibia","Austria","2015.0","Export","42.0","1.36","500.23","0.01"
"Namibia","Azerbaijan","2015.0","Export","1.0","0.03","57.02","0.0"
"Namibia","Burundi","2015.0","Export","1.0","0.03","0.3","0.0"
"Namibia","Belgium","2015.0","Export","60.0","1.94","69419.94","1.5"
"Namibia","Benin","2015.0","Export","5.0","0.16","47.62","0.0"
"Namibia","Burkina Faso","2015.0","Export","1.0","0.03","4.86","0.0"
"Namibia","Bangladesh","2015.0","Export","","","",""
"Namibia","Bulgaria","2015.0","Export","10.0","0.32","78.04","0.0"
"Namibia","Bahrain","2015.0","Export","2.0","0.06","39.79","0.0"
"Namibia","Bahamas, The","2015.0","Export","6.0","0.19","1424.24","0.03"
"Namibia","Bosnia and Herzegovina","2015.0","Export","1.0","0.03","28.09","0.0"
"Namibia","Belarus","2015.0","Export","6.0","0.19","13.59","0.0"
"Namibia","Belize","2015.0","Export","5.0","0.16","457.39","0.01"
"Namibia","Bermuda","2015.0","Export","1.0","0.03","0.49","0.0"
"Namibia","Bolivia","2015.0","Export","1.0","0.03","1.27","0.0"
"Namibia","Brazil","2015.0","Export","18.0","0.58","251.52","0.01"
"Namibia","Barbados","2015.0","Export","","","",""
"Namibia","Bhutan","2015.0","Export","4.0","0.13","1830.84","0.04"
"Namibia","Botswana","2015.0","Export","450.0","14.56","1032693.21","22.31"
"Namibia","Canada","2015.0","Export","65.0","2.1","76503.21","1.65"
"Namibia","Switzerland","2015.0","Export","61.0","1.97","707609.83","15.29"
"Namibia","Chile","2015.0","Export","10.0","0.32","440.82","0.01"
"Namibia","China","2015.0","Export","171.0","5.53","157315.89","3.4"
"Namibia","Cote d'Ivoire","2015.0","Export","17.0","0.55","4264.72","0.09"
"Namibia","Cameroon","2015.0","Export","10.0","0.32","1508.66","0.03"
