"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"New Caledonia","Anguila","2015.0","Export","","","",""
"New Caledonia","Albania","2015.0","Export","","","",""
"New Caledonia","Andorra","2015.0","Export","1.0","0.08","48.33","0.0"
"New Caledonia","United Arab Emirates","2015.0","Export","3.0","0.25","209.14","0.02"
"New Caledonia","Argentina","2015.0","Export","","","",""
"New Caledonia","American Samoa","2015.0","Export","2.0","0.16","353.67","0.03"
"New Caledonia","Antigua and Barbuda","2015.0","Export","","","",""
"New Caledonia","Australia","2015.0","Export","230.0","18.79","12668.73","1.02"
"New Caledonia","Austria","2015.0","Export","2.0","0.16","0.04","0.0"
"New Caledonia","Azerbaijan","2015.0","Export","","","",""
"New Caledonia","Belgium","2015.0","Export","20.0","1.63","51908.55","4.19"
"New Caledonia","Benin","2015.0","Export","1.0","0.08","46.65","0.0"
"New Caledonia","Burkina Faso","2015.0","Export","","","",""
"New Caledonia","Bangladesh","2015.0","Export","","","",""
"New Caledonia","Bulgaria","2015.0","Export","","","",""
"New Caledonia","Bahrain","2015.0","Export","","","",""
"New Caledonia","Bahamas, The","2015.0","Export","","","",""
"New Caledonia","Bosnia and Herzegovina","2015.0","Export","","","",""
"New Caledonia","Belarus","2015.0","Export","","","",""
"New Caledonia","Belize","2015.0","Export","","","",""
"New Caledonia","Bermuda","2015.0","Export","1.0","0.08","40.17","0.0"
"New Caledonia","Bolivia","2015.0","Export","","","",""
"New Caledonia","Brazil","2015.0","Export","2.0","0.16","497.18","0.04"
"New Caledonia","Barbados","2015.0","Export","","","",""
"New Caledonia","Bhutan","2015.0","Export","","","",""
"New Caledonia","Central African Republic","2015.0","Export","","","",""
"New Caledonia","Canada","2015.0","Export","17.0","1.39","1327.3","0.11"
"New Caledonia","Cocos (Keeling) Islands","2015.0","Export","","","",""
"New Caledonia","Switzerland","2015.0","Export","2.0","0.16","400.1","0.03"
