"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Niger","Afghanistan","2015.0","Export","","","",""
"Niger","Angola","2015.0","Export","","","",""
"Niger","Albania","2015.0","Export","","","",""
"Niger","Andorra","2015.0","Export","1.0","0.14","0.54","0.0"
"Niger","United Arab Emirates","2015.0","Export","6.0","0.82","1611.59","0.2"
"Niger","Argentina","2015.0","Export","","","",""
"Niger","Armenia","2015.0","Export","","","",""
"Niger","American Samoa","2015.0","Export","1.0","0.14","14.76","0.0"
"Niger","Australia","2015.0","Export","","","",""
"Niger","Austria","2015.0","Export","","","",""
"Niger","Azerbaijan","2015.0","Export","","","",""
"Niger","Belgium","2015.0","Export","17.0","2.32","8584.79","1.09"
"Niger","Benin","2015.0","Export","41.0","5.59","2308.91","0.29"
"Niger","Burkina Faso","2015.0","Export","66.0","8.99","43574.09","5.52"
"Niger","Bangladesh","2015.0","Export","1.0","0.14","2.1","0.0"
"Niger","Bulgaria","2015.0","Export","3.0","0.41","26.17","0.0"
"Niger","Bahrain","2015.0","Export","","","",""
"Niger","Bosnia and Herzegovina","2015.0","Export","","","",""
"Niger","Belarus","2015.0","Export","","","",""
"Niger","Bermuda","2015.0","Export","","","",""
"Niger","Bolivia","2015.0","Export","","","",""
"Niger","Brazil","2015.0","Export","3.0","0.41","13822.03","1.75"
"Niger","Brunei","2015.0","Export","1.0","0.14","1.1","0.0"
"Niger","Central African Republic","2015.0","Export","","","",""
"Niger","Canada","2015.0","Export","4.0","0.55","291.36","0.04"
"Niger","Switzerland","2015.0","Export","9.0","1.23","41892.63","5.3"
"Niger","Chile","2015.0","Export","1.0","0.14","9.1","0.0"
"Niger","China","2015.0","Export","94.0","12.81","7624.02","0.97"
"Niger","Cote d'Ivoire","2015.0","Export","8.0","1.09","4595.69","0.58"
"Niger","Cameroon","2015.0","Export","2.0","0.27","2971.06","0.38"
"Niger","Congo, Rep.","2015.0","Export","1.0","0.14","8.48","0.0"
"Niger","Cape Verde","2015.0","Export","","","",""
"Niger","Cuba","2015.0","Export","","","",""
"Niger","Cyprus","2015.0","Export","","","",""
"Niger","Czech Republic","2015.0","Export","1.0","0.14","6.62","0.0"
"Niger","Germany","2015.0","Export","23.0","3.13","2939.95","0.37"
"Niger","Djibouti","2015.0","Export","","","",""
"Niger","Denmark","2015.0","Export","1.0","0.14","1.95","0.0"
"Niger","Algeria","2015.0","Export","11.0","1.5","1640.17","0.21"
"Niger","East Asia & Pacific","2015.0","Export","122.0","16.62","55508.44","7.03"
"Niger","Europe & Central Asia","2015.0","Export","237.0","32.29","374883.83","47.47"
"Niger","Ecuador","2015.0","Export","1.0","0.14","0.37","0.0"
"Niger","Egypt, Arab Rep.","2015.0","Export","4.0","0.55","36.49","0.0"
"Niger","Eritrea","2015.0","Export","1.0","0.14","2.1","0.0"
"Niger","Spain","2015.0","Export","3.0","0.41","1039.27","0.13"
"Niger","Estonia","2015.0","Export","","","",""
"Niger","Ethiopia(excludes Eritrea)","2015.0","Export","1.0","0.14","5.52","0.0"
"Niger","Finland","2015.0","Export","","","",""
"Niger","France","2015.0","Export","189.0","25.75","303325.03","38.41"
"Niger","Gabon","2015.0","Export","3.0","0.41","20.71","0.0"
"Niger","United Kingdom","2015.0","Export","5.0","0.68","94.29","0.01"
"Niger","Georgia","2015.0","Export","","","",""
"Niger","Ghana","2015.0","Export","9.0","1.23","5184.02","0.66"
"Niger","Guinea","2015.0","Export","1.0","0.14","0.17","0.0"
"Niger","Equatorial Guinea","2015.0","Export","","","",""
"Niger","Greece","2015.0","Export","","","",""
"Niger","Guatemala","2015.0","Export","","","",""
"Niger","Hong Kong, China","2015.0","Export","1.0","0.14","17.31","0.0"
"Niger","Honduras","2015.0","Export","1.0","0.14","30.08","0.0"
"Niger","Croatia","2015.0","Export","","","",""
"Niger","Hungary","2015.0","Export","2.0","0.27","5.22","0.0"
"Niger","Indonesia","2015.0","Export","5.0","0.68","1923.11","0.24"
"Niger","India","2015.0","Export","14.0","1.91","11593.91","1.47"
"Niger","Ireland","2015.0","Export","","","",""
"Niger","Iran, Islamic Rep.","2015.0","Export","","","",""
"Niger","Iceland","2015.0","Export","","","",""
"Niger","Israel","2015.0","Export","","","",""
"Niger","Italy","2015.0","Export","9.0","1.23","2126.81","0.27"
"Niger","Jordan","2015.0","Export","","","",""
"Niger","Japan","2015.0","Export","16.0","2.18","7703.33","0.98"
"Niger","Kenya","2015.0","Export","","","",""
"Niger","Cambodia","2015.0","Export","","","",""
"Niger","Korea, Rep.","2015.0","Export","3.0","0.41","451.27","0.06"
"Niger","Kuwait","2015.0","Export","","","",""
"Niger","Lebanon","2015.0","Export","1.0","0.14","1965.67","0.25"
"Niger","Libya","2015.0","Export","5.0","0.68","243.85","0.03"
"Niger","Latin America & Caribbean","2015.0","Export","6.0","0.82","13861.58","1.76"
"Niger","Sri Lanka","2015.0","Export","","","",""
"Niger","Lithuania","2015.0","Export","1.0","0.14","42.11","0.01"
"Niger","Luxembourg","2015.0","Export","","","",""
"Niger","Latvia","2015.0","Export","","","",""
"Niger","Morocco","2015.0","Export","71.0","9.67","838.76","0.11"
"Niger","Madagascar","2015.0","Export","","","",""
"Niger","Maldives","2015.0","Export","","","",""
"Niger","Middle East & North Africa","2015.0","Export","96.0","13.08","7620.51","0.96"
"Niger","Mexico","2015.0","Export","","","",""
