"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Nicaragua","Aruba","2015.0","Export","5.0","0.26","155.24","0.0"
"Nicaragua","Afghanistan","2015.0","Export","","","",""
"Nicaragua","Angola","2015.0","Export","2.0","0.1","145.96","0.0"
"Nicaragua","Albania","2015.0","Export","1.0","0.05","0.6","0.0"
"Nicaragua","Andorra","2015.0","Export","1.0","0.05","7.07","0.0"
"Nicaragua","United Arab Emirates","2015.0","Export","13.0","0.67","4710.48","0.1"
"Nicaragua","Argentina","2015.0","Export","5.0","0.26","137.66","0.0"
"Nicaragua","Antarctica","2015.0","Export","","","",""
"Nicaragua","Antigua and Barbuda","2015.0","Export","1.0","0.05","17.18","0.0"
"Nicaragua","Australia","2015.0","Export","19.0","0.98","10757.12","0.23"
"Nicaragua","Austria","2015.0","Export","12.0","0.62","220.31","0.0"
"Nicaragua","Belgium","2015.0","Export","20.0","1.03","30919.6","0.66"
"Nicaragua","Bangladesh","2015.0","Export","1.0","0.05","2.75","0.0"
"Nicaragua","Bulgaria","2015.0","Export","3.0","0.15","399.74","0.01"
"Nicaragua","Bahrain","2015.0","Export","","","",""
"Nicaragua","Bahamas, The","2015.0","Export","9.0","0.46","109.53","0.0"
"Nicaragua","Bosnia and Herzegovina","2015.0","Export","","","",""
"Nicaragua","Belarus","2015.0","Export","","","",""
"Nicaragua","Belize","2015.0","Export","22.0","1.13","295.85","0.01"
"Nicaragua","Bermuda","2015.0","Export","2.0","0.1","10.27","0.0"
"Nicaragua","Bolivia","2015.0","Export","9.0","0.46","935.23","0.02"
"Nicaragua","Brazil","2015.0","Export","23.0","1.19","2632.0","0.06"
"Nicaragua","Barbados","2015.0","Export","3.0","0.15","36.98","0.0"
"Nicaragua","Brunei","2015.0","Export","","","",""
"Nicaragua","Botswana","2015.0","Export","","","",""
"Nicaragua","Central African Republic","2015.0","Export","","","",""
"Nicaragua","Canada","2015.0","Export","126.0","6.5","59233.14","1.27"
"Nicaragua","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Nicaragua","Switzerland","2015.0","Export","20.0","1.03","1268.68","0.03"
"Nicaragua","Chile","2015.0","Export","26.0","1.34","2722.76","0.06"
"Nicaragua","China","2015.0","Export","45.0","2.32","21573.04","0.46"
"Nicaragua","Cote d'Ivoire","2015.0","Export","2.0","0.1","27990.8","0.6"
"Nicaragua","Cameroon","2015.0","Export","2.0","0.1","2.5","0.0"
"Nicaragua","Congo, Rep.","2015.0","Export","5.0","0.26","194.68","0.0"
"Nicaragua","Cook Islands","2015.0","Export","","","",""
"Nicaragua","Colombia","2015.0","Export","31.0","1.6","9903.3","0.21"
"Nicaragua","Cape Verde","2015.0","Export","","","",""
"Nicaragua","Costa Rica","2015.0","Export","1187.0","61.22","131898.36","2.83"
"Nicaragua","Cuba","2015.0","Export","60.0","3.09","1935.85","0.04"
"Nicaragua","Curaçao","2015.0","Export","5.0","0.26","278.93","0.01"
"Nicaragua","Cayman Islands","2015.0","Export","2.0","0.1","3411.03","0.07"
"Nicaragua","Cyprus","2015.0","Export","8.0","0.41","37.13","0.0"
"Nicaragua","Czech Republic","2015.0","Export","19.0","0.98","748.47","0.02"
"Nicaragua","Germany","2015.0","Export","53.0","2.73","35146.75","0.75"
"Nicaragua","Dominica","2015.0","Export","1.0","0.05","50.55","0.0"
"Nicaragua","Denmark","2015.0","Export","11.0","0.57","906.77","0.02"
"Nicaragua","Dominican Republic","2015.0","Export","50.0","2.58","35371.7","0.76"
"Nicaragua","Algeria","2015.0","Export","2.0","0.1","0.06","0.0"
"Nicaragua","East Asia & Pacific","2015.0","Export","163.0","8.41","72998.82","1.56"
"Nicaragua","Europe & Central Asia","2015.0","Export","276.0","14.23","317188.43","6.8"
"Nicaragua","Ecuador","2015.0","Export","11.0","0.57","4125.9","0.09"
"Nicaragua","Egypt, Arab Rep.","2015.0","Export","1.0","0.05","60.21","0.0"
"Nicaragua","Spain","2015.0","Export","116.0","5.98","55625.5","1.19"
"Nicaragua","Estonia","2015.0","Export","3.0","0.15","67.94","0.0"
"Nicaragua","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Nicaragua","Finland","2015.0","Export","6.0","0.31","3466.53","0.07"
"Nicaragua","Fiji","2015.0","Export","1.0","0.05","2.0","0.0"
"Nicaragua","France","2015.0","Export","28.0","1.44","40647.26","0.87"
"Nicaragua","Gabon","2015.0","Export","","","",""
"Nicaragua","United Kingdom","2015.0","Export","44.0","2.27","56653.36","1.21"
"Nicaragua","Georgia","2015.0","Export","1.0","0.05","2.0","0.0"
"Nicaragua","Ghana","2015.0","Export","2.0","0.1","43.57","0.0"
"Nicaragua","Gibraltar","2015.0","Export","1.0","0.05","9.78","0.0"
