"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Netherlands","Aruba","2015.0","Export","2197.0","48.99","106050.6","0.02"
"Netherlands","Afghanistan","2015.0","Export","694.0","15.47","47282.97","0.01"
"Netherlands","Angola","2015.0","Export","1948.0","43.43","260163.99","0.05"
"Netherlands","Anguila","2015.0","Export","110.0","2.45","1639.17","0.0"
"Netherlands","Albania","2015.0","Export","1012.0","22.56","53455.99","0.01"
"Netherlands","Andorra","2015.0","Export","1511.0","33.69","17784.37","0.0"
"Netherlands","United Arab Emirates","2015.0","Export","3093.0","68.96","3274657.82","0.69"
"Netherlands","Argentina","2015.0","Export","1984.0","44.24","756946.56","0.16"
"Netherlands","Armenia","2015.0","Export","992.0","22.12","34598.19","0.01"
"Netherlands","American Samoa","2015.0","Export","7.0","0.16","55.58","0.0"
"Netherlands","Antarctica","2015.0","Export","2.0","0.04","21.39","0.0"
"Netherlands","Fr. So. Ant. Tr","2015.0","Export","17.0","0.38","3668.72","0.0"
"Netherlands","Antigua and Barbuda","2015.0","Export","306.0","6.82","9097.81","0.0"
"Netherlands","Australia","2015.0","Export","2884.0","64.3","2507426.26","0.53"
"Netherlands","Austria","2015.0","Export","4278.0","95.38","5536462.73","1.17"
"Netherlands","Azerbaijan","2015.0","Export","1909.0","42.56","198945.38","0.04"
"Netherlands","Burundi","2015.0","Export","297.0","6.62","13862.51","0.0"
"Netherlands","Belgium","2015.0","Export","4325.0","96.43","49440146.7","10.43"
"Netherlands","Benin","2015.0","Export","1391.0","31.01","138784.31","0.03"
"Netherlands","Bonaire","2015.0","Export","1637.0","36.5","51951.25","0.01"
"Netherlands","Burkina Faso","2015.0","Export","1059.0","23.61","80166.59","0.02"
"Netherlands","Bangladesh","2015.0","Export","1639.0","36.54","204607.58","0.04"
"Netherlands","Bulgaria","2015.0","Export","4195.0","93.53","1025310.55","0.22"
"Netherlands","Bahrain","2015.0","Export","1740.0","38.8","168681.15","0.04"
"Netherlands","Bahamas, The","2015.0","Export","480.0","10.7","61749.17","0.01"
"Netherlands","Bosnia and Herzegovina","2015.0","Export","2051.0","45.73","158881.99","0.03"
"Netherlands","Saint Barthélemy","2015.0","Export","37.0","0.82","691.11","0.0"
"Netherlands","Belarus","2015.0","Export","2187.0","48.76","231903.48","0.05"
"Netherlands","Belize","2015.0","Export","251.0","5.6","8945.03","0.0"
"Netherlands","Bermuda","2015.0","Export","232.0","5.17","5724.21","0.0"
"Netherlands","Bolivia","2015.0","Export","977.0","21.78","91611.08","0.02"
"Netherlands","Brazil","2015.0","Export","2532.0","56.45","3238554.67","0.68"
"Netherlands","Barbados","2015.0","Export","396.0","8.83","11112.28","0.0"
"Netherlands","Brunei","2015.0","Export","1053.0","23.48","33824.39","0.01"
"Netherlands","Bhutan","2015.0","Export","83.0","1.85","1312.13","0.0"
"Netherlands","Bunkers","2015.0","Export","2198.0","49.01","5039559.98","1.06"
"Netherlands","Bouvet Island","2015.0","Export","17.0","0.38","303.37","0.0"
"Netherlands","Botswana","2015.0","Export","211.0","4.7","12491.01","0.0"
"Netherlands","Central African Republic","2015.0","Export","844.0","18.82","10907.0","0.0"
"Netherlands","Canada","2015.0","Export","2867.0","63.92","3333404.69","0.7"
"Netherlands","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Netherlands","Switzerland","2015.0","Export","3714.0","82.81","6363658.12","1.34"
"Netherlands","Chile","2015.0","Export","2150.0","47.94","557016.59","0.12"
"Netherlands","China","2015.0","Export","3182.0","70.95","9477309.17","2.0"
"Netherlands","Cote d'Ivoire","2015.0","Export","1828.0","40.76","245346.5","0.05"
"Netherlands","Cameroon","2015.0","Export","1550.0","34.56","127513.26","0.03"
"Netherlands","Congo, Rep.","2015.0","Export","1711.0","38.15","116764.05","0.02"
"Netherlands","Cook Islands","2015.0","Export","14.0","0.31","227.03","0.0"
"Netherlands","Colombia","2015.0","Export","1882.0","41.96","608530.3","0.13"
"Netherlands","Comoros","2015.0","Export","57.0","1.27","2922.68","0.0"
"Netherlands","Cape Verde","2015.0","Export","824.0","18.37","89717.53","0.02"
"Netherlands","Costa Rica","2015.0","Export","1195.0","26.64","80602.27","0.02"
"Netherlands","Cuba","2015.0","Export","832.0","18.55","165744.08","0.04"
"Netherlands","Curaçao","2015.0","Export","2447.0","54.56","239655.38","0.05"
"Netherlands","Christmas Island","2015.0","Export","1.0","0.02","7.86","0.0"
"Netherlands","Cayman Islands","2015.0","Export","98.0","2.19","191989.15","0.04"
"Netherlands","Cyprus","2015.0","Export","4143.0","92.37","373755.88","0.08"
"Netherlands","Czech Republic","2015.0","Export","4269.0","95.18","7500167.55","1.58"
"Netherlands","Germany","2015.0","Export","4312.0","96.14","110034302.8","23.22"
"Netherlands","Djibouti","2015.0","Export","1180.0","26.31","32408.26","0.01"
"Netherlands","Dominica","2015.0","Export","859.0","19.15","3322.69","0.0"
"Netherlands","Denmark","2015.0","Export","4276.0","95.34","6421450.73","1.36"
"Netherlands","Dominican Republic","2015.0","Export","1602.0","35.72","124239.65","0.03"
"Netherlands","Algeria","2015.0","Export","1816.0","40.49","1242373.45","0.26"
"Netherlands","East Asia & Pacific","2015.0","Export","3813.0","85.02","32694298.63","6.9"
"Netherlands","Europe & Central Asia","2015.0","Export","4441.0","99.02","365010663.87","77.03"
"Netherlands","Ecuador","2015.0","Export","1526.0","34.02","416034.1","0.09"
"Netherlands","Egypt, Arab Rep.","2015.0","Export","2547.0","56.79","1575703.51","0.33"
"Netherlands","Eritrea","2015.0","Export","283.0","6.31","4517.38","0.0"
"Netherlands","Western Sahara","2015.0","Export","1.0","0.02","20.23","0.0"
"Netherlands","Spain","2015.0","Export","4281.0","95.45","13738115.47","2.9"
"Netherlands","Estonia","2015.0","Export","4180.0","93.2","801050.43","0.17"
