"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Norway","Aruba","2015.0","Export","13.0","0.36","44.95","0.0"
"Norway","Afghanistan","2015.0","Export","88.0","2.4","2395.02","0.0"
"Norway","Angola","2015.0","Export","434.0","11.86","291154.05","0.28"
"Norway","Albania","2015.0","Export","51.0","1.39","1616.02","0.0"
"Norway","Andorra","2015.0","Export","18.0","0.49","211.9","0.0"
"Norway","United Arab Emirates","2015.0","Export","744.0","20.33","298069.69","0.28"
"Norway","Argentina","2015.0","Export","131.0","3.58","223229.61","0.21"
"Norway","Armenia","2015.0","Export","7.0","0.19","1219.33","0.0"
"Norway","Fr. So. Ant. Tr","2015.0","Export","1.0","0.03","0.68","0.0"
"Norway","Antigua and Barbuda","2015.0","Export","33.0","0.9","331.84","0.0"
"Norway","Australia","2015.0","Export","802.0","21.92","325068.08","0.31"
"Norway","Austria","2015.0","Export","635.0","17.35","260984.94","0.25"
"Norway","Azerbaijan","2015.0","Export","297.0","8.12","162382.98","0.15"
"Norway","Burundi","2015.0","Export","8.0","0.22","156.2","0.0"
"Norway","Belgium","2015.0","Export","1079.0","29.49","5097468.99","4.86"
"Norway","Benin","2015.0","Export","22.0","0.6","2858.16","0.0"
"Norway","Bonaire","2015.0","Export","","","",""
"Norway","Burkina Faso","2015.0","Export","26.0","0.71","170.97","0.0"
"Norway","Bangladesh","2015.0","Export","99.0","2.71","27909.85","0.03"
"Norway","Bulgaria","2015.0","Export","201.0","5.49","23033.75","0.02"
"Norway","Bahrain","2015.0","Export","130.0","3.55","7370.78","0.01"
"Norway","Bahamas, The","2015.0","Export","308.0","8.42","16976.36","0.02"
"Norway","Bosnia and Herzegovina","2015.0","Export","103.0","2.81","1709.93","0.0"
"Norway","Belarus","2015.0","Export","48.0","1.31","131857.63","0.13"
"Norway","Belize","2015.0","Export","26.0","0.71","249.25","0.0"
"Norway","Bermuda","2015.0","Export","112.0","3.06","36516.93","0.03"
"Norway","Bolivia","2015.0","Export","54.0","1.48","7165.54","0.01"
"Norway","Brazil","2015.0","Export","759.0","20.74","672539.43","0.64"
"Norway","Barbados","2015.0","Export","23.0","0.63","941.49","0.0"
"Norway","Brunei","2015.0","Export","73.0","2.0","3002.53","0.0"
"Norway","Bhutan","2015.0","Export","10.0","0.27","257.46","0.0"
"Norway","Botswana","2015.0","Export","5.0","0.14","10.52","0.0"
"Norway","Central African Republic","2015.0","Export","4.0","0.11","83.24","0.0"
"Norway","Canada","2015.0","Export","867.0","23.7","694760.6","0.66"
"Norway","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Norway","Switzerland","2015.0","Export","817.0","22.33","406864.99","0.39"
"Norway","Chile","2015.0","Export","313.0","8.55","105740.98","0.1"
"Norway","China","2015.0","Export","1015.0","27.74","2989599.02","2.85"
"Norway","Cote d'Ivoire","2015.0","Export","177.0","4.84","54548.86","0.05"
"Norway","Cameroon","2015.0","Export","109.0","2.98","29636.53","0.03"
"Norway","Congo, Rep.","2015.0","Export","281.0","7.68","301033.34","0.29"
"Norway","Cook Islands","2015.0","Export","4.0","0.11","102.17","0.0"
"Norway","Colombia","2015.0","Export","113.0","3.09","28759.83","0.03"
"Norway","Comoros","2015.0","Export","4.0","0.11","16.57","0.0"
"Norway","Cape Verde","2015.0","Export","12.0","0.33","726.79","0.0"
"Norway","Costa Rica","2015.0","Export","28.0","0.77","14514.59","0.01"
"Norway","Cuba","2015.0","Export","18.0","0.49","2190.89","0.0"
"Norway","Curaçao","2015.0","Export","80.0","2.19","1646.15","0.0"
"Norway","Cayman Islands","2015.0","Export","53.0","1.45","122347.77","0.12"
"Norway","Cyprus","2015.0","Export","209.0","5.71","48584.87","0.05"
"Norway","Czech Republic","2015.0","Export","646.0","17.66","182011.07","0.17"
"Norway","Germany","2015.0","Export","2082.0","56.9","18614130.75","17.76"
"Norway","Djibouti","2015.0","Export","18.0","0.49","142.9","0.0"
"Norway","Dominica","2015.0","Export","6.0","0.16","11.51","0.0"
"Norway","Denmark","2015.0","Export","2454.0","67.07","4116611.96","3.93"
"Norway","Dominican Republic","2015.0","Export","51.0","1.39","44651.85","0.04"
"Norway","Algeria","2015.0","Export","126.0","3.44","52027.96","0.05"
"Norway","East Asia & Pacific","2015.0","Export","1864.0","50.94","9467785.03","9.03"
"Norway","Europe & Central Asia","2015.0","Export","3572.0","97.62","85365794.02","81.46"
"Norway","Ecuador","2015.0","Export","85.0","2.32","17028.93","0.02"
"Norway","Egypt, Arab Rep.","2015.0","Export","297.0","8.12","115377.5","0.11"
"Norway","Eritrea","2015.0","Export","1.0","0.03","3.39","0.0"
"Norway","Spain","2015.0","Export","1203.0","32.88","1598621.14","1.53"
"Norway","Estonia","2015.0","Export","926.0","25.31","168799.93","0.16"
"Norway","Ethiopia(excludes Eritrea)","2015.0","Export","78.0","2.13","2571.4","0.0"
