"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Nepal","Afghanistan","2015.0","Export","3.0","0.33","9121.72","1.38"
"Nepal","Angola","2015.0","Export","","","",""
"Nepal","Anguila","2015.0","Export","","","",""
"Nepal","Albania","2015.0","Export","1.0","0.11","79.97","0.01"
"Nepal","Andorra","2015.0","Export","3.0","0.33","233.21","0.04"
"Nepal","United Arab Emirates","2015.0","Export","23.0","2.56","1679.76","0.25"
"Nepal","Argentina","2015.0","Export","","","",""
"Nepal","American Samoa","2015.0","Export","3.0","0.33","55.25","0.01"
"Nepal","Fr. So. Ant. Tr","2015.0","Export","1.0","0.11","5.6","0.0"
"Nepal","Antigua and Barbuda","2015.0","Export","1.0","0.11","0.39","0.0"
"Nepal","Australia","2015.0","Export","99.0","11.04","4974.97","0.75"
"Nepal","Austria","2015.0","Export","45.0","5.02","1679.41","0.25"
"Nepal","Belgium","2015.0","Export","40.0","4.46","1928.5","0.29"
"Nepal","Benin","2015.0","Export","","","",""
"Nepal","Bangladesh","2015.0","Export","15.0","1.67","6834.1","1.04"
"Nepal","Bulgaria","2015.0","Export","6.0","0.67","11.64","0.0"
"Nepal","Bahrain","2015.0","Export","4.0","0.45","54.2","0.01"
"Nepal","Bahamas, The","2015.0","Export","3.0","0.33","8.62","0.0"
"Nepal","Bosnia and Herzegovina","2015.0","Export","1.0","0.11","5.36","0.0"
"Nepal","Belarus","2015.0","Export","1.0","0.11","1.27","0.0"
"Nepal","Belize","2015.0","Export","","","",""
"Nepal","Bermuda","2015.0","Export","1.0","0.11","1.09","0.0"
"Nepal","Bolivia","2015.0","Export","1.0","0.11","0.04","0.0"
"Nepal","Brazil","2015.0","Export","6.0","0.67","888.07","0.13"
"Nepal","Barbados","2015.0","Export","","","",""
"Nepal","Brunei","2015.0","Export","3.0","0.33","45.33","0.01"
"Nepal","Bhutan","2015.0","Export","41.0","4.57","1488.33","0.23"
"Nepal","Botswana","2015.0","Export","","","",""
"Nepal","Central African Republic","2015.0","Export","","","",""
"Nepal","Canada","2015.0","Export","107.0","11.93","6950.47","1.05"
