"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"New Zealand","Aruba","2015.0","Export","8.0","0.21","695.92","0.0"
"New Zealand","Afghanistan","2015.0","Export","17.0","0.44","283.26","0.0"
"New Zealand","Angola","2015.0","Export","13.0","0.34","22308.94","0.06"
"New Zealand","Anguila","2015.0","Export","1.0","0.03","58.36","0.0"
"New Zealand","Albania","2015.0","Export","1.0","0.03","95.55","0.0"
"New Zealand","Andorra","2015.0","Export","","","",""
"New Zealand","United Arab Emirates","2015.0","Export","726.0","18.79","584420.27","1.7"
"New Zealand","Argentina","2015.0","Export","123.0","3.18","17758.76","0.05"
"New Zealand","Armenia","2015.0","Export","5.0","0.13","10634.01","0.03"
"New Zealand","American Samoa","2015.0","Export","642.0","16.61","24143.81","0.07"
"New Zealand","Antarctica","2015.0","Export","45.0","1.16","220.38","0.0"
"New Zealand","Fr. So. Ant. Tr","2015.0","Export","","","",""
"New Zealand","Antigua and Barbuda","2015.0","Export","33.0","0.85","1826.12","0.01"
"New Zealand","Australia","2015.0","Export","3073.0","79.53","5850800.28","17.03"
"New Zealand","Austria","2015.0","Export","229.0","5.93","14898.68","0.04"
"New Zealand","Azerbaijan","2015.0","Export","19.0","0.49","56171.2","0.16"
"New Zealand","Burundi","2015.0","Export","","","",""
"New Zealand","Belgium","2015.0","Export","365.0","9.45","169030.95","0.49"
"New Zealand","Benin","2015.0","Export","2.0","0.05","1287.76","0.0"
"New Zealand","Burkina Faso","2015.0","Export","10.0","0.26","582.11","0.0"
"New Zealand","Bangladesh","2015.0","Export","106.0","2.74","149716.46","0.44"
"New Zealand","Bulgaria","2015.0","Export","46.0","1.19","5781.42","0.02"
"New Zealand","Bahrain","2015.0","Export","101.0","2.61","54787.21","0.16"
"New Zealand","Bahamas, The","2015.0","Export","27.0","0.7","1560.77","0.0"
"New Zealand","Bosnia and Herzegovina","2015.0","Export","2.0","0.05","191.08","0.0"
"New Zealand","Belarus","2015.0","Export","6.0","0.16","153.29","0.0"
"New Zealand","Belize","2015.0","Export","3.0","0.08","219.31","0.0"
"New Zealand","Bermuda","2015.0","Export","55.0","1.42","5515.72","0.02"
"New Zealand","Bolivia","2015.0","Export","19.0","0.49","1872.2","0.01"
"New Zealand","Brazil","2015.0","Export","333.0","8.62","48397.33","0.14"
"New Zealand","Barbados","2015.0","Export","57.0","1.48","16873.66","0.05"
"New Zealand","Brunei","2015.0","Export","180.0","4.66","3282.28","0.01"
"New Zealand","Bhutan","2015.0","Export","4.0","0.1","217.64","0.0"
"New Zealand","Bunkers","2015.0","Export","2.0","0.05","336219.43","0.98"
"New Zealand","Botswana","2015.0","Export","7.0","0.18","46.39","0.0"
"New Zealand","Central African Republic","2015.0","Export","1.0","0.03","134.85","0.0"
"New Zealand","Canada","2015.0","Export","879.0","22.75","469754.16","1.37"
"New Zealand","Cocos (Keeling) Islands","2015.0","Export","","","",""
"New Zealand","Switzerland","2015.0","Export","354.0","9.16","82505.77","0.24"
"New Zealand","Chile","2015.0","Export","487.0","12.6","94913.33","0.28"
"New Zealand","China","2015.0","Export","1196.0","30.95","6041155.71","17.58"
"New Zealand","Cote d'Ivoire","2015.0","Export","15.0","0.39","9187.78","0.03"
"New Zealand","Cameroon","2015.0","Export","4.0","0.1","21605.31","0.06"
"New Zealand","Congo, Rep.","2015.0","Export","14.0","0.36","4504.32","0.01"
"New Zealand","Cook Islands","2015.0","Export","2001.0","51.79","68873.62","0.2"
"New Zealand","Colombia","2015.0","Export","149.0","3.86","15729.99","0.05"
"New Zealand","Comoros","2015.0","Export","1.0","0.03","57.66","0.0"
"New Zealand","Cape Verde","2015.0","Export","1.0","0.03","8.07","0.0"
"New Zealand","Costa Rica","2015.0","Export","79.0","2.04","5801.2","0.02"
"New Zealand","Cuba","2015.0","Export","31.0","0.8","59801.84","0.17"
"New Zealand","Curaçao","2015.0","Export","3.0","0.08","403.86","0.0"
"New Zealand","Christmas Island","2015.0","Export","","","",""
"New Zealand","Cayman Islands","2015.0","Export","15.0","0.39","842.4","0.0"
"New Zealand","Cyprus","2015.0","Export","50.0","1.29","10012.68","0.03"
"New Zealand","Czech Republic","2015.0","Export","149.0","3.86","8964.68","0.03"
"New Zealand","Germany","2015.0","Export","906.0","23.45","477389.4","1.39"
"New Zealand","Djibouti","2015.0","Export","11.0","0.28","2327.83","0.01"
"New Zealand","Dominica","2015.0","Export","1.0","0.03","117.75","0.0"
"New Zealand","Denmark","2015.0","Export","361.0","9.34","112292.87","0.33"
