"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Oman","Afghanistan","2015.0","Export","3.0","0.12","43.16","0.0"
"Oman","Angola","2015.0","Export","6.0","0.25","8061.76","0.03"
"Oman","Albania","2015.0","Export","3.0","0.12","70.68","0.0"
"Oman","United Arab Emirates","2015.0","Export","1961.0","80.7","2050237.33","6.42"
"Oman","Argentina","2015.0","Export","6.0","0.25","47832.51","0.15"
"Oman","Australia","2015.0","Export","69.0","2.84","60701.06","0.19"
"Oman","Austria","2015.0","Export","13.0","0.54","559.5","0.0"
"Oman","Azerbaijan","2015.0","Export","1.0","0.04","4.62","0.0"
"Oman","Burundi","2015.0","Export","2.0","0.08","7.12","0.0"
"Oman","Belgium","2015.0","Export","39.0","1.6","9591.55","0.03"
"Oman","Benin","2015.0","Export","1.0","0.04","27.86","0.0"
"Oman","Burkina Faso","2015.0","Export","1.0","0.04","20.6","0.0"
"Oman","Bangladesh","2015.0","Export","41.0","1.69","60322.99","0.19"
"Oman","Bulgaria","2015.0","Export","7.0","0.29","149.57","0.0"
"Oman","Bahrain","2015.0","Export","214.0","8.81","80126.24","0.25"
"Oman","Bosnia and Herzegovina","2015.0","Export","","","",""
"Oman","Belize","2015.0","Export","1.0","0.04","65.96","0.0"
"Oman","Bolivia","2015.0","Export","2.0","0.08","164.34","0.0"
"Oman","Brazil","2015.0","Export","33.0","1.36","90779.8","0.28"
"Oman","Brunei","2015.0","Export","6.0","0.25","185.74","0.0"
"Oman","Botswana","2015.0","Export","3.0","0.12","97.56","0.0"
"Oman","Canada","2015.0","Export","35.0","1.44","18903.9","0.06"
"Oman","Switzerland","2015.0","Export","58.0","2.39","4392.34","0.01"
"Oman","Chile","2015.0","Export","9.0","0.37","4615.48","0.01"
"Oman","China","2015.0","Export","131.0","5.39","14070668.73","44.07"
"Oman","Cote d'Ivoire","2015.0","Export","11.0","0.45","1736.03","0.01"
"Oman","Cameroon","2015.0","Export","12.0","0.49","2596.27","0.01"
"Oman","Congo, Rep.","2015.0","Export","10.0","0.41","862.67","0.0"
"Oman","Cook Islands","2015.0","Export","1.0","0.04","0.26","0.0"
"Oman","Colombia","2015.0","Export","9.0","0.37","743.09","0.0"
"Oman","Comoros","2015.0","Export","11.0","0.45","2857.82","0.01"
"Oman","Costa Rica","2015.0","Export","2.0","0.08","39.99","0.0"
"Oman","Cuba","2015.0","Export","3.0","0.12","36.12","0.0"
"Oman","Cyprus","2015.0","Export","7.0","0.29","673.74","0.0"
"Oman","Czech Republic","2015.0","Export","15.0","0.62","1111.08","0.0"
"Oman","Germany","2015.0","Export","177.0","7.28","40324.95","0.13"
"Oman","Djibouti","2015.0","Export","26.0","1.07","24167.47","0.08"
"Oman","Dominica","2015.0","Export","1.0","0.04","24.22","0.0"
"Oman","Denmark","2015.0","Export","12.0","0.49","2181.89","0.01"
"Oman","Dominican Republic","2015.0","Export","2.0","0.08","115.59","0.0"
"Oman","Algeria","2015.0","Export","28.0","1.15","28114.89","0.09"
"Oman","East Asia & Pacific","2015.0","Export","376.0","15.47","17081745.7","53.5"
"Oman","Europe & Central Asia","2015.0","Export","543.0","22.35","543576.58","1.7"
"Oman","Ecuador","2015.0","Export","3.0","0.12","107.13","0.0"
"Oman","Egypt, Arab Rep.","2015.0","Export","136.0","5.6","80820.88","0.25"
"Oman","Eritrea","2015.0","Export","1.0","0.04","49.26","0.0"
"Oman","Western Sahara","2015.0","Export","1.0","0.04","4.47","0.0"
"Oman","Spain","2015.0","Export","53.0","2.18","22194.87","0.07"
"Oman","Estonia","2015.0","Export","1.0","0.04","28.18","0.0"
"Oman","Ethiopia(excludes Eritrea)","2015.0","Export","10.0","0.41","557.7","0.0"
"Oman","Finland","2015.0","Export","5.0","0.21","447.62","0.0"
"Oman","Fiji","2015.0","Export","3.0","0.12","453.99","0.0"
"Oman","France","2015.0","Export","84.0","3.46","10490.83","0.03"
"Oman","Gabon","2015.0","Export","4.0","0.16","169.48","0.0"
"Oman","United Kingdom","2015.0","Export","189.0","7.78","46739.42","0.15"
"Oman","Georgia","2015.0","Export","3.0","0.12","289.43","0.0"
"Oman","Ghana","2015.0","Export","15.0","0.62","950.08","0.0"
"Oman","Guinea","2015.0","Export","4.0","0.16","141.77","0.0"
"Oman","Gambia, The","2015.0","Export","2.0","0.08","63.94","0.0"
"Oman","Guinea-Bissau","2015.0","Export","1.0","0.04","42.48","0.0"
"Oman","Greece","2015.0","Export","14.0","0.58","2023.32","0.01"
"Oman","Grenada","2015.0","Export","1.0","0.04","4.51","0.0"
"Oman","Guatemala","2015.0","Export","1.0","0.04","48.89","0.0"
"Oman","Hong Kong, China","2015.0","Export","52.0","2.14","42378.48","0.13"
"Oman","Honduras","2015.0","Export","1.0","0.04","65.8","0.0"
"Oman","Croatia","2015.0","Export","3.0","0.12","934.08","0.0"
"Oman","Haiti","2015.0","Export","1.0","0.04","184.01","0.0"
"Oman","Hungary","2015.0","Export","13.0","0.54","3051.37","0.01"
"Oman","Indonesia","2015.0","Export","31.0","1.28","89513.66","0.28"
"Oman","India","2015.0","Export","305.0","12.55","1088233.6","3.41"
"Oman","Ireland","2015.0","Export","11.0","0.45","4386.15","0.01"
"Oman","Iran, Islamic Rep.","2015.0","Export","258.0","10.62","228411.9","0.72"
"Oman","Iraq","2015.0","Export","130.0","5.35","461774.61","1.45"
"Oman","Iceland","2015.0","Export","1.0","0.04","21.83","0.0"
"Oman","Italy","2015.0","Export","116.0","4.77","67401.69","0.21"
"Oman","Jamaica","2015.0","Export","2.0","0.08","86.69","0.0"
"Oman","Jordan","2015.0","Export","140.0","5.76","42919.95","0.13"
"Oman","Japan","2015.0","Export","44.0","1.81","635023.91","1.99"
"Oman","Kazakhstan","2015.0","Export","2.0","0.08","528.59","0.0"
"Oman","Kenya","2015.0","Export","49.0","2.02","59251.75","0.19"
"Oman","Cambodia","2015.0","Export","2.0","0.08","871.77","0.0"
"Oman","Korea, Rep.","2015.0","Export","53.0","2.18","565664.71","1.77"
"Oman","Kuwait","2015.0","Export","280.0","11.52","191483.38","0.6"
"Oman","Lebanon","2015.0","Export","74.0","3.05","16826.36","0.05"
"Oman","Liberia","2015.0","Export","5.0","0.21","1186.21","0.0"
"Oman","Libya","2015.0","Export","25.0","1.03","10366.38","0.03"
"Oman","Latin America & Caribbean","2015.0","Export","61.0","2.51","171972.8","0.54"
"Oman","Sri Lanka","2015.0","Export","66.0","2.72","103092.05","0.32"
"Oman","Lithuania","2015.0","Export","3.0","0.12","184.37","0.0"
"Oman","Luxembourg","2015.0","Export","2.0","0.08","723.01","0.0"
"Oman","Latvia","2015.0","Export","","","",""
"Oman","Macao","2015.0","Export","1.0","0.04","23.64","0.0"
"Oman","Morocco","2015.0","Export","28.0","1.15","25726.59","0.08"
"Oman","Madagascar","2015.0","Export","3.0","0.12","214.18","0.0"
"Oman","Maldives","2015.0","Export","9.0","0.37","17935.38","0.06"
"Oman","Middle East & North Africa","2015.0","Export","2208.0","90.86","5109680.35","16.0"
"Oman","Mexico","2015.0","Export","6.0","0.25","17337.22","0.05"
"Oman","Mali","2015.0","Export","2.0","0.08","31.81","0.0"
"Oman","Malta","2015.0","Export","8.0","0.33","592.97","0.0"
"Oman","Myanmar","2015.0","Export","6.0","0.25","17067.4","0.05"
"Oman","Mozambique","2015.0","Export","21.0","0.86","65947.39","0.21"
"Oman","Mauritania","2015.0","Export","4.0","0.16","99.12","0.0"
"Oman","Mauritius","2015.0","Export","26.0","1.07","7226.96","0.02"
"Oman","Malawi","2015.0","Export","1.0","0.04","69.0","0.0"
"Oman","Malaysia","2015.0","Export","75.0","3.09","308956.7","0.97"
"Oman","North America","2015.0","Export","251.0","10.33","533504.84","1.67"
"Oman","Namibia","2015.0","Export","1.0","0.04","170.22","0.0"
"Oman","Niger","2015.0","Export","2.0","0.08","702.99","0.0"
"Oman","Nigeria","2015.0","Export","23.0","0.95","6563.62","0.02"
"Oman","Nicaragua","2015.0","Export","1.0","0.04","98.11","0.0"
"Oman","Netherlands","2015.0","Export","95.0","3.91","227615.75","0.71"
"Oman","Norway","2015.0","Export","16.0","0.66","7301.0","0.02"
"Oman","Nepal","2015.0","Export","3.0","0.12","205.9","0.0"
"Oman","Nauru","2015.0","Export","1.0","0.04","1.87","0.0"
"Oman","New Zealand","2015.0","Export","16.0","0.66","2268.28","0.01"
"Oman","Other Asia, nes","2015.0","Export","29.0","1.19","1705007.5","5.34"
"Oman","Pakistan","2015.0","Export","160.0","6.58","436087.4","1.37"
"Oman","Panama","2015.0","Export","4.0","0.16","443.26","0.0"
"Oman","Peru","2015.0","Export","6.0","0.25","819.68","0.0"
"Oman","Philippines","2015.0","Export","18.0","0.74","14073.44","0.04"
"Oman","Papua New Guinea","2015.0","Export","1.0","0.04","123.07","0.0"
"Oman","Poland","2015.0","Export","17.0","0.7","8357.41","0.03"
"Oman","Portugal","2015.0","Export","10.0","0.41","8542.55","0.03"
"Oman","Paraguay","2015.0","Export","","","",""
"Oman","Occ.Pal.Terr","2015.0","Export","7.0","0.29","910.84","0.0"
"Oman","Qatar","2015.0","Export","313.0","12.88","272175.29","0.85"
"Oman","Romania","2015.0","Export","34.0","1.4","4487.2","0.01"
"Oman","Russian Federation","2015.0","Export","26.0","1.07","4917.36","0.02"
"Oman","Rwanda","2015.0","Export","1.0","0.04","10.22","0.0"
"Oman","South Asia","2015.0","Export","426.0","17.53","1705920.48","5.34"
"Oman","Saudi Arabia","2015.0","Export","511.0","21.03","1014278.2","3.18"
"Oman","Senegal","2015.0","Export","8.0","0.33","771.46","0.0"
"Oman","Singapore","2015.0","Export","107.0","4.4","626624.64","1.96"
"Oman","Sierra Leone","2015.0","Export","11.0","0.45","797.87","0.0"
"Oman","El Salvador","2015.0","Export","3.0","0.12","572.21","0.0"
"Oman","Somalia","2015.0","Export","309.0","12.72","182823.53","0.57"
"Oman","Sub-Saharan Africa","2015.0","Export","444.0","18.27","728214.14","2.28"
"Oman","Sudan","2015.0","Export","56.0","2.3","15679.96","0.05"
"Oman","Slovak Republic","2015.0","Export","1.0","0.04","0.26","0.0"
"Oman","Slovenia","2015.0","Export","7.0","0.29","1918.29","0.01"
"Oman","Sweden","2015.0","Export","18.0","0.74","853.06","0.0"
"Oman","Seychelles","2015.0","Export","6.0","0.25","7369.94","0.02"
"Oman","Syrian Arab Republic","2015.0","Export","17.0","0.7","10156.08","0.03"
"Oman","Chad","2015.0","Export","3.0","0.12","62.55","0.0"
"Oman","Togo","2015.0","Export","3.0","0.12","352.55","0.0"
"Oman","Thailand","2015.0","Export","58.0","2.39","594127.41","1.86"
"Oman","Turkmenistan","2015.0","Export","1.0","0.04","11.23","0.0"
"Oman","Tonga","2015.0","Export","1.0","0.04","14.17","0.0"
"Oman","Trinidad and Tobago","2015.0","Export","5.0","0.21","1004.47","0.0"
"Oman","Tunisia","2015.0","Export","39.0","1.6","8518.82","0.03"
"Oman","Turkey","2015.0","Export","67.0","2.76","58904.21","0.18"
"Oman","Tanzania","2015.0","Export","83.0","3.42","39855.78","0.12"
"Oman","Uganda","2015.0","Export","8.0","0.33","516.87","0.0"
"Oman","Ukraine","2015.0","Export","11.0","0.45","2163.59","0.01"
"Oman","Unspecified","2015.0","Export","2.0","0.08","4330296.52","13.56"
"Oman","Uruguay","2015.0","Export","3.0","0.12","6629.66","0.02"
"Oman","United States","2015.0","Export","234.0","9.63","514600.94","1.61"
"Oman","Venezuela","2015.0","Export","14.0","0.58","154.05","0.0"
"Oman","Vietnam","2015.0","Export","27.0","1.11","53004.9","0.17"
"Oman"," World","2015.0","Export","2430.0","100.0","31926516.34","100.0"
"Oman","Yemen","2015.0","Export","343.0","14.12","562983.02","1.76"
"Oman","South Africa","2015.0","Export","48.0","1.98","335367.59","1.05"
"Oman","Congo, Dem. Rep.","2015.0","Export","2.0","0.08","60.52","0.0"
"Oman","Zambia","2015.0","Export","8.0","0.33","384.39","0.0"
"Oman","Zimbabwe","2015.0","Export","3.0","0.12","135.24","0.0"
