"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Pakistan","Aruba","2015.0","Export","7.0","0.25","161.37","0.0"
"Pakistan","Afghanistan","2015.0","Export","764.0","26.84","1722215.73","7.8"
"Pakistan","Angola","2015.0","Export","60.0","2.11","27588.44","0.12"
"Pakistan","Anguila","2015.0","Export","1.0","0.04","3.0","0.0"
"Pakistan","Albania","2015.0","Export","65.0","2.28","3975.22","0.02"
"Pakistan","Andorra","2015.0","Export","1.0","0.04","3.55","0.0"
"Pakistan","United Arab Emirates","2015.0","Export","1506.0","52.92","899029.68","4.07"
"Pakistan","Argentina","2015.0","Export","114.0","4.01","52719.82","0.24"
"Pakistan","Armenia","2015.0","Export","5.0","0.18","165.3","0.0"
"Pakistan","American Samoa","2015.0","Export","2.0","0.07","11.74","0.0"
"Pakistan","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Pakistan","Antigua and Barbuda","2015.0","Export","4.0","0.14","23.61","0.0"
"Pakistan","Australia","2015.0","Export","576.0","20.24","175672.09","0.8"
"Pakistan","Austria","2015.0","Export","183.0","6.43","16079.74","0.07"
"Pakistan","Azerbaijan","2015.0","Export","90.0","3.16","42199.09","0.19"
"Pakistan","Burundi","2015.0","Export","12.0","0.42","105.63","0.0"
"Pakistan","Belgium","2015.0","Export","520.0","18.27","592165.68","2.68"
"Pakistan","Benin","2015.0","Export","43.0","1.51","55357.62","0.25"
"Pakistan","Burkina Faso","2015.0","Export","3.0","0.11","222.72","0.0"
"Pakistan","Bangladesh","2015.0","Export","581.0","20.41","700566.74","3.17"
"Pakistan","Bulgaria","2015.0","Export","102.0","3.58","11884.43","0.05"
"Pakistan","Bahrain","2015.0","Export","417.0","14.65","69189.64","0.31"
"Pakistan","Bahamas, The","2015.0","Export","8.0","0.28","140.46","0.0"
"Pakistan","Bosnia and Herzegovina","2015.0","Export","18.0","0.63","147.17","0.0"
"Pakistan","Belarus","2015.0","Export","25.0","0.88","406.58","0.0"
"Pakistan","Belize","2015.0","Export","4.0","0.14","24.36","0.0"
"Pakistan","Bermuda","2015.0","Export","13.0","0.46","88.16","0.0"
"Pakistan","Bolivia","2015.0","Export","9.0","0.32","669.49","0.0"
"Pakistan","Brazil","2015.0","Export","203.0","7.13","56442.67","0.26"
"Pakistan","Barbados","2015.0","Export","24.0","0.84","208.94","0.0"
"Pakistan","Brunei","2015.0","Export","49.0","1.72","687.03","0.0"
"Pakistan","Bhutan","2015.0","Export","","","",""
"Pakistan","Bouvet Island","2015.0","Export","","","",""
"Pakistan","Botswana","2015.0","Export","46.0","1.62","2096.43","0.01"
"Pakistan","Central African Republic","2015.0","Export","1.0","0.04","0.69","0.0"
"Pakistan","Canada","2015.0","Export","644.0","22.63","216454.11","0.98"
"Pakistan","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Pakistan","Switzerland","2015.0","Export","219.0","7.7","15090.58","0.07"
"Pakistan","Chile","2015.0","Export","186.0","6.54","65192.97","0.3"
"Pakistan","China","2015.0","Export","626.0","22.0","1934925.76","8.76"
"Pakistan","Cote d'Ivoire","2015.0","Export","68.0","2.39","82861.48","0.38"
"Pakistan","Cameroon","2015.0","Export","52.0","1.83","21357.96","0.1"
"Pakistan","Congo, Rep.","2015.0","Export","17.0","0.6","1696.18","0.01"
"Pakistan","Cook Islands","2015.0","Export","4.0","0.14","4.5","0.0"
"Pakistan","Colombia","2015.0","Export","138.0","4.85","42940.54","0.19"
"Pakistan","Comoros","2015.0","Export","17.0","0.6","23156.3","0.1"
"Pakistan","Cape Verde","2015.0","Export","","","",""
"Pakistan","Costa Rica","2015.0","Export","54.0","1.9","4376.13","0.02"
"Pakistan","Cuba","2015.0","Export","27.0","0.95","3898.06","0.02"
"Pakistan","Curaçao","2015.0","Export","4.0","0.14","42.06","0.0"
"Pakistan","Christmas Island","2015.0","Export","","","",""
"Pakistan","Cayman Islands","2015.0","Export","5.0","0.18","46.73","0.0"
"Pakistan","Cyprus","2015.0","Export","83.0","2.92","3898.87","0.02"
"Pakistan","Czech Republic","2015.0","Export","205.0","7.2","33374.93","0.15"
"Pakistan","Germany","2015.0","Export","880.0","30.92","1146260.57","5.19"
"Pakistan","Djibouti","2015.0","Export","210.0","7.38","41343.67","0.19"
"Pakistan","Dominica","2015.0","Export","5.0","0.18","48.08","0.0"
"Pakistan","Denmark","2015.0","Export","302.0","10.61","111241.81","0.5"
"Pakistan","Dominican Republic","2015.0","Export","63.0","2.21","12405.07","0.06"
"Pakistan","Algeria","2015.0","Export","119.0","4.18","25158.42","0.11"
"Pakistan","East Asia & Pacific","2015.0","Export","1442.0","50.67","3935096.33","17.81"
"Pakistan","Europe & Central Asia","2015.0","Export","1689.0","59.35","7214902.32","32.66"
"Pakistan","Ecuador","2015.0","Export","64.0","2.25","7120.15","0.03"
"Pakistan","Egypt, Arab Rep.","2015.0","Export","251.0","8.82","133661.97","0.61"
"Pakistan","Eritrea","2015.0","Export","8.0","0.28","344.72","0.0"
"Pakistan","Western Sahara","2015.0","Export","2.0","0.07","4.09","0.0"
"Pakistan","Spain","2015.0","Export","502.0","17.64","782258.07","3.54"
"Pakistan","Estonia","2015.0","Export","114.0","4.01","15961.78","0.07"
"Pakistan","Ethiopia(excludes Eritrea)","2015.0","Export","49.0","1.72","653.81","0.0"
"Pakistan","Finland","2015.0","Export","238.0","8.36","34416.62","0.16"
"Pakistan","Fiji","2015.0","Export","67.0","2.35","1739.07","0.01"
"Pakistan","Falkland Island","2015.0","Export","","","",""
"Pakistan","France","2015.0","Export","520.0","18.27","360626.55","1.63"
"Pakistan","Faeroe Islands","2015.0","Export","","","",""
"Pakistan","Micronesia, Fed. Sts.","2015.0","Export","1.0","0.04","4.98","0.0"
"Pakistan","Gabon","2015.0","Export","15.0","0.53","1643.64","0.01"
"Pakistan","United Kingdom","2015.0","Export","1042.0","36.61","1572801.2","7.12"
"Pakistan","Georgia","2015.0","Export","45.0","1.58","6245.36","0.03"
"Pakistan","Ghana","2015.0","Export","118.0","4.15","7195.05","0.03"
"Pakistan","Gibraltar","2015.0","Export","","","",""
"Pakistan","Guinea","2015.0","Export","42.0","1.48","3234.73","0.01"
"Pakistan","Gambia, The","2015.0","Export","45.0","1.58","18330.18","0.08"
"Pakistan","Guinea-Bissau","2015.0","Export","6.0","0.21","13053.62","0.06"
"Pakistan","Equatorial Guinea","2015.0","Export","3.0","0.11","13.05","0.0"
"Pakistan","Greece","2015.0","Export","299.0","10.51","59631.09","0.27"
"Pakistan","Grenada","2015.0","Export","12.0","0.42","208.72","0.0"
"Pakistan","Greenland","2015.0","Export","","","",""
"Pakistan","Guatemala","2015.0","Export","44.0","1.55","9116.14","0.04"
"Pakistan","Guam","2015.0","Export","11.0","0.39","66.99","0.0"
"Pakistan","Guyana","2015.0","Export","61.0","2.14","561.18","0.0"
"Pakistan","Hong Kong, China","2015.0","Export","457.0","16.06","241713.12","1.09"
"Pakistan","Heard Island and McDonald Isla","2015.0","Export","","","",""
"Pakistan","Honduras","2015.0","Export","35.0","1.23","13377.41","0.06"
"Pakistan","Croatia","2015.0","Export","109.0","3.83","10161.97","0.05"
