"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Panama","Aruba","2015.0","Export","1027.0","34.99","59059.24","0.52"
"Panama","Angola","2015.0","Export","9.0","0.31","177.34","0.0"
"Panama","Albania","2015.0","Export","","","",""
"Panama","United Arab Emirates","2015.0","Export","58.0","1.98","16565.64","0.15"
"Panama","Argentina","2015.0","Export","341.0","11.62","80217.95","0.71"
"Panama","Antigua and Barbuda","2015.0","Export","419.0","14.28","5619.64","0.05"
"Panama","Australia","2015.0","Export","18.0","0.61","1175.87","0.01"
"Panama","Austria","2015.0","Export","1.0","0.03","9.95","0.0"
"Panama","Belgium","2015.0","Export","14.0","0.48","989.87","0.01"
"Panama","Benin","2015.0","Export","2.0","0.07","25.34","0.0"
"Panama","Bonaire","2015.0","Export","91.0","3.1","1098.55","0.01"
"Panama","Bangladesh","2015.0","Export","1.0","0.03","0.13","0.0"
"Panama","Bulgaria","2015.0","Export","","","",""
"Panama","Bahrain","2015.0","Export","11.0","0.37","135.79","0.0"
"Panama","Bahamas, The","2015.0","Export","514.0","17.51","32038.35","0.28"
"Panama","Bosnia and Herzegovina","2015.0","Export","6.0","0.2","59.34","0.0"
"Panama","Belize","2015.0","Export","964.0","32.84","45742.8","0.4"
"Panama","Bermuda","2015.0","Export","175.0","5.96","9895.94","0.09"
"Panama","Bolivia","2015.0","Export","564.0","19.22","43309.04","0.38"
"Panama","Brazil","2015.0","Export","844.0","28.76","82586.05","0.73"
"Panama","Barbados","2015.0","Export","814.0","27.73","41884.37","0.37"
"Panama","Bunkers","2015.0","Export","627.0","21.36","118015.56","1.04"
"Panama","Central African Republic","2015.0","Export","1.0","0.03","1.27","0.0"
"Panama","Canada","2015.0","Export","65.0","2.21","11985.69","0.11"
"Panama","Switzerland","2015.0","Export","20.0","0.68","25707.03","0.23"
"Panama","Chile","2015.0","Export","1134.0","38.64","251373.86","2.22"
"Panama","China","2015.0","Export","7.0","0.24","237.46","0.0"
"Panama","Cote d'Ivoire","2015.0","Export","1.0","0.03","7.6","0.0"
"Panama","Cameroon","2015.0","Export","5.0","0.17","5.28","0.0"
"Panama","Colombia","2015.0","Export","1826.0","62.21","1481503.55","13.06"
"Panama","Costa Rica","2015.0","Export","1709.0","58.23","639048.45","5.63"
"Panama","Cuba","2015.0","Export","1343.0","45.76","278889.95","2.46"
"Panama","Curaçao","2015.0","Export","997.0","33.97","60280.8","0.53"
"Panama","Cyprus","2015.0","Export","2.0","0.07","262.31","0.0"
"Panama","Czech Republic","2015.0","Export","","","",""
"Panama","Germany","2015.0","Export","","","",""
"Panama","Dominica","2015.0","Export","261.0","8.89","1290.14","0.01"
"Panama","Denmark","2015.0","Export","1.0","0.03","12.29","0.0"
"Panama","Dominican Republic","2015.0","Export","1775.0","60.48","546530.22","4.82"
"Panama","East Asia & Pacific","2015.0","Export","86.0","2.93","51554.47","0.45"
"Panama","Europe & Central Asia","2015.0","Export","590.0","20.1","154586.46","1.36"
"Panama","Ecuador","2015.0","Export","1133.0","38.6","408742.52","3.6"
"Panama","Egypt, Arab Rep.","2015.0","Export","23.0","0.78","166.5","0.0"
"Panama","Spain","2015.0","Export","122.0","4.16","3082.26","0.03"
"Panama","Estonia","2015.0","Export","","","",""
"Panama","Finland","2015.0","Export","2.0","0.07","155.72","0.0"
"Panama","France","2015.0","Export","437.0","14.89","12850.3","0.11"
"Panama","Free Zones","2015.0","Export","344.0","11.72","129897.92","1.14"
"Panama","United Kingdom","2015.0","Export","15.0","0.51","1032.57","0.01"
"Panama","Ghana","2015.0","Export","1.0","0.03","848.07","0.01"
"Panama","Gambia, The","2015.0","Export","1.0","0.03","42.5","0.0"
"Panama","Greece","2015.0","Export","97.0","3.3","1620.61","0.01"
"Panama","Grenada","2015.0","Export","555.0","18.91","4087.89","0.04"
"Panama","Greenland","2015.0","Export","","","",""
"Panama","Guatemala","2015.0","Export","1499.0","51.07","481478.63","4.24"
"Panama","Guyana","2015.0","Export","1148.0","39.11","47384.26","0.42"
"Panama","Hong Kong, China","2015.0","Export","","","",""
"Panama","Honduras","2015.0","Export","1534.0","52.27","378988.23","3.34"
"Panama","Haiti","2015.0","Export","816.0","27.8","61061.17","0.54"
"Panama","Hungary","2015.0","Export","1.0","0.03","19.45","0.0"
"Panama","Indonesia","2015.0","Export","4.0","0.14","41.12","0.0"
"Panama","India","2015.0","Export","15.0","0.51","428.24","0.0"
"Panama","Ireland","2015.0","Export","1.0","0.03","93.39","0.0"
"Panama","Iran, Islamic Rep.","2015.0","Export","1.0","0.03","0.43","0.0"
"Panama","Iceland","2015.0","Export","1.0","0.03","0.19","0.0"
"Panama","Israel","2015.0","Export","109.0","3.71","3384.71","0.03"
"Panama","Italy","2015.0","Export","29.0","0.99","2137.96","0.02"
"Panama","Jamaica","2015.0","Export","1375.0","46.85","146409.31","1.29"
"Panama","Jordan","2015.0","Export","55.0","1.87","1386.5","0.01"
"Panama","Japan","2015.0","Export","3.0","0.1","29865.6","0.26"
"Panama","Kenya","2015.0","Export","1.0","0.03","8.91","0.0"
"Panama","Cambodia","2015.0","Export","","","",""
"Panama","St. Kitts and Nevis","2015.0","Export","333.0","11.35","3687.1","0.03"
"Panama","Korea, Rep.","2015.0","Export","1.0","0.03","140.38","0.0"
"Panama","Lebanon","2015.0","Export","112.0","3.82","1046.62","0.01"
"Panama","Libya","2015.0","Export","1.0","0.03","1925.0","0.02"
"Panama","St. Lucia","2015.0","Export","535.0","18.23","6505.26","0.06"
"Panama","Latin America & Caribbean","2015.0","Export","2736.0","93.22","7217160.27","63.6"
"Panama","Sri Lanka","2015.0","Export","2.0","0.07","17.94","0.0"
"Panama","Lithuania","2015.0","Export","","","",""
"Panama","Luxembourg","2015.0","Export","2.0","0.07","20.61","0.0"
"Panama","Latvia","2015.0","Export","","","",""
"Panama","Morocco","2015.0","Export","4.0","0.14","90.99","0.0"
"Panama","Moldova","2015.0","Export","","","",""
"Panama","Middle East & North Africa","2015.0","Export","253.0","8.62","24842.72","0.22"
"Panama","Mexico","2015.0","Export","620.0","21.12","144827.48","1.28"
"Panama","Myanmar","2015.0","Export","","","",""
"Panama","Mauritius","2015.0","Export","1.0","0.03","5.1","0.0"
"Panama","Malaysia","2015.0","Export","9.0","0.31","1209.02","0.01"
"Panama","North America","2015.0","Export","1306.0","44.5","2496484.15","22.0"
"Panama","Nicaragua","2015.0","Export","1465.0","49.91","331914.49","2.92"
"Panama","Netherlands","2015.0","Export","43.0","1.47","98968.35","0.87"
"Panama","Norway","2015.0","Export","1.0","0.03","34.6","0.0"
"Panama","New Zealand","2015.0","Export","4.0","0.14","54.27","0.0"
"Panama","Other Asia, nes","2015.0","Export","1.0","0.03","12.01","0.0"
"Panama","Pakistan","2015.0","Export","2.0","0.07","5.95","0.0"
"Panama","Peru","2015.0","Export","871.0","29.68","197544.99","1.74"
"Panama","Philippines","2015.0","Export","19.0","0.65","186.91","0.0"
"Panama","Poland","2015.0","Export","2.0","0.07","487.77","0.0"
