"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Peru","Aruba","2015.0","Export","280.0","8.62","21874.85","0.07"
"Peru","Afghanistan","2015.0","Export","1.0","0.03","3128.93","0.01"
"Peru","Angola","2015.0","Export","32.0","0.99","1502.99","0.0"
"Peru","Albania","2015.0","Export","9.0","0.28","311.91","0.0"
"Peru","Andorra","2015.0","Export","","","",""
"Peru","United Arab Emirates","2015.0","Export","236.0","7.27","20119.11","0.06"
"Peru","Argentina","2015.0","Export","493.0","15.18","131281.09","0.39"
"Peru","Armenia","2015.0","Export","","","",""
"Peru","American Samoa","2015.0","Export","1.0","0.03","7.81","0.0"
"Peru","Antarctica","2015.0","Export","","","",""
"Peru","Antigua and Barbuda","2015.0","Export","65.0","2.0","937.08","0.0"
"Peru","Australia","2015.0","Export","361.0","11.11","100054.93","0.3"
"Peru","Austria","2015.0","Export","116.0","3.57","3104.21","0.01"
"Peru","Azerbaijan","2015.0","Export","1.0","0.03","2.27","0.0"
"Peru","Burundi","2015.0","Export","","","",""
"Peru","Belgium","2015.0","Export","334.0","10.28","459955.73","1.38"
"Peru","Benin","2015.0","Export","3.0","0.09","1094.92","0.0"
"Peru","Burkina Faso","2015.0","Export","4.0","0.12","220.86","0.0"
"Peru","Bangladesh","2015.0","Export","13.0","0.4","2363.62","0.01"
"Peru","Bulgaria","2015.0","Export","34.0","1.05","158720.36","0.48"
"Peru","Bahrain","2015.0","Export","11.0","0.34","1002.95","0.0"
"Peru","Bahamas, The","2015.0","Export","36.0","1.11","7881.06","0.02"
"Peru","Bosnia and Herzegovina","2015.0","Export","1.0","0.03","13.01","0.0"
"Peru","Saint Barthélemy","2015.0","Export","9.0","0.28","61.78","0.0"
"Peru","Belarus","2015.0","Export","","","",""
"Peru","Belize","2015.0","Export","14.0","0.43","446.43","0.0"
"Peru","Bermuda","2015.0","Export","2.0","0.06","32.85","0.0"
"Peru","Bolivia","2015.0","Export","1553.0","47.81","591197.93","1.78"
"Peru","Brazil","2015.0","Export","621.0","19.12","1071801.72","3.22"
"Peru","Barbados","2015.0","Export","48.0","1.48","1261.08","0.0"
"Peru","Brunei","2015.0","Export","1.0","0.03","2.32","0.0"
"Peru","Bouvet Island","2015.0","Export","","","",""
"Peru","Central African Republic","2015.0","Export","","","",""
"Peru","Canada","2015.0","Export","656.0","20.2","2305900.54","6.94"
"Peru","Cocos (Keeling) Islands","2015.0","Export","1.0","0.03","4.77","0.0"
"Peru","Switzerland","2015.0","Export","284.0","8.74","2694471.41","8.1"
"Peru","Chile","2015.0","Export","1787.0","55.02","1069122.71","3.22"
"Peru","China","2015.0","Export","228.0","7.02","7332901.23","22.06"
"Peru","Cote d'Ivoire","2015.0","Export","","","",""
"Peru","Cameroon","2015.0","Export","401.0","12.35","24696.67","0.07"
"Peru","Congo, Rep.","2015.0","Export","10.0","0.31","381.87","0.0"
"Peru","Cook Islands","2015.0","Export","","","",""
"Peru","Colombia","2015.0","Export","1318.0","40.58","870688.52","2.62"
"Peru","Comoros","2015.0","Export","","","",""
"Peru","Cape Verde","2015.0","Export","13.0","0.4","678.92","0.0"
"Peru","Costa Rica","2015.0","Export","638.0","19.64","55643.84","0.17"
"Peru","Cuba","2015.0","Export","306.0","9.42","13429.42","0.04"
"Peru","Curaçao","2015.0","Export","151.0","4.65","87221.93","0.26"
"Peru","Cayman Islands","2015.0","Export","28.0","0.86","639.17","0.0"
"Peru","Cyprus","2015.0","Export","7.0","0.22","700.03","0.0"
"Peru","Czech Republic","2015.0","Export","103.0","3.17","2219.4","0.01"
"Peru","Germany","2015.0","Export","789.0","24.29","910352.73","2.74"
"Peru","Djibouti","2015.0","Export","2.0","0.06","7454.24","0.02"
"Peru","Dominica","2015.0","Export","34.0","1.05","4909.28","0.01"
"Peru","Denmark","2015.0","Export","112.0","3.45","142204.11","0.43"
"Peru","Dominican Republic","2015.0","Export","466.0","14.35","100217.56","0.3"
"Peru","Algeria","2015.0","Export","6.0","0.18","16566.44","0.05"
"Peru","East Asia & Pacific","2015.0","Export","878.0","27.03","10104682.26","30.39"
"Peru","Europe & Central Asia","2015.0","Export","1605.0","49.41","8185982.86","24.62"
"Peru","Ecuador","2015.0","Export","1580.0","48.65","703415.18","2.12"
"Peru","Egypt, Arab Rep.","2015.0","Export","22.0","0.68","8029.48","0.02"
"Peru","Western Sahara","2015.0","Export","","","",""
"Peru","Spain","2015.0","Export","756.0","23.28","1089019.06","3.28"
"Peru","Estonia","2015.0","Export","29.0","0.89","11257.62","0.03"
"Peru","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Peru","Finland","2015.0","Export","121.0","3.73","133492.41","0.4"
"Peru","Fiji","2015.0","Export","","","",""
"Peru","France","2015.0","Export","484.0","14.9","278498.34","0.84"
"Peru","Free Zones","2015.0","Export","229.0","7.05","16427.47","0.05"
"Peru","Faeroe Islands","2015.0","Export","","","",""
"Peru","Micronesia, Fed. Sts.","2015.0","Export","1.0","0.03","169.95","0.0"
"Peru","Gabon","2015.0","Export","6.0","0.18","131.35","0.0"
"Peru","United Kingdom","2015.0","Export","430.0","13.24","478390.39","1.44"
"Peru","Georgia","2015.0","Export","3.0","0.09","8857.94","0.03"
"Peru","Ghana","2015.0","Export","2.0","0.06","74.98","0.0"
"Peru","Gibraltar","2015.0","Export","1.0","0.03","43.26","0.0"
"Peru","Guinea","2015.0","Export","1.0","0.03","267.97","0.0"
"Peru","Gambia, The","2015.0","Export","12.0","0.37","2895.71","0.01"
"Peru","Guinea-Bissau","2015.0","Export","1.0","0.03","19.88","0.0"
"Peru","Equatorial Guinea","2015.0","Export","10.0","0.31","663.21","0.0"
"Peru","Greece","2015.0","Export","36.0","1.11","7166.54","0.02"
"Peru","Grenada","2015.0","Export","18.0","0.55","367.1","0.0"
"Peru","Greenland","2015.0","Export","1.0","0.03","11.9","0.0"
"Peru","Guatemala","2015.0","Export","415.0","12.78","91989.67","0.28"
"Peru","Guam","2015.0","Export","16.0","0.49","48.18","0.0"
"Peru","Guyana","2015.0","Export","184.0","5.67","2559.76","0.01"
"Peru","Hong Kong, China","2015.0","Export","216.0","6.65","134659.7","0.41"
"Peru","Honduras","2015.0","Export","278.0","8.56","40355.56","0.12"
"Peru","Croatia","2015.0","Export","12.0","0.37","503.1","0.0"
