"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Philippines","Aruba","2015.0","Export","5.0","0.18","265.33","0.0"
"Philippines","Afghanistan","2015.0","Export","85.0","3.06","6348.64","0.01"
"Philippines","Angola","2015.0","Export","12.0","0.43","380.34","0.0"
"Philippines","Anguila","2015.0","Export","","","",""
"Philippines","Albania","2015.0","Export","4.0","0.14","117.46","0.0"
"Philippines","Andorra","2015.0","Export","5.0","0.18","1449.65","0.0"
"Philippines","United Arab Emirates","2015.0","Export","568.0","20.43","301271.75","0.51"
"Philippines","Argentina","2015.0","Export","94.0","3.38","48878.89","0.08"
"Philippines","Armenia","2015.0","Export","9.0","0.32","78.32","0.0"
"Philippines","American Samoa","2015.0","Export","33.0","1.19","2669.58","0.0"
"Philippines","Antarctica","2015.0","Export","","","",""
"Philippines","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Philippines","Antigua and Barbuda","2015.0","Export","4.0","0.14","80.58","0.0"
"Philippines","Australia","2015.0","Export","689.0","24.78","451179.76","0.77"
"Philippines","Austria","2015.0","Export","187.0","6.73","97023.87","0.17"
"Philippines","Azerbaijan","2015.0","Export","13.0","0.47","152.49","0.0"
"Philippines","Burundi","2015.0","Export","1.0","0.04","42.23","0.0"
"Philippines","Belgium","2015.0","Export","224.0","8.06","286996.86","0.49"
"Philippines","Benin","2015.0","Export","4.0","0.14","286.62","0.0"
"Philippines","Burkina Faso","2015.0","Export","4.0","0.14","28.87","0.0"
"Philippines","Bangladesh","2015.0","Export","106.0","3.81","22186.37","0.04"
"Philippines","Bulgaria","2015.0","Export","42.0","1.51","19547.81","0.03"
"Philippines","Bahrain","2015.0","Export","130.0","4.68","9142.48","0.02"
"Philippines","Bahamas, The","2015.0","Export","9.0","0.32","948.39","0.0"
"Philippines","Bosnia and Herzegovina","2015.0","Export","5.0","0.18","5.16","0.0"
"Philippines","Belarus","2015.0","Export","5.0","0.18","205.02","0.0"
"Philippines","Belize","2015.0","Export","1.0","0.04","0.2","0.0"
"Philippines","Bermuda","2015.0","Export","7.0","0.25","74.66","0.0"
"Philippines","Bolivia","2015.0","Export","16.0","0.58","895.18","0.0"
"Philippines","Brazil","2015.0","Export","202.0","7.27","126386.11","0.22"
"Philippines","Barbados","2015.0","Export","10.0","0.36","156.6","0.0"
"Philippines","Brunei","2015.0","Export","143.0","5.14","11571.19","0.02"
"Philippines","Bhutan","2015.0","Export","3.0","0.11","30.17","0.0"
"Philippines","Botswana","2015.0","Export","6.0","0.22","151.51","0.0"
"Philippines","Central African Republic","2015.0","Export","4.0","0.14","34.41","0.0"
"Philippines","Canada","2015.0","Export","568.0","20.43","563498.01","0.96"
"Philippines","Switzerland","2015.0","Export","232.0","8.35","276208.83","0.47"
"Philippines","Chile","2015.0","Export","125.0","4.5","39125.23","0.07"
"Philippines","China","2015.0","Export","984.0","35.4","6393072.93","10.9"
"Philippines","Cote d'Ivoire","2015.0","Export","17.0","0.61","999.26","0.0"
"Philippines","Cameroon","2015.0","Export","6.0","0.22","3140.02","0.01"
"Philippines","Congo, Rep.","2015.0","Export","8.0","0.29","407.89","0.0"
"Philippines","Cook Islands","2015.0","Export","9.0","0.32","14.17","0.0"
"Philippines","Colombia","2015.0","Export","97.0","3.49","19012.52","0.03"
"Philippines","Cape Verde","2015.0","Export","1.0","0.04","6.37","0.0"
"Philippines","Costa Rica","2015.0","Export","59.0","2.12","10478.73","0.02"
"Philippines","Cuba","2015.0","Export","3.0","0.11","1963.06","0.0"
"Philippines","Curaçao","2015.0","Export","50.0","1.8","7071.19","0.01"
"Philippines","Christmas Island","2015.0","Export","","","",""
"Philippines","Cayman Islands","2015.0","Export","17.0","0.61","70.38","0.0"
"Philippines","Cyprus","2015.0","Export","38.0","1.37","118528.55","0.2"
"Philippines","Czech Republic","2015.0","Export","121.0","4.35","124457.64","0.21"
"Philippines","Germany","2015.0","Export","626.0","22.52","2646455.46","4.51"
"Philippines","Djibouti","2015.0","Export","2.0","0.07","901.93","0.0"
"Philippines","Dominica","2015.0","Export","1.0","0.04","0.14","0.0"
"Philippines","Denmark","2015.0","Export","165.0","5.94","40879.21","0.07"
"Philippines","Dominican Republic","2015.0","Export","34.0","1.22","6744.47","0.01"
"Philippines","Algeria","2015.0","Export","14.0","0.5","6409.45","0.01"
"Philippines","East Asia & Pacific","2015.0","Export","2486.0","89.42","36898508.75","62.92"
"Philippines","Europe & Central Asia","2015.0","Export","1300.0","46.76","7289725.82","12.43"
"Philippines","Ecuador","2015.0","Export","26.0","0.94","2299.65","0.0"
"Philippines","Egypt, Arab Rep.","2015.0","Export","90.0","3.24","12952.36","0.02"
"Philippines","Eritrea","2015.0","Export","1.0","0.04","0.17","0.0"
"Philippines","Spain","2015.0","Export","268.0","9.64","187343.79","0.32"
"Philippines","Estonia","2015.0","Export","38.0","1.37","4905.64","0.01"
"Philippines","Ethiopia(excludes Eritrea)","2015.0","Export","13.0","0.47","2471.08","0.0"
"Philippines","Finland","2015.0","Export","168.0","6.04","26294.35","0.04"
"Philippines","Fiji","2015.0","Export","41.0","1.47","1137.02","0.0"
"Philippines","Falkland Island","2015.0","Export","1.0","0.04","0.41","0.0"
"Philippines","France","2015.0","Export","422.0","15.18","416167.97","0.71"
"Philippines","Faeroe Islands","2015.0","Export","","","",""
"Philippines","Micronesia, Fed. Sts.","2015.0","Export","109.0","3.92","5577.76","0.01"
"Philippines","Gabon","2015.0","Export","3.0","0.11","39.22","0.0"
"Philippines","United Kingdom","2015.0","Export","561.0","20.18","477742.36","0.81"
"Philippines","Georgia","2015.0","Export","23.0","0.83","363.42","0.0"
"Philippines","Ghana","2015.0","Export","36.0","1.29","4077.06","0.01"
"Philippines","Gibraltar","2015.0","Export","2.0","0.07","0.81","0.0"
"Philippines","Guinea","2015.0","Export","2.0","0.07","119.33","0.0"
"Philippines","Gambia, The","2015.0","Export","5.0","0.18","56.46","0.0"
"Philippines","Guinea-Bissau","2015.0","Export","1.0","0.04","11.08","0.0"
"Philippines","Equatorial Guinea","2015.0","Export","4.0","0.14","22.99","0.0"
"Philippines","Greece","2015.0","Export","100.0","3.6","7384.44","0.01"
"Philippines","Grenada","2015.0","Export","2.0","0.07","16.55","0.0"
"Philippines","Greenland","2015.0","Export","1.0","0.04","0.0","0.0"
"Philippines","Guatemala","2015.0","Export","28.0","1.01","1137.91","0.0"
"Philippines","Guam","2015.0","Export","253.0","9.1","16206.96","0.03"
"Philippines","Guyana","2015.0","Export","2.0","0.07","0.47","0.0"
"Philippines","Hong Kong, China","2015.0","Export","911.0","32.77","6199418.34","10.57"
"Philippines","Honduras","2015.0","Export","13.0","0.47","145.22","0.0"
"Philippines","Croatia","2015.0","Export","39.0","1.4","1835.5","0.0"
"Philippines","Haiti","2015.0","Export","5.0","0.18","292.08","0.0"
"Philippines","Hungary","2015.0","Export","105.0","3.78","184279.36","0.31"
"Philippines","Indonesia","2015.0","Export","592.0","21.3","628273.8","1.07"
"Philippines","India","2015.0","Export","457.0","16.44","372885.82","0.64"
"Philippines","British Indian Ocean Ter.","2015.0","Export","1.0","0.04","1.2","0.0"
"Philippines","Ireland","2015.0","Export","98.0","3.53","53175.79","0.09"
"Philippines","Iran, Islamic Rep.","2015.0","Export","39.0","1.4","44547.43","0.08"
"Philippines","Iraq","2015.0","Export","15.0","0.54","4657.31","0.01"
"Philippines","Iceland","2015.0","Export","13.0","0.47","121.87","0.0"
"Philippines","Israel","2015.0","Export","235.0","8.45","45176.74","0.08"
"Philippines","Italy","2015.0","Export","393.0","14.14","187138.76","0.32"
"Philippines","Jamaica","2015.0","Export","19.0","0.68","359.86","0.0"
"Philippines","Jordan","2015.0","Export","52.0","1.87","2151.23","0.0"
"Philippines","Japan","2015.0","Export","1549.0","55.72","12381197.31","21.11"
"Philippines","Kazakhstan","2015.0","Export","31.0","1.12","345.51","0.0"
"Philippines","Kenya","2015.0","Export","64.0","2.3","4470.97","0.01"
"Philippines","Kyrgyz Republic","2015.0","Export","3.0","0.11","34.03","0.0"
"Philippines","Cambodia","2015.0","Export","112.0","4.03","8651.75","0.01"
"Philippines","Kiribati","2015.0","Export","10.0","0.36","188.97","0.0"
"Philippines","Korea, Rep.","2015.0","Export","922.0","33.17","2511551.98","4.28"
"Philippines","Kuwait","2015.0","Export","160.0","5.76","33092.67","0.06"
"Philippines","Lao PDR","2015.0","Export","25.0","0.9","15573.64","0.03"
"Philippines","Lebanon","2015.0","Export","93.0","3.35","8932.24","0.02"
"Philippines","Liberia","2015.0","Export","7.0","0.25","564687.0","0.96"
"Philippines","Libya","2015.0","Export","15.0","0.54","1532.02","0.0"
"Philippines","Latin America & Caribbean","2015.0","Export","554.0","19.93","811633.24","1.38"
"Philippines","Sri Lanka","2015.0","Export","93.0","3.35","27611.72","0.05"
"Philippines","Lesotho","2015.0","Export","","","",""
"Philippines","Lithuania","2015.0","Export","34.0","1.22","3677.3","0.01"
"Philippines","Luxembourg","2015.0","Export","26.0","0.94","6215.98","0.01"
"Philippines","Latvia","2015.0","Export","20.0","0.72","789.38","0.0"
"Philippines","Macao","2015.0","Export","127.0","4.57","20807.82","0.04"
"Philippines","Morocco","2015.0","Export","47.0","1.69","10244.21","0.02"
"Philippines","Moldova","2015.0","Export","2.0","0.07","111.67","0.0"
"Philippines","Madagascar","2015.0","Export","10.0","0.36","204.53","0.0"
"Philippines","Maldives","2015.0","Export","34.0","1.22","1346.82","0.0"
"Philippines","Middle East & North Africa","2015.0","Export","850.0","30.58","846615.56","1.44"
"Philippines","Mexico","2015.0","Export","354.0","12.73","449403.12","0.77"
"Philippines","Marshall Islands","2015.0","Export","40.0","1.44","247119.8","0.42"
"Philippines","Macedonia, FYR","2015.0","Export","5.0","0.18","38.19","0.0"
"Philippines","Mali","2015.0","Export","4.0","0.14","16.57","0.0"
"Philippines","Malta","2015.0","Export","52.0","1.87","252352.07","0.43"
"Philippines","Myanmar","2015.0","Export","97.0","3.49","34119.32","0.06"
"Philippines","Mongolia","2015.0","Export","33.0","1.19","1435.36","0.0"
"Philippines","Northern Mariana Islands","2015.0","Export","66.0","2.37","1977.49","0.0"
"Philippines","Montenegro","2015.0","Export","3.0","0.11","19.31","0.0"
"Philippines","Mozambique","2015.0","Export","9.0","0.32","654.5","0.0"
"Philippines","Mauritania","2015.0","Export","2.0","0.07","2.01","0.0"
"Philippines","Mauritius","2015.0","Export","51.0","1.83","1078.17","0.0"
"Philippines","Malawi","2015.0","Export","5.0","0.18","4.73","0.0"
"Philippines","Malaysia","2015.0","Export","781.0","28.09","1198694.38","2.04"
"Philippines","North America","2015.0","Export","1462.0","52.59","9374822.73","15.98"
"Philippines","Namibia","2015.0","Export","1.0","0.04","0.1","0.0"
"Philippines","New Caledonia","2015.0","Export","17.0","0.61","2472.53","0.0"
"Philippines","Niger","2015.0","Export","3.0","0.11","146.89","0.0"
"Philippines","Norfolk Island","2015.0","Export","5.0","0.18","583.29","0.0"
"Philippines","Nigeria","2015.0","Export","54.0","1.94","6564.61","0.01"
"Philippines","Nicaragua","2015.0","Export","8.0","0.29","72.98","0.0"
"Philippines","Netherlands","2015.0","Export","462.0","16.62","1771990.83","3.02"
"Philippines","Norway","2015.0","Export","107.0","3.85","7300.58","0.01"
"Philippines","Nepal","2015.0","Export","24.0","0.86","1606.55","0.0"
"Philippines","Nauru","2015.0","Export","2.0","0.07","8.66","0.0"
"Philippines","New Zealand","2015.0","Export","264.0","9.5","46035.53","0.08"
"Philippines","Other Asia, nes","2015.0","Export","882.0","31.73","2177119.89","3.71"
"Philippines","Oman","2015.0","Export","84.0","3.02","4708.1","0.01"
"Philippines","Pakistan","2015.0","Export","131.0","4.71","61347.03","0.1"
"Philippines","Panama","2015.0","Export","110.0","3.96","53016.92","0.09"
"Philippines","Peru","2015.0","Export","92.0","3.31","31299.8","0.05"
"Philippines","Palau","2015.0","Export","115.0","4.14","2537.96","0.0"
"Philippines","Papua New Guinea","2015.0","Export","324.0","11.65","17850.64","0.03"
"Philippines","Poland","2015.0","Export","156.0","5.61","57268.36","0.1"
"Philippines","Korea, Dem. Rep.","2015.0","Export","174.0","6.26","53242.21","0.09"
"Philippines","Portugal","2015.0","Export","104.0","3.74","20134.71","0.03"
"Philippines","Paraguay","2015.0","Export","14.0","0.5","226.5","0.0"
"Philippines","French Polynesia","2015.0","Export","23.0","0.83","2619.79","0.0"
"Philippines","Qatar","2015.0","Export","195.0","7.01","23621.88","0.04"
"Philippines","Romania","2015.0","Export","73.0","2.63","47814.68","0.08"
"Philippines","Russian Federation","2015.0","Export","212.0","7.63","45163.07","0.08"
"Philippines","Rwanda","2015.0","Export","10.0","0.36","345.08","0.0"
"Philippines","South Asia","2015.0","Export","617.0","22.19","493363.12","0.84"
"Philippines","Saudi Arabia","2015.0","Export","290.0","10.43","73012.06","0.12"
"Philippines","Senegal","2015.0","Export","7.0","0.25","409.62","0.0"
"Philippines","Serbia, FR(Serbia/Montenegro)","2015.0","Export","22.0","0.79","932.73","0.0"
"Philippines","Singapore","2015.0","Export","913.0","32.84","3649515.39","6.22"
"Philippines","Saint Helena","2015.0","Export","","","",""
"Philippines","Solomon Islands","2015.0","Export","20.0","0.72","951.2","0.0"
