"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Poland","Aruba","2015.0","Export","45.0","1.02","383.94","0.0"
"Poland","Afghanistan","2015.0","Export","101.0","2.28","9412.75","0.0"
"Poland","Angola","2015.0","Export","686.0","15.51","27534.89","0.01"
"Poland","Anguila","2015.0","Export","4.0","0.09","25.74","0.0"
"Poland","Albania","2015.0","Export","827.0","18.7","45091.26","0.02"
"Poland","Andorra","2015.0","Export","84.0","1.9","2853.66","0.0"
"Poland","United Arab Emirates","2015.0","Export","1687.0","38.15","778125.75","0.4"
"Poland","Argentina","2015.0","Export","477.0","10.79","93141.75","0.05"
"Poland","Armenia","2015.0","Export","1058.0","23.93","55049.07","0.03"
"Poland","American Samoa","2015.0","Export","11.0","0.25","56.52","0.0"
"Poland","Antarctica","2015.0","Export","390.0","8.82","265.28","0.0"
"Poland","Fr. So. Ant. Tr","2015.0","Export","135.0","3.05","3379.11","0.0"
"Poland","Antigua and Barbuda","2015.0","Export","26.0","0.59","110650.55","0.06"
"Poland","Australia","2015.0","Export","1522.0","34.42","567111.0","0.29"
"Poland","Austria","2015.0","Export","2742.0","62.01","3420276.14","1.76"
"Poland","Azerbaijan","2015.0","Export","1159.0","26.21","120850.79","0.06"
"Poland","Burundi","2015.0","Export","49.0","1.11","262.73","0.0"
"Poland","Belgium","2015.0","Export","2759.0","62.39","4186388.5","2.15"
"Poland","Benin","2015.0","Export","112.0","2.53","44683.67","0.02"
"Poland","Bonaire","2015.0","Export","15.0","0.34","300.05","0.0"
"Poland","Burkina Faso","2015.0","Export","111.0","2.51","56470.79","0.03"
"Poland","Bangladesh","2015.0","Export","231.0","5.22","23236.57","0.01"
"Poland","Bulgaria","2015.0","Export","2469.0","55.83","954117.86","0.49"
"Poland","Bahrain","2015.0","Export","401.0","9.07","19805.5","0.01"
"Poland","Bahamas, The","2015.0","Export","154.0","3.48","830317.09","0.43"
"Poland","Bosnia and Herzegovina","2015.0","Export","1580.0","35.73","206376.95","0.11"
"Poland","Saint Barthélemy","2015.0","Export","3.0","0.07","17.25","0.0"
"Poland","Belarus","2015.0","Export","2992.0","67.66","1332982.42","0.69"
"Poland","Belize","2015.0","Export","65.0","1.47","2097.86","0.0"
"Poland","Bermuda","2015.0","Export","21.0","0.47","73.08","0.0"
"Poland","Bolivia","2015.0","Export","176.0","3.98","6940.73","0.0"
"Poland","Brazil","2015.0","Export","1044.0","23.61","397641.61","0.2"
"Poland","Barbados","2015.0","Export","62.0","1.4","18619.03","0.01"
"Poland","Brunei","2015.0","Export","103.0","2.33","556.09","0.0"
"Poland","Bhutan","2015.0","Export","10.0","0.23","87.95","0.0"
"Poland","Bunkers","2015.0","Export","409.0","9.25","97859.19","0.05"
"Poland","Bouvet Island","2015.0","Export","1.0","0.02","7.73","0.0"
"Poland","Botswana","2015.0","Export","73.0","1.65","513.04","0.0"
"Poland","Central African Republic","2015.0","Export","22.0","0.5","656.47","0.0"
"Poland","Canada","2015.0","Export","1693.0","38.29","1239453.89","0.64"
"Poland","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Poland","Switzerland","2015.0","Export","2565.0","58.01","1784507.65","0.92"
"Poland","Chile","2015.0","Export","806.0","18.23","94151.87","0.05"
"Poland","China","2015.0","Export","1952.0","44.14","2017343.87","1.04"
"Poland","Cote d'Ivoire","2015.0","Export","263.0","5.95","17898.88","0.01"
"Poland","Cameroon","2015.0","Export","195.0","4.41","14685.65","0.01"
"Poland","Congo, Rep.","2015.0","Export","259.0","5.86","54480.75","0.03"
"Poland","Cook Islands","2015.0","Export","23.0","0.52","1464.53","0.0"
"Poland","Colombia","2015.0","Export","586.0","13.25","65263.39","0.03"
"Poland","Comoros","2015.0","Export","10.0","0.23","382.38","0.0"
"Poland","Cape Verde","2015.0","Export","126.0","2.85","1117.77","0.0"
"Poland","Costa Rica","2015.0","Export","216.0","4.88","12080.51","0.01"
"Poland","Cuba","2015.0","Export","171.0","3.87","54825.28","0.03"
"Poland","Curaçao","2015.0","Export","72.0","1.63","4763.76","0.0"
"Poland","Christmas Island","2015.0","Export","36.0","0.81","31.26","0.0"
"Poland","Cayman Islands","2015.0","Export","43.0","0.97","48109.55","0.02"
"Poland","Cyprus","2015.0","Export","1456.0","32.93","374584.94","0.19"
"Poland","Czech Republic","2015.0","Export","3489.0","78.9","12687294.65","6.52"
"Poland","Germany","2015.0","Export","3783.0","85.55","52261452.17","26.88"
"Poland","Djibouti","2015.0","Export","41.0","0.93","9108.36","0.0"
"Poland","Dominica","2015.0","Export","32.0","0.72","387.18","0.0"
"Poland","Denmark","2015.0","Export","2693.0","60.9","3107744.85","1.6"
"Poland","Dominican Republic","2015.0","Export","234.0","5.29","9582.83","0.0"
"Poland","Algeria","2015.0","Export","651.0","14.72","332019.61","0.17"
"Poland","East Asia & Pacific","2015.0","Export","2826.0","63.91","5860867.37","3.01"
"Poland","Europe & Central Asia","2015.0","Export","4399.0","99.48","173357155.55","89.15"
"Poland","Ecuador","2015.0","Export","328.0","7.42","9794.95","0.01"
"Poland","Egypt, Arab Rep.","2015.0","Export","1180.0","26.68","390355.92","0.2"
"Poland","Eritrea","2015.0","Export","4.0","0.09","535.78","0.0"
"Poland","Western Sahara","2015.0","Export","1.0","0.02","20.96","0.0"
"Poland","Spain","2015.0","Export","2502.0","56.58","5214380.64","2.68"
"Poland","Estonia","2015.0","Export","2667.0","60.31","1111462.43","0.57"
"Poland","Ethiopia(excludes Eritrea)","2015.0","Export","243.0","5.5","52878.92","0.03"
"Poland","Finland","2015.0","Export","2213.0","50.05","1463240.38","0.75"
"Poland","Fiji","2015.0","Export","23.0","0.52","80.64","0.0"
"Poland","Falkland Island","2015.0","Export","4.0","0.09","16.82","0.0"
"Poland","France","2015.0","Export","2994.0","67.71","10826925.03","5.57"
"Poland","Faeroe Islands","2015.0","Export","127.0","2.87","7508.57","0.0"
"Poland","Micronesia, Fed. Sts.","2015.0","Export","2.0","0.05","0.26","0.0"
"Poland","Gabon","2015.0","Export","124.0","2.8","9677.2","0.01"
"Poland","United Kingdom","2015.0","Export","3086.0","69.79","13240923.61","6.81"
"Poland","Georgia","2015.0","Export","1462.0","33.06","88332.84","0.05"
"Poland","Ghana","2015.0","Export","376.0","8.5","36077.1","0.02"
"Poland","Gibraltar","2015.0","Export","140.0","3.17","20953.24","0.01"
"Poland","Guinea","2015.0","Export","103.0","2.33","17279.71","0.01"
"Poland","Gambia, The","2015.0","Export","105.0","2.37","5189.32","0.0"
"Poland","Guinea-Bissau","2015.0","Export","12.0","0.27","2276.37","0.0"
"Poland","Equatorial Guinea","2015.0","Export","131.0","2.96","2762.11","0.0"
"Poland","Greece","2015.0","Export","2071.0","46.83","827925.68","0.43"
"Poland","Grenada","2015.0","Export","10.0","0.23","66.19","0.0"
"Poland","Greenland","2015.0","Export","40.0","0.9","561.62","0.0"
"Poland","Guatemala","2015.0","Export","148.0","3.35","4370.38","0.0"
"Poland","Guam","2015.0","Export","15.0","0.34","960.33","0.0"
"Poland","Guyana","2015.0","Export","129.0","2.92","2423.55","0.0"
"Poland","Hong Kong, China","2015.0","Export","1201.0","27.16","461232.61","0.24"
"Poland","Heard Island and McDonald Isla","2015.0","Export","","","",""
"Poland","Honduras","2015.0","Export","61.0","1.38","1645.83","0.0"
"Poland","Croatia","2015.0","Export","2194.0","49.62","594101.12","0.31"
"Poland","Haiti","2015.0","Export","37.0","0.84","3378.48","0.0"
"Poland","Hungary","2015.0","Export","2950.0","66.71","5163191.35","2.66"
