"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Portugal","Aruba","2015.0","Export","73.0","1.73","1470.4","0.0"
"Portugal","Afghanistan","2015.0","Export","24.0","0.57","342.94","0.0"
"Portugal","Angola","2015.0","Export","3402.0","80.69","2328627.47","4.21"
"Portugal","Anguila","2015.0","Export","7.0","0.17","1.61","0.0"
"Portugal","Albania","2015.0","Export","95.0","2.25","6642.42","0.01"
"Portugal","Andorra","2015.0","Export","224.0","5.31","3198.49","0.01"
"Portugal","United Arab Emirates","2015.0","Export","1204.0","28.56","188739.06","0.34"
"Portugal","Argentina","2015.0","Export","372.0","8.82","100494.42","0.18"
"Portugal","Armenia","2015.0","Export","150.0","3.56","3211.88","0.01"
"Portugal","Fr. So. Ant. Tr","2015.0","Export","1.0","0.02","25.31","0.0"
"Portugal","Antigua and Barbuda","2015.0","Export","44.0","1.04","564.45","0.0"
"Portugal","Australia","2015.0","Export","992.0","23.53","119946.38","0.22"
"Portugal","Austria","2015.0","Export","934.0","22.15","313950.43","0.57"
"Portugal","Azerbaijan","2015.0","Export","214.0","5.08","8151.52","0.01"
"Portugal","Burundi","2015.0","Export","6.0","0.14","22.47","0.0"
"Portugal","Belgium","2015.0","Export","1867.0","44.28","1258161.5","2.28"
"Portugal","Benin","2015.0","Export","188.0","4.46","7170.95","0.01"
"Portugal","Bonaire","2015.0","Export","169.0","4.01","1793.75","0.0"
"Portugal","Burkina Faso","2015.0","Export","154.0","3.65","7401.91","0.01"
"Portugal","Bangladesh","2015.0","Export","112.0","2.66","9383.61","0.02"
"Portugal","Bulgaria","2015.0","Export","672.0","15.94","84156.2","0.15"
"Portugal","Bahrain","2015.0","Export","379.0","8.99","33764.14","0.06"
"Portugal","Bahamas, The","2015.0","Export","40.0","0.95","3877.81","0.01"
"Portugal","Bosnia and Herzegovina","2015.0","Export","137.0","3.25","3111.25","0.01"
"Portugal","Saint Barthélemy","2015.0","Export","435.0","10.32","3394.63","0.01"
"Portugal","Belarus","2015.0","Export","72.0","1.71","11538.39","0.02"
"Portugal","Belize","2015.0","Export","8.0","0.19","43.7","0.0"
"Portugal","Bermuda","2015.0","Export","36.0","0.85","705.95","0.0"
"Portugal","Bolivia","2015.0","Export","154.0","3.65","7715.68","0.01"
"Portugal","Brazil","2015.0","Export","1520.0","36.05","630835.4","1.14"
"Portugal","Barbados","2015.0","Export","20.0","0.47","1805.75","0.0"
"Portugal","Brunei","2015.0","Export","27.0","0.64","3462.07","0.01"
"Portugal","Bhutan","2015.0","Export","1.0","0.02","1.83","0.0"
"Portugal","Bunkers","2015.0","Export","450.0","10.67","995559.73","1.8"
"Portugal","Botswana","2015.0","Export","12.0","0.28","627.57","0.0"
"Portugal","Central African Republic","2015.0","Export","9.0","0.21","67.01","0.0"
"Portugal","Canada","2015.0","Export","1201.0","28.49","397409.09","0.72"
"Portugal","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Portugal","Switzerland","2015.0","Export","2118.0","50.24","508928.96","0.92"
"Portugal","Chile","2015.0","Export","726.0","17.22","114350.01","0.21"
"Portugal","China","2015.0","Export","1267.0","30.05","930494.1","1.68"
"Portugal","Cote d'Ivoire","2015.0","Export","553.0","13.12","44931.31","0.08"
"Portugal","Cameroon","2015.0","Export","412.0","9.77","27073.8","0.05"
"Portugal","Congo, Rep.","2015.0","Export","923.0","21.89","51541.31","0.09"
"Portugal","Colombia","2015.0","Export","708.0","16.79","65651.36","0.12"
"Portugal","Comoros","2015.0","Export","3.0","0.07","20.26","0.0"
"Portugal","Cape Verde","2015.0","Export","2736.0","64.9","237927.51","0.43"
"Portugal","Costa Rica","2015.0","Export","211.0","5.0","8641.51","0.02"
"Portugal","Cuba","2015.0","Export","406.0","9.63","50909.78","0.09"
"Portugal","Curaçao","2015.0","Export","114.0","2.7","1821.7","0.0"
"Portugal","Cayman Islands","2015.0","Export","5.0","0.12","130.97","0.0"
"Portugal","Cyprus","2015.0","Export","549.0","13.02","40907.82","0.07"
"Portugal","Czech Republic","2015.0","Export","942.0","22.34","348042.89","0.63"
"Portugal","Germany","2015.0","Export","2309.0","54.77","6523936.33","11.81"
"Portugal","Djibouti","2015.0","Export","64.0","1.52","1419.4","0.0"
"Portugal","Dominica","2015.0","Export","8.0","0.19","56.69","0.0"
"Portugal","Denmark","2015.0","Export","1014.0","24.05","339219.19","0.61"
"Portugal","Dominican Republic","2015.0","Export","404.0","9.58","18811.68","0.03"
"Portugal","Algeria","2015.0","Export","922.0","21.87","627168.91","1.14"
"Portugal","East Asia & Pacific","2015.0","Export","2316.0","54.93","1688124.28","3.05"
"Portugal","Europe & Central Asia","2015.0","Export","3831.0","90.87","41243169.64","74.64"
"Portugal","Ecuador","2015.0","Export","317.0","7.52","18831.9","0.03"
"Portugal","Egypt, Arab Rep.","2015.0","Export","616.0","14.61","114396.31","0.21"
"Portugal","Eritrea","2015.0","Export","2.0","0.05","78.46","0.0"
"Portugal","Spain","2015.0","Export","3432.0","81.4","13827445.88","25.02"
"Portugal","Estonia","2015.0","Export","637.0","15.11","23214.79","0.04"
"Portugal","Ethiopia(excludes Eritrea)","2015.0","Export","68.0","1.61","12399.88","0.02"
"Portugal","Finland","2015.0","Export","831.0","19.71","245815.48","0.44"
"Portugal","Fiji","2015.0","Export","5.0","0.12","19.05","0.0"
"Portugal","France","2015.0","Export","2797.0","66.34","6689627.31","12.11"
"Portugal","Faeroe Islands","2015.0","Export","26.0","0.62","3717.23","0.01"
"Portugal","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Portugal","Gabon","2015.0","Export","317.0","7.52","7697.92","0.01"
"Portugal","United Kingdom","2015.0","Export","2127.0","50.45","3725385.17","6.74"
"Portugal","Georgia","2015.0","Export","247.0","5.86","28669.88","0.05"
"Portugal","Ghana","2015.0","Export","725.0","17.2","27785.02","0.05"
"Portugal","Gibraltar","2015.0","Export","354.0","8.4","228673.71","0.41"
"Portugal","Guinea","2015.0","Export","663.0","15.73","31617.55","0.06"
"Portugal","Gambia, The","2015.0","Export","133.0","3.15","6260.75","0.01"
"Portugal","Guinea-Bissau","2015.0","Export","1687.0","40.01","81745.45","0.15"
"Portugal","Equatorial Guinea","2015.0","Export","866.0","20.54","39786.72","0.07"
"Portugal","Greece","2015.0","Export","930.0","22.06","145521.96","0.26"
"Portugal","Grenada","2015.0","Export","25.0","0.59","62.21","0.0"
"Portugal","Greenland","2015.0","Export","6.0","0.14","436.83","0.0"
"Portugal","Guatemala","2015.0","Export","235.0","5.57","13181.65","0.02"
"Portugal","Guam","2015.0","Export","8.0","0.19","349.45","0.0"
"Portugal","Guyana","2015.0","Export","10.0","0.24","640.67","0.0"
"Portugal","Hong Kong, China","2015.0","Export","918.0","21.77","143953.96","0.26"
