"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Paraguay","Aruba","2015.0","Export","12.0","0.86","6241.38","0.07"
"Paraguay","Afghanistan","2015.0","Export","","","",""
"Paraguay","Angola","2015.0","Export","40.0","2.88","15454.68","0.19"
"Paraguay","Albania","2015.0","Export","2.0","0.14","1538.72","0.02"
"Paraguay","United Arab Emirates","2015.0","Export","14.0","1.01","32059.94","0.39"
"Paraguay","Argentina","2015.0","Export","236.0","16.99","578657.77","6.95"
"Paraguay","Armenia","2015.0","Export","2.0","0.14","495.53","0.01"
"Paraguay","American Samoa","2015.0","Export","","","",""
"Paraguay","Australia","2015.0","Export","22.0","1.58","2252.53","0.03"
"Paraguay","Austria","2015.0","Export","10.0","0.72","2328.36","0.03"
"Paraguay","Azerbaijan","2015.0","Export","1.0","0.07","501.3","0.01"
"Paraguay","Belgium","2015.0","Export","12.0","0.86","5849.87","0.07"
"Paraguay","Benin","2015.0","Export","5.0","0.36","63.61","0.0"
"Paraguay","Bangladesh","2015.0","Export","6.0","0.43","91960.82","1.1"
"Paraguay","Bulgaria","2015.0","Export","4.0","0.29","208.32","0.0"
"Paraguay","Bahrain","2015.0","Export","8.0","0.58","4319.34","0.05"
"Paraguay","Bosnia and Herzegovina","2015.0","Export","","","",""
"Paraguay","Belarus","2015.0","Export","2.0","0.14","50.2","0.0"
"Paraguay","Belize","2015.0","Export","2.0","0.14","1223.39","0.01"
"Paraguay","Bolivia","2015.0","Export","514.0","37.01","68475.49","0.82"
"Paraguay","Brazil","2015.0","Export","527.0","37.94","2624203.12","31.51"
"Paraguay","Barbados","2015.0","Export","","","",""
"Paraguay","Brunei","2015.0","Export","","","",""
"Paraguay","Canada","2015.0","Export","69.0","4.97","3098.98","0.04"
"Paraguay","Switzerland","2015.0","Export","22.0","1.58","9390.43","0.11"
"Paraguay","Chile","2015.0","Export","198.0","14.25","591667.95","7.1"
"Paraguay","China","2015.0","Export","65.0","4.68","30472.86","0.37"
"Paraguay","Cote d'Ivoire","2015.0","Export","5.0","0.36","2200.67","0.03"
"Paraguay","Congo, Rep.","2015.0","Export","4.0","0.29","1803.05","0.02"
"Paraguay","Colombia","2015.0","Export","35.0","2.52","4108.59","0.05"
"Paraguay","Comoros","2015.0","Export","2.0","0.14","225.81","0.0"
"Paraguay","Cape Verde","2015.0","Export","1.0","0.07","407.81","0.0"
"Paraguay","Costa Rica","2015.0","Export","28.0","2.02","11665.19","0.14"
"Paraguay","Cuba","2015.0","Export","7.0","0.5","493.27","0.01"
"Paraguay","Curaçao","2015.0","Export","22.0","1.58","2551.88","0.03"
"Paraguay","Cyprus","2015.0","Export","2.0","0.14","45.91","0.0"
"Paraguay","Czech Republic","2015.0","Export","4.0","0.29","178.05","0.0"
"Paraguay","Germany","2015.0","Export","110.0","7.92","288958.36","3.47"
"Paraguay","Djibouti","2015.0","Export","","","",""
"Paraguay","Dominica","2015.0","Export","4.0","0.29","183.53","0.0"
"Paraguay","Denmark","2015.0","Export","4.0","0.29","52163.2","0.63"
