"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Occ.Pal.Terr","Aruba","2015.0","Export","","","",""
"Occ.Pal.Terr","Albania","2015.0","Export","","","",""
"Occ.Pal.Terr","Andorra","2015.0","Export","","","",""
"Occ.Pal.Terr","United Arab Emirates","2015.0","Export","61.0","6.11","18693.79","1.95"
"Occ.Pal.Terr","Argentina","2015.0","Export","","","",""
"Occ.Pal.Terr","Armenia","2015.0","Export","","","",""
"Occ.Pal.Terr","Australia","2015.0","Export","9.0","0.9","33.93","0.0"
"Occ.Pal.Terr","Austria","2015.0","Export","3.0","0.3","403.59","0.04"
"Occ.Pal.Terr","Belgium","2015.0","Export","4.0","0.4","378.62","0.04"
"Occ.Pal.Terr","Burkina Faso","2015.0","Export","","","",""
"Occ.Pal.Terr","Bangladesh","2015.0","Export","","","",""
"Occ.Pal.Terr","Bulgaria","2015.0","Export","2.0","0.2","0.62","0.0"
"Occ.Pal.Terr","Bahrain","2015.0","Export","13.0","1.3","309.21","0.03"
"Occ.Pal.Terr","Bosnia and Herzegovina","2015.0","Export","","","",""
"Occ.Pal.Terr","Bolivia","2015.0","Export","","","",""
"Occ.Pal.Terr","Brazil","2015.0","Export","","","",""
"Occ.Pal.Terr","Canada","2015.0","Export","13.0","1.3","580.36","0.06"
"Occ.Pal.Terr","Switzerland","2015.0","Export","10.0","1.0","368.24","0.04"
"Occ.Pal.Terr","Chile","2015.0","Export","","","",""
"Occ.Pal.Terr","China","2015.0","Export","1.0","0.1","1.24","0.0"
"Occ.Pal.Terr","Cote d'Ivoire","2015.0","Export","","","",""
"Occ.Pal.Terr","Cameroon","2015.0","Export","","","",""
"Occ.Pal.Terr","Congo, Rep.","2015.0","Export","","","",""
"Occ.Pal.Terr","Colombia","2015.0","Export","","","",""
"Occ.Pal.Terr","Costa Rica","2015.0","Export","","","",""
"Occ.Pal.Terr","Cuba","2015.0","Export","","","",""
"Occ.Pal.Terr","Cyprus","2015.0","Export","4.0","0.4","104.7","0.01"
"Occ.Pal.Terr","Czech Republic","2015.0","Export","2.0","0.2","34.52","0.0"
"Occ.Pal.Terr","Germany","2015.0","Export","16.0","1.6","920.51","0.1"
"Occ.Pal.Terr","Denmark","2015.0","Export","2.0","0.2","68.45","0.01"
"Occ.Pal.Terr","Dominican Republic","2015.0","Export","","","",""
"Occ.Pal.Terr","Algeria","2015.0","Export","4.0","0.4","2428.11","0.25"
"Occ.Pal.Terr","East Asia & Pacific","2015.0","Export","21.0","2.1","1976.73","0.21"
"Occ.Pal.Terr","Europe & Central Asia","2015.0","Export","50.0","5.01","18791.02","1.96"
"Occ.Pal.Terr","Ecuador","2015.0","Export","","","",""
"Occ.Pal.Terr","Egypt, Arab Rep.","2015.0","Export","19.0","1.9","188.93","0.02"
"Occ.Pal.Terr","Spain","2015.0","Export","5.0","0.5","88.92","0.01"
"Occ.Pal.Terr","Estonia","2015.0","Export","","","",""
"Occ.Pal.Terr","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Occ.Pal.Terr","Finland","2015.0","Export","1.0","0.1","3.82","0.0"
"Occ.Pal.Terr","France","2015.0","Export","13.0","1.3","1561.56","0.16"
"Occ.Pal.Terr","Gabon","2015.0","Export","","","",""
"Occ.Pal.Terr","United Kingdom","2015.0","Export","18.0","1.8","4535.46","0.47"
"Occ.Pal.Terr","Georgia","2015.0","Export","","","",""
"Occ.Pal.Terr","Ghana","2015.0","Export","","","",""
"Occ.Pal.Terr","Greece","2015.0","Export","5.0","0.5","73.69","0.01"
"Occ.Pal.Terr","Guatemala","2015.0","Export","","","",""
"Occ.Pal.Terr","Hong Kong, China","2015.0","Export","5.0","0.5","17.96","0.0"
"Occ.Pal.Terr","Honduras","2015.0","Export","","","",""
"Occ.Pal.Terr","Croatia","2015.0","Export","","","",""
"Occ.Pal.Terr","Hungary","2015.0","Export","1.0","0.1","0.94","0.0"
"Occ.Pal.Terr","Indonesia","2015.0","Export","1.0","0.1","338.53","0.04"
"Occ.Pal.Terr","India","2015.0","Export","2.0","0.2","20.35","0.0"
"Occ.Pal.Terr","Ireland","2015.0","Export","1.0","0.1","4.44","0.0"
"Occ.Pal.Terr","Iran, Islamic Rep.","2015.0","Export","2.0","0.2","0.24","0.0"
"Occ.Pal.Terr","Iraq","2015.0","Export","3.0","0.3","136.92","0.01"
"Occ.Pal.Terr","Iceland","2015.0","Export","","","",""
"Occ.Pal.Terr","Israel","2015.0","Export","943.0","94.49","803626.33","83.9"
"Occ.Pal.Terr","Italy","2015.0","Export","17.0","1.7","1305.56","0.14"
"Occ.Pal.Terr","Jordan","2015.0","Export","235.0","23.55","60126.93","6.28"
"Occ.Pal.Terr","Japan","2015.0","Export","6.0","0.6","480.77","0.05"
"Occ.Pal.Terr","Kazakhstan","2015.0","Export","","","",""
"Occ.Pal.Terr","Kenya","2015.0","Export","","","",""
"Occ.Pal.Terr","Kyrgyz Republic","2015.0","Export","","","",""
"Occ.Pal.Terr","Cambodia","2015.0","Export","","","",""
"Occ.Pal.Terr","Korea, Rep.","2015.0","Export","4.0","0.4","153.42","0.02"
"Occ.Pal.Terr","Kuwait","2015.0","Export","47.0","4.71","12659.98","1.32"
"Occ.Pal.Terr","Lebanon","2015.0","Export","5.0","0.5","120.11","0.01"
"Occ.Pal.Terr","Latin America & Caribbean","2015.0","Export","","","",""
"Occ.Pal.Terr","Sri Lanka","2015.0","Export","","","",""
"Occ.Pal.Terr","Lithuania","2015.0","Export","","","",""
"Occ.Pal.Terr","Luxembourg","2015.0","Export","","","",""
"Occ.Pal.Terr","Latvia","2015.0","Export","","","",""
"Occ.Pal.Terr","Morocco","2015.0","Export","3.0","0.3","388.67","0.04"
"Occ.Pal.Terr","Middle East & North Africa","2015.0","Export","994.0","99.6","925373.61","96.61"
"Occ.Pal.Terr","Mexico","2015.0","Export","","","",""
"Occ.Pal.Terr","Macedonia, FYR","2015.0","Export","","","",""
"Occ.Pal.Terr","Malta","2015.0","Export","1.0","0.1","835.53","0.09"
"Occ.Pal.Terr","Mauritania","2015.0","Export","1.0","0.1","108.31","0.01"
"Occ.Pal.Terr","Malaysia","2015.0","Export","16.0","1.6","707.68","0.07"
"Occ.Pal.Terr","North America","2015.0","Export","41.0","4.11","11280.77","1.18"
"Occ.Pal.Terr","Namibia","2015.0","Export","","","",""
"Occ.Pal.Terr","Nigeria","2015.0","Export","","","",""
"Occ.Pal.Terr","Netherlands","2015.0","Export","11.0","1.1","1800.92","0.19"
"Occ.Pal.Terr","Norway","2015.0","Export","2.0","0.2","301.2","0.03"
"Occ.Pal.Terr","New Zealand","2015.0","Export","3.0","0.3","181.08","0.02"
"Occ.Pal.Terr","Other Asia, nes","2015.0","Export","3.0","0.3","174.97","0.02"
"Occ.Pal.Terr","Oman","2015.0","Export","16.0","1.6","644.05","0.07"
"Occ.Pal.Terr","Pakistan","2015.0","Export","","","",""
"Occ.Pal.Terr","Panama","2015.0","Export","","","",""
"Occ.Pal.Terr","Peru","2015.0","Export","","","",""
"Occ.Pal.Terr","Philippines","2015.0","Export","","","",""
"Occ.Pal.Terr","Poland","2015.0","Export","15.0","1.5","2571.8","0.27"
"Occ.Pal.Terr","Korea, Dem. Rep.","2015.0","Export","","","",""
"Occ.Pal.Terr","Portugal","2015.0","Export","1.0","0.1","135.0","0.01"
"Occ.Pal.Terr","Paraguay","2015.0","Export","","","",""
"Occ.Pal.Terr","Qatar","2015.0","Export","42.0","4.21","9651.56","1.01"
"Occ.Pal.Terr","Romania","2015.0","Export","2.0","0.2","4.21","0.0"
"Occ.Pal.Terr","Russian Federation","2015.0","Export","12.0","1.2","758.9","0.08"
