"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"French Polynesia","Afghanistan","2015.0","Export","","","",""
"French Polynesia","Angola","2015.0","Export","","","",""
"French Polynesia","Anguila","2015.0","Export","","","",""
"French Polynesia","Albania","2015.0","Export","","","",""
"French Polynesia","Andorra","2015.0","Export","","","",""
"French Polynesia","United Arab Emirates","2015.0","Export","1.0","0.11","44.07","0.03"
"French Polynesia","Argentina","2015.0","Export","11.0","1.26","5.7","0.0"
"French Polynesia","American Samoa","2015.0","Export","6.0","0.69","358.81","0.28"
"French Polynesia","Antigua and Barbuda","2015.0","Export","","","",""
"French Polynesia","Australia","2015.0","Export","68.0","7.8","776.82","0.6"
"French Polynesia","Austria","2015.0","Export","3.0","0.34","11.82","0.01"
"French Polynesia","Azerbaijan","2015.0","Export","","","",""
"French Polynesia","Burundi","2015.0","Export","","","",""
"French Polynesia","Belgium","2015.0","Export","18.0","2.06","394.3","0.3"
"French Polynesia","Burkina Faso","2015.0","Export","","","",""
"French Polynesia","Bangladesh","2015.0","Export","","","",""
"French Polynesia","Bulgaria","2015.0","Export","","","",""
"French Polynesia","Bosnia and Herzegovina","2015.0","Export","","","",""
"French Polynesia","Belarus","2015.0","Export","","","",""
"French Polynesia","Belize","2015.0","Export","","","",""
"French Polynesia","Bolivia","2015.0","Export","","","",""
"French Polynesia","Brazil","2015.0","Export","4.0","0.46","15.28","0.01"
"French Polynesia","Barbados","2015.0","Export","","","",""
"French Polynesia","Central African Republic","2015.0","Export","","","",""
"French Polynesia","Canada","2015.0","Export","66.0","7.57","383.0","0.29"
"French Polynesia","Switzerland","2015.0","Export","12.0","1.38","27.62","0.02"
"French Polynesia","Chile","2015.0","Export","105.0","12.04","458.95","0.35"
"French Polynesia","China","2015.0","Export","21.0","2.41","1759.29","1.35"
"French Polynesia","Cote d'Ivoire","2015.0","Export","1.0","0.11","31.4","0.02"
"French Polynesia","Cameroon","2015.0","Export","2.0","0.23","5.67","0.0"
"French Polynesia","Cook Islands","2015.0","Export","74.0","8.49","263.5","0.2"
"French Polynesia","Colombia","2015.0","Export","","","",""
"French Polynesia","Comoros","2015.0","Export","","","",""
"French Polynesia","Costa Rica","2015.0","Export","","","",""
"French Polynesia","Cuba","2015.0","Export","","","",""
"French Polynesia","Cyprus","2015.0","Export","","","",""
"French Polynesia","Czech Republic","2015.0","Export","","","",""
"French Polynesia","Germany","2015.0","Export","69.0","7.91","942.07","0.72"
"French Polynesia","Dominica","2015.0","Export","","","",""
"French Polynesia","Denmark","2015.0","Export","9.0","1.03","8251.74","6.34"
"French Polynesia","Dominican Republic","2015.0","Export","","","",""
"French Polynesia","Algeria","2015.0","Export","","","",""
"French Polynesia","East Asia & Pacific","2015.0","Export","488.0","55.96","76143.2","58.48"
"French Polynesia","Europe & Central Asia","2015.0","Export","509.0","58.37","28692.55","22.04"
"French Polynesia","Ecuador","2015.0","Export","","","",""
"French Polynesia","Egypt, Arab Rep.","2015.0","Export","","","",""
"French Polynesia","Spain","2015.0","Export","7.0","0.8","127.76","0.1"
"French Polynesia","Estonia","2015.0","Export","","","",""
"French Polynesia","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"French Polynesia","Finland","2015.0","Export","4.0","0.46","5.47","0.0"
"French Polynesia","Fiji","2015.0","Export","14.0","1.61","33.51","0.03"
"French Polynesia","France","2015.0","Export","461.0","52.87","18104.58","13.91"
"French Polynesia","Gabon","2015.0","Export","","","",""
"French Polynesia","United Kingdom","2015.0","Export","26.0","2.98","189.66","0.15"
"French Polynesia","Georgia","2015.0","Export","","","",""
"French Polynesia","Ghana","2015.0","Export","1.0","0.11","1.33","0.0"
"French Polynesia","Guinea","2015.0","Export","","","",""
"French Polynesia","Equatorial Guinea","2015.0","Export","","","",""
"French Polynesia","Greece","2015.0","Export","","","",""
"French Polynesia","Grenada","2015.0","Export","","","",""
"French Polynesia","Greenland","2015.0","Export","","","",""
"French Polynesia","Guatemala","2015.0","Export","","","",""
"French Polynesia","Guam","2015.0","Export","8.0","0.92","35.55","0.03"
