"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Qatar","Aruba","2015.0","Export","2.0","0.09","0.61","0.0"
"Qatar","Afghanistan","2015.0","Export","5.0","0.22","2617.14","0.0"
"Qatar","Angola","2015.0","Export","10.0","0.43","37021.46","0.05"
"Qatar","Albania","2015.0","Export","8.0","0.35","2938.66","0.0"
"Qatar","United Arab Emirates","2015.0","Export","1711.0","74.23","4734993.13","6.07"
"Qatar","Argentina","2015.0","Export","25.0","1.08","145145.22","0.19"
"Qatar","Armenia","2015.0","Export","1.0","0.04","189.77","0.0"
"Qatar","Antigua and Barbuda","2015.0","Export","","","",""
"Qatar","Australia","2015.0","Export","92.0","3.99","424477.29","0.54"
"Qatar","Austria","2015.0","Export","61.0","2.65","43094.46","0.06"
"Qatar","Azerbaijan","2015.0","Export","24.0","1.04","638.12","0.0"
"Qatar","Burundi","2015.0","Export","","","",""
"Qatar","Belgium","2015.0","Export","184.0","7.98","1338003.5","1.72"
"Qatar","Benin","2015.0","Export","4.0","0.17","96.17","0.0"
"Qatar","Burkina Faso","2015.0","Export","2.0","0.09","134.37","0.0"
"Qatar","Bangladesh","2015.0","Export","41.0","1.78","193874.69","0.25"
"Qatar","Bulgaria","2015.0","Export","19.0","0.82","2434.19","0.0"
"Qatar","Bahrain","2015.0","Export","475.0","20.61","227197.13","0.29"
"Qatar","Bahamas, The","2015.0","Export","","","",""
"Qatar","Bosnia and Herzegovina","2015.0","Export","5.0","0.22","3526.08","0.0"
"Qatar","Belarus","2015.0","Export","5.0","0.22","1264.37","0.0"
"Qatar","Bolivia","2015.0","Export","2.0","0.09","200.16","0.0"
"Qatar","Brazil","2015.0","Export","41.0","1.78","539283.15","0.69"
"Qatar","Brunei","2015.0","Export","9.0","0.39","1762.83","0.0"
"Qatar","Bhutan","2015.0","Export","1.0","0.04","1343.03","0.0"
"Qatar","Botswana","2015.0","Export","1.0","0.04","722.35","0.0"
"Qatar","Central African Republic","2015.0","Export","1.0","0.04","153.4","0.0"
"Qatar","Canada","2015.0","Export","55.0","2.39","13487.38","0.02"
"Qatar","Switzerland","2015.0","Export","156.0","6.77","170215.94","0.22"
"Qatar","Chile","2015.0","Export","11.0","0.48","4413.34","0.01"
"Qatar","China","2015.0","Export","158.0","6.85","5238216.66","6.72"
"Qatar","Cote d'Ivoire","2015.0","Export","5.0","0.22","5792.82","0.01"
"Qatar","Cameroon","2015.0","Export","12.0","0.52","2157.54","0.0"
"Qatar","Congo, Rep.","2015.0","Export","4.0","0.17","60.6","0.0"
"Qatar","Colombia","2015.0","Export","12.0","0.52","5673.2","0.01"
"Qatar","Comoros","2015.0","Export","15.0","0.65","20232.51","0.03"
"Qatar","Cape Verde","2015.0","Export","1.0","0.04","494.8","0.0"
"Qatar","Costa Rica","2015.0","Export","6.0","0.26","12276.02","0.02"
"Qatar","Cuba","2015.0","Export","5.0","0.22","339.71","0.0"
"Qatar","Curaçao","2015.0","Export","","","",""
"Qatar","Cyprus","2015.0","Export","31.0","1.34","9655.27","0.01"
"Qatar","Czech Republic","2015.0","Export","17.0","0.74","7920.79","0.01"
"Qatar","Germany","2015.0","Export","451.0","19.57","171950.03","0.22"
"Qatar","Djibouti","2015.0","Export","17.0","0.74","7682.15","0.01"
"Qatar","Denmark","2015.0","Export","82.0","3.56","4452.62","0.01"
"Qatar","Dominican Republic","2015.0","Export","9.0","0.39","2988.72","0.0"
"Qatar","Algeria","2015.0","Export","32.0","1.39","46044.17","0.06"
"Qatar","East Asia & Pacific","2015.0","Export","450.0","19.52","43707109.09","56.06"
"Qatar","Europe & Central Asia","2015.0","Export","1129.0","48.98","10259970.62","13.16"
"Qatar","Ecuador","2015.0","Export","9.0","0.39","1531.98","0.0"
"Qatar","Egypt, Arab Rep.","2015.0","Export","177.0","7.68","699382.46","0.9"
"Qatar","Eritrea","2015.0","Export","15.0","0.65","106.64","0.0"
"Qatar","Spain","2015.0","Export","210.0","9.11","784021.15","1.01"
"Qatar","Estonia","2015.0","Export","1.0","0.04","110.14","0.0"
"Qatar","Ethiopia(excludes Eritrea)","2015.0","Export","27.0","1.17","36789.16","0.05"
"Qatar","Finland","2015.0","Export","18.0","0.78","62592.68","0.08"
"Qatar","Fiji","2015.0","Export","1.0","0.04","1027.02","0.0"
"Qatar","France","2015.0","Export","223.0","9.67","820756.7","1.05"
"Qatar","Free Zones","2015.0","Export","19.0","0.82","179.05","0.0"
"Qatar","Gabon","2015.0","Export","4.0","0.17","406.83","0.0"
"Qatar","United Kingdom","2015.0","Export","382.0","16.57","3481440.98","4.46"
"Qatar","Georgia","2015.0","Export","11.0","0.48","65.06","0.0"
"Qatar","Ghana","2015.0","Export","13.0","0.56","9992.9","0.01"
"Qatar","Gibraltar","2015.0","Export","","","",""
"Qatar","Guinea","2015.0","Export","13.0","0.56","521.55","0.0"
"Qatar","Gambia, The","2015.0","Export","15.0","0.65","122.96","0.0"
"Qatar","Guinea-Bissau","2015.0","Export","1.0","0.04","131.73","0.0"
"Qatar","Greece","2015.0","Export","36.0","1.56","48130.1","0.06"
"Qatar","Guatemala","2015.0","Export","1.0","0.04","959.39","0.0"
"Qatar","Hong Kong, China","2015.0","Export","63.0","2.73","96607.5","0.12"
"Qatar","Honduras","2015.0","Export","","","",""
"Qatar","Croatia","2015.0","Export","14.0","0.61","5210.28","0.01"
"Qatar","Haiti","2015.0","Export","4.0","0.17","155.22","0.0"
"Qatar","Hungary","2015.0","Export","27.0","1.17","2921.65","0.0"
"Qatar","Indonesia","2015.0","Export","26.0","1.13","589743.37","0.76"
"Qatar","India","2015.0","Export","224.0","9.72","9286450.14","11.91"
"Qatar","Ireland","2015.0","Export","26.0","1.13","4906.8","0.01"
"Qatar","Iran, Islamic Rep.","2015.0","Export","77.0","3.34","4199.22","0.01"
"Qatar","Iraq","2015.0","Export","91.0","3.95","123127.59","0.16"
"Qatar","Iceland","2015.0","Export","9.0","0.39","14980.18","0.02"
"Qatar","Israel","2015.0","Export","","","",""
"Qatar","Italy","2015.0","Export","280.0","12.15","1595925.16","2.05"
