"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Russian Federation","Aruba","2015.0","Export","","","",""
"Russian Federation","Afghanistan","2015.0","Export","183.0","4.23","148012.8","0.04"
"Russian Federation","Angola","2015.0","Export","286.0","6.61","139394.17","0.04"
"Russian Federation","Anguila","2015.0","Export","","","",""
"Russian Federation","Albania","2015.0","Export","86.0","1.99","66986.54","0.02"
"Russian Federation","Andorra","2015.0","Export","4.0","0.09","3907.17","0.0"
"Russian Federation","United Arab Emirates","2015.0","Export","1072.0","24.76","976104.68","0.28"
"Russian Federation","Argentina","2015.0","Export","180.0","4.16","121966.04","0.04"
"Russian Federation","Armenia","2015.0","Export","2007.0","46.35","510780.04","0.15"
"Russian Federation","American Samoa","2015.0","Export","","","",""
"Russian Federation","Antarctica","2015.0","Export","","","",""
"Russian Federation","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Russian Federation","Antigua and Barbuda","2015.0","Export","1.0","0.02","0.0","0.0"
"Russian Federation","Australia","2015.0","Export","487.0","11.25","102612.77","0.03"
"Russian Federation","Austria","2015.0","Export","548.0","12.66","168760.39","0.05"
"Russian Federation","Azerbaijan","2015.0","Export","1917.0","44.27","1676164.87","0.49"
"Russian Federation","Burundi","2015.0","Export","1.0","0.02","1236.73","0.0"
"Russian Federation","Belgium","2015.0","Export","769.0","17.76","6348194.68","1.85"
"Russian Federation","Benin","2015.0","Export","23.0","0.53","892.7","0.0"
"Russian Federation","Burkina Faso","2015.0","Export","6.0","0.14","1915.22","0.0"
"Russian Federation","Bangladesh","2015.0","Export","373.0","8.61","455883.35","0.13"
"Russian Federation","Bulgaria","2015.0","Export","1059.0","24.46","1658424.48","0.48"
"Russian Federation","Bahrain","2015.0","Export","66.0","1.52","4320.48","0.0"
"Russian Federation","Bahamas, The","2015.0","Export","1.0","0.02","72681.87","0.02"
"Russian Federation","Bosnia and Herzegovina","2015.0","Export","186.0","4.3","177867.37","0.05"
"Russian Federation","Belarus","2015.0","Export","3886.0","89.75","12428309.69","3.61"
"Russian Federation","Belize","2015.0","Export","94.0","2.17","20639.55","0.01"
"Russian Federation","Bermuda","2015.0","Export","2.0","0.05","0.04","0.0"
"Russian Federation","Bolivia","2015.0","Export","28.0","0.65","3339.8","0.0"
"Russian Federation","Brazil","2015.0","Export","336.0","7.76","1922922.68","0.56"
"Russian Federation","Barbados","2015.0","Export","3.0","0.07","0.06","0.0"
"Russian Federation","Brunei","2015.0","Export","23.0","0.53","355.3","0.0"
"Russian Federation","Bhutan","2015.0","Export","1.0","0.02","124.6","0.0"
"Russian Federation","Botswana","2015.0","Export","2.0","0.05","22478.97","0.01"
"Russian Federation","Central African Republic","2015.0","Export","3.0","0.07","10.53","0.0"
"Russian Federation","Canada","2015.0","Export","731.0","16.88","452107.03","0.13"
"Russian Federation","Switzerland","2015.0","Export","561.0","12.96","2542571.43","0.74"
"Russian Federation","Chile","2015.0","Export","148.0","3.42","59022.4","0.02"
"Russian Federation","China","2015.0","Export","1374.0","31.73","28334954.57","8.24"
"Russian Federation","Cote d'Ivoire","2015.0","Export","40.0","0.92","41038.89","0.01"
"Russian Federation","Cameroon","2015.0","Export","65.0","1.5","13457.6","0.0"
"Russian Federation","Congo, Rep.","2015.0","Export","61.0","1.41","14404.51","0.0"
"Russian Federation","Cook Islands","2015.0","Export","","","",""
"Russian Federation","Colombia","2015.0","Export","351.0","8.11","190795.75","0.06"
"Russian Federation","Comoros","2015.0","Export","","","",""
"Russian Federation","Cape Verde","2015.0","Export","4.0","0.09","232.7","0.0"
"Russian Federation","Costa Rica","2015.0","Export","30.0","0.69","22488.01","0.01"
"Russian Federation","Cuba","2015.0","Export","696.0","16.07","85347.11","0.02"
"Russian Federation","Curaçao","2015.0","Export","7.0","0.16","36543.08","0.01"
"Russian Federation","Christmas Island","2015.0","Export","","","",""
"Russian Federation","Cayman Islands","2015.0","Export","2.0","0.05","2131.58","0.0"
"Russian Federation","Cyprus","2015.0","Export","328.0","7.58","241138.79","0.07"
"Russian Federation","Czech Republic","2015.0","Export","1094.0","25.27","2217199.49","0.64"
"Russian Federation","Germany","2015.0","Export","1919.0","44.32","15906242.25","4.63"
"Russian Federation","Djibouti","2015.0","Export","10.0","0.23","52030.46","0.02"
"Russian Federation","Dominica","2015.0","Export","1.0","0.02","0.4","0.0"
"Russian Federation","Denmark","2015.0","Export","380.0","8.78","1790721.46","0.52"
"Russian Federation","Dominican Republic","2015.0","Export","49.0","1.13","79440.26","0.02"
"Russian Federation","Algeria","2015.0","Export","456.0","10.53","1192403.64","0.35"
"Russian Federation","East Asia & Pacific","2015.0","Export","2639.0","60.95","63818526.25","18.56"
"Russian Federation","Europe & Central Asia","2015.0","Export","4304.0","99.4","188344810.7","54.77"
"Russian Federation","Ecuador","2015.0","Export","166.0","3.83","260885.29","0.08"
"Russian Federation","Egypt, Arab Rep.","2015.0","Export","527.0","12.17","3252856.56","0.95"
"Russian Federation","Eritrea","2015.0","Export","","","",""
"Russian Federation","Spain","2015.0","Export","887.0","20.48","2679579.15","0.78"
"Russian Federation","Estonia","2015.0","Export","1392.0","32.15","2012579.01","0.59"
"Russian Federation","Ethiopia(excludes Eritrea)","2015.0","Export","142.0","3.28","17350.47","0.01"
"Russian Federation","Finland","2015.0","Export","922.0","21.29","6487007.42","1.89"
"Russian Federation","Fiji","2015.0","Export","2.0","0.05","36.57","0.0"
"Russian Federation","Falkland Island","2015.0","Export","2.0","0.05","5093.45","0.0"
"Russian Federation","France","2015.0","Export","1153.0","26.63","3066522.88","0.89"
"Russian Federation","Faeroe Islands","2015.0","Export","19.0","0.44","16694.14","0.0"
