"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Rwanda","Aruba","2015.0","Export","","","",""
"Rwanda","Afghanistan","2015.0","Export","1.0","0.08","10.7","0.0"
"Rwanda","Angola","2015.0","Export","","","",""
"Rwanda","Anguila","2015.0","Export","","","",""
"Rwanda","Albania","2015.0","Export","","","",""
"Rwanda","Andorra","2015.0","Export","","","",""
"Rwanda","United Arab Emirates","2015.0","Export","123.0","10.22","40039.85","6.92"
"Rwanda","Argentina","2015.0","Export","","","",""
"Rwanda","Armenia","2015.0","Export","","","",""
"Rwanda","Australia","2015.0","Export","21.0","1.74","1184.06","0.2"
"Rwanda","Austria","2015.0","Export","6.0","0.5","7681.7","1.33"
"Rwanda","Azerbaijan","2015.0","Export","","","",""
"Rwanda","Burundi","2015.0","Export","328.0","27.24","16225.54","2.8"
"Rwanda","Belgium","2015.0","Export","54.0","4.49","19751.41","3.41"
"Rwanda","Benin","2015.0","Export","2.0","0.17","120.0","0.02"
"Rwanda","Burkina Faso","2015.0","Export","4.0","0.33","34.73","0.01"
"Rwanda","Bangladesh","2015.0","Export","1.0","0.08","30.57","0.01"
"Rwanda","Bulgaria","2015.0","Export","1.0","0.08","1.48","0.0"
"Rwanda","Bahrain","2015.0","Export","","","",""
"Rwanda","Bosnia and Herzegovina","2015.0","Export","","","",""
"Rwanda","Saint Barthélemy","2015.0","Export","","","",""
"Rwanda","Belarus","2015.0","Export","","","",""
"Rwanda","Belize","2015.0","Export","","","",""
"Rwanda","Bolivia","2015.0","Export","","","",""
"Rwanda","Brazil","2015.0","Export","2.0","0.17","13.09","0.0"
"Rwanda","Barbados","2015.0","Export","","","",""
"Rwanda","Brunei","2015.0","Export","","","",""
"Rwanda","Botswana","2015.0","Export","14.0","1.16","6.37","0.0"
"Rwanda","Central African Republic","2015.0","Export","37.0","3.07","9883.0","1.71"
"Rwanda","Canada","2015.0","Export","10.0","0.83","246.88","0.04"
"Rwanda","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Rwanda","Switzerland","2015.0","Export","23.0","1.91","53220.4","9.2"
"Rwanda","Chile","2015.0","Export","1.0","0.08","0.59","0.0"
"Rwanda","China","2015.0","Export","33.0","2.74","13402.31","2.32"
"Rwanda","Cote d'Ivoire","2015.0","Export","3.0","0.25","2.88","0.0"
"Rwanda","Cameroon","2015.0","Export","5.0","0.42","42.58","0.01"
"Rwanda","Congo, Rep.","2015.0","Export","23.0","1.91","59.56","0.01"
"Rwanda","Cook Islands","2015.0","Export","","","",""
"Rwanda","Colombia","2015.0","Export","","","",""
"Rwanda","Costa Rica","2015.0","Export","","","",""
"Rwanda","Cuba","2015.0","Export","","","",""
"Rwanda","Christmas Island","2015.0","Export","","","",""
"Rwanda","Cyprus","2015.0","Export","","","",""
"Rwanda","Czech Republic","2015.0","Export","2.0","0.17","58.72","0.01"
"Rwanda","Germany","2015.0","Export","25.0","2.08","7971.73","1.38"
"Rwanda","Denmark","2015.0","Export","2.0","0.17","39.45","0.01"
"Rwanda","Dominican Republic","2015.0","Export","","","",""
"Rwanda","Algeria","2015.0","Export","1.0","0.08","0.5","0.0"
"Rwanda","East Asia & Pacific","2015.0","Export","72.0","5.98","63835.49","11.03"
"Rwanda","Europe & Central Asia","2015.0","Export","201.0","16.69","114155.7","19.73"
"Rwanda","Ecuador","2015.0","Export","","","",""
"Rwanda","Egypt, Arab Rep.","2015.0","Export","23.0","1.91","345.02","0.06"
"Rwanda","Spain","2015.0","Export","10.0","0.83","174.37","0.03"
"Rwanda","Estonia","2015.0","Export","2.0","0.17","6.3","0.0"
"Rwanda","Ethiopia(excludes Eritrea)","2015.0","Export","14.0","1.16","5122.58","0.89"
"Rwanda","Finland","2015.0","Export","5.0","0.42","611.82","0.11"
"Rwanda","France","2015.0","Export","28.0","2.33","825.34","0.14"
"Rwanda","Gabon","2015.0","Export","5.0","0.42","58.82","0.01"
"Rwanda","United Kingdom","2015.0","Export","78.0","6.48","11671.17","2.02"
"Rwanda","Georgia","2015.0","Export","","","",""
"Rwanda","Ghana","2015.0","Export","8.0","0.66","442.49","0.08"
"Rwanda","Gibraltar","2015.0","Export","","","",""
"Rwanda","Guinea","2015.0","Export","2.0","0.17","1.08","0.0"
"Rwanda","Gambia, The","2015.0","Export","","","",""
"Rwanda","Guinea-Bissau","2015.0","Export","","","",""
"Rwanda","Greece","2015.0","Export","2.0","0.17","1.77","0.0"
"Rwanda","Guatemala","2015.0","Export","","","",""
"Rwanda","Guam","2015.0","Export","","","",""
"Rwanda","Hong Kong, China","2015.0","Export","13.0","1.08","18275.67","3.16"
"Rwanda","Honduras","2015.0","Export","","","",""
"Rwanda","Croatia","2015.0","Export","","","",""
"Rwanda","Haiti","2015.0","Export","1.0","0.08","18.53","0.0"
"Rwanda","Hungary","2015.0","Export","2.0","0.17","0.25","0.0"
"Rwanda","Indonesia","2015.0","Export","","","",""
"Rwanda","India","2015.0","Export","17.0","1.41","2007.04","0.35"
"Rwanda","British Indian Ocean Ter.","2015.0","Export","","","",""
"Rwanda","Ireland","2015.0","Export","2.0","0.17","99.47","0.02"
"Rwanda","Iran, Islamic Rep.","2015.0","Export","","","",""
"Rwanda","Iraq","2015.0","Export","1.0","0.08","0.19","0.0"
"Rwanda","Iceland","2015.0","Export","1.0","0.08","3.72","0.0"
"Rwanda","Israel","2015.0","Export","4.0","0.33","696.44","0.12"
"Rwanda","Italy","2015.0","Export","17.0","1.41","1443.53","0.25"
"Rwanda","Jamaica","2015.0","Export","1.0","0.08","5.08","0.0"
"Rwanda","Jordan","2015.0","Export","","","",""
"Rwanda","Japan","2015.0","Export","14.0","1.16","5161.53","0.89"
"Rwanda","Kenya","2015.0","Export","218.0","18.11","90375.37","15.62"
"Rwanda","Kyrgyz Republic","2015.0","Export","","","",""
"Rwanda","Cambodia","2015.0","Export","1.0","0.08","1.5","0.0"
"Rwanda","St. Kitts and Nevis","2015.0","Export","","","",""
"Rwanda","Korea, Rep.","2015.0","Export","9.0","0.75","921.84","0.16"
"Rwanda","Kuwait","2015.0","Export","","","",""
"Rwanda","Lao PDR","2015.0","Export","","","",""
"Rwanda","Lebanon","2015.0","Export","","","",""
"Rwanda","Liberia","2015.0","Export","2.0","0.17","15.52","0.0"
"Rwanda","Latin America & Caribbean","2015.0","Export","4.0","0.33","69.31","0.01"
"Rwanda","Sri Lanka","2015.0","Export","32.0","2.66","1811.64","0.31"
"Rwanda","Lithuania","2015.0","Export","","","",""
"Rwanda","Luxembourg","2015.0","Export","6.0","0.5","7924.09","1.37"
