"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Saudi Arabia","Aruba","2015.0","Export","","","",""
"Saudi Arabia","Afghanistan","2015.0","Export","19.0","0.87","4951.74","0.0"
"Saudi Arabia","Angola","2015.0","Export","29.0","1.32","18676.29","0.01"
"Saudi Arabia","Albania","2015.0","Export","2.0","0.09","929.07","0.0"
"Saudi Arabia","United Arab Emirates","2015.0","Export","1122.0","51.16","6742123.09","3.35"
"Saudi Arabia","Argentina","2015.0","Export","18.0","0.82","58841.67","0.03"
"Saudi Arabia","Armenia","2015.0","Export","3.0","0.14","442.13","0.0"
"Saudi Arabia","Australia","2015.0","Export","74.0","3.37","316176.66","0.16"
"Saudi Arabia","Austria","2015.0","Export","19.0","0.87","10225.88","0.01"
"Saudi Arabia","Azerbaijan","2015.0","Export","13.0","0.59","3250.4","0.0"
"Saudi Arabia","Burundi","2015.0","Export","3.0","0.14","443.2","0.0"
"Saudi Arabia","Belgium","2015.0","Export","144.0","6.57","1506675.22","0.75"
"Saudi Arabia","Benin","2015.0","Export","16.0","0.73","4675.74","0.0"
"Saudi Arabia","Bangladesh","2015.0","Export","50.0","2.28","379139.14","0.19"
"Saudi Arabia","Bulgaria","2015.0","Export","13.0","0.59","5841.34","0.0"
"Saudi Arabia","Bahrain","2015.0","Export","775.0","35.34","1503040.01","0.75"
"Saudi Arabia","Bahamas, The","2015.0","Export","","","",""
"Saudi Arabia","Bosnia and Herzegovina","2015.0","Export","2.0","0.09","285.87","0.0"
"Saudi Arabia","Belarus","2015.0","Export","5.0","0.23","1911.47","0.0"
"Saudi Arabia","Belize","2015.0","Export","","","",""
"Saudi Arabia","Bermuda","2015.0","Export","","","",""
"Saudi Arabia","Bolivia","2015.0","Export","1.0","0.05","54.93","0.0"
"Saudi Arabia","Brazil","2015.0","Export","28.0","1.28","278134.48","0.14"
"Saudi Arabia","Brunei","2015.0","Export","3.0","0.14","1201.34","0.0"
"Saudi Arabia","Botswana","2015.0","Export","","","",""
"Saudi Arabia","Central African Republic","2015.0","Export","","","",""
"Saudi Arabia","Canada","2015.0","Export","53.0","2.42","65853.15","0.03"
"Saudi Arabia","Switzerland","2015.0","Export","45.0","2.05","108940.67","0.05"
"Saudi Arabia","Chile","2015.0","Export","17.0","0.78","76653.16","0.04"
"Saudi Arabia","China","2015.0","Export","168.0","7.66","5607152.88","2.78"
"Saudi Arabia","Cote d'Ivoire","2015.0","Export","25.0","1.14","66751.28","0.03"
"Saudi Arabia","Cameroon","2015.0","Export","40.0","1.82","14517.08","0.01"
"Saudi Arabia","Congo, Rep.","2015.0","Export","7.0","0.32","1712.27","0.0"
"Saudi Arabia","Colombia","2015.0","Export","28.0","1.28","44260.86","0.02"
"Saudi Arabia","Comoros","2015.0","Export","6.0","0.27","626.67","0.0"
"Saudi Arabia","Costa Rica","2015.0","Export","4.0","0.18","2711.74","0.0"
"Saudi Arabia","Cuba","2015.0","Export","4.0","0.18","1438.67","0.0"
"Saudi Arabia","Curaçao","2015.0","Export","3.0","0.14","513.6","0.0"
"Saudi Arabia","Cayman Islands","2015.0","Export","","","",""
"Saudi Arabia","Cyprus","2015.0","Export","12.0","0.55","6256.81","0.0"
"Saudi Arabia","Czech Republic","2015.0","Export","11.0","0.5","9513.08","0.0"
"Saudi Arabia","Germany","2015.0","Export","235.0","10.72","242545.1","0.12"
"Saudi Arabia","Djibouti","2015.0","Export","114.0","5.2","135663.37","0.07"
"Saudi Arabia","Dominica","2015.0","Export","3.0","0.14","5239.21","0.0"
"Saudi Arabia","Denmark","2015.0","Export","16.0","0.73","2363.2","0.0"
"Saudi Arabia","Dominican Republic","2015.0","Export","6.0","0.27","5713.61","0.0"
"Saudi Arabia","Algeria","2015.0","Export","151.0","6.89","560106.83","0.28"
"Saudi Arabia","East Asia & Pacific","2015.0","Export","478.0","21.8","13275582.73","6.59"
"Saudi Arabia","Europe & Central Asia","2015.0","Export","811.0","36.98","6967197.25","3.46"
"Saudi Arabia","Ecuador","2015.0","Export","8.0","0.36","30694.97","0.02"
"Saudi Arabia","Egypt, Arab Rep.","2015.0","Export","510.0","23.26","1966158.46","0.98"
"Saudi Arabia","Eritrea","2015.0","Export","33.0","1.5","5785.07","0.0"
"Saudi Arabia","Spain","2015.0","Export","118.0","5.38","624499.45","0.31"
"Saudi Arabia","Estonia","2015.0","Export","3.0","0.14","70918.22","0.04"
"Saudi Arabia","Ethiopia(excludes Eritrea)","2015.0","Export","73.0","3.33","69153.95","0.03"
"Saudi Arabia","Finland","2015.0","Export","10.0","0.46","10915.75","0.01"
"Saudi Arabia","Fiji","2015.0","Export","2.0","0.09","128.8","0.0"
"Saudi Arabia","France","2015.0","Export","123.0","5.61","237191.76","0.12"
"Saudi Arabia","Faeroe Islands","2015.0","Export","","","",""
"Saudi Arabia","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Saudi Arabia","Gabon","2015.0","Export","9.0","0.41","1315.47","0.0"
"Saudi Arabia","United Kingdom","2015.0","Export","206.0","9.39","557995.63","0.28"
"Saudi Arabia","Georgia","2015.0","Export","11.0","0.5","14859.22","0.01"
"Saudi Arabia","Ghana","2015.0","Export","44.0","2.01","67107.02","0.03"
"Saudi Arabia","Gibraltar","2015.0","Export","","","",""
"Saudi Arabia","Guinea","2015.0","Export","31.0","1.41","29245.37","0.01"
"Saudi Arabia","Gambia, The","2015.0","Export","10.0","0.46","3156.27","0.0"
"Saudi Arabia","Guinea-Bissau","2015.0","Export","3.0","0.14","10339.48","0.01"
"Saudi Arabia","Equatorial Guinea","2015.0","Export","3.0","0.14","441.6","0.0"
"Saudi Arabia","Greece","2015.0","Export","38.0","1.73","136457.5","0.07"
"Saudi Arabia","Grenada","2015.0","Export","1.0","0.05","58.93","0.0"
"Saudi Arabia","Greenland","2015.0","Export","1.0","0.05","120.53","0.0"
"Saudi Arabia","Guatemala","2015.0","Export","5.0","0.23","44015.52","0.02"
"Saudi Arabia","Guyana","2015.0","Export","","","",""
"Saudi Arabia","Hong Kong, China","2015.0","Export","43.0","1.96","301903.04","0.15"
"Saudi Arabia","Heard Island and McDonald Isla","2015.0","Export","","","",""
"Saudi Arabia","Honduras","2015.0","Export","2.0","0.09","471.2","0.0"
"Saudi Arabia","Croatia","2015.0","Export","6.0","0.27","1753.07","0.0"
"Saudi Arabia","Haiti","2015.0","Export","4.0","0.18","3560.27","0.0"
"Saudi Arabia","Hungary","2015.0","Export","11.0","0.5","1510.14","0.0"
"Saudi Arabia","Indonesia","2015.0","Export","73.0","3.33","322978.54","0.16"
"Saudi Arabia","India","2015.0","Export","267.0","12.18","3001067.22","1.49"
"Saudi Arabia","Ireland","2015.0","Export","21.0","0.96","4753.87","0.0"
"Saudi Arabia","Iran, Islamic Rep.","2015.0","Export","67.0","3.06","122320.95","0.06"
"Saudi Arabia","Iraq","2015.0","Export","262.0","11.95","465629.65","0.23"
"Saudi Arabia","Iceland","2015.0","Export","6.0","0.27","1769.6","0.0"
