"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Senegal","Afghanistan","2015.0","Export","3.0","0.18","28.41","0.0"
"Senegal","Angola","2015.0","Export","36.0","2.11","392.91","0.01"
"Senegal","Albania","2015.0","Export","11.0","0.65","3180.37","0.12"
"Senegal","Andorra","2015.0","Export","1.0","0.06","1.83","0.0"
"Senegal","United Arab Emirates","2015.0","Export","138.0","8.1","106635.73","4.08"
"Senegal","Argentina","2015.0","Export","","","",""
"Senegal","Armenia","2015.0","Export","4.0","0.23","25.8","0.0"
"Senegal","Antigua and Barbuda","2015.0","Export","4.0","0.23","738.84","0.03"
"Senegal","Australia","2015.0","Export","23.0","1.35","771.21","0.03"
"Senegal","Austria","2015.0","Export","8.0","0.47","294.58","0.01"
"Senegal","Azerbaijan","2015.0","Export","","","",""
"Senegal","Burundi","2015.0","Export","21.0","1.23","42.41","0.0"
"Senegal","Belgium","2015.0","Export","131.0","7.69","13417.24","0.51"
"Senegal","Benin","2015.0","Export","158.0","9.27","20494.47","0.78"
"Senegal","Burkina Faso","2015.0","Export","183.0","10.74","43958.77","1.68"
"Senegal","Bangladesh","2015.0","Export","6.0","0.35","10006.84","0.38"
"Senegal","Bulgaria","2015.0","Export","30.0","1.76","2353.26","0.09"
"Senegal","Bahrain","2015.0","Export","","","",""
"Senegal","Bahamas, The","2015.0","Export","","","",""
"Senegal","Bosnia and Herzegovina","2015.0","Export","2.0","0.12","2.36","0.0"
"Senegal","Belarus","2015.0","Export","","","",""
"Senegal","Brazil","2015.0","Export","22.0","1.29","4180.01","0.16"
"Senegal","Barbados","2015.0","Export","5.0","0.29","193.86","0.01"
"Senegal","Brunei","2015.0","Export","26.0","1.53","662.38","0.03"
"Senegal","Bunkers","2015.0","Export","155.0","9.1","172485.29","6.6"
"Senegal","Botswana","2015.0","Export","3.0","0.18","23.71","0.0"
"Senegal","Central African Republic","2015.0","Export","14.0","0.82","7832.32","0.3"
"Senegal","Canada","2015.0","Export","70.0","4.11","3880.17","0.15"
"Senegal","Switzerland","2015.0","Export","52.0","3.05","225044.8","8.62"
"Senegal","Chile","2015.0","Export","","","",""
"Senegal","China","2015.0","Export","93.0","5.46","119626.18","4.58"
"Senegal","Cote d'Ivoire","2015.0","Export","291.0","17.08","122184.43","4.68"
"Senegal","Cameroon","2015.0","Export","131.0","7.69","41847.19","1.6"
"Senegal","Congo, Rep.","2015.0","Export","160.0","9.39","38132.49","1.46"
"Senegal","Cook Islands","2015.0","Export","","","",""
"Senegal","Colombia","2015.0","Export","5.0","0.29","57.46","0.0"
"Senegal","Comoros","2015.0","Export","9.0","0.53","1462.72","0.06"
"Senegal","Cape Verde","2015.0","Export","100.0","5.87","2138.9","0.08"
"Senegal","Costa Rica","2015.0","Export","2.0","0.12","320.8","0.01"
"Senegal","Cuba","2015.0","Export","","","",""
"Senegal","Cyprus","2015.0","Export","3.0","0.18","718.31","0.03"
"Senegal","Czech Republic","2015.0","Export","3.0","0.18","12.25","0.0"
"Senegal","Germany","2015.0","Export","54.0","3.17","5906.08","0.23"
"Senegal","Djibouti","2015.0","Export","1.0","0.06","1.44","0.0"
"Senegal","Denmark","2015.0","Export","15.0","0.88","2427.83","0.09"
"Senegal","Dominican Republic","2015.0","Export","3.0","0.18","9.4","0.0"
"Senegal","Algeria","2015.0","Export","18.0","1.06","1303.15","0.05"
"Senegal","East Asia & Pacific","2015.0","Export","193.0","11.33","209065.12","8.01"
"Senegal","Europe & Central Asia","2015.0","Export","791.0","46.42","649668.72","24.88"
"Senegal","Ecuador","2015.0","Export","","","",""
"Senegal","Egypt, Arab Rep.","2015.0","Export","6.0","0.35","946.88","0.04"
"Senegal","Spain","2015.0","Export","183.0","10.74","74277.05","2.84"
"Senegal","Estonia","2015.0","Export","","","",""
"Senegal","Ethiopia(excludes Eritrea)","2015.0","Export","7.0","0.41","43.16","0.0"
"Senegal","Finland","2015.0","Export","3.0","0.18","13.33","0.0"
"Senegal","France","2015.0","Export","496.0","29.11","97565.02","3.74"
"Senegal","Gabon","2015.0","Export","80.0","4.69","13804.75","0.53"
"Senegal","United Kingdom","2015.0","Export","182.0","10.68","41763.44","1.6"
"Senegal","Georgia","2015.0","Export","7.0","0.41","359.65","0.01"
"Senegal","Ghana","2015.0","Export","119.0","6.98","9927.26","0.38"
"Senegal","Gibraltar","2015.0","Export","2.0","0.12","2536.82","0.1"
"Senegal","Guinea","2015.0","Export","411.0","24.12","98708.95","3.78"
"Senegal","Gambia, The","2015.0","Export","427.0","25.06","89871.11","3.44"
"Senegal","Guinea-Bissau","2015.0","Export","429.0","25.18","67131.46","2.57"
"Senegal","Equatorial Guinea","2015.0","Export","25.0","1.47","11776.1","0.45"
"Senegal","Greece","2015.0","Export","17.0","1.0","8725.16","0.33"
"Senegal","Guatemala","2015.0","Export","1.0","0.06","0.18","0.0"
"Senegal","Hong Kong, China","2015.0","Export","28.0","1.64","4423.79","0.17"
"Senegal","Honduras","2015.0","Export","","","",""
"Senegal","Croatia","2015.0","Export","","","",""
"Senegal","Haiti","2015.0","Export","25.0","1.47","143.79","0.01"
"Senegal","Hungary","2015.0","Export","2.0","0.12","5.18","0.0"
"Senegal","Indonesia","2015.0","Export","4.0","0.23","944.51","0.04"
"Senegal","India","2015.0","Export","31.0","1.82","140039.66","5.36"
"Senegal","Ireland","2015.0","Export","2.0","0.12","426.27","0.02"
"Senegal","Iran, Islamic Rep.","2015.0","Export","2.0","0.12","526.95","0.02"
"Senegal","Iraq","2015.0","Export","","","",""
"Senegal","Iceland","2015.0","Export","2.0","0.12","1688.84","0.06"
"Senegal","Israel","2015.0","Export","7.0","0.41","2089.03","0.08"
"Senegal","Italy","2015.0","Export","141.0","8.27","83439.88","3.19"
"Senegal","Jamaica","2015.0","Export","","","",""
"Senegal","Jordan","2015.0","Export","3.0","0.18","196.41","0.01"
"Senegal","Japan","2015.0","Export","33.0","1.94","6682.19","0.26"
