"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Singapore","Aruba","2015.0","Export","10.0","0.23","439.82","0.0"
"Singapore","Afghanistan","2015.0","Export","185.0","4.31","15855.95","0.0"
"Singapore","Angola","2015.0","Export","622.0","14.5","420300.76","0.12"
"Singapore","Anguila","2015.0","Export","","","",""
"Singapore","Albania","2015.0","Export","26.0","0.61","471.81","0.0"
"Singapore","Andorra","2015.0","Export","36.0","0.84","402.49","0.0"
"Singapore","United Arab Emirates","2015.0","Export","2041.0","47.58","5149798.21","1.49"
"Singapore","Argentina","2015.0","Export","532.0","12.4","118690.32","0.03"
"Singapore","Armenia","2015.0","Export","19.0","0.44","1053.6","0.0"
"Singapore","American Samoa","2015.0","Export","28.0","0.65","39313.43","0.01"
"Singapore","Antarctica","2015.0","Export","1.0","0.02","123.12","0.0"
"Singapore","Fr. So. Ant. Tr","2015.0","Export","2.0","0.05","11.93","0.0"
"Singapore","Antigua and Barbuda","2015.0","Export","5.0","0.12","211931.27","0.06"
"Singapore","Australia","2015.0","Export","2687.0","62.63","11494159.15","3.32"
"Singapore","Austria","2015.0","Export","493.0","11.49","98853.86","0.03"
"Singapore","Azerbaijan","2015.0","Export","421.0","9.81","200426.69","0.06"
"Singapore","Burundi","2015.0","Export","10.0","0.23","516.51","0.0"
"Singapore","Belgium","2015.0","Export","954.0","22.24","5126887.57","1.48"
"Singapore","Benin","2015.0","Export","93.0","2.17","18039.87","0.01"
"Singapore","Burkina Faso","2015.0","Export","38.0","0.89","2893.54","0.0"
"Singapore","Bangladesh","2015.0","Export","1883.0","43.89","2282485.63","0.66"
"Singapore","Bulgaria","2015.0","Export","160.0","3.73","21106.27","0.01"
"Singapore","Bahrain","2015.0","Export","606.0","14.13","112447.77","0.03"
"Singapore","Bahamas, The","2015.0","Export","37.0","0.86","582919.17","0.17"
"Singapore","Bosnia and Herzegovina","2015.0","Export","51.0","1.19","984.42","0.0"
"Singapore","Belarus","2015.0","Export","59.0","1.38","3572.14","0.0"
"Singapore","Belize","2015.0","Export","14.0","0.33","7376.02","0.0"
"Singapore","Bermuda","2015.0","Export","11.0","0.26","133407.93","0.04"
"Singapore","Bolivia","2015.0","Export","93.0","2.17","3066.53","0.0"
"Singapore","Brazil","2015.0","Export","1086.0","25.31","1144664.6","0.33"
"Singapore","Barbados","2015.0","Export","50.0","1.17","6258.6","0.0"
"Singapore","Brunei","2015.0","Export","2499.0","58.25","773364.54","0.22"
"Singapore","Bhutan","2015.0","Export","224.0","5.22","11059.08","0.0"
"Singapore","Botswana","2015.0","Export","47.0","1.1","29079.95","0.01"
"Singapore","Central African Republic","2015.0","Export","12.0","0.28","58.74","0.0"
"Singapore","Canada","2015.0","Export","946.0","22.05","748270.48","0.22"
"Singapore","Cocos (Keeling) Islands","2015.0","Export","1.0","0.02","9.95","0.0"
"Singapore","Switzerland","2015.0","Export","742.0","17.3","1716389.41","0.5"
"Singapore","Chile","2015.0","Export","433.0","10.09","58457.69","0.02"
"Singapore","China","2015.0","Export","2971.0","69.25","47708489.53","13.76"
"Singapore","Cote d'Ivoire","2015.0","Export","616.0","14.36","36856.04","0.01"
"Singapore","Cameroon","2015.0","Export","184.0","4.29","14381.26","0.0"
"Singapore","Congo, Rep.","2015.0","Export","293.0","6.83","30982.68","0.01"
"Singapore","Cook Islands","2015.0","Export","23.0","0.54","14210.63","0.0"
"Singapore","Colombia","2015.0","Export","446.0","10.4","77352.68","0.02"
"Singapore","Comoros","2015.0","Export","19.0","0.44","1947.15","0.0"
"Singapore","Cape Verde","2015.0","Export","9.0","0.21","433.54","0.0"
"Singapore","Costa Rica","2015.0","Export","144.0","3.36","27721.21","0.01"
"Singapore","Cuba","2015.0","Export","19.0","0.44","2825.47","0.0"
"Singapore","Curaçao","2015.0","Export","142.0","3.31","57530.92","0.02"
"Singapore","Christmas Island","2015.0","Export","171.0","3.99","2372.63","0.0"
"Singapore","Cayman Islands","2015.0","Export","13.0","0.3","79113.76","0.02"
"Singapore","Cyprus","2015.0","Export","211.0","4.92","309568.54","0.09"
"Singapore","Czech Republic","2015.0","Export","349.0","8.14","464324.43","0.13"
"Singapore","Germany","2015.0","Export","1618.0","37.72","5548920.0","1.6"
"Singapore","Djibouti","2015.0","Export","85.0","1.98","27200.03","0.01"
"Singapore","Dominica","2015.0","Export","10.0","0.23","6488.43","0.0"
"Singapore","Denmark","2015.0","Export","476.0","11.1","249827.36","0.07"
"Singapore","Dominican Republic","2015.0","Export","97.0","2.26","10111.66","0.0"
"Singapore","Algeria","2015.0","Export","254.0","5.92","46697.67","0.01"
"Singapore","East Asia & Pacific","2015.0","Export","4262.0","99.35","236699870.56","68.28"
"Singapore","Europe & Central Asia","2015.0","Export","2868.0","66.85","31152460.92","8.99"
"Singapore","Ecuador","2015.0","Export","259.0","6.04","34224.34","0.01"
"Singapore","Egypt, Arab Rep.","2015.0","Export","861.0","20.07","333047.15","0.1"
"Singapore","Eritrea","2015.0","Export","2.0","0.05","6411.95","0.0"
"Singapore","Spain","2015.0","Export","889.0","20.72","425867.93","0.12"
"Singapore","Estonia","2015.0","Export","118.0","2.75","10707.35","0.0"
"Singapore","Ethiopia(excludes Eritrea)","2015.0","Export","119.0","2.77","20740.16","0.01"
"Singapore","Finland","2015.0","Export","405.0","9.44","124695.8","0.04"
"Singapore","Fiji","2015.0","Export","698.0","16.27","178769.75","0.05"
"Singapore","Falkland Island","2015.0","Export","","","",""
"Singapore","France","2015.0","Export","1469.0","34.24","3379993.42","0.98"
"Singapore","Faeroe Islands","2015.0","Export","9.0","0.21","1771.26","0.0"
"Singapore","Micronesia, Fed. Sts.","2015.0","Export","118.0","2.75","3313.23","0.0"
"Singapore","Gabon","2015.0","Export","233.0","5.43","23485.44","0.01"
"Singapore","United Kingdom","2015.0","Export","1664.0","38.79","3313772.42","0.96"
"Singapore","Georgia","2015.0","Export","327.0","7.62","30647.9","0.01"
"Singapore","Ghana","2015.0","Export","500.0","11.65","65036.63","0.02"
"Singapore","Gibraltar","2015.0","Export","23.0","0.54","67757.87","0.02"
"Singapore","Guinea","2015.0","Export","100.0","2.33","7688.71","0.0"
"Singapore","Gambia, The","2015.0","Export","25.0","0.58","631.15","0.0"
"Singapore","Guinea-Bissau","2015.0","Export","22.0","0.51","97.56","0.0"
"Singapore","Equatorial Guinea","2015.0","Export","158.0","3.68","6793.27","0.0"
"Singapore","Greece","2015.0","Export","371.0","8.65","587396.51","0.17"
"Singapore","Grenada","2015.0","Export","1.0","0.02","9.56","0.0"
"Singapore","Greenland","2015.0","Export","3.0","0.07","75.99","0.0"
"Singapore","Guatemala","2015.0","Export","89.0","2.07","15197.42","0.0"
"Singapore","Guam","2015.0","Export","459.0","10.7","275813.39","0.08"
"Singapore","Guyana","2015.0","Export","19.0","0.44","1807.24","0.0"
"Singapore","Hong Kong, China","2015.0","Export","2728.0","63.59","39665716.09","11.44"
"Singapore","Honduras","2015.0","Export","76.0","1.77","3815.6","0.0"
"Singapore","Croatia","2015.0","Export","84.0","1.96","26553.19","0.01"
"Singapore","Haiti","2015.0","Export","30.0","0.7","1537.9","0.0"
"Singapore","Hungary","2015.0","Export","340.0","7.93","266480.28","0.08"
"Singapore","Indonesia","2015.0","Export","3937.0","91.77","28344863.17","8.18"
"Singapore","India","2015.0","Export","2609.0","60.82","10616628.41","3.06"
"Singapore","British Indian Ocean Ter.","2015.0","Export","32.0","0.75","11443.61","0.0"
"Singapore","Ireland","2015.0","Export","363.0","8.46","431049.02","0.12"
"Singapore","Iran, Islamic Rep.","2015.0","Export","338.0","7.88","114990.87","0.03"
"Singapore","Iraq","2015.0","Export","198.0","4.62","69502.07","0.02"
"Singapore","Iceland","2015.0","Export","63.0","1.47","1413.1","0.0"
"Singapore","Israel","2015.0","Export","812.0","18.93","480930.61","0.14"
"Singapore","Italy","2015.0","Export","1050.0","24.48","575829.7","0.17"
"Singapore","Jamaica","2015.0","Export","55.0","1.28","3834.92","0.0"
"Singapore","Jordan","2015.0","Export","334.0","7.79","86765.38","0.03"
"Singapore","Japan","2015.0","Export","2362.0","55.06","15230724.91","4.39"
"Singapore","Kazakhstan","2015.0","Export","221.0","5.15","33055.14","0.01"
"Singapore","Kenya","2015.0","Export","442.0","10.3","80048.32","0.02"
"Singapore","Kyrgyz Republic","2015.0","Export","30.0","0.7","2596.23","0.0"
"Singapore","Cambodia","2015.0","Export","1634.0","38.09","959916.5","0.28"
"Singapore","Kiribati","2015.0","Export","63.0","1.47","5668.97","0.0"
"Singapore","St. Kitts and Nevis","2015.0","Export","3.0","0.07","3830.2","0.0"
"Singapore","Korea, Rep.","2015.0","Export","2395.0","55.83","14484028.04","4.18"
"Singapore","Kuwait","2015.0","Export","812.0","18.93","175923.28","0.05"
"Singapore","Lao PDR","2015.0","Export","413.0","9.63","59740.59","0.02"
"Singapore","Lebanon","2015.0","Export","363.0","8.46","51947.49","0.01"
"Singapore","Liberia","2015.0","Export","144.0","3.36","2438368.38","0.7"
"Singapore","Libya","2015.0","Export","98.0","2.28","20693.55","0.01"
"Singapore","St. Lucia","2015.0","Export","3.0","0.07","17.62","0.0"
"Singapore","Latin America & Caribbean","2015.0","Export","1700.0","39.63","9735668.66","2.81"
"Singapore","Sri Lanka","2015.0","Export","2170.0","50.58","1383229.76","0.4"
"Singapore","Lesotho","2015.0","Export","12.0","0.28","963.65","0.0"
"Singapore","Lithuania","2015.0","Export","141.0","3.29","15454.62","0.0"
"Singapore","Luxembourg","2015.0","Export","109.0","2.54","82740.8","0.02"
"Singapore","Latvia","2015.0","Export","115.0","2.68","10448.39","0.0"
"Singapore","Macao","2015.0","Export","563.0","13.12","113636.18","0.03"
"Singapore","Morocco","2015.0","Export","376.0","8.76","126835.71","0.04"
"Singapore","Moldova","2015.0","Export","33.0","0.77","700.73","0.0"
"Singapore","Madagascar","2015.0","Export","252.0","5.87","46048.72","0.01"
"Singapore","Maldives","2015.0","Export","1858.0","43.31","224066.39","0.06"
"Singapore","Middle East & North Africa","2015.0","Export","2489.0","58.02","9122435.57","2.63"
"Singapore","Mexico","2015.0","Export","824.0","19.21","1429774.11","0.41"
"Singapore","Marshall Islands","2015.0","Export","49.0","1.14","1943239.7","0.56"
"Singapore","Macedonia, FYR","2015.0","Export","32.0","0.75","2750.12","0.0"
"Singapore","Mali","2015.0","Export","39.0","0.91","7538.94","0.0"
"Singapore","Malta","2015.0","Export","236.0","5.5","866407.92","0.25"
"Singapore","Myanmar","2015.0","Export","2327.0","54.24","2455339.0","0.71"
"Singapore","Mongolia","2015.0","Export","508.0","11.84","44907.41","0.01"
"Singapore","Northern Mariana Islands","2015.0","Export","146.0","3.4","11659.65","0.0"
"Singapore","Montenegro","2015.0","Export","24.0","0.56","1692.76","0.0"
