"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Solomon Islands","Angola","2015.0","Export","","","",""
"Solomon Islands","United Arab Emirates","2015.0","Export","","","",""
"Solomon Islands","Argentina","2015.0","Export","","","",""
"Solomon Islands","American Samoa","2015.0","Export","2.0","0.9","208.58","0.05"
"Solomon Islands","Antarctica","2015.0","Export","","","",""
"Solomon Islands","Antigua and Barbuda","2015.0","Export","","","",""
"Solomon Islands","Australia","2015.0","Export","99.0","44.59","5658.65","1.41"
"Solomon Islands","Austria","2015.0","Export","2.0","0.9","151.01","0.04"
"Solomon Islands","Belgium","2015.0","Export","2.0","0.9","32.63","0.01"
"Solomon Islands","Bangladesh","2015.0","Export","2.0","0.9","893.38","0.22"
"Solomon Islands","Bulgaria","2015.0","Export","","","",""
"Solomon Islands","Bosnia and Herzegovina","2015.0","Export","","","",""
"Solomon Islands","Brazil","2015.0","Export","","","",""
"Solomon Islands","Canada","2015.0","Export","2.0","0.9","48.32","0.01"
"Solomon Islands","Switzerland","2015.0","Export","3.0","1.35","3917.44","0.98"
"Solomon Islands","China","2015.0","Export","13.0","5.86","232210.66","57.99"
"Solomon Islands","Cameroon","2015.0","Export","","","",""
"Solomon Islands","Cuba","2015.0","Export","","","",""
"Solomon Islands","Czech Republic","2015.0","Export","","","",""
"Solomon Islands","Germany","2015.0","Export","","","",""
"Solomon Islands","Denmark","2015.0","Export","","","",""
"Solomon Islands","East Asia & Pacific","2015.0","Export","203.0","91.44","300227.92","74.98"
"Solomon Islands","Europe & Central Asia","2015.0","Export","12.0","5.41","62895.38","15.71"
"Solomon Islands","Spain","2015.0","Export","1.0","0.45","1064.6","0.27"
"Solomon Islands","Estonia","2015.0","Export","","","",""
"Solomon Islands","Finland","2015.0","Export","","","",""
"Solomon Islands","Fiji","2015.0","Export","19.0","8.56","2211.86","0.55"
"Solomon Islands","France","2015.0","Export","1.0","0.45","249.4","0.06"
"Solomon Islands","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Solomon Islands","United Kingdom","2015.0","Export","4.0","1.8","29471.59","7.36"
"Solomon Islands","Gambia, The","2015.0","Export","","","",""
"Solomon Islands","Greece","2015.0","Export","","","",""
"Solomon Islands","Guyana","2015.0","Export","","","",""
"Solomon Islands","Hong Kong, China","2015.0","Export","12.0","5.41","5180.2","1.29"
"Solomon Islands","Croatia","2015.0","Export","","","",""
"Solomon Islands","Hungary","2015.0","Export","","","",""
"Solomon Islands","Indonesia","2015.0","Export","4.0","1.8","2269.59","0.57"
"Solomon Islands","India","2015.0","Export","2.0","0.9","28841.64","7.2"
"Solomon Islands","Ireland","2015.0","Export","","","",""
"Solomon Islands","Israel","2015.0","Export","","","",""
"Solomon Islands","Italy","2015.0","Export","1.0","0.45","27633.37","6.9"
"Solomon Islands","Jamaica","2015.0","Export","","","",""
"Solomon Islands","Jordan","2015.0","Export","1.0","0.45","4.46","0.0"
"Solomon Islands","Japan","2015.0","Export","27.0","12.16","6615.04","1.65"
"Solomon Islands","Kenya","2015.0","Export","","","",""
"Solomon Islands","Cambodia","2015.0","Export","","","",""
"Solomon Islands","Kiribati","2015.0","Export","6.0","2.7","201.89","0.05"
"Solomon Islands","Korea, Rep.","2015.0","Export","3.0","1.35","4346.58","1.09"
"Solomon Islands","Lao PDR","2015.0","Export","","","",""
"Solomon Islands","Lebanon","2015.0","Export","1.0","0.45","3.24","0.0"
"Solomon Islands","Latin America & Caribbean","2015.0","Export","1.0","0.45","13.8","0.0"
"Solomon Islands","Sri Lanka","2015.0","Export","2.0","0.9","182.37","0.05"
"Solomon Islands","Lithuania","2015.0","Export","","","",""
"Solomon Islands","Morocco","2015.0","Export","","","",""
"Solomon Islands","Middle East & North Africa","2015.0","Export","2.0","0.9","192.13","0.05"
"Solomon Islands","Mexico","2015.0","Export","","","",""
"Solomon Islands","Malta","2015.0","Export","","","",""
