"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Sierra Leone","Albania","2015.0","Export","","","",""
"Sierra Leone","United Arab Emirates","2015.0","Export","","","",""
"Sierra Leone","Argentina","2015.0","Export","","","",""
"Sierra Leone","Armenia","2015.0","Export","1.0","0.72","0.02","0.0"
"Sierra Leone","Australia","2015.0","Export","5.0","3.6","54.79","0.06"
"Sierra Leone","Belgium","2015.0","Export","4.0","2.88","52278.27","56.06"
"Sierra Leone","Benin","2015.0","Export","3.0","2.16","4828.56","5.18"
"Sierra Leone","Bangladesh","2015.0","Export","","","",""
"Sierra Leone","Bulgaria","2015.0","Export","","","",""
"Sierra Leone","Bahrain","2015.0","Export","","","",""
"Sierra Leone","Brazil","2015.0","Export","","","",""
"Sierra Leone","Canada","2015.0","Export","2.0","1.44","0.18","0.0"
"Sierra Leone","Switzerland","2015.0","Export","3.0","2.16","2305.51","2.47"
"Sierra Leone","Chile","2015.0","Export","","","",""
"Sierra Leone","China","2015.0","Export","7.0","5.04","1081.07","1.16"
"Sierra Leone","Cote d'Ivoire","2015.0","Export","","","",""
"Sierra Leone","Czech Republic","2015.0","Export","1.0","0.72","0.08","0.0"
"Sierra Leone","Germany","2015.0","Export","12.0","8.63","261.43","0.28"
"Sierra Leone","Denmark","2015.0","Export","6.0","4.32","0.26","0.0"
"Sierra Leone","Algeria","2015.0","Export","","","",""
"Sierra Leone","East Asia & Pacific","2015.0","Export","20.0","14.39","2841.42","3.05"
"Sierra Leone","Europe & Central Asia","2015.0","Export","69.0","49.64","72710.77","77.97"
"Sierra Leone","Egypt, Arab Rep.","2015.0","Export","1.0","0.72","35.39","0.04"
"Sierra Leone","Spain","2015.0","Export","2.0","1.44","0.08","0.0"
"Sierra Leone","France","2015.0","Export","1.0","0.72","0.15","0.0"
"Sierra Leone","Gabon","2015.0","Export","","","",""
"Sierra Leone","United Kingdom","2015.0","Export","37.0","26.62","1916.08","2.05"
"Sierra Leone","Ghana","2015.0","Export","4.0","2.88","2303.41","2.47"
"Sierra Leone","Gibraltar","2015.0","Export","","","",""
"Sierra Leone","Guinea","2015.0","Export","8.0","5.76","5313.57","5.7"
"Sierra Leone","Gambia, The","2015.0","Export","2.0","1.44","1270.92","1.36"
"Sierra Leone","Greece","2015.0","Export","1.0","0.72","62.06","0.07"
"Sierra Leone","Guatemala","2015.0","Export","","","",""
"Sierra Leone","Hong Kong, China","2015.0","Export","1.0","0.72","5.66","0.01"
"Sierra Leone","Indonesia","2015.0","Export","1.0","0.72","0.02","0.0"
"Sierra Leone","India","2015.0","Export","5.0","3.6","1590.69","1.71"
"Sierra Leone","Ireland","2015.0","Export","1.0","0.72","0.06","0.0"
"Sierra Leone","Iran, Islamic Rep.","2015.0","Export","1.0","0.72","0.04","0.0"
"Sierra Leone","Israel","2015.0","Export","","","",""
"Sierra Leone","Italy","2015.0","Export","10.0","7.19","86.23","0.09"
"Sierra Leone","Jordan","2015.0","Export","","","",""
"Sierra Leone","Japan","2015.0","Export","1.0","0.72","0.06","0.0"
"Sierra Leone","Kenya","2015.0","Export","1.0","0.72","0.06","0.0"
"Sierra Leone","Korea, Rep.","2015.0","Export","3.0","2.16","1647.46","1.77"
"Sierra Leone","Kuwait","2015.0","Export","","","",""
"Sierra Leone","Lebanon","2015.0","Export","2.0","1.44","49.25","0.05"
"Sierra Leone","Liberia","2015.0","Export","6.0","4.32","510.33","0.55"
"Sierra Leone","Latin America & Caribbean","2015.0","Export","","","",""
"Sierra Leone","Sri Lanka","2015.0","Export","","","",""
"Sierra Leone","Lithuania","2015.0","Export","","","",""
"Sierra Leone","Latvia","2015.0","Export","","","",""
"Sierra Leone","Morocco","2015.0","Export","","","",""
"Sierra Leone","Madagascar","2015.0","Export","1.0","0.72","0.02","0.0"
"Sierra Leone","Middle East & North Africa","2015.0","Export","4.0","2.88","84.68","0.09"
"Sierra Leone","Malta","2015.0","Export","","","",""
"Sierra Leone","Mauritania","2015.0","Export","1.0","0.72","51.8","0.06"
"Sierra Leone","Mauritius","2015.0","Export","","","",""
"Sierra Leone","Malaysia","2015.0","Export","","","",""
"Sierra Leone","North America","2015.0","Export","24.0","17.27","756.18","0.81"
"Sierra Leone","Namibia","2015.0","Export","","","",""
"Sierra Leone","Nigeria","2015.0","Export","2.0","1.44","376.87","0.4"
"Sierra Leone","Netherlands","2015.0","Export","8.0","5.76","15796.37","16.94"
"Sierra Leone","Norway","2015.0","Export","","","",""
"Sierra Leone","Other Asia, nes","2015.0","Export","","","",""
"Sierra Leone","Oman","2015.0","Export","","","",""
"Sierra Leone","Pakistan","2015.0","Export","","","",""
"Sierra Leone","Panama","2015.0","Export","","","",""
"Sierra Leone","Poland","2015.0","Export","","","",""
"Sierra Leone","Korea, Dem. Rep.","2015.0","Export","2.0","1.44","52.34","0.06"
"Sierra Leone","Portugal","2015.0","Export","1.0","0.72","4.02","0.0"
"Sierra Leone","Qatar","2015.0","Export","","","",""
"Sierra Leone","Romania","2015.0","Export","1.0","0.72","0.02","0.0"
"Sierra Leone","Russian Federation","2015.0","Export","1.0","0.72","0.08","0.0"
"Sierra Leone","South Asia","2015.0","Export","5.0","3.6","1590.69","1.71"
"Sierra Leone","Saudi Arabia","2015.0","Export","","","",""
"Sierra Leone","Senegal","2015.0","Export","3.0","2.16","77.1","0.08"
"Sierra Leone","Singapore","2015.0","Export","","","",""
"Sierra Leone","Somalia","2015.0","Export","","","",""
"Sierra Leone","Sub-Saharan Africa","2015.0","Export","51.0","36.69","15273.73","16.38"
"Sierra Leone","Sudan","2015.0","Export","1.0","0.72","0.08","0.0"
"Sierra Leone","Slovak Republic","2015.0","Export","","","",""
"Sierra Leone","Slovenia","2015.0","Export","","","",""
"Sierra Leone","Sweden","2015.0","Export","1.0","0.72","0.06","0.0"
"Sierra Leone","Swaziland","2015.0","Export","","","",""
"Sierra Leone","Chad","2015.0","Export","1.0","0.72","190.46","0.2"
"Sierra Leone","Togo","2015.0","Export","","","",""
"Sierra Leone","Thailand","2015.0","Export","1.0","0.72","0.02","0.0"
"Sierra Leone","Tunisia","2015.0","Export","","","",""
"Sierra Leone","Turkey","2015.0","Export","","","",""
"Sierra Leone","Uganda","2015.0","Export","1.0","0.72","0.04","0.0"
"Sierra Leone","Ukraine","2015.0","Export","","","",""
"Sierra Leone","Unspecified","2015.0","Export","","","",""
"Sierra Leone","Uruguay","2015.0","Export","","","",""
"Sierra Leone","United States","2015.0","Export","23.0","16.55","756.01","0.81"
"Sierra Leone","Vietnam","2015.0","Export","","","",""
"Sierra Leone"," World","2015.0","Export","139.0","100.0","93257.55","100.0"
"Sierra Leone","South Africa","2015.0","Export","21.0","15.11","350.58","0.38"
