"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"El Salvador","Aruba","2015.0","Export","22.0","0.84","264.92","0.0"
"El Salvador","Afghanistan","2015.0","Export","","","",""
"El Salvador","Angola","2015.0","Export","1.0","0.04","16.69","0.0"
"El Salvador","Anguila","2015.0","Export","1.0","0.04","0.97","0.0"
"El Salvador","Andorra","2015.0","Export","3.0","0.11","49.59","0.0"
"El Salvador","United Arab Emirates","2015.0","Export","21.0","0.8","347.02","0.01"
"El Salvador","Argentina","2015.0","Export","22.0","0.84","279.38","0.01"
"El Salvador","Armenia","2015.0","Export","1.0","0.04","4.0","0.0"
"El Salvador","Antigua and Barbuda","2015.0","Export","2.0","0.08","12.94","0.0"
"El Salvador","Australia","2015.0","Export","60.0","2.29","18339.42","0.33"
"El Salvador","Austria","2015.0","Export","14.0","0.53","367.55","0.01"
"El Salvador","Belgium","2015.0","Export","24.0","0.92","11643.64","0.21"
"El Salvador","Burkina Faso","2015.0","Export","","","",""
"El Salvador","Bangladesh","2015.0","Export","3.0","0.11","177.1","0.0"
"El Salvador","Bulgaria","2015.0","Export","","","",""
"El Salvador","Bahrain","2015.0","Export","1.0","0.04","25.0","0.0"
"El Salvador","Bahamas, The","2015.0","Export","12.0","0.46","471.83","0.01"
"El Salvador","Bosnia and Herzegovina","2015.0","Export","1.0","0.04","0.18","0.0"
"El Salvador","Belarus","2015.0","Export","","","",""
"El Salvador","Belize","2015.0","Export","272.0","10.39","13026.62","0.24"
"El Salvador","Bermuda","2015.0","Export","4.0","0.15","8.62","0.0"
"El Salvador","Bolivia","2015.0","Export","48.0","1.83","692.59","0.01"
"El Salvador","Brazil","2015.0","Export","36.0","1.37","4433.28","0.08"
"El Salvador","Barbados","2015.0","Export","9.0","0.34","241.02","0.0"
"El Salvador","Botswana","2015.0","Export","1.0","0.04","3.63","0.0"
"El Salvador","Central African Republic","2015.0","Export","","","",""
"El Salvador","Canada","2015.0","Export","153.0","5.84","47632.74","0.87"
"El Salvador","Cocos (Keeling) Islands","2015.0","Export","","","",""
"El Salvador","Switzerland","2015.0","Export","39.0","1.49","405.78","0.01"
"El Salvador","Chile","2015.0","Export","73.0","2.79","6414.61","0.12"
"El Salvador","China","2015.0","Export","63.0","2.41","43906.03","0.8"
"El Salvador","Cote d'Ivoire","2015.0","Export","1.0","0.04","1.16","0.0"
"El Salvador","Cameroon","2015.0","Export","1.0","0.04","11.71","0.0"
"El Salvador","Colombia","2015.0","Export","142.0","5.42","12491.77","0.23"
"El Salvador","Cape Verde","2015.0","Export","1.0","0.04","13.68","0.0"
"El Salvador","Costa Rica","2015.0","Export","1062.0","40.55","248112.73","4.52"
"El Salvador","Cuba","2015.0","Export","101.0","3.86","7634.34","0.14"
"El Salvador","Curaçao","2015.0","Export","71.0","2.71","696.32","0.01"
"El Salvador","Cayman Islands","2015.0","Export","13.0","0.5","74.49","0.0"
"El Salvador","Cyprus","2015.0","Export","3.0","0.11","136.9","0.0"
"El Salvador","Czech Republic","2015.0","Export","13.0","0.5","168.99","0.0"
