"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Sao Tome and Principe","Angola","2015.0","Export","34.0","17.89","187.12","2.03"
"Sao Tome and Principe","United Arab Emirates","2015.0","Export","","","",""
"Sao Tome and Principe","Belgium","2015.0","Export","1.0","0.53","2264.51","24.55"
"Sao Tome and Principe","Bangladesh","2015.0","Export","","","",""
"Sao Tome and Principe","Bulgaria","2015.0","Export","","","",""
"Sao Tome and Principe","Belize","2015.0","Export","1.0","0.53","128.63","1.39"
"Sao Tome and Principe","Brazil","2015.0","Export","","","",""
"Sao Tome and Principe","Canada","2015.0","Export","","","",""
"Sao Tome and Principe","Switzerland","2015.0","Export","1.0","0.53","424.22","4.6"
"Sao Tome and Principe","China","2015.0","Export","","","",""
"Sao Tome and Principe","Cameroon","2015.0","Export","1.0","0.53","9.76","0.11"
"Sao Tome and Principe","Cape Verde","2015.0","Export","17.0","8.95","6.83","0.07"
"Sao Tome and Principe","Curaçao","2015.0","Export","","","",""
"Sao Tome and Principe","Czech Republic","2015.0","Export","","","",""
"Sao Tome and Principe","Germany","2015.0","Export","3.0","1.58","379.52","4.11"
"Sao Tome and Principe","Denmark","2015.0","Export","","","",""
"Sao Tome and Principe","Algeria","2015.0","Export","","","",""
"Sao Tome and Principe","East Asia & Pacific","2015.0","Export","1.0","0.53","35.52","0.39"
"Sao Tome and Principe","Europe & Central Asia","2015.0","Export","110.0","57.89","8634.47","93.62"
"Sao Tome and Principe","Ecuador","2015.0","Export","","","",""
"Sao Tome and Principe","Spain","2015.0","Export","2.0","1.05","880.85","9.55"
"Sao Tome and Principe","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Sao Tome and Principe","France","2015.0","Export","7.0","3.68","479.63","5.2"
"Sao Tome and Principe","Gabon","2015.0","Export","59.0","31.05","49.37","0.54"
"Sao Tome and Principe","United Kingdom","2015.0","Export","","","",""
"Sao Tome and Principe","Equatorial Guinea","2015.0","Export","2.0","1.05","10.24","0.11"
"Sao Tome and Principe","Greece","2015.0","Export","","","",""
"Sao Tome and Principe","Hong Kong, China","2015.0","Export","1.0","0.53","11.94","0.13"
"Sao Tome and Principe","Indonesia","2015.0","Export","","","",""
"Sao Tome and Principe","India","2015.0","Export","","","",""
"Sao Tome and Principe","Italy","2015.0","Export","17.0","8.95","401.96","4.36"
"Sao Tome and Principe","Japan","2015.0","Export","1.0","0.53","23.58","0.26"
"Sao Tome and Principe","Kenya","2015.0","Export","","","",""
"Sao Tome and Principe","Korea, Rep.","2015.0","Export","","","",""
"Sao Tome and Principe","Lao PDR","2015.0","Export","","","",""
"Sao Tome and Principe","Lebanon","2015.0","Export","","","",""
"Sao Tome and Principe","Latin America & Caribbean","2015.0","Export","1.0","0.53","128.63","1.39"
"Sao Tome and Principe","Luxembourg","2015.0","Export","","","",""
"Sao Tome and Principe","Middle East & North Africa","2015.0","Export","","","",""
"Sao Tome and Principe","Mozambique","2015.0","Export","12.0","6.32","19.42","0.21"
"Sao Tome and Principe","Malawi","2015.0","Export","1.0","0.53","20.61","0.22"
"Sao Tome and Principe","Malaysia","2015.0","Export","","","",""
"Sao Tome and Principe","North America","2015.0","Export","6.0","3.16","71.48","0.78"
"Sao Tome and Principe","Nigeria","2015.0","Export","16.0","8.42","39.14","0.42"
"Sao Tome and Principe","Netherlands","2015.0","Export","8.0","4.21","3329.21","36.1"
"Sao Tome and Principe","Nauru","2015.0","Export","","","",""
"Sao Tome and Principe","Other Asia, nes","2015.0","Export","1.0","0.53","1.81","0.02"
"Sao Tome and Principe","Pakistan","2015.0","Export","","","",""
"Sao Tome and Principe","Poland","2015.0","Export","","","",""
"Sao Tome and Principe","Portugal","2015.0","Export","90.0","47.37","474.58","5.15"
"Sao Tome and Principe","South Asia","2015.0","Export","","","",""
"Sao Tome and Principe","Saudi Arabia","2015.0","Export","","","",""
"Sao Tome and Principe","Senegal","2015.0","Export","","","",""
"Sao Tome and Principe","Singapore","2015.0","Export","","","",""
"Sao Tome and Principe","Sub-Saharan Africa","2015.0","Export","117.0","61.58","351.28","3.81"
"Sao Tome and Principe","Sweden","2015.0","Export","","","",""
"Sao Tome and Principe","Turks and Caicos Isl.","2015.0","Export","","","",""
"Sao Tome and Principe","Togo","2015.0","Export","2.0","1.05","7.69","0.08"
"Sao Tome and Principe","Thailand","2015.0","Export","","","",""
"Sao Tome and Principe","East Timor","2015.0","Export","","","",""
"Sao Tome and Principe","Tunisia","2015.0","Export","","","",""
"Sao Tome and Principe","Turkey","2015.0","Export","","","",""
"Sao Tome and Principe","Unspecified","2015.0","Export","","","0.0","0.0"
"Sao Tome and Principe","United States","2015.0","Export","6.0","3.16","71.48","0.78"
"Sao Tome and Principe","Vietnam","2015.0","Export","","","",""
"Sao Tome and Principe"," World","2015.0","Export","190.0","100.0","9223.18","100.0"
"Sao Tome and Principe","South Africa","2015.0","Export","3.0","1.58","1.11","0.01"
