"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Slovak Republic","Aruba","2015.0","Export","3.0","0.08","7.59","0.0"
"Slovak Republic","Afghanistan","2015.0","Export","30.0","0.77","5992.73","0.01"
"Slovak Republic","Angola","2015.0","Export","79.0","2.02","1389.64","0.0"
"Slovak Republic","Anguila","2015.0","Export","1.0","0.03","46.17","0.0"
"Slovak Republic","Albania","2015.0","Export","274.0","7.02","43004.03","0.06"
"Slovak Republic","Andorra","2015.0","Export","23.0","0.59","88.56","0.0"
"Slovak Republic","United Arab Emirates","2015.0","Export","499.0","12.78","197929.58","0.26"
"Slovak Republic","Argentina","2015.0","Export","129.0","3.3","26131.85","0.03"
"Slovak Republic","Armenia","2015.0","Export","100.0","2.56","6716.5","0.01"
"Slovak Republic","American Samoa","2015.0","Export","1.0","0.03","10.76","0.0"
"Slovak Republic","Antarctica","2015.0","Export","1.0","0.03","31.5","0.0"
"Slovak Republic","Fr. So. Ant. Tr","2015.0","Export","2.0","0.05","1.59","0.0"
"Slovak Republic","Antigua and Barbuda","2015.0","Export","1.0","0.03","3.41","0.0"
"Slovak Republic","Australia","2015.0","Export","463.0","11.86","303030.94","0.4"
"Slovak Republic","Austria","2015.0","Export","2195.0","56.21","4514752.49","6.02"
"Slovak Republic","Azerbaijan","2015.0","Export","171.0","4.38","17005.35","0.02"
"Slovak Republic","Burundi","2015.0","Export","1.0","0.03","56.6","0.0"
"Slovak Republic","Belgium","2015.0","Export","992.0","25.4","1013187.53","1.35"
"Slovak Republic","Benin","2015.0","Export","14.0","0.36","2925.26","0.0"
"Slovak Republic","Bonaire","2015.0","Export","4.0","0.1","29.22","0.0"
"Slovak Republic","Burkina Faso","2015.0","Export","10.0","0.26","389.08","0.0"
"Slovak Republic","Bangladesh","2015.0","Export","43.0","1.1","847.27","0.0"
"Slovak Republic","Bulgaria","2015.0","Export","957.0","24.51","477543.71","0.64"
"Slovak Republic","Bahrain","2015.0","Export","58.0","1.49","9383.75","0.01"
"Slovak Republic","Bahamas, The","2015.0","Export","2.0","0.05","111.62","0.0"
"Slovak Republic","Bosnia and Herzegovina","2015.0","Export","681.0","17.44","97084.17","0.13"
"Slovak Republic","Belarus","2015.0","Export","786.0","20.13","73965.33","0.1"
"Slovak Republic","Belize","2015.0","Export","","","",""
"Slovak Republic","Bermuda","2015.0","Export","","","",""
"Slovak Republic","Bolivia","2015.0","Export","34.0","0.87","1944.03","0.0"
