"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Slovenia","Aruba","2015.0","Export","5.0","0.12","5.18","0.0"
"Slovenia","Afghanistan","2015.0","Export","9.0","0.22","409.99","0.0"
"Slovenia","Angola","2015.0","Export","29.0","0.72","3404.4","0.01"
"Slovenia","Anguila","2015.0","Export","","","",""
"Slovenia","Albania","2015.0","Export","781.0","19.27","40937.93","0.15"
"Slovenia","Andorra","2015.0","Export","33.0","0.81","168.22","0.0"
"Slovenia","United Arab Emirates","2015.0","Export","572.0","14.11","93442.13","0.35"
"Slovenia","Argentina","2015.0","Export","125.0","3.08","23430.42","0.09"
"Slovenia","Armenia","2015.0","Export","181.0","4.47","7232.24","0.03"
"Slovenia","American Samoa","2015.0","Export","","","",""
"Slovenia","Antarctica","2015.0","Export","","","",""
"Slovenia","Fr. So. Ant. Tr","2015.0","Export","11.0","0.27","35.4","0.0"
"Slovenia","Antigua and Barbuda","2015.0","Export","3.0","0.07","55.67","0.0"
"Slovenia","Australia","2015.0","Export","630.0","15.54","81162.69","0.31"
"Slovenia","Austria","2015.0","Export","2426.0","59.86","2204336.99","8.29"
"Slovenia","Azerbaijan","2015.0","Export","208.0","5.13","17926.69","0.07"
"Slovenia","Burundi","2015.0","Export","2.0","0.05","199.04","0.0"
"Slovenia","Belgium","2015.0","Export","1113.0","27.46","364637.42","1.37"
"Slovenia","Benin","2015.0","Export","15.0","0.37","230.99","0.0"
"Slovenia","Bonaire","2015.0","Export","8.0","0.2","67.65","0.0"
"Slovenia","Burkina Faso","2015.0","Export","5.0","0.12","31.93","0.0"
"Slovenia","Bangladesh","2015.0","Export","45.0","1.11","3757.03","0.01"
"Slovenia","Bulgaria","2015.0","Export","1342.0","33.11","191429.36","0.72"
"Slovenia","Bahrain","2015.0","Export","94.0","2.32","3282.61","0.01"
"Slovenia","Bahamas, The","2015.0","Export","43.0","1.06","784.99","0.0"
"Slovenia","Bosnia and Herzegovina","2015.0","Export","2876.0","70.96","681008.1","2.56"
"Slovenia","Saint Barthélemy","2015.0","Export","","","",""
"Slovenia","Belarus","2015.0","Export","374.0","9.23","60254.14","0.23"
"Slovenia","Belize","2015.0","Export","1.0","0.02","70.85","0.0"
"Slovenia","Bermuda","2015.0","Export","4.0","0.1","52.49","0.0"
"Slovenia","Bolivia","2015.0","Export","56.0","1.38","286.61","0.0"
"Slovenia","Brazil","2015.0","Export","316.0","7.8","43026.62","0.16"
"Slovenia","Barbados","2015.0","Export","15.0","0.37","97.72","0.0"
"Slovenia","Brunei","2015.0","Export","6.0","0.15","47.45","0.0"
"Slovenia","Bhutan","2015.0","Export","","","",""
"Slovenia","Bunkers","2015.0","Export","2.0","0.05","3574.33","0.01"
