"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Sweden","Aruba","2015.0","Export","71.0","1.65","1424.58","0.0"
"Sweden","Afghanistan","2015.0","Export","146.0","3.39","16869.57","0.01"
"Sweden","Angola","2015.0","Export","332.0","7.71","44232.87","0.03"
"Sweden","Anguila","2015.0","Export","22.0","0.51","113.38","0.0"
"Sweden","Albania","2015.0","Export","265.0","6.15","7979.73","0.01"
"Sweden","Andorra","2015.0","Export","99.0","2.3","1144.57","0.0"
"Sweden","United Arab Emirates","2015.0","Export","1536.0","35.65","780731.7","0.56"
"Sweden","Argentina","2015.0","Export","740.0","17.18","237547.08","0.17"
"Sweden","Armenia","2015.0","Export","252.0","5.85","10735.9","0.01"
"Sweden","American Samoa","2015.0","Export","1.0","0.02","0.47","0.0"
"Sweden","Antarctica","2015.0","Export","3.0","0.07","22.41","0.0"
"Sweden","Fr. So. Ant. Tr","2015.0","Export","2.0","0.05","167.34","0.0"
"Sweden","Antigua and Barbuda","2015.0","Export","59.0","1.37","4185.61","0.0"
"Sweden","Australia","2015.0","Export","1830.0","42.48","1357343.79","0.97"
"Sweden","Austria","2015.0","Export","1848.0","42.9","1205578.74","0.86"
"Sweden","Azerbaijan","2015.0","Export","473.0","10.98","69916.97","0.05"
"Sweden","Burundi","2015.0","Export","28.0","0.65","172.91","0.0"
"Sweden","Belgium","2015.0","Export","2163.0","50.21","5926663.02","4.23"
"Sweden","Benin","2015.0","Export","114.0","2.65","11273.74","0.01"
"Sweden","Bonaire","2015.0","Export","11.0","0.26","53.6","0.0"
"Sweden","Burkina Faso","2015.0","Export","252.0","5.85","21305.65","0.02"
"Sweden","Bangladesh","2015.0","Export","275.0","6.38","47351.23","0.03"
"Sweden","Bulgaria","2015.0","Export","1191.0","27.65","126218.28","0.09"
"Sweden","Bahrain","2015.0","Export","508.0","11.79","24970.74","0.02"
"Sweden","Bahamas, The","2015.0","Export","98.0","2.27","9507.84","0.01"
"Sweden","Bosnia and Herzegovina","2015.0","Export","550.0","12.77","34091.72","0.02"
"Sweden","Saint Barthélemy","2015.0","Export","8.0","0.19","790.44","0.0"
"Sweden","Belarus","2015.0","Export","522.0","12.12","56173.11","0.04"
"Sweden","Belize","2015.0","Export","24.0","0.56","470.12","0.0"
"Sweden","Bermuda","2015.0","Export","105.0","2.44","843.46","0.0"
"Sweden","Bolivia","2015.0","Export","337.0","7.82","50191.49","0.04"
"Sweden","Brazil","2015.0","Export","1244.0","28.88","843279.7","0.6"
"Sweden","Barbados","2015.0","Export","102.0","2.37","13592.76","0.01"
"Sweden","Brunei","2015.0","Export","173.0","4.02","1998.82","0.0"
"Sweden","Bhutan","2015.0","Export","69.0","1.6","2203.04","0.0"
"Sweden","Bunkers","2015.0","Export","183.0","4.25","661985.44","0.47"
"Sweden","Bouvet Island","2015.0","Export","","","",""
"Sweden","Botswana","2015.0","Export","112.0","2.6","3894.45","0.0"
"Sweden","Central African Republic","2015.0","Export","33.0","0.77","952.21","0.0"
"Sweden","Canada","2015.0","Export","1631.0","37.86","1048876.31","0.75"
"Sweden","Cocos (Keeling) Islands","2015.0","Export","1.0","0.02","20.75","0.0"
"Sweden","Switzerland","2015.0","Export","2276.0","52.83","1606200.77","1.15"
