"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Seychelles","Aruba","2015.0","Export","","","",""
"Seychelles","Afghanistan","2015.0","Export","","","",""
"Seychelles","Angola","2015.0","Export","","","",""
"Seychelles","Albania","2015.0","Export","","","",""
"Seychelles","Andorra","2015.0","Export","","","",""
"Seychelles","United Arab Emirates","2015.0","Export","118.0","36.88","143567.84","30.3"
"Seychelles","Argentina","2015.0","Export","","","",""
"Seychelles","American Samoa","2015.0","Export","","","",""
"Seychelles","Antigua and Barbuda","2015.0","Export","","","",""
"Seychelles","Australia","2015.0","Export","7.0","2.19","1189.03","0.25"
"Seychelles","Austria","2015.0","Export","1.0","0.31","1.4","0.0"
"Seychelles","Belgium","2015.0","Export","7.0","2.19","2152.37","0.45"
"Seychelles","Benin","2015.0","Export","1.0","0.31","35.99","0.01"
"Seychelles","Bangladesh","2015.0","Export","1.0","0.31","1.87","0.0"
"Seychelles","Bulgaria","2015.0","Export","1.0","0.31","0.2","0.0"
"Seychelles","Bahrain","2015.0","Export","2.0","0.63","9.77","0.0"
"Seychelles","Bahamas, The","2015.0","Export","","","",""
"Seychelles","Bosnia and Herzegovina","2015.0","Export","","","",""
"Seychelles","Belarus","2015.0","Export","1.0","0.31","2.16","0.0"
"Seychelles","Belize","2015.0","Export","","","",""
"Seychelles","Bermuda","2015.0","Export","","","",""
"Seychelles","Brazil","2015.0","Export","1.0","0.31","47.25","0.01"
"Seychelles","Brunei","2015.0","Export","","","",""
"Seychelles","Botswana","2015.0","Export","","","",""
"Seychelles","Canada","2015.0","Export","1.0","0.31","0.48","0.0"
"Seychelles","Switzerland","2015.0","Export","3.0","0.94","1865.18","0.39"
"Seychelles","Chile","2015.0","Export","","","",""
"Seychelles","China","2015.0","Export","3.0","0.94","24.1","0.01"
"Seychelles","Cote d'Ivoire","2015.0","Export","3.0","0.94","998.17","0.21"
"Seychelles","Cameroon","2015.0","Export","","","",""
"Seychelles","Congo, Rep.","2015.0","Export","","","",""
"Seychelles","Cook Islands","2015.0","Export","","","",""
"Seychelles","Colombia","2015.0","Export","","","",""
"Seychelles","Costa Rica","2015.0","Export","","","",""
"Seychelles","Cuba","2015.0","Export","2.0","0.63","241.18","0.05"
"Seychelles","Curaçao","2015.0","Export","","","",""
"Seychelles","Cayman Islands","2015.0","Export","","","",""
"Seychelles","Cyprus","2015.0","Export","1.0","0.31","320.68","0.07"
"Seychelles","Czech Republic","2015.0","Export","2.0","0.63","32.55","0.01"
"Seychelles","Germany","2015.0","Export","22.0","6.88","2559.84","0.54"
"Seychelles","Denmark","2015.0","Export","5.0","1.56","7058.14","1.49"
"Seychelles","Dominican Republic","2015.0","Export","","","",""
"Seychelles","East Asia & Pacific","2015.0","Export","42.0","13.13","33078.33","6.98"
"Seychelles","Europe & Central Asia","2015.0","Export","95.0","29.69","276266.74","58.3"
