"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Togo","Afghanistan","2015.0","Export","","","",""
"Togo","Angola","2015.0","Export","7.0","0.94","204.03","0.03"
"Togo","Anguila","2015.0","Export","","","",""
"Togo","Albania","2015.0","Export","","","",""
"Togo","Andorra","2015.0","Export","","","",""
"Togo","United Arab Emirates","2015.0","Export","4.0","0.54","15894.8","2.24"
"Togo","Argentina","2015.0","Export","","","",""
"Togo","Antigua and Barbuda","2015.0","Export","","","",""
"Togo","Australia","2015.0","Export","1.0","0.13","9819.81","1.38"
"Togo","Austria","2015.0","Export","1.0","0.13","0.2","0.0"
"Togo","Belgium","2015.0","Export","55.0","7.4","21270.61","3.0"
"Togo","Benin","2015.0","Export","195.0","26.25","99856.29","14.06"
"Togo","Burkina Faso","2015.0","Export","182.0","24.5","108534.31","15.29"
"Togo","Bangladesh","2015.0","Export","1.0","0.13","5158.63","0.73"
"Togo","Bulgaria","2015.0","Export","1.0","0.13","1.69","0.0"
"Togo","Bahrain","2015.0","Export","","","",""
"Togo","Bahamas, The","2015.0","Export","1.0","0.13","27.06","0.0"
"Togo","Bosnia and Herzegovina","2015.0","Export","","","",""
"Togo","Bolivia","2015.0","Export","","","",""
"Togo","Brazil","2015.0","Export","","","",""
"Togo","Central African Republic","2015.0","Export","12.0","1.62","566.22","0.08"
"Togo","Canada","2015.0","Export","6.0","0.81","15599.0","2.2"
"Togo","Switzerland","2015.0","Export","9.0","1.21","5633.25","0.79"
"Togo","Chile","2015.0","Export","","","",""
"Togo","China","2015.0","Export","22.0","2.96","7643.13","1.08"
"Togo","Cote d'Ivoire","2015.0","Export","109.0","14.67","26198.01","3.69"
"Togo","Cameroon","2015.0","Export","57.0","7.67","5818.55","0.82"
"Togo","Congo, Rep.","2015.0","Export","37.0","4.98","3431.54","0.48"
"Togo","Colombia","2015.0","Export","6.0","0.81","4274.03","0.6"
"Togo","Comoros","2015.0","Export","2.0","0.27","26.82","0.0"
"Togo","Curaçao","2015.0","Export","","","",""
"Togo","Cyprus","2015.0","Export","1.0","0.13","131.06","0.02"
"Togo","Czech Republic","2015.0","Export","1.0","0.13","2.03","0.0"
"Togo","Germany","2015.0","Export","20.0","2.69","3242.27","0.46"
"Togo","Denmark","2015.0","Export","8.0","1.08","282.17","0.04"
"Togo","Algeria","2015.0","Export","2.0","0.27","554.35","0.08"
"Togo","East Asia & Pacific","2015.0","Export","48.0","6.46","75246.87","10.6"
"Togo","Europe & Central Asia","2015.0","Export","235.0","31.63","68546.18","9.65"
"Togo","Egypt, Arab Rep.","2015.0","Export","2.0","0.27","274.67","0.04"
"Togo","Spain","2015.0","Export","35.0","4.71","3743.44","0.53"
"Togo","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Togo","Finland","2015.0","Export","","","",""
"Togo","France","2015.0","Export","93.0","12.52","9715.73","1.37"
"Togo","Gabon","2015.0","Export","62.0","8.34","3029.38","0.43"
"Togo","United Kingdom","2015.0","Export","34.0","4.58","3289.27","0.46"
"Togo","Ghana","2015.0","Export","97.0","13.06","25668.4","3.62"
"Togo","Gibraltar","2015.0","Export","","","",""
"Togo","Guinea","2015.0","Export","21.0","2.83","2198.84","0.31"
"Togo","Gambia, The","2015.0","Export","5.0","0.67","356.34","0.05"
"Togo","Guinea-Bissau","2015.0","Export","28.0","3.77","2160.07","0.3"
