"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Thailand","Aruba","2015.0","Export","100.0","2.31","4358.87","0.0"
"Thailand","Afghanistan","2015.0","Export","93.0","2.15","28851.74","0.01"
"Thailand","Angola","2015.0","Export","383.0","8.86","179937.11","0.09"
"Thailand","Anguila","2015.0","Export","6.0","0.14","32.87","0.0"
"Thailand","Albania","2015.0","Export","81.0","1.87","6685.88","0.0"
"Thailand","Andorra","2015.0","Export","43.0","0.99","187.59","0.0"
"Thailand","United Arab Emirates","2015.0","Export","2015.0","46.59","3016252.82","1.43"
"Thailand","Argentina","2015.0","Export","638.0","14.75","664074.89","0.31"
"Thailand","Armenia","2015.0","Export","34.0","0.79","1459.02","0.0"
"Thailand","Fr. So. Ant. Tr","2015.0","Export","5.0","0.12","26.9","0.0"
"Thailand","Antigua and Barbuda","2015.0","Export","79.0","1.83","4252.98","0.0"
"Thailand","Australia","2015.0","Export","2480.0","57.34","9614248.33","4.56"
"Thailand","Austria","2015.0","Export","910.0","21.04","228190.46","0.11"
"Thailand","Azerbaijan","2015.0","Export","104.0","2.4","13314.88","0.01"
"Thailand","Burundi","2015.0","Export","26.0","0.6","552.55","0.0"
"Thailand","Belgium","2015.0","Export","1362.0","31.49","1522448.99","0.72"
"Thailand","Benin","2015.0","Export","170.0","3.93","306710.45","0.15"
"Thailand","Burkina Faso","2015.0","Export","70.0","1.62","11568.45","0.01"
"Thailand","Bangladesh","2015.0","Export","1766.0","40.83","844900.87","0.4"
"Thailand","Bulgaria","2015.0","Export","335.0","7.75","36124.21","0.02"
"Thailand","Bahrain","2015.0","Export","967.0","22.36","214373.2","0.1"
"Thailand","Bahamas, The","2015.0","Export","73.0","1.69","5324.89","0.0"
"Thailand","Bosnia and Herzegovina","2015.0","Export","51.0","1.18","4919.89","0.0"
"Thailand","Belarus","2015.0","Export","100.0","2.31","3713.28","0.0"
"Thailand","Belize","2015.0","Export","57.0","1.32","3654.93","0.0"
"Thailand","Bermuda","2015.0","Export","133.0","3.08","2894.5","0.0"
"Thailand","Bolivia","2015.0","Export","231.0","5.34","57473.87","0.03"
"Thailand","Brazil","2015.0","Export","1139.0","26.34","1510373.3","0.72"
"Thailand","Barbados","2015.0","Export","126.0","2.91","13236.84","0.01"
"Thailand","Brunei","2015.0","Export","948.0","21.92","103975.8","0.05"
"Thailand","Bhutan","2015.0","Export","384.0","8.88","11370.39","0.01"
"Thailand","Botswana","2015.0","Export","123.0","2.84","1142.86","0.0"
"Thailand","Central African Republic","2015.0","Export","12.0","0.28","576.97","0.0"
"Thailand","Canada","2015.0","Export","1627.0","37.62","1342800.43","0.64"
"Thailand","Cocos (Keeling) Islands","2015.0","Export","2.0","0.05","8.1","0.0"
"Thailand","Switzerland","2015.0","Export","1431.0","33.09","2510953.42","1.19"
"Thailand","Chile","2015.0","Export","842.0","19.47","603430.57","0.29"
"Thailand","China","2015.0","Export","2881.0","66.61","23311428.6","11.05"
"Thailand","Cote d'Ivoire","2015.0","Export","273.0","6.31","241130.59","0.11"
"Thailand","Cameroon","2015.0","Export","183.0","4.23","173965.76","0.08"
"Thailand","Congo, Rep.","2015.0","Export","330.0","7.63","74900.73","0.04"
"Thailand","Cook Islands","2015.0","Export","109.0","2.52","1958.96","0.0"
"Thailand","Colombia","2015.0","Export","753.0","17.41","222562.76","0.11"
"Thailand","Comoros","2015.0","Export","75.0","1.73","1499.86","0.0"
"Thailand","Cape Verde","2015.0","Export","34.0","0.79","12981.85","0.01"
"Thailand","Costa Rica","2015.0","Export","367.0","8.49","144626.5","0.07"
"Thailand","Cuba","2015.0","Export","31.0","0.72","5645.59","0.0"
"Thailand","Curaçao","2015.0","Export","177.0","4.09","9790.33","0.0"
"Thailand","Christmas Island","2015.0","Export","4.0","0.09","53.42","0.0"
"Thailand","Cayman Islands","2015.0","Export","46.0","1.06","1942.26","0.0"
"Thailand","Cyprus","2015.0","Export","403.0","9.32","22005.43","0.01"
"Thailand","Czech Republic","2015.0","Export","796.0","18.4","739273.02","0.35"
"Thailand","Germany","2015.0","Export","2309.0","53.39","4219250.83","2.0"
"Thailand","Djibouti","2015.0","Export","114.0","2.64","32477.54","0.02"
"Thailand","Dominica","2015.0","Export","123.0","2.84","10515.05","0.01"
"Thailand","Denmark","2015.0","Export","1188.0","27.47","437221.37","0.21"
"Thailand","Dominican Republic","2015.0","Export","313.0","7.24","101101.71","0.05"
"Thailand","Algeria","2015.0","Export","271.0","6.27","126442.03","0.06"
"Thailand","East Asia & Pacific","2015.0","Export","4245.0","98.15","124362461.8","58.97"
"Thailand","Europe & Central Asia","2015.0","Export","3283.0","75.91","26198667.41","12.42"
"Thailand","Ecuador","2015.0","Export","424.0","9.8","201822.27","0.1"
"Thailand","Egypt, Arab Rep.","2015.0","Export","1081.0","24.99","997320.68","0.47"
"Thailand","Eritrea","2015.0","Export","25.0","0.58","6872.19","0.0"
"Thailand","Western Sahara","2015.0","Export","1.0","0.02","10.94","0.0"
"Thailand","Spain","2015.0","Export","1439.0","33.27","817883.28","0.39"
"Thailand","Estonia","2015.0","Export","258.0","5.97","50836.37","0.02"
"Thailand","Ethiopia(excludes Eritrea)","2015.0","Export","417.0","9.64","49491.34","0.02"
"Thailand","Finland","2015.0","Export","845.0","19.54","219264.41","0.1"
"Thailand","Fiji","2015.0","Export","756.0","17.48","53916.81","0.03"
"Thailand","Falkland Island","2015.0","Export","3.0","0.07","45.13","0.0"
"Thailand","France","2015.0","Export","1882.0","43.51","1626342.68","0.77"
"Thailand","Faeroe Islands","2015.0","Export","40.0","0.92","18.39","0.0"
"Thailand","Micronesia, Fed. Sts.","2015.0","Export","42.0","0.97","2673.76","0.0"
"Thailand","Gabon","2015.0","Export","183.0","4.23","60169.72","0.03"
"Thailand","United Kingdom","2015.0","Export","2200.0","50.87","3762395.42","1.78"
"Thailand","Georgia","2015.0","Export","195.0","4.51","22918.07","0.01"
