"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Trinidad and Tobago","Aruba","2015.0","Export","79.0","3.18","54362.17","0.51"
"Trinidad and Tobago","Afghanistan","2015.0","Export","1.0","0.04","998.0","0.01"
"Trinidad and Tobago","Angola","2015.0","Export","16.0","0.64","4226.7","0.04"
"Trinidad and Tobago","Anguila","2015.0","Export","44.0","1.77","5266.07","0.05"
"Trinidad and Tobago","Albania","2015.0","Export","","","",""
"Trinidad and Tobago","United Arab Emirates","2015.0","Export","25.0","1.01","40857.62","0.38"
"Trinidad and Tobago","Argentina","2015.0","Export","19.0","0.77","726197.37","6.75"
"Trinidad and Tobago","Armenia","2015.0","Export","","","",""
"Trinidad and Tobago","American Samoa","2015.0","Export","","","",""
"Trinidad and Tobago","Fr. So. Ant. Tr","2015.0","Export","37.0","1.49","1114.57","0.01"
"Trinidad and Tobago","Antigua and Barbuda","2015.0","Export","561.0","22.59","29952.99","0.28"
"Trinidad and Tobago","Australia","2015.0","Export","22.0","0.89","4242.78","0.04"
"Trinidad and Tobago","Austria","2015.0","Export","4.0","0.16","47.93","0.0"
"Trinidad and Tobago","Azerbaijan","2015.0","Export","4.0","0.16","9.53","0.0"
"Trinidad and Tobago","Belgium","2015.0","Export","55.0","2.22","145464.77","1.35"
"Trinidad and Tobago","Benin","2015.0","Export","1.0","0.04","397.65","0.0"
"Trinidad and Tobago","Bonaire","2015.0","Export","23.0","0.93","152.74","0.0"
"Trinidad and Tobago","Bangladesh","2015.0","Export","4.0","0.16","13.1","0.0"
"Trinidad and Tobago","Bulgaria","2015.0","Export","1.0","0.04","61.63","0.0"
"Trinidad and Tobago","Bahrain","2015.0","Export","","","",""
"Trinidad and Tobago","Bahamas, The","2015.0","Export","97.0","3.91","29607.87","0.28"
"Trinidad and Tobago","Bosnia and Herzegovina","2015.0","Export","","","",""
"Trinidad and Tobago","Belarus","2015.0","Export","1.0","0.04","123.2","0.0"
"Trinidad and Tobago","Belize","2015.0","Export","115.0","4.63","11292.89","0.11"
